,plotly/plotly.js,d3/d3,highcharts/highcharts
2012-06-19,3.0,4,4
2012-06-20,0.6999999999999997,1,1
2012-06-21,-0.23500000000000018,0,2
2012-06-22,-0.1305000000000001,2,3
2012-06-23,-0.09048749999999979,0,0
2012-06-24,-0.06901274999999976,7,0
2012-06-25,-0.055602787499999834,1,2
2012-06-26,-0.04644310124999986,0,3
2012-06-27,-0.03979863529687489,0,1
2012-06-28,-0.03476487062343741,3,2
2012-06-29,-0.008398852535937478,2,2
2012-06-30,0.0,1,0
2012-07-01,0.0,0,0
2012-07-02,2.0,5,3
2012-07-03,0.7999999999999998,5,1
2012-07-04,-0.19000000000000017,2,3
2012-07-05,0.8979999999999999,1,3
2012-07-06,-0.16982499999999995,0,0
2012-07-07,-0.09789599999999984,0,0
2012-07-08,3.929059225,0,0
2012-07-09,0.5439880949999998,0,1
2012-07-10,0.67365292771875,1,0
2012-07-11,-0.2985280305875001,0,0
2012-07-12,-0.1756425487859372,0,0
2012-07-13,-0.12319781301562471,1,1
2012-07-14,-0.09782615253593718,0,0
2012-07-15,0.9263464525000003,0,0
2012-07-16,-0.1625289608124999,0,1
2012-07-17,1.900742580590625,3,3
2012-07-18,1.7535328344484373,0,0
2012-07-19,1.6809386474640624,2,0
2012-07-20,-0.3631167500000002,0,0
2012-07-21,0.7985129875000001,1,0
2012-07-22,-0.24165219624999984,0,0
2012-07-23,-0.15445083801562468,2,0
2012-07-24,-0.11764377003593726,4,0
2012-07-25,-0.08831054353124973,11,0
2012-07-26,-0.07423847360312479,2,0
2012-07-27,-0.04909634360312487,0,0
2012-07-28,-0.027891401321874926,0,0
2012-07-29,-0.009568313015624975,0,0
2012-07-30,0.9916011474640625,0,5
2012-07-31,-0.10000000000000009,30,6
2012-08-01,0.955,5,1
2012-08-02,-0.12850000000000011,0,3
2012-08-03,-0.06566249999999996,2,2
2012-08-04,-0.04461674999999997,2,0
2012-08-05,-0.03382451249999988,10,0
2012-08-06,0.9727895537500001,0,2
2012-08-07,-0.12273032551562502,2,1
2012-08-08,-0.06449254878593748,0,3
2012-08-09,0.961931686984375,12,12
2012-08-10,-0.12906135253593748,2,6
