,exercism/exercism,freecodecamp/freecodecamp,ossu/computer-science
2018-07-13,3,1.0,0
2018-07-14,0,2.7,0
2018-07-15,0,0.9949999999999999,0
2018-07-16,0,0.02550000000000019,0
2018-07-17,0,-0.7286624999999998,0
2018-07-18,0,1.6257922500000002,0
2018-07-19,0,3.1477333874999998,0
2018-07-20,0,1.4015971387500001,0
2018-07-21,0,0.4119694869843753,0
2018-07-22,0,-1.3557339735296874,0
2018-07-23,0,-0.7000514469796874,0
2018-07-24,0,4.55202623176875,0
2018-07-25,0,0.18589283926718725,0
2018-07-26,0,-0.3618656160312499,0
2018-07-27,0,4.998392760221875,0
2018-07-28,0,3.6353091492718748,0
2018-07-29,0,-2.7909299232296876,0
2018-07-30,0,2.769825861034376,0
2018-07-31,0,2.03095665625,0
2018-08-01,0,-1.179875493828125,0
2018-08-02,0,6.605365551554687,0
2018-08-03,0,30.79987763926875,0
2018-08-04,0,-5.601618356326563,0
2018-08-05,0,-6.2749277299906225,0
2018-08-06,0,-3.2544732743968736,0
2018-08-07,0,2.8770961754375,0
2018-08-08,0,0.9254918062562498,0
2018-08-09,0,1.083260615303125,0
2018-08-10,0,-0.8423296298578125,0
2018-08-11,0,-2.221031818393751,0
2018-08-12,0,-0.3143476005093757,0
2018-08-13,0,-0.8964357918968751,0
2018-08-14,0,0.5078841812500001,0
2018-08-15,0,4.332723371171875,0
2018-08-16,0,-1.898977253226563,0
2018-08-17,0,2.23002468250625,0
2018-08-18,0,-0.34703044896250024,0
2018-08-19,0,0.1083431497843752,0
2018-08-20,0,-0.7712588292656248,0
2018-08-21,0,2.5660675005171876,0
2018-08-22,0,2.8005136644843747,0
2018-08-23,0,1.2523076654390624,0
2018-08-24,0,2.3237100000859376,1
2018-08-25,0,1.036644213453125,0
2018-08-26,0,0.17610501978593773,0
2018-08-27,0,0.5083287825015628,0
2018-08-28,0,-1.4018894344828123,0
2018-08-29,0,0.2383296672031251,0
2018-08-30,0,24.157261871989064,0
2018-08-31,0,-7.992400985728126,0
2018-09-01,0,-1.9516311530109358,0
2018-09-02,0,-0.014102575728124123,0
2018-09-03,0,2.1507990292703125,0
2018-09-04,0,1.705292627503125,0
2018-09-05,0,-1.4073081627156245,0
2018-09-06,0,13.442146189484376,0
2018-09-07,0,-0.49687269487343944,0
2018-09-08,0,-3.8191353295703117,0
2018-09-09,0,0.27654178573437593,0
2018-09-10,0,-0.7439471417640626,0
2018-09-11,0,-1.3463999010281251,0
2018-09-12,0,-0.85861198124375,0
2018-09-13,0,1.3892012115531247,0
2018-09-14,0,10.953876466532812,0
2018-09-15,0,-3.169416757320313,0
2018-09-16,0,-1.8081124761640617,0
2018-09-17,0,-0.9500357072812498,0
2018-09-18,0,-0.64393404323125,0
2018-09-19,0,-0.45695063823281246,0
2018-09-20,0,1.6529948525,0
2018-09-21,0,7.11747841896875,0
2018-09-22,0,-2.8466447014031258,0
2018-09-23,0,-1.1378776755593747,0
2018-09-24,0,-0.5699084132328123,0
2018-09-25,0,3.6192595,0
2018-09-26,0,3.5156762749999997,0
2018-09-27,0,214.8558385525,3
2018-09-28,0,-66.04641162353126,0
2018-09-29,0,-23.397330560590607,0
2018-09-30,0,-5.339860805862493,0
2018-10-01,0,-11.3569872,0
2018-10-02,0,-6.481527657499999,0
2018-10-03,0,-3.9862403983125,0
2018-10-04,0,-5.273745640509375,1
2018-10-05,0,9.979573395695303,0
2018-10-06,0,-6.4930100715203185,0
2018-10-07,0,7.968296560000001,0
2018-10-08,0,13.852264903375,0
