,twbs/bootstrap,mui/material-ui,ant-design/ant-design
2015-09-27,6,-3.185994752000002,0
2015-09-28,6,7.934744985599999,0
2015-09-29,5,15.4615959552,0
2015-09-30,0,5.193052467200001,0
2015-10-01,10,-3.1788294144,0
2015-10-02,2,3.759881216,17
2015-10-03,0,-3.4325185535999996,0
2015-10-04,3,-1.8455205888000008,0
2015-10-05,0,9.721081548799999,1
2015-10-06,2,10.8235264,3
2015-10-07,7,16.516136448,0
2015-10-08,4,-4.420037529599999,1
2015-10-09,3,0.5939746815999984,14
2015-10-10,3,1.1550513151999997,2
2015-10-11,5,-1.5911062528000004,3
2015-10-12,5,-1.7876531200000008,4
2015-10-13,11,1.718284288,3
2015-10-14,2,19.3805464576,13
2015-10-15,3,1.8319745024000023,9
2015-10-16,5,-0.6895898624000001,3
2015-10-17,4,-1.4394252288000011,0
2015-10-18,0,0.3174370303999996,0
2015-10-19,4,23.4789924864,32
2015-10-20,3,15.0201936896,8
2015-10-21,2,18.052166143999997,18
2015-10-22,1,-2.4920594432000005,23
2015-10-23,10,10.467148697599999,20
2015-10-24,14,-6.412232908800001,2
2015-10-25,4,-3.540625203200002,3
2015-10-26,7,2.4985824255999987,20
2015-10-27,14,3.0583713792000013,27
2015-10-28,7,0.8318074880000017,22
2015-10-29,9,1.4300297216000017,22
2015-10-30,8,1.755112448000001,22
2015-10-31,3,6.053700505600001,23
2015-11-01,0,3.2987303936000005,4
2015-11-02,5,-1.4757504000000008,15
2015-11-03,9,10.44424192,32
2015-11-04,2,2.5629608960000008,35
2015-11-05,1,4.1043229696,24
2015-11-06,1,1.0186184703999999,11
2015-11-07,0,0.5578491903999998,0
2015-11-08,0,2.9489997823999996,4
2015-11-09,0,12.7314306048,5
2015-11-10,0,11.727950745600001,12
2015-11-11,7,-0.27262781439999983,16
2015-11-12,6,16.319231283199997,13
2015-11-13,44,-1.1042033664000002,48
2015-11-14,1,-1.0584004608000015,19
2015-11-15,45,-1.0206821376000015,6
2015-11-16,11,1.6302117887999996,23
2015-11-17,0,2.5661460480000002,6
2015-11-18,0,2.445066752000001,24
2015-11-19,9,10.5520654336,43
2015-11-20,0,-3.9214929919999992,47
2015-11-21,0,4.036892672,3
2015-11-22,0,4.659241472,0
2015-11-23,4,1.3194856447999999,17
2015-11-24,3,8.7507648512,14
2015-11-25,1,1.4703760384000004,21
2015-11-26,5,11.185251328,23
2015-11-27,1,5.586888192000001,15
2015-11-28,1,6.761592524799999,8
2015-11-29,1,1.5925754879999996,4
2015-11-30,35,6.373966233599999,12
2015-12-01,7,2.8653217792000003,2
2015-12-02,2,8.308260966399999,13
2015-12-03,5,10.4271405056,12
2015-12-04,8,11.557025280000001,13
2015-12-05,19,1.7062252543999996,6
2015-12-06,9,8.149241344,9
2015-12-07,24,12.5978100736,10
2015-12-08,78,13.4394341376,12
2015-12-09,12,-0.5018721280000005,8
2015-12-10,4,8.633783603199998,13
2015-12-11,6,1.9265994751999997,8
2015-12-12,5,-3.02026752,5
2015-12-13,6,8.6272335872,3
2015-12-14,1,8.4067959808,5
2015-12-15,1,5.8150796288,14
2015-12-16,2,14.9958192128,24
2015-12-17,6,11.291222528,16
2015-12-18,1,0.06378321919999941,10
2015-12-19,0,2.9297603583999985,2
2015-12-20,3,2.4258787327999993,1
2015-12-21,9,-1.1338754048000004,4
2015-12-22,3,7.8297096192,9
2015-12-23,8,0.7498288128000006,15
2015-12-24,26,1.663912345600001,22
2015-12-25,25,7.002164736000001,29
2015-12-26,9,8.3102143488,1
2015-12-27,4,-4.2710565888,22
2015-12-28,0,6.7883542528,33
2015-12-29,4,10.7415334912,18
2015-12-30,2,17.4389895168,19
2015-12-31,4,3.2435449856000007,17
2016-01-01,5,-0.2830981120000011,34
2016-01-02,1,4.034431487999999,9
2016-01-03,0,3.9420907520000004,2
2016-01-04,20,4.034232115199999,7
2016-01-05,4,8.136742911999999,6
2016-01-06,58,14.2891920384,15
2016-01-07,22,1.6204002304000014,21
2016-01-08,3,3.1646451712,8
2016-01-09,13,10.745035776,4
2016-01-10,3,2.5548753919999996,7
2016-01-11,16,19.466600140799997,25
2016-01-12,0,4.560787660800001,15
2016-01-13,7,5.830266572799999,29
2016-01-14,10,7.1143171072,32
2016-01-15,6,1.0594468864,19
2016-01-16,4,6.335748300799999,4
2016-01-17,16,2.9650925568,7
2016-01-18,14,11.487239168,7
2016-01-19,7,0.17150586880000063,27
2016-01-20,4,7.6470360064000005,23
2016-01-21,11,3.1169702912000004,14
2016-01-22,0,3.7302356991999996,15
2016-01-23,6,8.9613841408,10
2016-01-24,8,1.1117591551999997,3
2016-01-25,5,10.155103129599999,15
2016-01-26,5,4.9462478848,29
2016-01-27,3,12.2985250816,17
2016-01-28,0,9.0481191936,19
2016-01-29,1,0.8706619391999997,4
2016-01-30,0,3.333019340799999,10
2016-01-31,1,-3.3809185792000003,0
2016-02-01,0,10.1961980928,30
2016-02-02,0,-0.4750408703999991,17
2016-02-03,2,14.751813734399999,14
2016-02-04,15,8.451924992000002,1
2016-02-05,5,16.395951923200002,1
2016-02-06,61,7.7060352000000005,1
2016-02-07,43,12.376167731199999,0
2016-02-08,28,37.5980469248,0
2016-02-09,29,4.028361113599999,0
2016-02-10,0,16.211871436799996,0
2016-02-11,6,17.2632961024,3
2016-02-12,0,15.402119884799998,0
2016-02-13,0,-1.741468569600002,0
2016-02-14,5,4.457242931199998,2
2016-02-15,2,4.129865215999999,1
2016-02-16,33,-0.24547573759999874,4
2016-02-17,49,5.172715008,12
2016-02-18,6,0.36025477120000104,10
2016-02-19,15,9.4604635136,13
2016-02-20,0,1.4779163648000022,4
2016-02-21,0,9.697905459200001,8
2016-02-22,0,9.827648,26
2016-02-23,9,5.242426060800001,15
2016-02-24,1,14.7761830912,16
2016-02-25,3,-3.8822658047999994,15
2016-02-26,2,15.807031193599999,7
2016-02-27,10,7.366625689600001,1
2016-02-28,11,16.6844130304,0
2016-02-29,1,-1.0588510208000006,5
2016-03-01,1,5.354235494399999,6
2016-03-02,1,16.409754112,25
2016-03-03,4,6.369422745600001,15
2016-03-04,4,-0.8276157440000009,12
2016-03-05,2,5.0436492288,7
2016-03-06,3,1.8447728640000003,5
2016-03-07,15,8.631115878400001,17
2016-03-08,0,6.7777594368,10
2016-03-09,0,-0.16915732480000045,23
2016-03-10,4,9.112200601600001,81
2016-03-11,6,0.02684600320000108,23
2016-03-12,0,9.411666022399999,2
2016-03-13,1,2.2988133376000004,8
2016-03-14,7,-0.9350804479999999,30
2016-03-15,2,2.1364416512,23
2016-03-16,7,8.1745579008,19
2016-03-17,1,10.1450698752,9
2016-03-18,0,3.2008529920000006,14
2016-03-19,2,-0.08969707520000014,2
2016-03-20,0,-3.0384404480000002,5
2016-03-21,0,3.1289643008,13
2016-03-22,5,5.7418970112,19
2016-03-23,0,-0.9202317311999999,20
2016-03-24,7,11.996839936,11
2016-03-25,0,4.932280217600002,33
2016-03-26,0,-1.7698594816000002,1
2016-03-27,2,0.6770623487999994,3
2016-03-28,0,4.9885865983999995,30
2016-03-29,0,20.35588608,29
2016-03-30,2,-2.098329087999999,47
2016-03-31,2,2.3227644927999984,25
2016-04-01,0,5.644627251199999,25
2016-04-02,3,6.1772478464,0
2016-04-03,0,-2.0645093376000005,4
2016-04-04,3,-1.5921952768000014,2
2016-04-05,1,2.0952322047999994,25
2016-04-06,7,-1.1503065087999986,30
2016-04-07,2,0.4796745728000005,31
2016-04-08,0,4.7504958464,12
2016-04-09,7,2.0176336896000007,4
2016-04-10,5,4.1778724864,10
2016-04-11,9,8.847153152,20
2016-04-12,2,9.7478659072,18
2016-04-13,1,2.8165794816,29
2016-04-14,3,4.507564646399999,19
2016-04-15,1,7.468663705599999,21
2016-04-16,0,0.8047593472000001,4
2016-04-17,6,0.7101879295999991,5
2016-04-18,1,2.2364760063999993,13
2016-04-19,1,2.2699821056000005,9
2016-04-20,0,2.3529834496000004,9
2016-04-21,4,6.4749739008,11
2016-04-22,0,3.7991309312000006,10
2016-04-23,4,-0.08004843520000016,2
2016-04-24,2,0.7333677056000001,3
2016-04-25,1,-0.9127552000000003,14
2016-04-26,0,0.6423824383999999,9
2016-04-27,0,4.6936698880000005,24
2016-04-28,2,7.984964608,15
2016-04-29,0,-1.0578175999999995,17
2016-04-30,0,7.094259302399999,1
2016-05-01,0,3.1056704512,0
2016-05-02,0,4.356428492799999,0
2016-05-03,0,8.1572179968,5
2016-05-04,0,7.2514349056,3
2016-05-05,0,0.8311862271999999,15
2016-05-06,1,8.767178137599998,14
2016-05-07,0,11.695265792,8
2016-05-08,32,5.5505139712,8
2016-05-09,17,-2.0466502656000003,17
2016-05-10,3,0.6346791935999994,30
2016-05-11,20,0.054079795199999836,33
2016-05-12,20,2.5326171136,12
2016-05-13,8,2.4472211456000004,12
2016-05-14,3,-1.4855516159999995,3
2016-05-15,2,1.3297400832000008,15
2016-05-16,4,-1.6548777983999992,26
2016-05-17,1,3.1070007296,11
2016-05-18,1,-0.3531630591999999,22
2016-05-19,1,4.0738458624,18
2016-05-20,3,3.4369829888000005,9
2016-05-21,0,1.2051015680000003,6
2016-05-22,2,3.4967413759999997,1
2016-05-23,0,-1.8108836864,23
2016-05-24,0,2.0347762687999995,8
2016-05-25,0,3.754898432,7
2016-05-26,6,1.2643492863999999,24
2016-05-27,0,5.4979920896,44
2016-05-28,2,0.7319905280000003,5
2016-05-29,0,-0.7387514880000003,0
2016-05-30,2,-1.1751130112000001,1
2016-05-31,22,10.248921088,5
2016-06-01,0,3.2833648640000006,11
2016-06-02,2,-0.4933363712000003,24
2016-06-03,4,2.2811806719999996,15
2016-06-04,15,5.1730690048,0
2016-06-05,9,-0.44587130880000014,0
2016-06-06,0,2.3510714367999994,11
2016-06-07,0,-0.8027080704000005,2
2016-06-08,2,3.7459732480000003,2
2016-06-09,1,5.142990233600001,2
2016-06-10,1,-1.3477720064,6
2016-06-11,0,3.6224218111999997,7
2016-06-12,0,4.1243039744,9
2016-06-13,6,-0.2150765567999997,14
2016-06-14,0,4.4660877312,7
2016-06-15,0,0.8665636864000001,21
2016-06-16,1,1.2713962495999998,16
2016-06-17,0,0.36945254400000027,7
2016-06-18,0,0.6544484352,3
2016-06-19,0,-0.1848418303999999,8
2016-06-20,6,-0.9385072639999997,6
2016-06-21,0,0.4137537536,9
2016-06-22,2,-0.5896035327999997,15
2016-06-23,0,-0.3742889983999998,15
2016-06-24,2,1.7711817728000003,13
2016-06-25,0,0.4459342848000003,1
2016-06-26,3,4.5438231552,5
2016-06-27,3,5.7642447872,17
2016-06-28,6,7.0554039296,14
2016-06-29,7,-2.6990597120000004,6
2016-06-30,0,-1.3028629504000009,1
2016-07-01,0,2.1508377599999995,3
2016-07-02,0,1.7710018559999998,0
2016-07-03,0,7.6632143872,0
2016-07-04,2,6.4292458496,15
2016-07-05,1,-0.08020121599999985,8
2016-07-06,2,-0.14618286079999976,10
2016-07-07,0,0.3754814463999996,19
2016-07-08,4,-0.3482905600000006,16
2016-07-09,1,11.935573504,19
2016-07-10,1,15.6634211328,6
2016-07-11,0,0.6132036608000009,12
2016-07-12,7,-3.7620233216000005,7
2016-07-13,1,3.915565670399999,9
2016-07-14,2,-0.5788337152,1
2016-07-15,0,-1.9029992448000006,9
2016-07-16,2,-0.24873697280000062,3
2016-07-17,2,2.8587099136000003,5
2016-07-18,0,1.3625555968000014,10
2016-07-19,1,1.5351112704000007,8
2016-07-20,5,-1.2828340224,4
2016-07-21,1,0.3358842879999999,29
2016-07-22,0,14.3290356736,4
2016-07-23,0,0.6190113792000007,2
2016-07-24,8,5.732011007999999,13
2016-07-25,3,-2.8556867584,22
2016-07-26,11,-1.5053566976000008,19
2016-07-27,14,0.9975600127999997,8
2016-07-28,8,0.8682892287999999,1
2016-07-29,0,-1.1142917120000004,16
2016-07-30,3,-0.7154223103999994,5
2016-07-31,0,-0.5432048639999995,3
2016-08-01,0,6.716748902400001,9
2016-08-02,9,4.4083155968000005,11
2016-08-03,2,-1.8347110400000002,19
2016-08-04,3,-0.8786288640000006,13
2016-08-05,0,-0.5769141248,7
2016-08-06,1,5.5947092992,4
2016-08-07,1,0.5037824000000002,2
2016-08-08,0,-0.12105984000000047,11
2016-08-09,2,-0.8502743039999999,2
2016-08-10,0,2.4487882752000005,7
2016-08-11,0,-0.9432321023999998,7
2016-08-12,0,0.5527551999999997,4
2016-08-13,0,11.48804608,1
2016-08-14,0,0.2785914880000009,5
2016-08-15,1,1.1948737535999996,6
2016-08-16,0,-0.5502128128000003,5
2016-08-17,0,-1.0759855104000005,16
2016-08-18,1,-0.6948239360000001,7
2016-08-19,1,-0.5248883712000001,4
2016-08-20,2,-0.3890027520000002,10
2016-08-21,1,-0.3227244543999993,0
2016-08-22,13,-0.2640043007999994,6
2016-08-23,1,-0.0974979071999997,6
2016-08-24,0,1.9482042368,6
2016-08-25,0,-0.4124693503999999,7
2016-08-26,0,-0.16000000000000014,8
2016-08-27,0,4.904,0
2016-08-28,0,6.9328,5
2016-08-29,1,-2.051072,8
2016-08-30,0,-0.9208576000000008,3
2016-08-31,0,4.41414656,7
2016-09-01,0,-1.425255424,16
2016-09-02,0,-0.7313707008000004,2
2016-09-03,0,2.5119359999999995,0
2016-09-04,0,0.024647680000000283,0
2016-09-05,18,-0.7451284479999996,0
2016-09-06,7,-0.42589880319999995,0
2016-09-07,2,-0.23343360000000013,1
2016-09-08,10,0.8178534400000003,16
2016-09-09,8,-0.3491691519999998,9
2016-09-10,1,-0.15120896000000011,24
2016-09-11,0,-0.10808985599999987,3
2016-09-12,21,-0.08539576319999984,12
2016-09-13,1,-0.03800535039999998,12
2016-09-14,1,-0.02042880000000001,22
2016-09-15,4,-0.01692672000000001,0
2016-09-16,1,-0.01438771199999994,1
2016-09-17,0,0.9875306496,0
2016-09-18,0,-0.19999999999999996,24
2016-09-19,0,-0.08000000000000007,21
2016-09-20,0,-0.048000000000000036,9
2016-09-21,0,-0.03360000000000001,14
2016-09-22,2,-0.025536000000000014,9
2016-09-23,1,-0.02042880000000001,13
2016-09-24,0,-0.01692672000000001,0
2016-09-25,0,2.985612288,0
2016-09-26,1,-0.6124693503999998,14
2016-09-27,0,-0.2400000000000002,10
2016-09-28,0,0.8559999999999999,16
2016-09-29,0,1.6992,32
2016-09-30,0,-0.556608,23
2016-10-01,0,1.7307135999999999,11
2016-10-02,1,8.41961984,19
2016-10-03,24,3.9041008640000006,0
2016-10-04,1,-2.1249088512000003,0
2016-10-05,0,-1.0369843200000008,0
2016-10-06,1,-0.6897131520000004,11
2016-10-07,3,-0.5135263744,19
2016-10-08,0,1.6041326591999998,10
2016-10-09,41,3.296311296,6
2016-10-10,26,0.7840115712000006,13
2016-10-11,3,-1.0145504255999995,4
2016-10-12,1,-0.49401610240000005,11
2016-10-13,2,-0.28147200000000017,11
2016-10-14,0,-0.2102016000000001,19
2016-10-15,3,-0.1666406400000001,7
2016-10-16,1,3.862660096,3
2016-10-17,8,-0.9163429887999995,8
2016-10-18,8,0.6013471744,12
2016-10-19,23,-0.41693870080000006,11
2016-10-20,8,-0.21440000000000012,19
2016-10-21,0,-0.15014400000000008,18
2016-10-22,1,-0.11531520000000006,3
2016-10-23,0,-0.09324288000000006,0
2016-10-24,8,-0.07797964799999976,9
2016-10-25,13,1.9331958784,3
2016-10-26,6,-0.41438771199999985,11
2016-10-27,26,-0.1724693504000001,10
2016-10-28,25,-0.09600000000000007,17
2016-10-29,2,-0.06720000000000002,3
2016-10-30,14,-0.05107200000000003,5
2016-10-31,1,1.9591424,16
2016-11-01,8,0.5661465600000001,13
2016-11-02,0,-0.388775424,20
2016-11-03,1,-0.20093870080000006,11
2016-11-04,2,-0.11520000000000005,9
2016-11-05,3,2.915328,5
2016-11-06,2,1.3336064,12
2016-11-07,0,-0.6942822400000002,20
2016-11-08,3,0.6502978559999999,17
2016-11-09,2,0.5638735872,27
2016-11-10,3,0.5637226496,12
2016-11-11,0,-0.44035840000000015,20
2016-11-12,1,2.74676224,0
2016-11-13,3,0.21584742400000023,8
2016-11-14,0,1.4142517248000002,22
2016-11-15,0,0.2881697792,24
2016-11-16,1,0.4394567679999999,10
2016-11-17,5,-0.5299917824,9
2016-11-18,0,-0.3088794624000001,18
2016-11-19,0,7.7836496896,2
2016-11-20,0,-1.7600834559999996,3
2016-11-21,0,0.2283859967999995,16
2016-11-22,0,11.3373997056,22
2016-11-23,8,7.1949468672000005,25
2016-11-24,3,3.7608549375999996,13
2016-11-25,9,-2.9854997504000007,9
2016-11-26,45,6.395850239999999,9
2016-11-27,17,4.286037504,0
2016-11-28,24,2.1076128767999993,6
2016-11-29,9,-1.544548352000001,10
2016-11-30,4,1.2978093056,6
2016-12-01,3,1.2285156352000006,8
2016-12-02,7,4.376410112,14
2016-12-03,0,-2.1109808128000003,18
2016-12-04,0,0.9139312639999999,18
2016-12-05,36,-0.17093918719999945,10
2016-12-06,2,1.1243548672000003,11
2016-12-07,0,-0.918017024,9
2016-12-08,5,-0.5041854464000001,6
2016-12-09,0,0.6371964928000001,7
2016-12-10,0,2.5426720768000006,2
2016-12-11,4,0.1398296576000002,6
2016-12-12,1,3.425440256,3
2016-12-13,0,2.8692201472,8
2016-12-14,0,1.6644192256,11
2016-12-15,0,-0.26757550080000025,9
2016-12-16,0,-0.8701491200000004,10
2016-12-17,0,-0.5461406720000003,0
2016-12-18,0,4.5947815936000005,1
2016-12-19,2,-0.31142584319999966,11
2016-12-20,16,0.17545052159999996,10
2016-12-21,2,0.30136279040000014,4
2016-12-22,68,-0.6059672575999998,10
2016-12-23,42,-0.34107576320000005,2
2016-12-24,30,1.7782506496,2
2016-12-25,32,4.4358016,5
2016-12-26,6,0.7051699200000003,4
2016-12-27,14,-0.010089984000000163,8
2016-12-28,45,0.28901621759999974,4
2016-12-29,48,-0.6219290624000001,2
2016-12-30,0,0.6237930495999998,16
2016-12-31,20,0.5313305599999999,6
2017-01-01,7,1.506597376,6
