,golang/go,swiftlang/swift,rust-lang/rust
2019-03-18,13,78,80
2019-03-19,23,47,64
2019-03-20,13,37,66
2019-03-21,14,54,58
2019-03-22,14,64,46
2019-03-23,3,26,60
2019-03-24,3,10,46
2019-03-25,21,52,72
2019-03-26,9,69,78
2019-03-27,18,101,60
2019-03-28,21,61,87
2019-03-29,13,79,91
2019-03-30,3,12,74
2019-03-31,4,26,49
2019-04-01,5,60,46
2019-04-02,12,80,87
2019-04-03,17,88,68
2019-04-04,8,44,67
2019-04-05,18,44,50
2019-04-06,0,44,36
2019-04-07,6,22,52
2019-04-08,17,41,47
2019-04-09,8,73,59
2019-04-10,10,48,51
2019-04-11,11,67,63
2019-04-12,11,53,74
2019-04-13,5,22,60
2019-04-14,2,28,92
2019-04-15,16,31,45
2019-04-16,34,56,64
2019-04-17,11,102,109
2019-04-18,10,44,73
2019-04-19,23,51,87
2019-04-20,3,36,51
2019-04-21,0,11,67
2019-04-22,12,35,75
2019-04-23,20,79,75
2019-04-24,16,85,74
2019-04-25,14,51,84
2019-04-26,19,55,51
2019-04-27,9,18,30
2019-04-28,4,5,43
2019-04-29,20,27,46
2019-04-30,34,26,74
2019-05-01,16,46,102
2019-05-02,13,62,98
2019-05-03,14,59,44
2019-05-04,1,37,104
2019-05-05,3,13,33
2019-05-06,22,58,41
2019-05-07,6,70,40
2019-05-08,16,59,39
2019-05-09,29,58,73
2019-05-10,9,64,57
2019-05-11,2,22,53
2019-05-12,2,13,44
2019-05-13,20,55,61
2019-05-14,15,86,62
2019-05-15,8,55,55
2019-05-16,20,51,57
2019-05-17,12,36,61
2019-05-18,0,29,45
2019-05-19,0,19,54
2019-05-20,11,57,100
2019-05-21,10,60,93
2019-05-22,12,44,75
2019-05-23,13,75,105
2019-05-24,10,36,59
2019-05-25,2,16,88
2019-05-26,0,15,51
2019-05-27,1,10,99
2019-05-28,8,36,115
2019-05-29,6,84,69
2019-05-30,13,56,63
2019-05-31,9,65,55
