,hapijs/hapi,expressjs/express,balderdashy/sails
2012-01-17,0.0,5,6
2012-01-18,0.0,0,5
2012-01-19,0.0,2,1
2012-01-20,0.0,0,0
2012-01-21,0.0,0,0
2012-01-22,0.0,0,0
2012-01-23,0.0,0,5
2012-01-24,0.0,0,2
2012-01-25,0.0,0,0
2012-01-26,0.0,0,1
2012-01-27,0.0,0,15
2012-01-28,0.0,0,0
2012-01-29,0.0,0,0
2012-01-30,0.0,0,0
2012-01-31,0.0,0,0
2012-02-01,0.0,1,0
2012-02-02,0.0,0,0
2012-02-03,0.0,0,0
2012-02-04,0.0,0,0
2012-02-05,0.0,0,0
2012-02-06,0.0,2,0
2012-02-07,0.0,15,0
2012-02-08,0.0,2,0
2012-02-09,1.0,5,0
2012-02-10,-0.19999999999999996,0,2
2012-02-11,-0.08000000000000007,0,12
2012-02-12,-0.048000000000000036,2,3
2012-02-13,1.9664,0,15
2012-02-14,0.5744640000000001,0,2
2012-02-15,2.6195711999999998,0,0
2012-02-16,0.20707327999999992,1,0
2012-02-17,4.430412287999999,1,0
2012-02-18,-0.3211413504,52,0
2012-02-19,-0.8151936000000004,3,4
2012-02-20,9.51550976,0,3
2012-02-21,1.6514754560000005,2,0
2012-02-22,0.12818462719999957,1,4
2012-02-23,1.5997607935999996,7,2
2012-02-24,0.5551418367999998,3,4
2012-02-25,-1.2270946304,0,2
2012-02-26,-0.7543664640000002,4,4
2012-02-27,-0.5113237504000002,0,3
2012-02-28,-0.39624959999999954,1,0
2012-02-29,5.671543808000001,0,4
2012-03-01,-1.3702905855999996,2,0
2012-03-02,-0.5819552768000003,0,0
2012-03-03,-0.3541834752,0,0
2012-03-04,-0.2265387008,0,4
2012-03-05,-0.15321600000000007,0,9
2012-03-06,1.8774271999999999,0,5
2012-03-07,-0.50156032,0,1
2012-03-08,0.7536737280000002,0,9
2012-03-09,-0.3708161023999998,0,0
2012-03-10,-0.1472000000000001,0,0
2012-03-11,-0.09907200000000006,0,0
2012-03-12,-0.07445760000000004,0,0
2012-03-13,-0.05938944000000003,0,0
2012-03-14,2.950795776,0,0
2012-03-15,2.3581345792,0,0
2012-03-16,1.145612288,0,0
2012-03-17,-0.7964693504000002,0,0
2012-03-18,-0.40480000000000027,0,14
2012-03-19,8.726592,0,1
2012-03-20,-1.0050944,0,5
2012-03-21,-0.08313856000000075,0,0
2012-03-22,1.1531991039999998,0,2
2012-03-23,4.0551753728,0,0
2012-03-24,-0.5376074751999997,12,0
2012-03-25,4.036066099199999,0,0
2012-03-26,13.41449472,0,0
2012-03-27,1.166083072000001,2,0
2012-03-28,-2.7856761856000007,0,0
2012-03-29,-1.476390502400001,7,0
2012-03-30,0.9820128255999996,2,0
2012-03-31,-1.1669879807999997,0,0
2012-04-01,-0.7554800640000001,0,0
2012-04-02,3.4635472896,15,4
2012-04-03,-0.22999603199999874,4,0
2012-04-04,-0.8300508159999994,2,0
2012-04-05,-0.3752043520000001,2,0
2012-04-06,-0.2162534400000001,0,0
2012-04-07,-0.16451942399999994,0,0
2012-04-08,-0.13218990079999998,0,0
2012-04-09,-0.08813568000000005,0,0
2012-04-10,-0.07447756799999977,2,0
2012-04-11,-0.0642651135999998,14,0
2012-04-12,-0.012469350399999964,1,0
2012-04-13,0.0,3,4
2012-04-14,0.0,0,1
2012-04-15,0.0,8,12
2012-04-16,0.0,10,2
