,gitbucket/gitbucket,gogs/gogs,gitlabhq/gitlabhq
2018-02-12,4,0,67.0
2018-02-13,0,0,61.2
2018-02-14,0,0,16.760000000000005
2018-02-15,1,0,28.152000000000005
2018-02-16,0,0,42.5808
2018-02-17,0,0,-46.54758399999999
2018-02-18,0,0,-19.158310400000005
2018-02-19,0,0,26.524090879999992
2018-02-20,0,0,70.847382016
2018-02-21,0,0,46.91813283840001
2018-02-22,2,0,14.417559961600006
2018-02-23,4,0,44.921356288000005
2018-02-24,0,0,-55.08020162559999
2018-02-25,0,0,-23.551254528000005
2018-02-26,1,0,51.697781248
2018-02-27,3,0,31.897347788799998
2018-02-28,0,0,100.71275939840001
2018-03-01,0,0,45.297886105600014
2018-03-02,3,1,-27.259357491199992
2018-03-03,0,0,-29.855573299200003
2018-03-04,0,0,-29.707330150400004
2018-03-05,0,1,87.24600074239999
2018-03-06,1,15,97.027590656
2018-03-07,0,1,33.07070464
2018-03-08,1,6,-20.11028879359999
2018-03-09,3,5,-11.902620057599997
2018-03-10,1,0,-44.7056233472
2018-03-11,4,0,-17.867371929600008
2018-03-12,7,3,55.0151745536
2018-03-13,0,0,10.585748480000007
2018-03-14,0,1,20.958909337600005
2018-03-15,0,0,5.516217036800008
2018-03-16,0,0,30.823505817600008
2018-03-17,1,0,-31.57238272
2018-03-18,1,0,-14.195026124800002
2018-03-19,2,0,41.5128517632
2018-03-20,4,2,16.549678592
2018-03-21,8,3,43.4045891584
2018-03-22,0,0,44.75777003520001
2018-03-23,0,0,10.774393036800006
2018-03-24,0,0,-45.75155220479999
2018-03-25,1,0,-18.786064588800002
2018-03-26,4,0,68.640191488
2018-03-27,3,0,28.002574950400003
2018-03-28,0,0,124.1894136832
2018-03-29,2,3,-5.231922278399978
2018-03-30,6,5,-11.151301324799988
2018-03-31,3,3,-49.2773624832
2018-04-01,10,0,-19.42500126720001
2018-04-02,1,1,26.419592499199993
2018-04-03,0,0,37.2540033024
2018-04-04,0,0,28.521551462400005
2018-04-05,0,2,106.39934873600001
2018-04-06,0,0,24.82325114880001
2018-04-07,1,0,-38.10129223679999
2018-04-08,1,0,-28.530434150399998
2018-04-09,4,3,45.58958387199999
2018-04-10,0,0,25.243041996800002
2018-04-11,0,2,23.7961824256
2018-04-12,0,3,10.6401861632
2018-04-13,3,0,21.278478028800002
2018-04-14,1,0,-41.5916392448
2018-04-15,9,0,-21.663998771200006
2018-04-16,5,3,78.77718640639999
2018-04-17,5,2,42.25925109760001
2018-04-18,2,2,53.078261350400005
2018-04-19,12,1,27.605952000000002
2018-04-20,1,0,9.479389798400007
2018-04-21,0,2,-55.1617323008
2018-04-22,4,0,-20.793611366400008
2018-04-23,0,0,137.8878505984
2018-04-24,5,2,30.24209623040001
2018-04-25,3,2,-11.229895270399993
2018-04-26,5,5,-4.870539059199999
2018-04-27,9,0,0.9297833983999979
2018-04-28,7,0,-33.2814544896
2018-04-29,14,0,-15.370053529600007
2018-04-30,5,0,58.595351552
2018-05-01,0,0,23.99912417280001
2018-05-02,3,0,46.48944076800001
2018-05-03,1,1,52.12640327680001
2018-05-04,1,0,27.243707801600003
2018-05-05,1,0,-56.9943294976
2018-05-06,0,0,-5.490839859200005
2018-05-07,0,0,118.654322176
2018-05-08,0,2,2.9221273600000046
2018-05-09,2,0,30.211614617600006
2018-05-10,1,1,-10.88970557439999
2018-05-11,1,0,28.2399067136
2018-05-12,10,0,-47.6267415552
2018-05-13,0,1,-20.305670451200008
2018-05-14,0,0,59.856844697599996
