,cfengine/core,ansible/ansible,saltstack/salt
2016-02-05,2,20,70
2016-02-06,0,1,14
2016-02-07,0,3,13
2016-02-08,0,17,58
2016-02-09,1,12,71
2016-02-10,2,10,178
2016-02-11,3,21,85
2016-02-12,5,15,76
2016-02-13,0,1,15
2016-02-14,0,4,4
2016-02-15,1,10,14
2016-02-16,1,8,41
2016-02-17,3,11,95
2016-02-18,0,34,87
2016-02-19,0,9,49
2016-02-20,0,7,13
2016-02-21,0,3,7
2016-02-22,2,5,59
2016-02-23,1,22,44
2016-02-24,2,11,101
2016-02-25,7,11,61
2016-02-26,3,11,49
2016-02-27,0,9,4
2016-02-28,0,2,3
2016-02-29,8,27,40
2016-03-01,2,26,34
2016-03-02,8,37,62
2016-03-03,1,30,81
2016-03-04,2,28,62
2016-03-05,0,12,12
2016-03-06,0,17,14
2016-03-07,2,16,29
2016-03-08,19,18,34
2016-03-09,2,19,39
2016-03-10,13,45,79
2016-03-11,4,12,55
2016-03-12,0,9,11
2016-03-13,0,13,10
2016-03-14,10,8,55
2016-03-15,21,23,51
2016-03-16,6,28,50
2016-03-17,0,28,46
2016-03-18,7,32,81
2016-03-19,0,12,8
2016-03-20,0,8,7
2016-03-21,0,22,61
2016-03-22,0,21,70
2016-03-23,0,30,95
2016-03-24,0,20,49
2016-03-25,1,23,42
2016-03-26,0,9,0
2016-03-27,0,8,10
2016-03-28,0,7,49
2016-03-29,7,3,54
2016-03-30,3,15,126
2016-03-31,10,20,41
2016-04-01,6,14,44
2016-04-02,0,8,20
2016-04-03,0,5,2
2016-04-04,0,12,77
2016-04-05,5,8,43
2016-04-06,4,13,29
2016-04-07,1,11,30
2016-04-08,4,13,22
2016-04-09,0,0,13
2016-04-10,0,2,0
2016-04-11,10,11,25
2016-04-12,9,25,10
2016-04-13,2,16,36
2016-04-14,6,13,24
2016-04-15,7,10,29
2016-04-16,0,8,3
2016-04-17,0,5,0
2016-04-18,4,12,27
2016-04-19,8,23,22
2016-04-20,9,12,15
2016-04-21,3,11,20
2016-04-22,0,13,32
2016-04-23,0,11,4
2016-04-24,0,11,0
2016-04-25,1,36,49
2016-04-26,6,13,42
2016-04-27,4,26,24
2016-04-28,6,9,21
2016-04-29,3,12,24
2016-04-30,0,6,0
2016-05-01,0,2,0
2016-05-02,3,4,13
2016-05-03,0,17,24
2016-05-04,2,5,16
2016-05-05,0,12,32
2016-05-06,0,10,24
2016-05-07,0,2,1
2016-05-08,0,0,0
2016-05-09,4,9,20
2016-05-10,2,14,24
2016-05-11,7,11,12
2016-05-12,3,33,27
2016-05-13,0,22,24
2016-05-14,0,8,0
2016-05-15,0,1,3
2016-05-16,1,19,32
