,pytorch/pytorch,tensorflow/tensorflow,apache/mxnet
2020-12-25,1,6,0.0
2020-12-26,0,2,0.0
2020-12-27,0,6,0.0
2020-12-28,7,48,0.0
2020-12-29,8,42,0.0
2020-12-30,13,54,1.0
2020-12-31,5,20,0.8
2021-01-01,1,5,0.72
2021-01-02,0,7,-0.32800000000000007
2021-01-03,1,7,-0.16160000000000013
2021-01-04,21,27,0.8928639999999999
2021-01-05,40,86,1.7204352
2021-01-06,46,85,-0.54289152
2021-01-07,28,79,-0.25974323200000016
2021-01-08,43,91,-0.17338378240000002
2021-01-09,8,15,-0.11959306239999994
2021-01-10,4,8,-0.0839701504
2021-01-11,28,82,-0.05778432000000003
2021-01-12,43,112,0.951758848
2021-01-13,33,107,-0.2412447743999998
2021-01-14,27,74,-0.1049387008
2021-01-15,23,73,1.952
2021-01-16,11,21,0.5664
2021-01-17,1,8,-0.3855360000000001
2021-01-18,7,28,-0.19642880000000015
2021-01-19,30,62,-0.13212672000000006
2021-01-20,44,100,1.9009402880000001
2021-01-21,28,95,-0.47886295039999993
2021-01-22,45,104,-0.21428224000000018
2021-01-23,13,24,-0.14170214399999997
2021-01-24,2,17,-0.10652641279999989
2021-01-25,20,98,-0.06354135039999999
2021-01-26,30,75,-0.04085760000000002
2021-01-27,35,109,-0.03385344000000002
2021-01-28,49,90,0.9712245760000001
2021-01-29,37,73,0.7750612992000001
2021-01-30,9,44,-0.28
2021-01-31,3,4,0.8719999999999999
2021-02-01,23,74,-0.2816
2021-02-02,61,100,0.8608639999999999
2021-02-03,44,86,2.7060352
2021-02-04,68,95,-0.75095552
2021-02-05,37,78,1.6551495679999997
2021-02-06,13,27,-0.6248858624
2021-02-07,3,6,1.6842679295999998
2021-02-08,25,72,0.3925754880000001
2021-02-09,28,79,-0.5178824704000001
2021-02-10,37,93,-0.2922398720000001
2021-02-11,42,71,-0.21169008639999987
2021-02-12,17,82,-0.15593349119999997
2021-02-13,11,38,-0.09516902399999992
2021-02-14,12,4,-0.07922094079999996
2021-02-15,3,48,1.9542978560000002
2021-02-16,10,54,2.5606735872
2021-02-17,40,92,-0.7724693504
2021-02-18,47,68,1.6639999999999997
2021-02-19,47,41,0.38880000000000003
2021-02-20,12,38,-0.5118720000000001
2021-02-21,3,15,1.7065343999999998
2021-02-22,29,91,0.38966016000000003
2021-02-23,30,113,-0.524227584
2021-02-24,26,99,1.6895045632
2021-02-25,40,114,-0.6068902911999999
2021-02-26,33,115,0.7096258559999999
2021-02-27,8,33,0.5982799872000001
2021-02-28,6,11,-0.41395159040000007
2021-03-01,38,66,1.775225856
2021-03-02,74,77,-0.5617840127999999
2021-03-03,59,98,-0.26545879040000014
2021-03-04,31,98,-0.170740224
2021-03-05,48,133,-0.12949422079999998
2021-03-06,7,23,0.917613568
2021-03-07,3,12,-0.26771466239999986
2021-03-08,28,60,-0.12632279040000005
2021-03-09,44,79,1.9232245760000002
2021-03-10,48,116,0.5414612992000001
2021-03-11,47,93,0.6144639999999999
2021-03-12,73,105,3.6035711999999998
2021-03-13,10,43,-1.01212672
2021-03-14,7,22,0.5329402879999997
2021-03-15,30,75,1.4955370495999998
2021-03-16,27,135,1.30578176
2021-03-17,35,89,-0.7762749440000001
2021-03-18,41,107,0.5724316671999998
2021-03-19,28,132,0.5167000576
2021-03-20,7,41,-0.48872099839999983
2021-03-21,3,17,1.7132662784
2021-03-22,28,71,0.429301248
2021-03-23,43,113,-0.4942342144
2021-03-24,31,89,2.7243210751999998
2021-03-25,30,91,-0.7774942207999999
2021-03-26,33,33,2.6440135679999996
2021-03-27,29,6,-0.8372506623999999
2021-03-28,6,8,-0.4075515904000002
2021-03-29,46,62,-0.266310144
2021-03-30,42,80,0.7985871872000001
2021-03-31,46,101,0.6601424896
2021-04-01,64,75,-0.38444953599999987
2021-04-02,53,81,0.7838117888
