,gitlabhq/gitlabhq,gogs/gogs,gitbucket/gitbucket
2014-05-12,13.0,11,2
2014-05-13,25.4,8,1
2014-05-14,13.36,10,0
2014-05-15,8.136,8,0
2014-05-16,3.6191999999999975,9,2
2014-05-17,-4.432768000000001,0,0
2014-05-18,0.6274175999999976,3,11
2014-05-19,14.83322624,5,0
2014-05-20,8.243395584,0,1
2014-05-21,-1.9308838911999988,2,0
2014-05-22,24.9609791488,1,0
2014-05-23,21.846157312000003,0,0
2014-05-24,0.12839270399999947,6,0
2014-05-25,-6.858410496000003,0,1
2014-05-26,30.022751641599996,9,0
2014-05-27,16.3439105024,0,0
2014-05-28,18.8919016448,4,1
2014-05-29,26.896779366399997,1,0
2014-05-30,0.5103893504000006,5,1
2014-05-31,-3.9363337216000005,1,5
2014-06-01,-5.994872832000002,5,5
2014-06-02,13.399305215999998,1,6
2014-06-03,45.069519872,4,0
2014-06-04,14.487688294400002,1,1
2014-06-05,13.318518681599999,1,4
2014-06-06,9.085772902399999,3,3
2014-06-07,-0.6761004032000013,1,3
2014-06-08,-4.875814297600002,4,0
2014-06-09,-1.4783263744000017,0,4
2014-06-10,36.3663911936,1,2
2014-06-11,15.469110988800004,2,0
2014-06-12,5.837090611200001,6,0
2014-06-13,14.9655512064,1,0
2014-06-14,19.2073573376,0,5
2014-06-15,-7.0284048384,0,6
2014-06-16,4.394183679999997,0,2
2014-06-17,9.506955980799997,1,0
2014-06-18,10.696651366400001,0,0
2014-06-19,4.039298969600001,1,2
2014-06-20,6.3403159552,2,2
2014-06-21,-3.3723701247999998,3,0
2014-06-22,-0.23830773759999957,5,2
2014-06-23,22.5409352704,6,1
2014-06-24,37.7460798464,6,1
2014-06-25,12.378039193600001,10,1
2014-06-26,24.0138085376,1,1
2014-06-27,-7.814178611200001,3,0
2014-06-28,-7.645103820800003,12,3
2014-06-29,-4.873240371200002,4,6
2014-06-30,18.491250380799997,2,5
2014-07-01,8.841859686400001,0,0
2014-07-02,14.802493849600001,1,0
2014-07-03,12.648607232000003,0,0
2014-07-04,12.632862720000002,9,0
2014-07-05,-3.543757824,5,4
2014-07-06,-5.3475563520000025,3,9
2014-07-07,5.625359359999998,2,0
2014-07-08,4.681353216000001,0,2
2014-07-09,12.4698222592,0,0
2014-07-10,14.019814809600001,0,0
2014-07-11,9.8715272192,0,0
2014-07-12,-6.9968559104,4,2
2014-07-13,-0.6386781184000014,0,10
2014-07-14,7.079341567999999,0,1
2014-07-15,12.048960512,1,0
2014-07-16,12.4838441984,1,2
2014-07-17,10.4965607424,0,0
2014-07-18,-2.8080954368000004,2,0
2014-07-19,-2.3722245120000007,0,0
2014-07-20,-1.0164231168000009,1,1
2014-07-21,9.677860864,1,0
2014-07-22,4.9556569088,18,2
2014-07-23,16.967788544,4,3
2014-07-24,1.5577701376000013,26,0
2014-07-25,7.2561241088,24,2
2014-07-26,-1.0010728448000004,15,3
2014-07-27,2.562924134399999,3,4
2014-07-28,11.658250035199998,4,6
2014-07-29,16.9415754752,0,6
2014-07-30,13.8731548672,1,1
2014-07-31,18.2213305344,1,2
2014-08-01,-0.25500989440000055,5,1
2014-08-02,-4.472927027200002,1,1
2014-08-03,2.749432627199999,0,7
2014-08-04,7.7586059264,4,4
2014-08-05,-3.1143604224,1,2
2014-08-06,10.61679616,2,0
2014-08-07,1.9773064192000014,7,1
2014-08-08,-4.027086950399998,2,0
2014-08-09,3.7638204416000005,3,2
2014-08-10,0.43789578240000004,3,1
2014-08-11,25.957665075199998,1,4
2014-08-12,0.11345336320000143,0,2
2014-08-13,27.4560166912,1,7
2014-08-14,-3.902869708799999,10,5
2014-08-15,13.688734310399997,2,1
2014-08-16,-3.9363401728000005,2,1
2014-08-17,0.6769351679999982,0,2
2014-08-18,10.127919001599999,0,0
2014-08-19,6.6774473728000014,0,0
2014-08-20,13.5603611648,1,1
2014-08-21,15.302918963200002,0,1
2014-08-22,9.0520681472,0,2
2014-08-23,14.678658559999999,5,1
2014-08-24,-3.4115495936,3,4
2014-08-25,9.608149708799997,7,1
2014-08-26,17.55596544,4,0
2014-08-27,17.468423270400002,2,0
2014-08-28,12.287531827199999,2,0
2014-08-29,20.4456848384,8,0
2014-08-30,-5.1908886528,10,0
2014-08-31,-2.0620382208000017,29,4
2014-09-01,29.586407731199998,4,1
2014-09-02,14.526655488000001,16,2
2014-09-03,6.570446336,9,0
2014-09-04,11.9401872384,5,2
2014-09-05,5.665212825600001,8,0
2014-09-06,-0.13942138879999888,0,0
2014-09-07,-3.277648384000001,5,0
2014-09-08,43.6503781376,5,0
2014-09-09,13.399369728000003,7,1
2014-09-10,10.651280896,3,1
2014-09-11,13.692694015999999,0,0
2014-09-12,18.571139891199998,4,1
2014-09-13,-9.5497001984,4,1
2014-09-14,4.391359487999997,3,3
2014-09-15,7.393258700799999,3,4
2014-09-16,1.019189452800001,12,0
2014-09-17,6.108967628800001,10,0
2014-09-18,8.2279187456,3,0
2014-09-19,18.9533407232,1,4
2014-09-20,-0.2973822975999987,3,2
2014-09-21,2.257928294399999,5,0
2014-09-22,31.199559987199997,9,9
2014-09-23,13.859345817600001,15,8
2014-09-24,17.2500035584,3,4
2014-09-25,24.458810572799997,6,3
2014-09-26,13.336453427199999,9,0
2014-09-27,-5.854803865600001,4,3
2014-09-28,-1.7777500160000024,18,4
2014-09-29,31.892018380799996,10,6
2014-09-30,34.2891086848,3,2
