,saltstack/salt,ansible/ansible,cfengine/core
2012-05-05,16,4,1
2012-05-06,5,17,0
2012-05-07,7,7,8
2012-05-08,9,25,3
2012-05-09,13,5,6
2012-05-10,39,36,4
2012-05-11,13,16,6
2012-05-12,17,2,3
2012-05-13,40,6,0
2012-05-14,22,10,13
2012-05-15,11,8,1
2012-05-16,8,2,0
2012-05-17,15,2,1
2012-05-18,8,0,5
2012-05-19,17,4,21
2012-05-20,10,6,0
2012-05-21,14,0,5
2012-05-22,15,3,5
2012-05-23,34,2,13
2012-05-24,13,1,20
2012-05-25,2,5,8
2012-05-26,19,3,9
2012-05-27,22,2,0
2012-05-28,14,0,0
2012-05-29,12,6,5
2012-05-30,31,9,10
2012-05-31,13,3,7
2012-06-01,7,10,11
2012-06-02,4,0,16
2012-06-03,20,0,1
2012-06-04,19,0,9
2012-06-05,20,3,1
2012-06-06,28,1,5
2012-06-07,9,4,3
2012-06-08,12,5,2
2012-06-09,12,2,0
2012-06-10,9,2,0
2012-06-11,15,3,0
2012-06-12,10,1,6
2012-06-13,13,3,5
2012-06-14,3,12,4
2012-06-15,11,8,7
2012-06-16,18,5,4
2012-06-17,3,4,0
2012-06-18,25,3,2
2012-06-19,53,6,0
2012-06-20,6,14,5
2012-06-21,1,9,3
2012-06-22,33,3,7
2012-06-23,31,1,0
2012-06-24,6,0,1
2012-06-25,21,6,1
2012-06-26,24,4,6
2012-06-27,13,2,15
2012-06-28,4,0,3
2012-06-29,4,3,3
2012-06-30,85,2,3
2012-07-01,30,2,0
2012-07-02,13,8,2
2012-07-03,13,8,1
2012-07-04,9,10,10
2012-07-05,13,2,2
2012-07-06,45,4,3
2012-07-07,2,13,0
2012-07-08,20,2,0
2012-07-09,26,5,5
2012-07-10,16,11,21
2012-07-11,14,9,2
2012-07-12,8,16,9
2012-07-13,43,3,10
2012-07-14,10,12,0
2012-07-15,43,21,0
2012-07-16,16,3,2
2012-07-17,7,10,10
2012-07-18,6,14,26
2012-07-19,13,5,9
2012-07-20,15,36,0
2012-07-21,19,10,0
2012-07-22,12,10,0
2012-07-23,24,11,5
2012-07-24,8,35,9
2012-07-25,7,23,0
2012-07-26,34,32,1
2012-07-27,41,9,10
2012-07-28,12,24,0
2012-07-29,5,7,0
2012-07-30,16,27,0
2012-07-31,38,22,2
2012-08-01,38,40,15
2012-08-02,22,36,0
2012-08-03,18,12,3
2012-08-04,15,0,1
2012-08-05,10,0,10
