,rust-lang/rust,apple/swift,JetBrains/kotlin
2014-10-17,21,14,14
2014-10-18,17,7,11
2014-10-19,16,3,0
2014-10-20,15,24,23
2014-10-21,23,15,21
2014-10-22,20,8,75
2014-10-23,21,22,1
2014-10-24,19,29,11
2014-10-25,26,8,0
2014-10-26,21,12,0
2014-10-27,53,20,10
2014-10-28,41,20,8
2014-10-29,24,17,6
2014-10-30,45,9,44
2014-10-31,37,19,36
2014-11-01,18,14,2
2014-11-02,30,14,1
2014-11-03,76,18,0
2014-11-04,24,14,0
2014-11-05,34,15,33
2014-11-06,69,20,15
2014-11-07,40,25,64
2014-11-08,18,16,8
2014-11-09,31,15,0
2014-11-10,18,13,20
2014-11-11,18,40,32
2014-11-12,32,35,65
2014-11-13,20,18,38
2014-11-14,20,29,29
2014-11-15,14,16,0
2014-11-16,42,6,0
2014-11-17,62,29,46
2014-11-18,42,27,14
2014-11-19,73,33,13
2014-11-20,38,38,24
2014-11-21,55,47,48
2014-11-22,18,17,0
2014-11-23,46,4,0
2014-11-24,25,11,61
2014-11-25,36,2,40
2014-11-26,33,2,19
2014-11-27,45,0,27
2014-11-28,11,4,43
2014-11-29,7,0,0
2014-11-30,16,1,0
2014-12-01,12,12,68
2014-12-02,18,22,13
2014-12-03,33,39,69
2014-12-04,41,28,1
2014-12-05,60,46,11
2014-12-06,17,15,0
2014-12-07,51,2,0
2014-12-08,27,19,41
2014-12-09,42,18,3
2014-12-10,20,15,26
2014-12-11,17,20,25
2014-12-12,24,28,74
2014-12-13,122,16,0
2014-12-14,79,11,1
2014-12-15,47,19,55
2014-12-16,37,15,52
2014-12-17,63,31,3
2014-12-18,41,24,54
2014-12-19,103,26,12
2014-12-20,45,17,4
2014-12-21,57,3,36
2014-12-22,62,19,4
2014-12-23,26,42,50
2014-12-24,22,15,38
2014-12-25,35,0,11
2014-12-26,30,3,29
2014-12-27,27,3,1
2014-12-28,35,2,0
2014-12-29,63,0,48
2014-12-30,126,0,2
2014-12-31,42,0,19
2015-01-01,49,4,0
2015-01-02,70,1,15
2015-01-03,61,0,16
2015-01-04,60,2,0
2015-01-05,127,15,11
2015-01-06,136,25,5
2015-01-07,78,12,1
2015-01-08,109,35,7
2015-01-09,43,43,4
2015-01-10,33,18,13
2015-01-11,48,10,12
2015-01-12,86,10,35
2015-01-13,32,27,16
2015-01-14,34,22,28
2015-01-15,91,28,9
2015-01-16,50,28,4
2015-01-17,44,7,0
2015-01-18,46,2,0
2015-01-19,43,34,17
2015-01-20,72,35,17
2015-01-21,96,34,36
2015-01-22,51,40,26
2015-01-23,28,33,0
2015-01-24,43,16,0
2015-01-25,22,9,0
2015-01-26,31,12,4
2015-01-27,66,24,4
2015-01-28,44,41,16
2015-01-29,40,27,38
2015-01-30,65,27,23
2015-01-31,28,18,0
2015-02-01,36,7,0
2015-02-02,51,17,13
2015-02-03,43,18,8
2015-02-04,21,51,13
2015-02-05,49,37,13
2015-02-06,71,33,34
2015-02-07,35,16,0
2015-02-08,18,0,0
2015-02-09,21,15,37
2015-02-10,66,42,28
2015-02-11,75,58,40
2015-02-12,39,48,28
2015-02-13,46,31,22
2015-02-14,25,11,0
2015-02-15,71,7,0
2015-02-16,71,21,69
2015-02-17,86,23,5
2015-02-18,123,25,35
2015-02-19,36,18,32
2015-02-20,17,32,36
2015-02-21,53,30,1
2015-02-22,72,4,1
2015-02-23,64,10,0
2015-02-24,105,27,8
2015-02-25,32,16,10
2015-02-26,31,30,181
2015-02-27,34,57,10
2015-02-28,41,14,0
2015-03-01,43,17,0
2015-03-02,32,31,8
2015-03-03,76,31,29
2015-03-04,31,44,34
2015-03-05,55,20,34
2015-03-06,59,27,92
2015-03-07,15,19,0
2015-03-08,38,20,0
2015-03-09,35,33,0
2015-03-10,33,56,25
2015-03-11,24,36,97
2015-03-12,33,70,50
2015-03-13,29,39,34
2015-03-14,18,27,1
2015-03-15,42,30,1
2015-03-16,30,23,48
2015-03-17,53,39,38
2015-03-18,37,38,80
2015-03-19,57,49,8
2015-03-20,41,35,28
2015-03-21,10,15,10
2015-03-22,23,19,0
2015-03-23,96,36,29
2015-03-24,65,44,30
2015-03-25,24,49,24
2015-03-26,44,46,15
2015-03-27,79,39,19
2015-03-28,26,29,0
2015-03-29,34,19,0
2015-03-30,37,24,34
2015-03-31,75,35,41
2015-04-01,95,49,45
2015-04-02,34,61,30
2015-04-03,37,35,44
2015-04-04,42,30,7
2015-04-05,18,31,1
2015-04-06,21,19,21
2015-04-07,43,51,88
2015-04-08,68,36,18
2015-04-09,38,41,41
2015-04-10,57,28,16
2015-04-11,45,11,0
2015-04-12,21,6,0
2015-04-13,36,17,30
2015-04-14,86,25,15
2015-04-15,49,36,24
2015-04-16,31,42,89
2015-04-17,75,51,18
2015-04-18,35,10,4
2015-04-19,22,12,0
2015-04-20,35,38,12
2015-04-21,99,24,26
2015-04-22,30,74,47
2015-04-23,45,44,46
2015-04-24,63,37,29
2015-04-25,50,9,0
2015-04-26,25,53,0
2015-04-27,51,63,42
2015-04-28,31,44,21
2015-04-29,97,53,43
2015-04-30,70,50,7
2015-05-01,44,41,6
2015-05-02,36,31,32
2015-05-03,23,10,0
2015-05-04,43,34,0
2015-05-05,52,47,4
2015-05-06,58,40,7
2015-05-07,56,69,28
2015-05-08,43,41,51
2015-05-09,37,36,1
2015-05-10,54,15,0
2015-05-11,54,39,4
2015-05-12,63,45,15
2015-05-13,66,41,132
2015-05-14,52,45,50
2015-05-15,53,57,23
2015-05-16,39,14,25
2015-05-17,40,20,8
2015-05-18,33,43,32
2015-05-19,84,58,24
2015-05-20,36,52,47
2015-05-21,35,31,52
2015-05-22,21,33,16
2015-05-23,34,37,0
2015-05-24,26,22,7
2015-05-25,34,9,24
2015-05-26,35,29,97
2015-05-27,30,40,121
2015-05-28,41,32,27
2015-05-29,41,30,20
2015-05-30,20,13,4
2015-05-31,22,18,1
2015-06-01,28,15,38
2015-06-02,34,37,48
2015-06-03,26,25,40
2015-06-04,30,21,43
2015-06-05,25,11,19
2015-06-06,30,10,1
2015-06-07,20,4,0
2015-06-08,44,12,34
2015-06-09,58,5,14
2015-06-10,40,6,29
2015-06-11,36,0,58
2015-06-12,35,6,19
2015-06-13,25,2,4
2015-06-14,18,3,0
2015-06-15,35,19,54
2015-06-16,19,16,18
2015-06-17,52,57,48
2015-06-18,51,26,29
2015-06-19,36,25,22
2015-06-20,37,10,0
2015-06-21,28,2,0
2015-06-22,28,19,8
2015-06-23,44,23,57
2015-06-24,40,63,23
2015-06-25,36,64,46
