,jetbrains/kotlin,apache/groovy,scala/scala
2015-07-22,28,2,3
2015-07-23,30,2,27
2015-07-24,43,1,6
2015-07-25,0,0,1
2015-07-26,0,1,1
2015-07-27,13,0,8
2015-07-28,47,0,8
2015-07-29,45,0,6
2015-07-30,30,4,2
2015-07-31,28,0,1
2015-08-01,0,6,2
2015-08-02,0,1,2
2015-08-03,28,0,0
2015-08-04,22,0,5
2015-08-05,8,0,7
2015-08-06,24,2,11
2015-08-07,51,0,2
2015-08-08,1,1,3
2015-08-09,1,0,1
2015-08-10,41,0,2
2015-08-11,29,0,4
2015-08-12,9,0,0
2015-08-13,9,0,1
2015-08-14,14,0,1
2015-08-15,7,0,0
2015-08-16,0,0,0
2015-08-17,12,0,1
2015-08-18,35,0,4
2015-08-19,48,2,4
2015-08-20,7,5,5
2015-08-21,15,1,3
2015-08-22,0,1,0
2015-08-23,10,0,5
2015-08-24,42,0,7
2015-08-25,24,0,0
2015-08-26,29,0,0
2015-08-27,40,5,8
2015-08-28,51,0,9
2015-08-29,9,0,2
2015-08-30,0,2,0
2015-08-31,81,4,8
2015-09-01,31,16,3
2015-09-02,38,0,18
2015-09-03,62,0,4
2015-09-04,54,0,2
2015-09-05,0,0,0
2015-09-06,7,3,3
2015-09-07,150,0,0
2015-09-08,153,3,15
2015-09-09,49,0,8
2015-09-10,52,0,3
2015-09-11,35,0,1
2015-09-12,10,0,1
2015-09-13,1,7,0
2015-09-14,27,0,9
2015-09-15,22,0,5
2015-09-16,18,0,5
2015-09-17,6,0,16
2015-09-18,89,0,13
2015-09-19,9,0,3
2015-09-20,0,0,2
2015-09-21,54,4,21
2015-09-22,38,0,9
2015-09-23,45,0,6
2015-09-24,28,0,7
2015-09-25,170,0,7
2015-09-26,2,5,0
2015-09-27,3,0,0
2015-09-28,19,36,2
2015-09-29,43,0,4
2015-09-30,29,3,8
2015-10-01,88,6,0
2015-10-02,30,0,2
2015-10-03,51,0,1
2015-10-04,2,0,0
2015-10-05,27,3,11
2015-10-06,26,0,5
