,elastic/kibana,grafana/grafana,getsentry/sentry
2021-06-22,60,10,33.0
2021-06-23,62,15,27.400000000000002
2021-06-24,69,13,15.559999999999999
2021-06-25,10,6,4.695999999999997
2021-06-26,1,1,-7.540800000000003
2021-06-27,1,2,-4.305088000000003
2021-06-28,59,13,17.9456256
2021-06-29,81,12,24.43803904
2021-06-30,86,12,38.201473024
2021-07-01,48,17,15.302158028800001
2021-07-02,3,13,6.9457752064000005
2021-07-03,1,0,-10.795017728000001
2021-07-04,0,1,-6.047991705600003
2021-07-05,17,14,8.817518079999997
2021-07-06,46,13,32.154467328
2021-07-07,42,24,22.716058009600005
2021-07-08,51,15,15.542462361600002
2021-07-09,41,14,23.0505054208
2021-07-10,4,2,-11.142602751999998
2021-07-11,0,2,-7.1717294080000045
2021-07-12,33,19,37.354634239999996
2021-07-13,43,20,22.088157184
2021-07-14,39,19,33.0226905088
2021-07-15,36,17,21.8609543168
2021-07-16,35,18,6.2166933504
2021-07-17,1,2,-12.7494771712
2021-07-18,2,0,-7.321036288000004
2021-07-19,31,17,29.062103859199997
2021-07-20,38,16,24.370914816000003
2021-07-21,34,27,27.1503895552
2021-07-22,43,23,25.389558374400004
2021-07-23,4,11,15.484888985600001
2021-07-24,0,1,-13.154588979200001
2021-07-25,2,0,-7.806664908800005
2021-07-26,41,18,9.776043519999996
2021-07-27,38,10,20.990190592
2021-07-28,48,5,17.9530353664
2021-07-29,41,22,22.092166656
2021-07-30,33,13,10.692560384000002
2021-07-31,1,0,-10.869559807999998
2021-08-01,0,0,-5.787177574400003
2021-08-02,40,9,14.233815449599998
2021-08-03,46,13,17.522741760000002
2021-08-04,26,26,14.434677248000002
2021-08-05,29,15,15.8355580928
2021-08-06,5,10,23.189949132800002
2021-08-07,1,0,-9.7124539392
2021-08-08,0,0,-6.280177459200003
2021-08-09,32,15,0.03369983999999793
2021-08-10,56,16,-2.778282496
2021-08-11,46,11,-0.8996759551999993
2021-08-12,45,12,-1.4505721855999987
2021-08-13,47,18,-1.7883272191999982
2021-08-14,9,2,-0.13212569599999724
2021-08-15,4,2,2.1372848128000013
2021-08-16,61,11,-0.8777463807999999
2021-08-17,78,20,14.571128832
2021-08-18,44,23,13.703852646400001
2021-08-19,44,20,10.2154925056
2021-08-20,36,11,3.783636787199999
2021-08-21,2,0,-4.410682470400001
2021-08-22,4,0,-2.4594078720000017
2021-08-23,48,21,14.2678235136
2021-08-24,47,19,12.4759615488
2021-08-25,47,15,17.280174080000002
2021-08-26,55,15,24.40260864
2021-08-27,15,23,9.8262648832
2021-08-28,0,1,-8.960305664000002
2021-08-29,0,2,-4.781996953600003
2021-08-30,38,9,22.759354879999997
2021-08-31,44,16,34.323027968
2021-09-01,47,25,17.5221431296
2021-09-02,26,17,11.8988726272
2021-09-03,46,5,-9.1753362432
2021-09-04,0,0,-6.521909452800001
2021-09-05,1,0,-4.1730478080000015
2021-09-06,19,12,-2.9665843200000017
2021-09-07,41,20,25.622069248
2021-09-08,53,19,9.422348185600004
2021-09-09,43,23,15.957557043200001
2021-09-10,26,21,7.942760960000001
2021-09-11,0,0,-7.124839833600001
2021-09-12,1,1,-3.6951467008000023
2021-09-13,41,26,28.453081599999997
2021-09-14,41,18,16.85383424
2021-09-15,46,25,19.950951424
2021-09-16,31,17,9.4020917248
2021-09-17,6,22,8.624676147199999
2021-09-18,3,0,-8.7406144512
2021-09-19,5,1,-4.845602406400003
2021-09-20,25,23,27.68800768
2021-09-21,31,15,24.222857728
2021-09-22,39,14,22.8146584576
2021-09-23,45,24,16.636769792
2021-09-24,3,2,5.900353638399999
2021-09-25,0,2,-9.960781824000001
2021-09-26,3,0,-5.6748291072000026
2021-09-27,35,17,22.09449728
2021-09-28,39,18,26.755475968
2021-09-29,41,26,26.431063961600003
2021-09-30,32,21,11.592735948800001
2021-10-01,28,21,6.260517478400001
2021-10-02,2,0,-6.884525977600001
2021-10-03,1,0,-6.166157107200003
2021-10-04,58,14,23.93052928
2021-10-05,59,12,11.269989888000001
2021-10-06,61,22,35.2178436096
2021-10-07,51,19,17.405345280000002
2021-10-08,12,15,39.1797045248
2021-10-09,2,0,-17.000500736
2021-10-10,2,0,-8.476737843200006
2021-10-11,42,18,8.418883788799997
2021-10-12,64,27,26.020926464
2021-10-13,57,15,13.937163468800001
2021-10-14,56,23,14.218527744
2021-10-15,51,15,13.0707400704
2021-10-16,6,1,-10.601014886399998
2021-10-17,5,0,-5.737097420800001
2021-10-18,57,21,30.458475519999997
