,nim-lang/Nim,rust-lang/rust,golang/go
2022-07-16,6,68,0
2022-07-17,2,77,0
2022-07-18,7,108,4
2022-07-19,0,94,17
2022-07-20,0,171,4
2022-07-21,1,111,3
2022-07-22,1,81,3
2022-07-23,0,63,0
2022-07-24,0,109,2
2022-07-25,1,112,9
2022-07-26,4,114,4
2022-07-27,2,97,3
2022-07-28,2,115,11
2022-07-29,0,97,1
2022-07-30,0,85,2
2022-07-31,2,77,0
2022-08-01,6,85,6
2022-08-02,1,96,21
2022-08-03,4,103,4
2022-08-04,6,134,16
2022-08-05,2,65,6
2022-08-06,0,72,2
2022-08-07,2,63,0
2022-08-08,1,72,45
2022-08-09,5,111,32
2022-08-10,0,97,15
2022-08-11,3,76,26
2022-08-12,3,109,31
2022-08-13,1,61,0
2022-08-14,1,57,5
2022-08-15,4,80,18
2022-08-16,0,106,14
2022-08-17,2,88,37
2022-08-18,0,104,41
2022-08-19,5,89,41
2022-08-20,1,79,2
2022-08-21,4,117,0
2022-08-22,2,133,18
2022-08-23,15,134,35
2022-08-24,8,87,17
2022-08-25,2,67,14
2022-08-26,2,112,29
2022-08-27,2,92,4
2022-08-28,1,80,1
2022-08-29,3,87,21
2022-08-30,1,100,12
2022-08-31,4,124,32
2022-09-01,5,94,23
2022-09-02,2,87,51
2022-09-03,2,53,7
2022-09-04,3,60,1
2022-09-05,2,82,14
2022-09-06,5,75,39
2022-09-07,0,74,46
2022-09-08,4,96,27
2022-09-09,2,88,19
2022-09-10,1,72,0
2022-09-11,8,54,0
2022-09-12,1,126,0
2022-09-13,1,115,16
2022-09-14,5,103,9
2022-09-15,4,75,21
2022-09-16,4,94,22
2022-09-17,0,58,4
2022-09-18,0,46,1
2022-09-19,7,70,24
2022-09-20,4,82,10
2022-09-21,5,86,10
2022-09-22,4,103,5
2022-09-23,3,99,11
2022-09-24,1,93,1
2022-09-25,1,68,1
2022-09-26,7,101,23
2022-09-27,6,140,38
2022-09-28,12,64,31
2022-09-29,4,77,54
2022-09-30,3,82,24
2022-10-01,6,104,10
2022-10-02,3,91,4
2022-10-03,4,83,7
2022-10-04,4,65,15
2022-10-05,8,65,14
2022-10-06,7,78,10
2022-10-07,4,116,14
2022-10-08,1,60,4
2022-10-09,5,83,0
2022-10-10,9,108,13
2022-10-11,4,64,12
2022-10-12,3,74,17
2022-10-13,5,68,11
2022-10-14,4,87,17
2022-10-15,3,68,1
2022-10-16,3,70,0
2022-10-17,4,77,19
2022-10-18,4,65,13
2022-10-19,1,93,8
2022-10-20,5,104,9
2022-10-21,8,78,11
2022-10-22,3,64,0
2022-10-23,2,101,1
2022-10-24,13,106,15
2022-10-25,8,92,13
2022-10-26,1,95,16
2022-10-27,8,99,6
2022-10-28,3,74,8
2022-10-29,6,109,4
2022-10-30,0,39,0
2022-10-31,9,70,19
2022-11-01,8,71,19
2022-11-02,4,72,12
2022-11-03,6,52,24
2022-11-04,5,105,21
2022-11-05,8,102,1
