,gitbucket/gitbucket,gogs/gogs,gitlabhq/gitlabhq
2014-03-12,5,4,16.0
2014-03-13,6,27,18.2
2014-03-14,7,17,24.42
2014-03-15,8,36,-8.267
2014-03-16,0,31,-3.976099999999997
2014-03-17,0,37,28.2122385
2014-03-18,4,10,-4.8939220500000005
2014-03-19,1,43,15.936143032500002
2014-03-20,2,44,12.269098023
2014-03-21,0,24,4.064983306415625
2014-03-22,0,18,-4.351047363870311
2014-03-23,0,49,-3.867438504260936
2014-03-24,5,32,32.44892984978906
2014-03-25,0,52,29.092370717035934
2014-03-26,0,35,10.196636609192186
2014-03-27,1,20,6.409850509262501
2014-03-28,1,14,-4.805338811212499
2014-03-29,2,19,-9.323249968853125
2014-03-30,2,22,-5.9981229123171875
2014-03-31,3,10,16.076667387807813
2014-04-01,1,8,18.130731689974997
2014-04-02,5,12,24.58604809696562
2014-04-03,0,4,5.525861257287499
2014-04-04,1,11,3.527231914390626
2014-04-05,0,8,-7.386516462009373
2014-04-06,0,16,6.194131634657815
2014-04-07,3,9,33.05788255801875
2014-04-08,4,5,14.463538344689063
2014-04-09,3,8,9.435587012673437
2014-04-10,5,21,-1.5085998788624977
2014-04-11,4,22,5.319122071543752
2014-04-12,0,25,-9.133868349885937
2014-04-13,0,12,4.7149814204812515
2014-04-14,0,16,19.777731551617187
2014-04-15,1,16,3.900565313084371
2014-04-16,0,11,-4.349069621028125
2014-04-17,6,2,3.311134042628125
2014-04-18,3,6,2.4563305762296874
2014-04-19,0,4,-5.912203771523437
2014-04-20,0,4,-2.9623647734875
2014-04-21,2,8,1.1923215816140615
2014-04-22,1,14,14.814163530518748
2014-04-23,2,26,18.74410484071562
2014-04-24,2,4,6.218723571432813
2014-04-25,2,3,1.42604837294844
2014-04-26,4,9,-5.824228849467187
2014-04-27,5,11,-0.6094810728437494
2014-04-28,8,0,8.955666250001563
2014-04-29,13,3,5.590344617204687
2014-04-30,4,6,2.1609739152874994
2014-05-01,1,23,1.8107502846531247
2014-05-02,2,9,10.42184183468125
2014-05-03,1,4,-3.580413156879688
2014-05-04,2,0,-4.633756786592187
2014-05-05,7,13,17.422729147721874
2014-05-06,2,6,8.183891981615623
2014-05-07,5,11,6.739858663035937
2014-05-08,0,8,29.681075600315623
2014-05-09,0,9,-11.375954283220313
2014-05-10,15,1,-6.758028869112498
2014-05-11,2,21,-1.805420228787499
2014-05-12,2,11,8.97904832206875
2014-05-13,1,8,21.465416847187498
2014-05-14,0,10,8.202728885843747
2014-05-15,0,8,3.8673070342906257
2014-05-16,2,9,0.21655035691406255
2014-05-17,0,0,-6.9443896811593735
2014-05-18,11,3,-0.3076504034468739
2014-05-19,0,5,13.943635227720312
2014-05-20,1,0,6.029502777348437
2014-05-21,0,2,-4.014855853964065
2014-05-22,0,1,23.85359211291875
2014-05-23,0,0,18.482521383859375
2014-05-24,0,6,-3.8548385898984385
2014-05-25,1,0,-9.098828969093747
2014-05-26,0,9,29.13715321720469
2014-05-27,0,0,12.439597912787498
2014-05-28,1,4,15.119017919590625
2014-05-29,0,1,22.747936033928127
2014-05-30,1,5,-4.673810276634377
2014-05-31,5,1,-7.030006724220312
2014-06-01,5,5,-7.826257889640624
2014-06-02,6,1,12.463253885171875
2014-06-03,0,4,42.73851299996875
