,apache/struts,spring-projects/spring-framework,apache/tomcat
2009-01-12,1,1,10
2009-01-13,0,1,0
2009-01-14,0,8,9
2009-01-15,2,6,14
2009-01-16,2,1,0
2009-01-17,0,0,0
2009-01-18,0,0,0
2009-01-19,0,4,0
2009-01-20,0,7,0
2009-01-21,0,9,0
2009-01-22,0,5,0
2009-01-23,0,6,0
2009-01-24,0,2,0
2009-01-25,0,3,0
2009-01-26,0,4,0
2009-01-27,0,1,1
2009-01-28,1,0,0
2009-01-29,1,0,0
2009-01-30,0,0,5
2009-01-31,0,0,1
2009-02-01,0,0,0
2009-02-02,1,0,0
2009-02-03,0,1,0
2009-02-04,0,0,5
2009-02-05,3,7,0
2009-02-06,0,5,1
2009-02-07,0,0,0
2009-02-08,0,0,0
2009-02-09,2,8,9
2009-02-10,1,1,1
2009-02-11,1,0,1
2009-02-12,6,9,3
2009-02-13,4,11,3
2009-02-14,0,3,0
2009-02-15,0,3,0
2009-02-16,0,6,0
2009-02-17,0,5,0
2009-02-18,1,3,0
2009-02-19,0,4,0
2009-02-20,0,3,4
2009-02-21,0,3,3
2009-02-22,0,6,1
2009-02-23,10,4,1
2009-02-24,0,11,0
2009-02-25,0,15,2
2009-02-26,0,0,1
2009-02-27,0,3,0
2009-02-28,0,9,0
2009-03-01,0,1,0
2009-03-02,0,2,0
2009-03-03,0,8,1
2009-03-04,0,0,0
2009-03-05,0,3,3
2009-03-06,1,16,2
2009-03-07,0,15,10
2009-03-08,0,1,3
2009-03-09,2,2,1
2009-03-10,1,0,3
2009-03-11,2,1,4
2009-03-12,1,7,5
2009-03-13,0,3,0
2009-03-14,0,0,0
2009-03-15,0,1,0
2009-03-16,1,0,0
2009-03-17,4,0,1
2009-03-18,3,1,0
2009-03-19,0,0,0
2009-03-20,5,1,0
2009-03-21,0,2,3
2009-03-22,0,4,1
2009-03-23,0,29,3
2009-03-24,3,4,11
2009-03-25,5,10,8
2009-03-26,0,10,5
2009-03-27,5,28,3
2009-03-28,0,6,2
2009-03-29,0,1,1
2009-03-30,3,14,0
2009-03-31,1,23,0
2009-04-01,1,9,1
2009-04-02,2,0,3
2009-04-03,1,11,1
2009-04-04,0,2,1
2009-04-05,1,2,5
2009-04-06,0,7,3
2009-04-07,2,5,5
2009-04-08,1,10,14
2009-04-09,1,13,19
2009-04-10,0,11,0
2009-04-11,0,3,0
2009-04-12,1,3,0
2009-04-13,0,9,0
2009-04-14,0,11,6
2009-04-15,7,6,5
2009-04-16,4,6,7
2009-04-17,3,10,3
2009-04-18,4,2,0
2009-04-19,0,8,1
2009-04-20,2,4,7
2009-04-21,0,7,4
2009-04-22,3,13,0
2009-04-23,3,3,7
2009-04-24,2,3,1
2009-04-25,3,0,1
2009-04-26,5,2,0
2009-04-27,2,5,1
2009-04-28,1,2,1
2009-04-29,0,5,4
2009-04-30,1,6,3
2009-05-01,0,2,7
2009-05-02,0,1,10
2009-05-03,0,0,1
2009-05-04,0,1,1
2009-05-05,3,20,0
2009-05-06,3,17,4
2009-05-07,2,2,0
2009-05-08,0,8,1
2009-05-09,0,5,0
2009-05-10,0,0,0
2009-05-11,0,12,0
2009-05-12,2,18,2
2009-05-13,0,8,0
2009-05-14,0,1,0
2009-05-15,0,16,0
2009-05-16,0,9,0
2009-05-17,0,5,1
2009-05-18,0,2,0
2009-05-19,0,12,0
2009-05-20,0,2,0
2009-05-21,0,3,9
2009-05-22,1,9,6
2009-05-23,0,4,1
2009-05-24,0,1,11
2009-05-25,0,9,5
2009-05-26,0,8,1
2009-05-27,0,12,1
2009-05-28,3,7,0
2009-05-29,6,2,1
2009-05-30,0,0,0
2009-05-31,0,0,0
2009-06-01,0,13,0
2009-06-02,3,11,1
2009-06-03,2,5,1
2009-06-04,3,0,1
2009-06-05,2,1,8
2009-06-06,0,9,5
2009-06-07,0,2,0
2009-06-08,0,8,3
2009-06-09,2,11,4
2009-06-10,0,8,6
2009-06-11,0,15,13
2009-06-12,0,11,7
2009-06-13,0,9,2
2009-06-14,0,0,2
2009-06-15,0,2,20
2009-06-16,0,6,9
2009-06-17,0,3,4
2009-06-18,7,3,6
2009-06-19,0,8,20
2009-06-20,1,0,1
2009-06-21,0,1,0
2009-06-22,0,3,8
2009-06-23,0,3,24
2009-06-24,0,8,5
2009-06-25,0,13,3
2009-06-26,1,14,0
2009-06-27,0,0,0
2009-06-28,0,0,1
2009-06-29,3,2,5
2009-06-30,0,3,5
2009-07-01,0,3,2
2009-07-02,0,6,4
2009-07-03,0,7,3
2009-07-04,0,0,6
2009-07-05,0,2,11
2009-07-06,1,11,7
2009-07-07,1,5,5
2009-07-08,0,7,3
2009-07-09,0,10,4
2009-07-10,0,15,19
2009-07-11,0,1,0
2009-07-12,3,10,2
2009-07-13,3,6,11
2009-07-14,3,5,14
2009-07-15,1,4,6
2009-07-16,0,8,8
2009-07-17,0,0,9
2009-07-18,0,1,1
2009-07-19,1,3,2
2009-07-20,0,12,16
2009-07-21,1,18,8
2009-07-22,1,9,2
2009-07-23,0,5,6
2009-07-24,0,13,9
2009-07-25,0,10,1
2009-07-26,0,8,0
2009-07-27,0,14,0
2009-07-28,1,4,0
2009-07-29,3,8,0
2009-07-30,0,6,13
2009-07-31,0,8,0
2009-08-01,0,2,0
2009-08-02,0,0,0
2009-08-03,0,3,2
2009-08-04,0,7,2
2009-08-05,0,16,8
2009-08-06,0,9,10
2009-08-07,4,4,14
2009-08-08,0,6,0
2009-08-09,0,5,0
2009-08-10,12,2,6
2009-08-11,0,3,0
2009-08-12,5,0,1
2009-08-13,1,0,1
2009-08-14,1,0,0
2009-08-15,0,0,3
2009-08-16,1,0,4
2009-08-17,1,4,4
2009-08-18,2,2,4
2009-08-19,7,3,4
2009-08-20,0,4,0
2009-08-21,2,1,0
2009-08-22,0,1,0
2009-08-23,0,0,0
2009-08-24,0,6,5
2009-08-25,0,3,0
2009-08-26,0,10,0
2009-08-27,0,11,0
2009-08-28,0,6,0
2009-08-29,0,1,1
2009-08-30,0,0,0
2009-08-31,0,4,2
2009-09-01,0,2,0
2009-09-02,0,4,1
2009-09-03,0,18,6
2009-09-04,0,7,0
2009-09-05,2,0,0
2009-09-06,0,2,0
2009-09-07,0,10,8
2009-09-08,0,23,1
2009-09-09,0,4,4
2009-09-10,0,2,0
2009-09-11,0,6,11
2009-09-12,0,0,5
2009-09-13,0,2,2
2009-09-14,0,17,6
2009-09-15,0,8,14
2009-09-16,1,6,7
2009-09-17,2,19,2
2009-09-18,2,19,0
2009-09-19,0,0,2
2009-09-20,0,2,3
2009-09-21,10,13,7
2009-09-22,5,5,6
2009-09-23,3,17,1
2009-09-24,0,20,0
2009-09-25,2,22,0
2009-09-26,0,2,0
2009-09-27,1,0,2
2009-09-28,6,2,0
2009-09-29,0,1,6
2009-09-30,1,1,2
2009-10-01,2,10,0
2009-10-02,0,1,2
2009-10-03,0,4,5
2009-10-04,0,1,1
2009-10-05,0,7,0
2009-10-06,0,7,0
2009-10-07,0,15,0
2009-10-08,1,2,3
2009-10-09,0,0,6
2009-10-10,0,0,5
2009-10-11,0,9,2
2009-10-12,0,3,1
2009-10-13,0,15,1
2009-10-14,0,16,2
2009-10-15,1,13,1
2009-10-16,0,7,2
2009-10-17,0,8,6
2009-10-18,0,2,0
2009-10-19,0,8,0
2009-10-20,1,8,3
2009-10-21,1,0,5
2009-10-22,0,3,2
2009-10-23,0,2,2
2009-10-24,0,7,6
2009-10-25,0,1,0
2009-10-26,0,7,1
2009-10-27,1,23,3
2009-10-28,0,13,8
2009-10-29,0,3,8
2009-10-30,0,15,2
2009-10-31,0,0,4
2009-11-01,0,1,10
2009-11-02,2,0,42
2009-11-03,1,5,6
2009-11-04,0,11,6
2009-11-05,2,16,24
2009-11-06,1,6,12
2009-11-07,0,13,1
2009-11-08,0,1,0
2009-11-09,1,12,21
2009-11-10,2,18,10
2009-11-11,0,38,3
2009-11-12,6,57,5
2009-11-13,0,14,6
2009-11-14,1,3,5
2009-11-15,0,2,2
2009-11-16,3,1,1
2009-11-17,0,4,30
2009-11-18,0,2,13
2009-11-19,0,20,10
2009-11-20,0,19,5
2009-11-21,0,8,0
2009-11-22,0,1,12
2009-11-23,0,2,8
2009-11-24,1,7,2
2009-11-25,0,6,2
2009-11-26,1,7,13
2009-11-27,0,21,13
2009-11-28,0,3,0
2009-11-29,0,0,4
2009-11-30,0,13,0
2009-12-01,0,5,8
2009-12-02,0,2,2
2009-12-03,0,7,3
2009-12-04,0,16,13
2009-12-05,0,0,1
2009-12-06,0,1,2
2009-12-07,0,13,12
2009-12-08,0,6,2
2009-12-09,0,11,0
2009-12-10,0,7,3
2009-12-11,0,10,10
2009-12-12,0,0,2
2009-12-13,0,14,3
2009-12-14,0,15,13
2009-12-15,0,27,1
2009-12-16,0,1,4
2009-12-17,0,1,3
2009-12-18,0,0,8
2009-12-19,0,0,3
2009-12-20,0,0,7
2009-12-21,0,0,11
2009-12-22,0,1,7
2009-12-23,0,1,10
2009-12-24,0,0,6
2009-12-25,0,0,0
2009-12-26,0,0,0
2009-12-27,0,0,0
2009-12-28,0,3,2
2009-12-29,0,0,10
2009-12-30,0,1,13
2009-12-31,0,0,7
2010-01-01,0,0,7
2010-01-02,0,0,8
2010-01-03,0,0,9
2010-01-04,0,0,3
2010-01-05,1,9,7
2010-01-06,0,5,15
2010-01-07,0,6,8
2010-01-08,0,2,2
2010-01-09,0,1,5
2010-01-10,0,0,13
2010-01-11,0,4,3
2010-01-12,0,8,17
2010-01-13,0,3,18
2010-01-14,0,3,12
2010-01-15,1,3,15
2010-01-16,0,0,6
2010-01-17,0,0,2
2010-01-18,0,8,0
2010-01-19,0,2,3
2010-01-20,0,10,1
2010-01-21,0,2,4
2010-01-22,0,6,2
2010-01-23,0,5,0
2010-01-24,0,0,0
2010-01-25,0,2,0
2010-01-26,0,4,0
2010-01-27,0,4,0
2010-01-28,0,4,5
2010-01-29,0,4,3
2010-01-30,0,0,3
2010-01-31,0,9,12
2010-02-01,0,13,17
2010-02-02,0,3,21
2010-02-03,0,9,4
2010-02-04,0,18,11
2010-02-05,0,0,1
2010-02-06,0,1,3
2010-02-07,0,1,13
2010-02-08,0,2,17
2010-02-09,0,6,7
2010-02-10,0,10,9
2010-02-11,0,11,6
2010-02-12,0,10,11
2010-02-13,0,0,8
2010-02-14,0,1,3
2010-02-15,0,16,4
2010-02-16,0,7,9
2010-02-17,0,6,10
2010-02-18,5,8,2
2010-02-19,0,2,1
2010-02-20,0,3,0
2010-02-21,0,3,0
2010-02-22,1,5,3
2010-02-23,0,7,1
2010-02-24,0,1,5
2010-02-25,0,1,8
2010-02-26,0,0,2
2010-02-27,0,0,0
2010-02-28,0,0,0
2010-03-01,0,0,3
2010-03-02,0,5,9
2010-03-03,0,4,9
2010-03-04,0,12,22
2010-03-05,0,3,7
2010-03-06,0,0,20
2010-03-07,0,0,16
2010-03-08,0,2,9
2010-03-09,1,5,21
2010-03-10,0,8,8
2010-03-11,1,10,3
2010-03-12,0,16,5
2010-03-13,2,0,0
2010-03-14,2,3,0
2010-03-15,0,1,0
2010-03-16,1,2,0
2010-03-17,0,1,0
2010-03-18,0,1,2
2010-03-19,0,2,1
2010-03-20,0,0,0
2010-03-21,0,0,5
2010-03-22,1,9,11
2010-03-23,0,11,2
2010-03-24,0,19,5
2010-03-25,12,9,15
2010-03-26,5,1,10
2010-03-27,0,1,2
2010-03-28,0,0,4
2010-03-29,0,8,5
2010-03-30,0,15,2
2010-03-31,1,8,5
2010-04-01,1,11,0
2010-04-02,0,5,1
2010-04-03,0,0,2
2010-04-04,0,0,5
2010-04-05,0,0,1
2010-04-06,0,5,1
2010-04-07,0,2,5
2010-04-08,5,3,0
2010-04-09,3,1,3
2010-04-10,2,0,2
2010-04-11,0,0,12
2010-04-12,3,1,7
2010-04-13,0,1,1
2010-04-14,0,2,21
2010-04-15,0,5,8
2010-04-16,0,2,7
2010-04-17,0,7,1
2010-04-18,0,3,0
2010-04-19,0,7,2
2010-04-20,0,7,7
2010-04-21,0,6,3
2010-04-22,0,9,13
2010-04-23,0,1,11
2010-04-24,0,0,8
2010-04-25,0,0,6
2010-04-26,0,0,2
2010-04-27,0,1,3
2010-04-28,0,4,10
2010-04-29,0,4,14
2010-04-30,0,0,7
2010-05-01,0,0,12
2010-05-02,0,0,22
2010-05-03,0,4,8
2010-05-04,0,2,4
2010-05-05,8,2,6
2010-05-06,7,1,5
2010-05-07,0,2,1
2010-05-08,0,0,3
2010-05-09,0,0,1
2010-05-10,0,2,3
2010-05-11,0,1,11
2010-05-12,0,6,11
2010-05-13,0,6,6
2010-05-14,0,6,11
2010-05-15,0,1,4
2010-05-16,0,3,8
2010-05-17,0,5,21
2010-05-18,0,3,9
2010-05-19,0,4,22
2010-05-20,0,8,14
2010-05-21,0,2,0
2010-05-22,0,0,0
2010-05-23,0,0,5
2010-05-24,0,0,4
2010-05-25,0,4,23
2010-05-26,0,6,1
2010-05-27,0,2,2
2010-05-28,1,2,1
2010-05-29,0,0,0
2010-05-30,0,0,0
2010-05-31,0,0,6
2010-06-01,0,0,1
2010-06-02,0,1,8
2010-06-03,0,0,13
2010-06-04,0,0,2
2010-06-05,0,0,2
2010-06-06,0,0,17
2010-06-07,0,19,5
2010-06-08,0,6,1
2010-06-09,0,3,2
2010-06-10,1,4,5
2010-06-11,0,5,0
2010-06-12,0,0,0
2010-06-13,0,0,2
2010-06-14,0,4,10
2010-06-15,0,6,0
2010-06-16,0,0,1
2010-06-17,0,0,3
2010-06-18,0,0,2
2010-06-19,0,0,3
2010-06-20,4,9,2
2010-06-21,0,2,7
2010-06-22,3,4,6
2010-06-23,10,12,2
2010-06-24,3,4,6
2010-06-25,5,1,5
2010-06-26,0,2,5
2010-06-27,2,0,2
2010-06-28,3,6,1
2010-06-29,1,1,3
2010-06-30,0,0,1
2010-07-01,0,0,7
2010-07-02,0,3,7
2010-07-03,0,0,2
2010-07-04,0,0,8
2010-07-05,0,0,5
2010-07-06,0,2,2
2010-07-07,0,0,3
2010-07-08,0,4,8
2010-07-09,1,0,1
2010-07-10,0,0,13
2010-07-11,0,0,2
2010-07-12,0,5,2
2010-07-13,2,0,3
2010-07-14,2,0,7
2010-07-15,3,3,2
2010-07-16,0,2,3
2010-07-17,5,0,5
2010-07-18,0,0,0
2010-07-19,0,0,0
2010-07-20,0,4,0
2010-07-21,0,5,7
2010-07-22,0,2,15
2010-07-23,0,2,8
2010-07-24,0,0,7
2010-07-25,0,0,1
2010-07-26,0,7,2
2010-07-27,0,2,9
2010-07-28,0,1,4
2010-07-29,0,3,16
2010-07-30,0,1,0
2010-07-31,0,1,2
2010-08-01,0,0,8
2010-08-02,0,2,21
2010-08-03,0,3,14
2010-08-04,0,0,13
2010-08-05,0,0,5
2010-08-06,0,0,3
2010-08-07,1,23,0
2010-08-08,0,5,0
2010-08-09,0,1,0
2010-08-10,0,11,0
2010-08-11,0,5,1
2010-08-12,0,9,2
2010-08-13,0,0,0
2010-08-14,0,3,0
2010-08-15,0,18,1
2010-08-16,0,5,0
2010-08-17,0,1,0
2010-08-18,0,3,0
2010-08-19,0,5,0
2010-08-20,0,0,3
2010-08-21,0,0,0
2010-08-22,0,0,12
2010-08-23,0,2,9
2010-08-24,0,0,9
2010-08-25,0,1,5
2010-08-26,0,0,1
2010-08-27,0,2,0
2010-08-28,0,0,1
2010-08-29,0,0,3
2010-08-30,0,0,3
2010-08-31,0,3,6
2010-09-01,0,13,1
2010-09-02,0,0,7
2010-09-03,0,1,23
2010-09-04,0,0,0
2010-09-05,0,0,5
2010-09-06,0,12,10
2010-09-07,0,0,1
2010-09-08,0,15,13
2010-09-09,2,7,5
2010-09-10,0,3,1
2010-09-11,0,0,5
2010-09-12,0,0,3
2010-09-13,0,3,3
2010-09-14,0,5,7
2010-09-15,4,3,7
2010-09-16,0,0,0
2010-09-17,2,1,11
2010-09-18,0,0,7
2010-09-19,0,0,0
2010-09-20,0,0,0
2010-09-21,0,1,1
2010-09-22,0,0,9
2010-09-23,0,0,8
2010-09-24,0,1,1
2010-09-25,0,0,0
2010-09-26,0,0,9
2010-09-27,0,0,16
2010-09-28,1,0,11
2010-09-29,0,7,10
2010-09-30,0,1,12
2010-10-01,0,7,12
2010-10-02,0,5,5
2010-10-03,0,0,9
2010-10-04,0,0,14
2010-10-05,0,0,7
2010-10-06,0,3,14
2010-10-07,0,0,15
2010-10-08,0,2,11
2010-10-09,0,6,0
2010-10-10,0,10,5
2010-10-11,0,10,0
2010-10-12,0,6,3
2010-10-13,0,6,12
2010-10-14,0,10,11
2010-10-15,0,7,0
2010-10-16,0,0,5
2010-10-17,0,1,0
2010-10-18,0,0,1
2010-10-19,0,0,10
2010-10-20,0,7,4
2010-10-21,0,0,17
2010-10-22,1,0,2
2010-10-23,7,0,0
2010-10-24,0,0,27
2010-10-25,0,2,5
2010-10-26,0,0,5
2010-10-27,0,0,1
2010-10-28,0,3,8
2010-10-29,0,5,11
2010-10-30,0,0,0
2010-10-31,0,1,2
2010-11-01,0,0,7
2010-11-02,0,0,6
2010-11-03,0,0,2
2010-11-04,0,0,8
2010-11-05,0,0,7
2010-11-06,0,0,0
2010-11-07,0,0,5
2010-11-08,0,1,1
2010-11-09,0,1,5
2010-11-10,0,0,6
2010-11-11,0,0,18
2010-11-12,0,0,4
2010-11-13,0,0,2
2010-11-14,0,0,10
2010-11-15,0,5,6
2010-11-16,0,1,11
2010-11-17,0,1,14
2010-11-18,1,0,4
2010-11-19,0,0,8
2010-11-20,0,0,5
2010-11-21,0,0,0
2010-11-22,2,0,18
2010-11-23,0,0,7
2010-11-24,0,0,12
2010-11-25,0,0,5
2010-11-26,2,0,0
2010-11-27,0,0,6
2010-11-28,1,0,1
2010-11-29,0,0,9
2010-11-30,0,0,12
2010-12-01,3,3,6
2010-12-02,2,0,14
2010-12-03,7,0,6
2010-12-04,0,0,0
2010-12-05,4,1,10
2010-12-06,3,0,20
2010-12-07,0,1,12
2010-12-08,1,4,20
2010-12-09,0,1,14
2010-12-10,0,0,5
2010-12-11,0,0,9
2010-12-12,0,0,10
2010-12-13,0,0,7
2010-12-14,4,0,2
2010-12-15,0,4,9
2010-12-16,0,5,6
2010-12-17,0,2,8
2010-12-18,0,0,7
2010-12-19,0,0,0
2010-12-20,0,3,3
2010-12-21,0,3,13
2010-12-22,0,2,0
2010-12-23,0,0,0
2010-12-24,0,0,0
2010-12-25,0,0,0
2010-12-26,0,0,0
2010-12-27,0,1,0
2010-12-28,3,2,0
2010-12-29,0,0,1
2010-12-30,2,4,0
2010-12-31,0,0,0
2011-01-01,1,0,0
2011-01-02,0,0,0
2011-01-03,0,5,8
2011-01-04,3,2,13
2011-01-05,0,21,12
2011-01-06,0,10,8
2011-01-07,1,20,13
2011-01-08,0,0,7
2011-01-09,0,0,6
2011-01-10,0,3,12
2011-01-11,0,0,25
2011-01-12,0,0,8
2011-01-13,0,0,7
2011-01-14,0,0,10
2011-01-15,0,0,15
2011-01-16,0,0,14
2011-01-17,0,0,6
2011-01-18,3,1,5
2011-01-19,0,0,11
2011-01-20,2,0,10
2011-01-21,0,2,8
2011-01-22,0,0,0
2011-01-23,1,0,3
2011-01-24,0,0,2
2011-01-25,0,4,6
2011-01-26,0,7,4
2011-01-27,1,1,1
2011-01-28,0,2,8
2011-01-29,3,0,6
2011-01-30,5,0,0
2011-01-31,8,2,2
2011-02-01,1,4,2
2011-02-02,3,0,9
2011-02-03,2,2,6
2011-02-04,0,3,9
2011-02-05,0,0,0
2011-02-06,0,0,9
2011-02-07,0,3,0
2011-02-08,3,9,7
2011-02-09,0,7,13
2011-02-10,0,15,5
2011-02-11,0,0,10
2011-02-12,1,0,1
2011-02-13,0,0,0
2011-02-14,2,0,4
2011-02-15,0,0,1
2011-02-16,0,0,4
2011-02-17,0,0,17
2011-02-18,1,0,10
2011-02-19,0,0,0
2011-02-20,0,0,0
2011-02-21,0,0,4
2011-02-22,1,2,7
2011-02-23,0,0,3
2011-02-24,1,1,6
2011-02-25,0,1,2
2011-02-26,0,0,5
2011-02-27,0,0,12
2011-02-28,0,1,6
2011-03-01,2,1,25
2011-03-02,1,0,10
2011-03-03,3,1,6
2011-03-04,3,3,7
2011-03-05,0,0,0
2011-03-06,2,8,11
2011-03-07,1,1,6
2011-03-08,1,0,17
2011-03-09,1,2,21
2011-03-10,0,2,5
2011-03-11,1,2,7
2011-03-12,0,2,4
2011-03-13,2,3,3
2011-03-14,2,2,7
2011-03-15,0,3,16
2011-03-16,5,0,2
2011-03-17,0,0,0
2011-03-18,0,1,1
2011-03-19,0,0,1
2011-03-20,0,0,0
2011-03-21,0,0,5
2011-03-22,0,0,8
2011-03-23,1,1,3
2011-03-24,1,1,6
2011-03-25,2,0,8
2011-03-26,10,0,1
2011-03-27,0,0,2
2011-03-28,0,15,6
2011-03-29,0,2,7
2011-03-30,1,1,18
2011-03-31,0,9,9
2011-04-01,0,2,13
2011-04-02,0,0,4
2011-04-03,0,10,5
2011-04-04,1,5,4
2011-04-05,0,2,1
2011-04-06,0,7,6
2011-04-07,0,3,2
2011-04-08,2,6,3
2011-04-09,0,8,1
2011-04-10,0,2,2
2011-04-11,0,5,3
2011-04-12,0,9,0
2011-04-13,0,1,1
2011-04-14,0,1,0
2011-04-15,0,2,1
2011-04-16,0,0,5
2011-04-17,0,0,2
2011-04-18,0,0,6
2011-04-19,1,0,7
2011-04-20,0,2,5
2011-04-21,0,7,8
2011-04-22,1,0,0
2011-04-23,1,0,4
2011-04-24,0,0,0
2011-04-25,0,0,0
2011-04-26,3,3,0
2011-04-27,1,0,0
2011-04-28,4,0,0
2011-04-29,0,0,2
2011-04-30,0,0,0
2011-05-01,0,0,1
2011-05-02,0,0,1
2011-05-03,1,1,8
2011-05-04,0,0,9
2011-05-05,1,0,10
2011-05-06,0,29,4
2011-05-07,0,2,1
2011-05-08,0,3,7
2011-05-09,0,2,11
2011-05-10,0,3,1
2011-05-11,0,12,0
2011-05-12,0,5,1
2011-05-13,0,9,0
2011-05-14,0,2,4
2011-05-15,0,0,9
2011-05-16,1,1,6
2011-05-17,0,11,6
2011-05-18,0,5,3
2011-05-19,0,5,15
2011-05-20,0,9,3
2011-05-21,0,4,2
2011-05-22,1,1,1
2011-05-23,0,10,0
2011-05-24,3,6,1
2011-05-25,1,3,0
2011-05-26,0,1,1
2011-05-27,0,1,2
2011-05-28,0,0,1
2011-05-29,0,10,0
2011-05-30,0,11,0
2011-05-31,2,7,2
2011-06-01,2,9,0
2011-06-02,2,21,10
2011-06-03,1,20,3
2011-06-04,7,5,4
2011-06-05,2,19,16
2011-06-06,0,9,4
2011-06-07,2,12,21
2011-06-08,1,4,5
2011-06-09,3,13,8
2011-06-10,1,0,1
2011-06-11,0,2,1
2011-06-12,0,2,2
2011-06-13,0,8,5
2011-06-14,0,10,0
2011-06-15,0,12,13
2011-06-16,0,5,5
2011-06-17,0,14,15
2011-06-18,0,2,3
2011-06-19,0,7,21
2011-06-20,0,12,26
2011-06-21,0,4,18
2011-06-22,3,9,13
2011-06-23,4,3,19
2011-06-24,1,4,6
2011-06-25,0,2,1
2011-06-26,5,6,1
2011-06-27,1,5,10
2011-06-28,0,2,14
2011-06-29,0,2,7
2011-06-30,0,5,4
2011-07-01,0,1,13
2011-07-02,0,5,8
2011-07-03,1,8,1
2011-07-04,0,6,18
2011-07-05,0,1,18
2011-07-06,0,8,7
2011-07-07,0,3,12
2011-07-08,3,1,16
2011-07-09,0,0,5
2011-07-10,0,0,17
2011-07-11,0,4,27
2011-07-12,0,0,4
2011-07-13,1,5,6
2011-07-14,0,0,1
2011-07-15,0,10,2
2011-07-16,0,0,0
2011-07-17,0,2,0
