,gogs/gogs,gitlabhq/gitlabhq,gitbucket/gitbucket
2014-03-12,4,16.0,5
2014-03-13,27,21.4,6
2014-03-14,17,29.979999999999997,7
2014-03-15,36,0.20899999999999563,8
2014-03-16,31,0.02889999999999926,0
2014-03-17,37,30.8013945,0
2014-03-18,10,3.159360050000001,4
2014-03-19,43,20.5141093225,1
2014-03-20,44,19.3143343155,2
2014-03-21,24,11.775432371315627,0
2014-03-22,18,2.234964793407814,0
2014-03-23,49,0.43353479998594047,0
2014-03-24,32,35.37571072202344,5
2014-03-25,52,38.33684674287656,0
2014-03-26,35,22.42153210218906,0
2014-03-27,20,16.9546994948375,1
2014-03-28,14,4.434419103012501,1
2014-03-29,19,-3.0511242058781214,2
2014-03-30,22,-2.4623019442203073,2
2014-03-31,10,18.419343272685943,3
2014-04-01,8,23.903736185262503,1
2014-04-02,12,32.61902939344688,5
2014-04-03,4,16.22097425045,0
2014-04-04,11,12.112010977796874,1
2014-04-05,8,-0.17717505903437392,0
2014-04-06,16,10.399036037323441,0
2014-04-07,9,38.146456010662504,3
2014-04-08,5,25.26477635413594,4
2014-04-09,8,19.94901058730781,3
2014-04-10,21,8.20230624565,5
2014-04-11,22,12.474816309275003,4
2014-04-12,25,-2.187743398857809,0
2014-04-13,12,8.481739316775005,0
2014-04-14,16,24.343839962601567,0
2014-04-15,16,11.730998050340627,1
2014-04-16,11,2.1900131907406264,0
2014-04-17,2,7.510270348678127,6
2014-04-18,6,6.719082716295315,3
2014-04-19,4,-1.9864691610703096,0
2014-04-20,4,-0.9636672396937473,0
2014-04-21,8,2.5555012287046903,2
2014-04-22,14,16.493164831381254,1
2014-04-23,26,23.189402796478127,2
2014-04-24,4,12.975811282029685,2
2014-04-25,3,7.230090864076561,2
2014-04-26,9,-1.2547182168015625,4
2014-04-27,11,1.8358749153750025,5
2014-04-28,0,11.12694382444844,8
2014-04-29,3,9.373156787901564,13
2014-04-30,6,6.164375390575001,4
2014-05-01,23,5.3412860421968755,1
2014-05-02,9,13.590534329050001,2
2014-05-03,4,1.0031648712171881,1
2014-05-04,0,-2.054368451426561,2
2014-05-05,13,18.696416091615628,7
2014-05-06,6,13.016900053153126,2
2014-05-07,11,11.730337794595313,5
2014-05-08,8,34.65929018242812,0
2014-05-09,9,-1.7265333669484395,0
2014-05-10,1,-2.4550936135374988,15
2014-05-11,21,0.6332993573625023,2
2014-05-12,11,11.048012214856255,2
2014-05-13,8,25.275117912187504,1
2014-05-14,10,15.456738522281249,0
2014-05-15,8,10.539280906690625,0
2014-05-16,9,5.937921769867188,2
2014-05-17,0,-2.4410771321781226,0
2014-05-18,3,1.9104300255906281,11
2014-05-19,5,16.08786930716719,0
2014-05-20,0,10.819675378189064,1
2014-05-21,2,0.6977680400953132,0
2014-05-22,1,26.633673549931252,0
2014-05-23,0,25.649007279046874,0
2014-05-24,6,4.716215835554687,0
2014-05-25,0,-3.8596323483750004,1
2014-05-26,9,31.600693687901565,0
2014-05-27,0,20.813954408075002,0
2014-05-28,4,23.468663624634374,1
2014-05-29,1,31.927397746184376,0
2014-05-30,5,6.675967499903125,1
2014-05-31,1,0.33675242348906487,5
2014-06-01,5,-3.126405131234371,5
2014-06-02,1,15.175052727140631,6
2014-06-03,4,48.08683139246875,0
2014-06-04,1,21.255679709121875,1
2014-06-05,1,19.027957124112497,4
2014-06-06,3,14.383511809364062,3
2014-06-07,1,4.006111531415629,3
2014-06-08,4,-1.5462872348468713,0
2014-06-09,0,0.7028166392687552,4
2014-06-10,1,38.18785294568282,2
2014-06-11,2,20.776762111290626,0
2014-06-12,6,10.838785225678125,0
2014-06-13,1,18.92856914180156,0
2014-06-14,0,23.5841427607375,5
