,angular/angular,emberjs/ember.js,facebook/react
2014-10-18,2.0,3,1
2014-10-19,0.0,11,1
2014-10-20,0.0,7,6
2014-10-21,0.0,7,5
2014-10-22,0.0,4,7
2014-10-23,0.0,17,15
2014-10-24,0.0,1,6
2014-10-25,0.0,11,0
2014-10-26,0.0,7,2
2014-10-27,7.0,16,7
2014-10-28,8.0,14,30
2014-10-29,7.0,9,5
2014-10-30,3.0,8,9
2014-10-31,1.0,2,5
2014-11-01,0.0,12,1
2014-11-02,0.0,10,0
2014-11-03,0.0,6,2
2014-11-04,6.0,7,7
2014-11-05,10.0,11,5
2014-11-06,9.0,11,10
2014-11-07,3.0,1,5
2014-11-08,2.0,7,5
2014-11-09,0.0,10,0
2014-11-10,1.0,9,0
2014-11-11,2.0,12,3
2014-11-12,4.0,16,1
2014-11-13,0.0,9,4
2014-11-14,20.0,14,0
2014-11-15,1.0,21,6
2014-11-16,0.0,9,4
2014-11-17,1.0,37,19
2014-11-18,7.0,20,15
2014-11-19,3.0,10,9
2014-11-20,5.0,19,2
2014-11-21,0.0,18,7
2014-11-22,1.0,8,0
2014-11-23,1.0,15,0
2014-11-24,2.0,26,5
2014-11-25,10.0,31,13
2014-11-26,6.0,23,9
2014-11-27,0.0,9,4
2014-11-28,0.0,15,1
2014-11-29,0.0,0,0
2014-11-30,0.0,3,2
2014-12-01,3.0,5,8
2014-12-02,4.0,32,8
2014-12-03,8.0,19,8
2014-12-04,6.0,4,2
2014-12-05,4.0,17,3
2014-12-06,6.0,5,1
2014-12-07,0.0,6,3
2014-12-08,16.0,14,5
2014-12-09,1.0,14,1
2014-12-10,2.0,21,4
2014-12-11,4.0,9,1
2014-12-12,6.0,2,4
2014-12-13,3.0,15,3
2014-12-14,0.0,11,11
2014-12-15,0.0,15,4
2014-12-16,0.0,13,5
2014-12-17,3.0,17,4
2014-12-18,5.0,18,19
2014-12-19,0.0,11,5
2014-12-20,0.0,4,2
2014-12-21,0.0,41,2
2014-12-22,0.0,25,4
2014-12-23,0.0,25,7
2014-12-24,1.0,27,1
2014-12-25,0.0,11,2
2014-12-26,0.0,5,0
2014-12-27,0.0,3,0
2014-12-28,0.0,5,0
2014-12-29,6.0,9,5
2014-12-30,4.0,23,3
2014-12-31,0.0,6,2
2015-01-01,0.0,21,1
2015-01-02,0.0,23,2
2015-01-03,0.0,20,0
2015-01-04,0.0,14,0
2015-01-05,0.0,19,12
2015-01-06,5.0,8,1
2015-01-07,11.0,7,6
2015-01-08,6.0,1,2
2015-01-09,10.0,3,2
2015-01-10,0.0,7,1
2015-01-11,0.0,8,1
2015-01-12,3.0,4,3
2015-01-13,5.0,15,17
2015-01-14,3.0,7,4
2015-01-15,7.0,16,7
2015-01-16,3.0,13,11
2015-01-17,1.0,2,3
2015-01-18,0.0,0,1
2015-01-19,0.0,4,1
2015-01-20,11.0,0,5
2015-01-21,5.0,12,12
2015-01-22,14.0,10,18
