,swiftlang/swift,rust-lang/rust,golang/go
2018-08-17,93,44,14
2018-08-18,53,40,8
2018-08-19,7,83,0
2018-08-20,70,72,53
2018-08-21,65,44,53
2018-08-22,62,118,53
2018-08-23,50,72,11
2018-08-24,95,87,28
2018-08-25,52,43,7
2018-08-26,18,57,6
2018-08-27,37,89,3
2018-08-28,80,61,13
2018-08-29,88,92,6
2018-08-30,56,98,29
2018-08-31,89,78,11
2018-09-01,26,64,2
2018-09-02,5,42,3
2018-09-03,5,74,7
2018-09-04,55,39,10
2018-09-05,82,64,17
2018-09-06,73,93,9
2018-09-07,38,74,14
2018-09-08,15,63,3
2018-09-09,1,47,3
2018-09-10,44,69,2
2018-09-11,61,85,7
2018-09-12,52,71,10
2018-09-13,52,76,14
2018-09-14,92,44,6
2018-09-15,29,69,3
2018-09-16,49,50,3
2018-09-17,34,51,12
2018-09-18,56,61,12
2018-09-19,71,45,9
2018-09-20,77,86,8
2018-09-21,80,50,0
2018-09-22,68,57,0
2018-09-23,10,43,2
2018-09-24,85,41,17
2018-09-25,75,51,13
2018-09-26,95,87,11
2018-09-27,76,35,14
2018-09-28,68,37,10
2018-09-29,20,66,4
2018-09-30,8,59,1
2018-10-01,60,51,6
2018-10-02,40,64,27
2018-10-03,72,42,29
2018-10-04,67,62,19
2018-10-05,93,82,15
2018-10-06,18,48,11
2018-10-07,13,30,1
2018-10-08,54,76,5
2018-10-09,68,76,16
2018-10-10,56,76,16
2018-10-11,65,58,17
2018-10-12,73,69,17
2018-10-13,30,76,4
2018-10-14,13,54,3
2018-10-15,55,123,20
2018-10-16,62,69,11
2018-10-17,31,63,18
2018-10-18,16,73,11
2018-10-19,40,67,13
2018-10-20,25,54,2
2018-10-21,15,36,1
2018-10-22,16,52,14
2018-10-23,42,57,24
2018-10-24,49,58,19
2018-10-25,47,122,15
2018-10-26,79,77,11
2018-10-27,45,49,7
2018-10-28,9,61,9
2018-10-29,57,61,12
2018-10-30,68,70,23
2018-10-31,67,62,15
2018-11-01,54,96,10
2018-11-02,56,62,41
2018-11-03,20,71,6
2018-11-04,62,37,2
2018-11-05,45,99,21
2018-11-06,105,53,15
