,ionic-team/ionic-framework,NativeScript/NativeScript,flutter/flutter
2015-08-04,0,12,14.755810646453128
2015-08-05,0,1,9.186114132832813
2015-08-06,9,6,13.496053144445312
2015-08-07,14,13,35.18223970215469
2015-08-08,0,0,0.8631389421828111
2015-08-09,0,0,-3.891613940029687
2015-08-10,6,5,24.534478652575004
2015-08-11,3,8,45.4704260286625
2015-08-12,19,7,3.328826858857812
2015-08-13,9,11,24.7902040114
2015-08-14,1,4,10.725477854517187
2015-08-15,0,0,-5.425377824470309
2015-08-16,0,0,-3.4030327775109335
2015-08-17,0,0,23.701918358498443
2015-08-18,10,6,15.607423598578128
2015-08-19,7,2,24.33393954699844
2015-08-20,6,1,20.377240830031248
2015-08-21,8,1,11.419745395385938
2015-08-22,3,0,4.056587602656251
2015-08-23,1,1,-3.8125403181109347
2015-08-24,8,4,18.554212897500005
2015-08-25,3,7,45.020853574093756
2015-08-26,6,3,35.62138680750313
2015-08-27,2,6,15.793800806828122
2015-08-28,24,18,18.03519368930156
2015-08-29,4,0,4.3627109965500015
2015-08-30,0,0,0.9074941772484424
2015-08-31,23,5,20.050083843426567
2015-09-01,20,12,9.80264327292188
2015-09-02,8,8,16.18065327022969
2015-09-03,19,12,23.821460493567187
2015-09-04,27,26,18.12198478482969
2015-09-05,3,3,-1.642022520003124
2015-09-06,4,0,-2.6798369840703105
2015-09-07,3,7,-1.5151404034890583
2015-09-08,17,0,7.05487391615938
2015-09-09,18,8,9.597284860153128
2015-09-10,6,11,9.316847647382815
2015-09-11,14,6,18.193967009292187
2015-09-12,3,1,-2.714822283417188
2015-09-13,3,1,-2.044102171674999
2015-09-14,16,7,9.742433468090626
2015-09-15,26,6,1.9684319181984398
2015-09-16,4,7,27.36030357532344
2015-09-17,6,7,19.99044720348906
2015-09-18,17,21,19.49197687963125
2015-09-19,6,1,5.120751249990623
2015-09-20,0,0,-2.758405853770311
2015-09-21,6,6,11.619636688714065
2015-09-22,29,0,24.85597340932813
2015-09-23,12,5,27.17980687879219
2015-09-24,14,5,20.065956502403125
2015-09-25,10,10,32.985533179082815
2015-09-26,0,0,3.6585045517624994
2015-09-27,3,0,-2.201086462268748
2015-09-28,27,5,1.4231340641250037
2015-09-29,20,11,20.952463870245317
2015-09-30,16,17,30.35095194505938
2015-10-01,15,22,35.695119772493754
2015-10-02,26,5,9.294361539193748
2015-10-03,6,0,9.08296518020625
2015-10-04,10,0,-4.103887343323436
2015-10-05,31,11,22.816139651807816
2015-10-06,48,6,31.099376729814065
2015-10-07,35,7,6.404860081195314
2015-10-08,27,6,18.850433378590626
2015-10-09,40,18,17.35380624083594
2015-10-10,7,1,6.391633915975003
2015-10-11,3,0,-0.4074267095953106
2015-10-12,10,10,21.801262596445316
2015-10-13,9,12,21.288306281557816
2015-10-14,3,17,13.519428964253127
2015-10-15,6,20,14.945727242003127
2015-10-16,23,12,12.071046740907814
2015-10-17,0,0,-0.6890598152218725
2015-10-18,19,0,0.7719585379859408
2015-10-19,9,10,24.457417536256255
2015-10-20,14,10,13.521084924465626
2015-10-21,7,17,15.581597319445313
2015-10-22,3,13,11.42758674926875
2015-10-23,3,6,22.772460155254688
2015-10-24,0,0,-0.22473845698437422
2015-10-25,0,0,-3.4551543676734355
2015-10-26,9,4,35.744250314043754
2015-10-27,18,2,16.486877855934377
2015-10-28,11,10,17.720070472248437
2015-10-29,23,20,25.670997166540623
2015-10-30,38,20,6.76641507978125
2015-10-31,10,0,-0.8657060732468729
2015-11-01,0,0,-2.473073058548434
2015-11-02,33,29,16.585158254820318
2015-11-03,24,14,35.262384750406255
2015-11-04,10,6,25.731495566040625
2015-11-05,20,8,14.498513798599998
2015-11-06,13,30,14.253138336939061
2015-11-07,2,0,8.588654954682815
2015-11-08,2,0,-0.5968835187796842
2015-11-09,8,18,11.68308906059063
2015-11-10,5,27,26.12526289641719
2015-11-11,7,9,18.435247051707815
2015-11-12,23,12,21.384266363348438
2015-11-13,13,5,21.114755545521874
2015-11-14,7,0,-2.036328211067186
2015-11-15,0,0,-3.907640905437497
2015-11-16,22,9,16.38868749368438
2015-11-17,32,10,27.16714095712188
2015-11-18,14,10,18.49254252399219
2015-11-19,12,2,18.462523775296873
2015-11-20,18,2,27.431817738965627
2015-11-21,2,0,2.4597559951078125
2015-11-22,6,0,5.42036024196719
2015-11-23,15,20,11.119399973606253
2015-11-24,21,7,16.88324466895313
2015-11-25,25,15,15.183851838332815
2015-11-26,1,6,14.08522518651094
2015-11-27,0,11,-2.7853670619874986
2015-11-28,4,0,-1.049453931628122
2015-11-29,5,0,1.7451541491734415
2015-11-30,13,7,13.123996990770316
2015-12-01,21,10,13.19173565815625
2015-12-02,18,10,16.738571976132814
2015-12-03,28,5,19.13277008268281
2015-12-04,38,10,34.571309084484376
2015-12-05,13,0,20.669098483285936
2015-12-06,5,0,-6.059357303603125
2015-12-07,32,3,26.44385889911563
2015-12-08,51,10,26.436117754621876
2015-12-09,36,3,19.45988324121094
2015-12-10,49,10,21.5756263478625
2015-12-11,38,4,2.3220482586718765
2015-12-12,7,8,2.088429885314067
2015-12-13,0,0,-3.9367210753234327
2015-12-14,28,11,24.450150194029693
2015-12-15,24,9,25.47900850453125
2015-12-16,33,9,20.280187704921875
2015-12-17,28,3,5.221061722943749
2015-12-18,18,7,1.638852215878126
2015-12-19,11,0,-3.289965811896872
2015-12-20,0,0,1.8978302985671922
2015-12-21,7,4,5.029494858498442
2015-12-22,6,6,0.8853730860781281
2015-12-23,6,2,-1.77273714893906
2015-12-24,1,0,0.881105551765627
2015-12-25,0,0,0.11521171339375158
2015-12-26,0,0,2.4327499440109386
2015-12-27,0,0,-0.6372522377156247
2015-12-28,4,1,3.6397598366875004
2015-12-29,11,0,1.3277493099968751
2015-12-30,10,0,2.428074818201563
2015-12-31,8,0,3.3871037873921876
2016-01-01,7,0,-0.74436635978125
2016-01-02,4,0,9.5690608931625
2016-01-03,2,0,-1.297972841582813
2016-01-04,19,2,7.323104382392188
2016-01-05,24,0,6.7505863179375
2016-01-06,21,0,13.494713825075
2016-01-07,19,1,27.66095507088125
2016-01-08,22,3,11.736610065329685
2016-01-09,3,0,1.1837336273562489
2016-01-10,14,0,4.2851492698437506
2016-01-11,13,11,27.479339554640628
2016-01-12,13,16,18.365671238375
2016-01-13,6,10,6.084316356837499
2016-01-14,19,4,11.030660146978125
2016-01-15,15,8,10.96046636899219
2016-01-16,2,0,5.000098846921878
2016-01-17,1,0,-3.2552122044031226
2016-01-18,3,6,10.93576862121094
2016-01-19,18,13,14.14603274052969
2016-01-20,15,12,22.495788628312503
2016-01-21,11,3,18.457188567251563
2016-01-22,13,5,16.256111870620312
2016-01-23,6,0,0.1938690004765622
2016-01-24,0,2,4.705086482320315
2016-01-25,15,8,9.038665063426565
2016-01-26,5,16,13.837709019546878
2016-01-27,40,5,16.22722695576719
2016-01-28,21,3,13.724002342232813
2016-01-29,12,4,9.701396950956251
2016-01-30,3,0,0.12046373709531366
2016-01-31,7,0,6.29885406166719
2016-02-01,32,10,9.351320665695315
2016-02-02,41,8,14.067779837275001
2016-02-03,21,12,22.472977798303127
2016-02-04,31,14,21.32446903907656
2016-02-05,42,11,10.8043327675
2016-02-06,6,0,11.496367874634375
2016-02-07,5,1,-4.2858543538156235
2016-02-08,6,5,8.39115070521563
2016-02-09,8,13,34.973149909739064
2016-02-10,39,15,20.222436020803126
2016-02-11,16,17,22.228047065982814
2016-02-12,12,9,50.864474855659374
2016-02-13,17,1,9.787578435815625
2016-02-14,9,1,14.155081713675001
2016-02-15,7,15,8.666345725675002
2016-02-16,5,5,14.51544427432813
2016-02-17,17,7,27.302302025010942
2016-02-18,24,17,1.003578507728128
2016-02-19,9,9,19.12790889587813
2016-02-20,6,0,3.376754545853128
2016-02-21,11,0,7.696872149404692
2016-02-22,14,4,15.223688784739066
2016-02-23,29,7,17.70254506401094
2016-02-24,22,24,16.24149837539844
2016-02-25,10,15,37.08712999976562
2016-02-26,2,1,30.903596039689063
2016-02-27,2,3,15.3960890010875
2016-02-28,7,0,-1.6663708705031244
2016-02-29,23,9,4.4849693172390666
2016-03-01,11,8,18.954373742271883
2016-03-02,11,6,18.908972769223443
2016-03-03,13,2,40.482701203381254
2016-03-04,26,1,20.095421955089062
2016-03-05,5,0,0.7883989726468759
2016-03-06,12,0,11.049260560525003
2016-03-07,18,9,13.261138272845317
2016-03-08,0,7,22.232927106429692
2016-03-09,11,15,15.250068842817189
2016-03-10,5,4,25.41080650179844
2016-03-11,15,7,37.49807254541875
2016-03-12,7,1,21.804909248909375
2016-03-13,5,0,1.5413055098687503
2016-03-14,8,1,28.741666051462502
2016-03-15,11,5,12.048687413893754
2016-03-16,3,9,1.9339741941812552
2016-03-17,1,7,17.355798274451566
2016-03-18,4,7,36.69494763326094
2016-03-19,0,1,-1.4911962013015607
2016-03-20,0,0,-4.792468843299997
2016-03-21,1,12,31.984146696781252
2016-03-22,6,8,7.389617855895315
2016-03-23,5,8,19.478448721481254
2016-03-24,5,14,31.887808955192188
2016-03-25,0,13,16.303711475868752
2016-03-26,0,0,3.8650951700531255
2016-03-27,0,0,6.334250127896877
2016-03-28,2,9,14.03340685353438
2016-03-29,1,7,25.55344544320313
2016-03-30,1,7,19.127598669539065
2016-03-31,8,3,17.19652735590781
2016-04-01,14,2,22.228415568809375
2016-04-02,1,0,-1.2440243431890607
2016-04-03,0,0,-2.06336862223281
2016-04-04,1,2,5.115056873968754
2016-04-05,14,0,8.091786537823442
2016-04-06,9,3,9.910121070134378
2016-04-07,12,1,17.740226484781253
2016-04-08,3,11,14.997490429742188
2016-04-09,2,0,-1.1146003790140622
2016-04-10,4,0,-2.609889678584374
2016-04-11,24,7,8.385407153789066
2016-04-12,19,4,12.796979719553129
2016-04-13,9,18,10.088731672790626
2016-04-14,20,15,6.991828444151563
2016-04-15,14,16,12.220489077454689
2016-04-16,4,0,-0.18305993930156195
2016-04-17,12,0,-2.0902670122296856
2016-04-18,18,11,8.687793542392189
2016-04-19,16,10,8.010200263593752
2016-04-20,18,8,12.742909853156252
2016-04-21,25,8,14.157911742757811
2016-04-22,16,7,6.7226153056265625
2016-04-23,0,0,0.17891319065625044
2016-04-24,0,0,0.008087147914063841
2016-04-25,3,5,10.51923260489219
2016-04-26,7,6,4.739839969843752
2016-04-27,8,8,8.910013688234375
2016-04-28,3,5,11.60559856815625
2016-04-29,14,1,14.186249390695313
2016-04-30,0,0,-0.2796072370171876
2016-05-01,0,0,0.903070243093751
2016-05-02,1,10,6.3443491238609395
2016-05-03,1,8,16.048547527490626
2016-05-04,4,2,19.944464494709376
2016-05-05,8,11,9.00855287907656
2016-05-06,0,5,5.483927116135938
2016-05-07,0,2,-1.9943713830187488
2016-05-08,0,1,-1.9509016209078096
2016-05-09,3,20,16.679634958345314
2016-05-10,10,7,11.171863868267188
2016-05-11,1,3,9.95860511918125
2016-05-12,6,1,8.90695654124375
2016-05-13,5,16,8.013508043720314
2016-05-14,2,3,-1.7962700963578118
2016-05-15,0,0,-0.7533212108390606
2016-05-16,9,8,14.691678689964064
2016-05-17,5,12,17.40716395571875
2016-05-18,11,11,11.466255320884375
2016-05-19,21,12,10.58734225279375
2016-05-20,13,15,8.649085739595312
2016-05-21,10,0,-0.15891138235312363
2016-05-22,0,0,-2.194914087160935
2016-05-23,3,0,11.53326719444844
2016-05-24,8,0,8.560119526714065
2016-05-25,12,11,5.383189980362501
2016-05-26,7,8,13.661392106546876
2016-05-27,12,8,8.025337937242188
2016-05-28,0,0,0.24950996955937566
2016-05-29,0,0,2.105818418021876
2016-05-30,0,17,0.3777692536421895
2016-05-31,26,10,7.697629672046878
2016-06-01,18,4,10.142949953860938
2016-06-02,20,7,13.715784590479688
2016-06-03,3,9,15.115907475212499
2016-06-04,1,0,-1.4057582224968757
2016-06-05,0,1,-2.0507918769421867
2016-06-06,4,4,6.668883685329689
2016-06-07,6,8,16.202687547575003
2016-06-08,26,14,8.061944422787501
2016-06-09,23,5,7.224941705989062
2016-06-10,4,5,8.34681020381875
2016-06-11,0,0,-2.6931576673562487
2016-06-12,2,0,0.4269989283218769
2016-06-13,5,14,9.760127249928127
2016-06-14,12,16,10.000529825875002
2016-06-15,8,7,6.5776445116812505
2016-06-16,10,8,11.69302511118125
2016-06-17,11,12,3.2833778331984376
2016-06-18,7,0,-1.127298243531249
2016-06-19,1,0,-0.40772040789531094
2016-06-20,7,16,5.950562815218753
2016-06-21,12,7,12.503258884256251
2016-06-22,12,3,14.647818424667188
2016-06-23,3,0,14.012535879928125
2016-06-24,14,10,4.685975504957812
2016-06-25,0,0,2.3491582276531253
2016-06-26,0,0,-1.0845862119812484
2016-06-27,12,5,2.54186153569844
2016-06-28,8,5,7.51877224635469
2016-06-29,17,4,-1.9458418987203108
2016-06-30,19,9,8.805619556981252
2016-07-01,6,6,5.184731803123438
2016-07-02,9,0,-0.6883869909859368
2016-07-03,0,0,-1.0238248816156246
2016-07-04,0,4,1.3344795268046887
2016-07-05,2,4,-0.6808203708484362
2016-07-06,1,9,4.525189897715626
2016-07-07,5,2,4.1482225271765625
2016-07-08,9,2,9.04717398359375
2016-07-09,0,1,-1.5617939127187506
2016-07-10,0,0,-0.7904968057671873
2016-07-11,1,5,2.500517504964063
2016-07-12,6,8,4.327844561468751
2016-07-13,6,6,3.0657562511781253
2016-07-14,4,5,3.054569828671875
2016-07-15,6,4,3.0147397097421877
2016-07-16,2,0,0.01665985716406282
2016-07-17,0,0,-0.6807083128593744
2016-07-18,3,10,6.594791848750001
2016-07-19,8,10,1.9875615297031253
2016-07-20,1,8,7.129809542314063
2016-07-21,1,7,8.672092900257812
2016-07-22,0,7,9.280457040293749
2016-07-23,0,0,-1.035767108456251
2016-07-24,0,0,-1.2289480606593746
2016-07-25,4,4,5.180400236214064
2016-07-26,0,5,8.777489620140626
2016-07-27,0,4,13.224186648201563
2016-07-28,2,5,6.505421088267187
2016-07-29,10,7,7.71795837830625
2016-07-30,0,0,-2.3361591647812503
2016-07-31,0,0,-1.3585327659109359
2016-08-01,3,4,2.080705094964064
2016-08-02,0,3,5.982547221906252
2016-08-03,9,3,1.572892698378126
2016-08-04,18,2,9.840523388156251
2016-08-05,5,3,22.18047793232031
2016-08-06,1,0,-2.344760552979689
2016-08-07,0,1,-1.791779312859375
2016-08-08,2,1,5.8699470737500015
2016-08-09,5,1,11.452468899703128
2016-08-10,7,0,3.7072975250328133
2016-08-11,1,2,12.073967384451564
2016-08-12,2,3,2.4050037767203127
2016-08-13,1,0,-0.015550336520311347
2016-08-14,1,0,-1.4607676113781236
2016-08-15,0,2,8.124363611214065
2016-08-16,3,4,9.423884682640626
2016-08-17,8,5,9.939080860545314
2016-08-18,3,2,8.628549728939062
2016-08-19,1,0,7.594395496315625
2016-08-20,5,0,-1.3969511430812496
2016-08-21,1,0,-1.468323251210936
2016-08-22,1,7,4.987888391178127
2016-08-23,3,3,5.621501124109377
2016-08-24,9,1,6.389422391504689
2016-08-25,1,1,7.237025332167188
2016-08-26,1,0,5.0863883513968755
2016-08-27,0,0,-0.7735022043015622
2016-08-28,0,0,-1.122146163374999
2016-08-29,0,9,7.273508382464064
2016-08-30,0,5,4.641449898156251
2016-08-31,0,7,4.581941261175
2016-09-01,1,7,8.558567424373438
2016-09-02,0,2,4.149576476321875
2016-09-03,0,0,-0.6275705601828123
2016-09-04,0,0,-1.0493318807671868
2016-09-05,0,2,-0.6954459975359361
2016-09-06,0,0,-0.5357232566249983
2016-09-07,0,2,3.5598539991187512
2016-09-08,0,2,7.286171219190626
2016-09-09,0,2,13.794199564628125
2016-09-10,0,0,-2.1264920997031265
2016-09-11,0,0,-1.04561142823125
2016-09-12,0,3,8.334334147464062
2016-09-13,32,2,5.608480450000001
2016-09-14,8,6,5.5035778650000005
2016-09-15,0,9,9.4040469904375
2016-09-16,20,10,12.92299014198125
2016-09-17,3,12,-1.6949037655218753
2016-09-18,1,0,-1.5903956505390617
2016-09-19,10,4,5.995417896250002
2016-09-20,9,5,15.528373471609378
2016-09-21,9,6,9.357580374817188
2016-09-22,1,0,14.374152244889062
2016-09-23,5,0,2.7872516328265617
2016-09-24,1,0,-0.4180855193796864
2016-09-25,3,0,-0.7041199385546859
2016-09-26,15,6,13.784527561214066
2016-09-27,14,10,9.586525072640626
2016-09-28,12,9,6.380142643482813
2016-09-29,5,7,3.5544388394515627
2016-09-30,13,3,5.970611995803126
2016-10-01,6,0,-0.051741026204686236
2016-10-02,4,0,-0.38841712499687353
2016-10-03,7,4,8.962258638162501
2016-10-04,2,3,9.23249348472969
2016-10-05,1,7,6.831623114523438
2016-10-06,9,2,5.9083446749281245
2016-10-07,9,7,4.010685104082813
2016-10-08,1,0,-0.7672440243406242
2016-10-09,6,0,-1.1902880175687487
2016-10-10,19,1,2.191564131912502
2016-10-11,9,9,7.074020246057814
2016-10-12,28,1,2.5532576652187506
2016-10-13,15,5,12.792159409964063
2016-10-14,4,5,8.898152133051562
2016-10-15,1,0,2.8066553553687497
2016-10-16,5,0,1.29496853426875
2016-10-17,2,7,10.660781958714063
2016-10-18,11,5,7.899475440953125
2016-10-19,2,9,8.763517228267188
2016-10-20,6,10,14.559870792649999
2016-10-21,11,3,8.8683072363875
2016-10-22,8,0,-2.9963158974249997
2016-10-23,1,0,2.255590818276564
2016-10-24,7,13,9.39400956827344
2016-10-25,3,13,7.80232983620469
2016-10-26,2,7,1.655344768162501
2016-10-27,4,5,10.218073045218752
2016-10-28,1,7,8.655072445839064
2016-10-29,7,0,0.5518424507015633
2016-10-30,0,0,-1.670760652931249
2016-10-31,8,13,5.947158964187501
2016-11-01,9,3,17.491379634184376
2016-11-02,7,9,16.155338806948436
2016-11-03,8,4,12.596981480078124
2016-11-04,10,5,-0.4510693625812512
2016-11-05,0,0,-2.306223512353124
2016-11-06,0,0,-0.5030321544421847
2016-11-07,5,10,7.824751081142191
2016-11-08,1,7,6.207307842640627
2016-11-09,3,1,7.0561874062015635
2016-11-10,6,13,13.904476177020314
2016-11-11,7,6,1.2189684548171873
2016-11-12,0,0,1.1369006578781256
2016-11-13,0,0,-1.4056448663578116
2016-11-14,12,6,5.0606415707343775
2016-11-15,5,5,11.672260647823439
2016-11-16,16,4,11.840973856801563
2016-11-17,6,3,2.4121969225718747
2016-11-18,18,1,6.062981496426563
2016-11-19,4,0,0.004751018612500824
2016-11-20,14,0,-1.3425651741906235
2016-11-21,16,13,6.090188102392189
2016-11-22,2,3,14.611220145656251
2016-11-23,7,6,6.51883800558125
2016-11-24,0,5,-0.2556395464359378
2016-11-25,1,4,-1.4861365955812496
2016-11-26,9,0,-0.9306454093046859
2016-11-27,4,0,2.320707966181252
2016-11-28,19,4,7.208578471178126
2016-11-29,8,6,7.669831056390626
2016-11-30,9,5,10.316447732748436
2016-12-01,4,4,1.8623286497843745
2016-12-02,8,3,3.4951234511453126
2016-12-03,3,0,-0.39318024257187467
2016-12-04,1,0,0.029422061250001352
2016-12-05,12,7,5.200536378453126
2016-12-06,24,1,9.79919002201719
2016-12-07,17,2,1.1611757075718752
2016-12-08,19,0,2.6966264734890624
2016-12-09,11,0,6.8037182737562505
2016-12-10,2,0,-0.4951806839718744
2016-12-11,0,0,0.04509990305468825
2016-12-12,7,4,5.266688269448438
2016-12-13,1,21,2.8694075731203132
2016-12-14,5,1,0.9103298028625006
2016-12-15,1,7,5.141457548057813
2016-12-16,1,4,2.8905268578296877
2016-12-17,0,0,-1.0407481230187496
2016-12-18,0,0,0.37638309544687554
2016-12-19,4,16,1.4926141069484382
2016-12-20,1,19,0.4391419593703133
2016-12-21,3,14,0.5272071652218755
2016-12-22,0,10,-0.3946047636749996
2016-12-23,0,0,-0.24952411816562453
2016-12-24,0,0,-0.18322437977812456
2016-12-25,0,0,-0.10779238139374966
2016-12-26,0,0,-0.061034468015624815
2016-12-27,0,20,-0.051791187317187355
2016-12-28,1,12,-0.0374597143374999
2016-12-29,1,2,-0.017967165551562456
2016-12-30,0,8,-0.008398852535937478
2016-12-31,0,0,0.0
2017-01-01,0,0,0.0
2017-01-02,0,0,0.0
2017-01-03,6,19,2.0
2017-01-04,4,18,2.8
2017-01-05,0,7,15.61
2017-01-06,0,14,9.207999999999998
2017-01-07,0,0,-0.9468250000000014
2017-01-08,0,0,-1.1452210000000005
2017-01-09,5,8,5.2362257250000015
2017-01-10,9,6,18.82467107
2017-01-11,9,10,12.26904333521875
2017-01-12,11,11,8.045099328381248
2017-01-13,7,12,6.217542762892187
2017-01-14,0,0,-0.5831772799968737
2017-01-15,1,0,-1.7317002659109355
2017-01-16,1,9,-1.1537400300359353
2017-01-17,5,1,5.103039259406253
2017-01-18,5,3,3.6606772932218767
2017-01-19,7,0,12.645775982796875
2017-01-20,9,1,7.846598477539062
2017-01-21,0,0,1.902835412464062
2017-01-22,0,0,2.4562607011453124
2017-01-23,7,4,12.669371469928127
2017-01-24,4,0,10.741368260000002
2017-01-25,2,5,13.41503596565625
2017-01-26,4,1,9.88371644720625
2017-01-27,4,2,16.916222342601564
2017-01-28,0,0,2.1544630993406253
2017-01-29,0,0,-1.7615224874218738
2017-01-30,4,1,4.135232927793752
2017-01-31,5,0,14.038870206387504
2017-02-01,1,2,10.064612692793752
2017-02-02,4,2,20.021900607532814
2017-02-03,2,1,8.959292540221874
2017-02-04,0,0,10.486923966720312
2017-02-05,0,0,-2.4824332000624993
2017-02-06,2,1,5.877628944268753
2017-02-07,0,3,19.702288216870315
2017-02-08,3,15,20.262276787784376
2017-02-09,0,12,23.450672113971876
2017-02-10,2,3,8.653840741423437
2017-02-11,0,0,-1.413544437529687
2017-02-12,0,0,0.062000238564065224
2017-02-13,3,3,7.695181906481254
2017-02-14,0,0,23.394061025839065
2017-02-15,0,5,16.66439923336875
2017-02-16,0,5,6.425356311834375
2017-02-17,4,10,13.294741739700001
2017-02-18,0,0,3.066216120525001
2017-02-19,0,0,-0.9426380882999976
2017-02-20,0,12,1.927709965845315
2017-02-21,5,12,12.096235197235941
2017-02-22,3,14,14.233863327484377
2017-02-23,3,10,10.6367681394875
2017-02-24,5,6,8.758762229823438
2017-02-25,0,0,-2.0272705979109373
2017-02-26,0,0,0.0995088732796896
2017-02-27,11,2,3.54316869621719
2017-02-28,4,5,11.473778582865627
2017-03-01,1,2,17.6635236963875
2017-03-02,39,4,10.62155709573125
2017-03-03,28,0,5.770930757170312
2017-03-04,2,0,11.280982337059376
2017-03-05,3,0,-2.025119748446874
2017-03-06,18,8,9.147779877682815
2017-03-07,9,7,10.572305428600002
2017-03-08,16,9,14.16964981811719
2017-03-09,5,11,8.580881796720313
2017-03-10,2,10,13.8350508758125
2017-03-11,1,1,-3.5425692626437497
2017-03-12,0,0,-2.033202138792185
2017-03-13,2,10,13.573276180231252
2017-03-14,8,10,11.47371394054219
2017-03-15,22,15,15.087702816651564
2017-03-16,12,11,6.513775028267187
2017-03-17,3,6,18.034869414451563
2017-03-18,0,0,-1.8574738016968748
2017-03-19,0,0,0.6322298193890648
2017-03-20,9,6,13.164099881250003
2017-03-21,7,11,4.177167332265627
2017-03-22,6,5,9.56847742224219
2017-03-23,17,3,11.286126205215625
2017-03-24,1,5,6.996058127946876
2017-03-25,0,0,-0.7049852786874995
2017-03-26,0,0,0.164008944464064
2017-03-27,9,1,10.638281824631251
2017-03-28,7,11,9.816419223407813
2017-03-29,10,6,7.490153990851563
2017-03-30,1,6,12.583897903560938
2017-03-31,1,3,4.05581289985
2017-04-01,4,0,-2.363129483159374
2017-04-02,4,0,4.574217306109377
2017-04-03,0,6,2.402392163896877
2017-04-04,1,5,19.54724930874063
2017-04-05,7,1,17.91220961338125
2017-04-06,13,7,9.262016108162499
2017-04-07,8,3,5.6719804056562495
2017-04-08,2,0,8.146187445851563
2017-04-09,0,0,-0.8258664452515605
2017-04-10,1,2,4.063248824406252
2017-04-11,0,2,2.0029834989718776
2017-04-12,1,12,5.262057982778128
2017-04-13,6,6,8.090404109667189
2017-04-14,4,1,7.869402123792188
2017-04-15,0,0,1.8274949161421876
2017-04-16,0,0,-0.6261050834953119
2017-04-17,8,0,8.88482351857344
2017-04-18,12,5,15.262491044334375
2017-04-19,7,5,7.279740133971875
2017-04-20,3,7,9.521739811246874
2017-04-21,4,6,13.324698139592186
2017-04-22,0,0,-1.1746384530156244
2017-04-23,2,0,-0.007585348671873771
2017-04-24,8,9,8.467027601840627
2017-04-25,3,8,2.9047040560578146
2017-04-26,6,2,9.178276040875001
2017-04-27,13,5,20.734261321732813
2017-04-28,8,6,3.4210100534531245
2017-04-29,2,0,-2.61537065618125
2017-04-30,3,0,-0.5856970341062488
2017-05-01,15,11,7.835296893896878
2017-05-02,12,1,14.226945796021877
2017-05-03,13,6,19.2970957133125
2017-05-04,15,5,7.308302692898437
2017-05-05,5,3,15.861806298995312
2017-05-06,0,0,3.2290354380640625
2017-05-07,0,0,-2.769286776501561
2017-05-08,1,0,13.241640220734377
2017-05-09,4,5,20.169051165323438
2017-05-10,3,5,14.956618113926563
2017-05-11,2,1,11.80768932683125
2017-05-12,5,5,12.9866219847875
2017-05-13,0,4,-1.030329948942187
2017-05-14,0,3,-1.7082593267921848
2017-05-15,1,13,8.11575805099844
2017-05-16,0,13,7.611611553515628
2017-05-17,18,10,3.4181013338515642
2017-05-18,5,4,2.819762341876564
2017-05-19,19,5,16.18150816981719
2017-05-20,0,0,3.0927214369093754
2017-05-21,0,1,-0.1518417534078118
2017-05-22,4,1,10.539665041876564
2017-05-23,4,6,2.792500229807814
2017-05-24,14,0,15.176879604484377
2017-05-25,1,5,4.1611913902968745
2017-05-26,4,2,8.73542321220625
2017-05-27,1,0,1.4966764005390631
2017-05-28,3,0,-1.9150670162406231
2017-05-29,0,1,3.819413591253127
2017-05-30,13,4,0.6350550949906268
2017-05-31,0,4,8.885711030740627
