,mui/material-ui,twbs/bootstrap,ant-design/ant-design
2015-08-07,5.0,0,16
2015-08-08,1.4999999999999996,8,3
2015-08-09,1.5749999999999997,1,5
2015-08-10,4.5675,44,15
2015-08-11,1.2496874999999998,13,8
2015-08-12,4.39609125,0,19
2015-08-13,14.1281314375,32,3
2015-08-14,11.000661493749998,9,14
2015-08-15,1.664238267421874,5,4
2015-08-16,-1.6971743437109377,0,3
2015-08-17,5.941251912646877,14,31
2015-08-18,9.522999524850002,37,51
2015-08-19,4.978802692539063,72,43
2015-08-20,1.1388821236000002,44,41
2015-08-21,13.544477440835939,43,28
2015-08-22,-2.469350392242187,7,16
2015-08-23,-1.3220141725296863,45,11
2015-08-24,12.141661828606251,25,36
2015-08-25,-0.9394306873593741,27,30
2015-08-26,-0.2079365721734363,25,12
2015-08-27,0.09442315474531315,15,25
2015-08-28,-0.6960148505484359,2,10
2015-08-29,1.5275984971578136,10,1
2015-08-30,6.437631799460938,2,0
2015-08-31,-0.9841593137500001,3,27
2015-09-01,2.463239472046875,6,39
2015-09-02,2.3161658952671877,36,2
2015-09-03,0.35906813819843786,9,0
2015-09-04,-0.47760844055156226,0,0
2015-09-05,0.6847921674640629,14,0
2015-09-06,0.6643697502187506,17,0
2015-09-07,1.6627253163187503,3,21
2015-09-08,2.5788241559984377,9,20
2015-09-09,-0.5143105402968751,4,14
2015-09-10,8.706225557095312,10,14
2015-09-11,-1.090868633123438,3,30
2015-09-12,0.4681244387140626,2,4
2015-09-13,-0.45183628426562494,1,8
2015-09-14,0.6893969044484384,1,13
2015-09-15,4.665632682682813,2,18
2015-09-16,3.27037674338125,6,27
2015-09-17,0.20534342614218737,1,18
2015-09-18,-0.542439329640625,0,7
2015-09-19,0.634887380926563,3,2
2015-09-20,1.6855359244843755,3,1
2015-09-21,1.5845678887140628,1,2
2015-09-22,10.547698405734375,5,7
2015-09-23,13.618560284885938,4,20
2015-09-24,21.79919703900781,7,8
2015-09-25,3.4816157643406225,9,4
2015-09-26,0.4871624262140619,2,0
2015-09-27,-1.8443014805156241,6,0
2015-09-28,8.733343741432815,6,0
2015-09-29,17.027665322646875,5,0
2015-09-30,7.870852358006251,0,0
2015-10-01,-0.8826451206296877,10,0
2015-10-02,5.084110788335939,2,17
2015-10-03,-1.959086740721873,0,0
2015-10-04,-1.1246227817984353,3,0
2015-10-05,10.195678992392189,0,1
2015-10-06,12.27188350359375,2,3
2015-10-07,18.57804159359375,7,0
2015-10-08,-1.422651121354689,4,1
2015-10-09,2.0395326223234376,3,14
2015-10-10,2.361164853818751,3,2
2015-10-11,-0.5001211052515602,5,3
2015-10-12,-1.0800755837499982,5,4
2015-10-13,2.189151046828127,11,3
2015-10-14,20.03874759363594,2,13
2015-10-15,4.286516548668749,3,9
2015-10-16,0.9608478857140619,5,3
2015-10-17,-0.38809525463437544,4,0
2015-10-18,1.0002748915437516,0,0
2015-10-19,24.10376098934063,4,32
2015-10-20,17.88861304621406,3,8
2015-10-21,21.295180602203125,2,18
2015-10-22,1.4417852078140605,1,23
2015-10-23,12.837906804385938,10,20
2015-10-24,-3.5442458780484367,14,2
2015-10-25,-2.1320168256234338,4,3
2015-10-26,3.4358261026828156,7,20
2015-10-27,4.2546760357875035,14,27
2015-10-28,2.1499116320234397,7,22
2015-10-29,2.4947618938546885,9,22
2015-10-30,2.700807168507813,8,22
2015-10-31,6.8979551265343755,3,23
2015-11-01,4.526457796925,0,4
2015-11-02,-0.35555755624999996,5,15
2015-11-03,11.087831207421875,9,32
2015-11-04,4.157806024226563,2,35
