,defold/defold,cocos/cocos-engine,cocos2d/cocos2d-x
2020-03-05,2.0,6,0
2020-03-06,7.6,13,0
2020-03-07,-1.7599999999999998,0,0
2020-03-08,-0.7360000000000007,0,0
2020-03-09,4.5488,9,0
2020-03-10,-1.319872,3,0
2020-03-11,0.35485439999999957,8,0
2020-03-12,3.3627161599999997,3,0
2020-03-13,4.787810816,5,1
2020-03-14,0.16427960320000046,0,0
2020-03-15,1.6925011967999999,4,0
2020-03-16,19.7074304,3,0
2020-03-17,-4.9321113599999995,13,0
2020-03-18,0.7945953279999984,11,0
2020-03-19,-0.9645393920000005,17,0
2020-03-20,1.5653538815999999,8,0
2020-03-21,-1.5915995135999998,0,0
2020-03-22,-0.9721764864000002,0,0
2020-03-23,6.3222290432,16,1
2020-03-24,8.072827596800002,10,0
2020-03-25,-0.9696733183999995,7,0
2020-03-26,-1.6573762560000007,7,0
2020-03-27,-0.9777759232000005,6,0
2020-03-28,-0.6663844864000001,0,0
2020-03-29,-0.5029696512000001,0,0
2020-03-30,10.62615296,7,0
2020-03-31,-0.5108387839999988,5,0
2020-04-01,1.4549839872,5,0
2020-04-02,4.558531072,5,0
2020-04-03,-0.9305387008000001,4,0
2020-04-04,-1.1720960000000007,0,0
2020-04-05,1.2554111999999995,6,0
2020-04-06,7.0467404799999995,0,0
2020-04-07,0.7997793280000005,11,1
2020-04-08,7.2991727615999995,7,0
2020-04-09,9.3187090432,3,0
2020-04-10,-0.7245330432000001,4,0
2020-04-11,-2.427149414400001,0,0
2020-04-12,-0.4047611904000008,3,0
2020-04-13,0.7975004159999997,8,0
2020-04-14,6.7380882432,7,0
2020-04-15,4.5749879808000005,14,0
2020-04-16,1.3990955008000006,5,0
2020-04-17,5.827607142400001,1,0
2020-04-18,7.2109038592,0,0
2020-04-19,1.6333196287999998,0,0
2020-04-20,7.291176447999999,6,0
2020-04-21,-3.5706041344000004,6,0
2020-04-22,4.079469363199999,1,0
2020-04-23,13.4650339328,1,0
2020-04-24,16.371781939199998,7,0
2020-04-25,-5.4597502976,0,0
