,meilisearch/meilisearch,typesense/typesense,elastic/elasticsearch
2022-07-22,0.0,2,28.0
2022-07-23,0.0,0,-4.599999999999999
2022-07-24,0.0,1,-2.440000000000002
2022-07-25,0.0,1,27.576
2022-07-26,0.0,2,23.2112
2022-07-27,0.0,1,16.931392
2022-07-28,5.0,1,7.410457599999997
2022-07-29,0.0,0,8.611223039999997
2022-07-30,0.0,0,-7.1763266560000005
2022-07-31,0.0,0,-3.9716447232000016
2022-08-01,0.0,1,23.552655769599998
2022-08-02,2.0,4,16.010493952
2022-08-03,1.0,1,21.9436611584
2022-08-04,2.0,4,14.141659136000001
2022-08-05,0.0,3,-7.4417132544
2022-08-06,0.0,0,-6.077797580800001
2022-08-07,0.0,2,-2.8893349888000017
2022-08-08,1.0,2,17.0502142976
2022-08-09,0.0,1,10.740328345600002
2022-08-10,18.0,2,3.157966131200001
2022-08-11,3.0,0,10.416662118400001
2022-08-12,3.0,0,6.689441177600002
2022-08-13,0.0,1,-3.8172456960000005
2022-08-14,0.0,0,-3.441022771200002
2022-08-15,0.0,0,12.722828287999999
2022-08-16,3.0,3,11.266358169600002
2022-08-17,52.0,2,26.210725888
2022-08-18,16.0,2,5.6566700032
2022-08-19,1.0,1,-7.447801856000001
2022-08-20,0.0,0,-4.077043302400002
2022-08-21,0.0,0,-2.701084979200001
2022-08-22,20.0,0,18.0731476992
2022-08-23,13.0,0,10.476595200000002
2022-08-24,8.0,1,7.9346693120000005
2022-08-25,0.0,2,5.046182809600001
2022-08-26,0.0,0,15.6251651072
2022-08-27,1.0,2,-5.9873602560000005
2022-08-28,0.0,0,-3.695552000000003
2022-08-29,3.0,2,12.5195008
2022-08-30,1.0,2,14.12091904
2022-08-31,5.0,2,5.488862720000001
2022-09-01,8.0,2,16.318327705599998
2022-09-02,3.0,2,-4.484725657599999
2022-09-03,2.0,2,-4.413671526400001
2022-09-04,3.0,0,-2.7670600704000003
2022-09-05,2.0,1,5.1558506496
2022-09-06,2.0,2,14.15483904
2022-09-07,15.0,1,31.850430976000002
2022-09-08,3.0,2,24.0607555584
2022-09-09,1.0,2,11.6718579712
2022-09-10,0.0,1,-9.163440844800002
2022-09-11,0.0,3,-5.529721651200004
2022-09-12,1.0,1,21.262991359999997
2022-09-13,4.0,1,14.166642176
2022-09-14,4.0,1,7.326327603199999
2022-09-15,0.0,3,14.0247688192
2022-09-16,0.0,1,-7.9362915327999985
2022-09-17,0.0,2,-4.8774020096
2022-09-18,0.0,0,-3.0472947712000007
2022-09-19,1.0,0,15.919153049599998
2022-09-20,0.0,2,22.745666560000004
2022-09-21,6.0,3,9.585939456000002
2022-09-22,4.0,2,7.398654259199999
2022-09-23,0.0,0,6.0782340096
2022-09-24,0.0,0,-5.353161420800001
