,gatsbyjs/gatsby,gohugoio/hugo,vercel/next.js
2017-01-05,3.0,6,12
2017-01-06,1.4000000000000001,6,6
2017-01-07,-0.6400000000000001,2,4
2017-01-08,-0.30400000000000027,1,5
2017-01-09,5.8032,0,4
2017-01-10,-1.3438079999999997,1,5
2017-01-11,6.4076416,3,2
2017-01-12,8.22036224,0,10
2017-01-13,4.161383424,0,3
2017-01-14,-2.755399475200001,1,1
2017-01-15,-1.4227115008000009,2,5
2017-01-16,-0.9523123200000005,0,15
2017-01-17,0.28011212800000007,0,4
2017-01-18,2.2236568576,4,2
2017-01-19,4.907017216,0,3
2017-01-20,2.162350387200001,1,12
2017-01-21,-1.6830074879999994,0,4
2017-01-22,0.17837854719999968,1,5
2017-01-23,-0.6906368000000002,2,2
2017-01-24,14.55417088,1,2
2017-01-25,1.6621153280000005,0,2
2017-01-26,-2.472508006400001,1,7
2017-01-27,0.6630227967999995,1,3
2017-01-28,1.7032042496000002,0,3
2017-01-29,-1.3778441216000001,1,3
2017-01-30,-0.7844997120000005,0,1
2017-01-31,-0.5797141504000003,0,3
2017-02-01,0.5476787200000008,0,2
2017-02-02,1.4235555840000007,0,11
2017-02-03,2.362513408,2,5
2017-02-04,7.112444416,6,1
2017-02-05,-2.0377018367999997,2,4
2017-02-06,15.085855948799999,2,2
2017-02-07,11.2436992,1,1
2017-02-08,1.3168076800000001,0,6
2017-02-09,9.518184448,2,14
2017-02-10,-3.5930553344000007,4,2
2017-02-11,-2.644091596800002,1,2
2017-02-12,-1.7680105472000003,1,8
2017-02-13,-1.3150303232000002,1,3
2017-02-14,1.0277550080000006,0,8
2017-02-15,-1.2079960063999986,1,16
2017-02-16,-0.6738426879999994,1,14
2017-02-17,1.625216921600001,14,8
2017-02-18,-0.6436892671999994,8,5
2017-02-19,-0.22354135040000012,8,2
2017-02-20,-0.13685760000000008,4,2
2017-02-21,-0.10105344000000005,17,4
2017-02-22,8.920152576,4,1
2017-02-23,-1.8657963007999996,3,2
2017-02-24,-0.7538534400000007,3,1
2017-02-25,-0.4607754240000002,4,3
2017-02-26,-0.32733870080000005,2,7
2017-02-27,5.770176,6,8
2017-02-28,-1.3838591999999998,5,8
2017-03-01,0.36765951999999946,9,3
2017-03-02,1.3825105920000005,3,4
2017-03-03,0.2061758464000003,1,1
2017-03-04,1.4387839999999998,3,1
2017-03-05,-0.7321728000000001,3,3
2017-03-06,-0.40229632000000026,0,6
2017-03-07,0.7125729280000002,1,4
2017-03-08,-0.4253364223999998,3,2
2017-03-09,2.800258048,2,0
2017-03-10,1.2529709056000002,4,2
2017-03-11,1.2532201472,4,0
2017-03-12,0.22921922559999997,1,3
2017-03-13,-0.6021675008000001,4,5
2017-03-14,3.6632652799999996,5,5
2017-03-15,2.9580538880000002,3,10
2017-03-16,1.6912208895999998,0,1
2017-03-17,0.7445898239999997,1,0
2017-03-18,0.9131342847999999,3,2
