,elastic/elasticsearch,blevesearch/bleve,apache/solr
2022-07-17,0.0,0,0
2022-07-18,23.0,0,0
2022-07-19,3.8000000000000025,0,3
2022-07-20,5.040000000000001,1,4
2022-07-21,11.768,0,0
2022-07-22,16.6512,1,0
2022-07-23,-14.661696,0,0
2022-07-24,-6.498329600000001,0,0
2022-07-25,25.14557952,0,1
2022-07-26,15.686239744,0,0
2022-07-27,8.450280857600003,0,0
2022-07-28,-0.2597330943999978,0,0
2022-07-29,2.9467708415999994,0,2
2022-07-30,-12.319301632000002,0,0
2022-07-31,-5.547596902400002,0,0
2022-08-01,22.6716076032,0,3
2022-08-02,10.211940352000003,0,3
2022-08-03,15.851389132800001,0,2
2022-08-04,6.439780864000003,0,2
2022-08-05,-14.3348139008,0,2
2022-08-06,-8.5076535296,0,0
2022-08-07,-3.839549337600002,0,0
2022-08-08,16.364412211199998,0,3
2022-08-09,6.431644979200001,0,0
2022-08-10,-1.2067106815999988,1,1
2022-08-11,7.333263564800001,0,0
2022-08-12,2.6193006592000003,0,0
2022-08-13,-7.454624256000001,0,0
2022-08-14,-4.825213030400001,0,0
2022-08-15,12.189938687999998,0,2
2022-08-16,7.994124083200001,0,1
2022-08-17,22.26269696,0,0
2022-08-18,-1.7014803455999967,1,2
2022-08-19,-12.143216639999999,0,2
2022-08-20,-5.4014158848000005,1,0
2022-08-21,-3.311567462400002,0,0
2022-08-22,17.7489700864,0,1
2022-08-23,6.294632960000001,0,0
2022-08-24,3.8332303360000015,0,3
2022-08-25,1.2346883072000026,0,1
2022-08-26,12.427123302400002,0,0
2022-08-27,-11.072612352,0,0
2022-08-28,-5.144896000000001,0,0
2022-08-29,11.9242496,0,2
2022-08-30,10.814400000000001,0,3
2022-08-31,0.921170432000002,0,1
2022-09-01,12.828794163200001,0,1
2022-09-02,-9.834631987199998,0,2
2022-09-03,-6.325100236800001,0,0
2022-09-04,-3.4646530048000006,0,1
2022-09-05,4.808718643199999,0,0
2022-09-06,12.56432128,0,4
2022-09-07,28.064576000000002,0,6
2022-09-08,15.813924556800004,0,0
2022-09-09,3.0386847744000036,0,2
2022-09-10,-15.891890585599999,0,0
2022-09-11,-7.583520870400003,0,1
2022-09-12,20.36640768,0,2
2022-09-13,8.692804096,1,4
2022-09-14,1.6618102784000026,0,3
2022-09-15,9.398965350400001,0,2
2022-09-16,-13.602312089599998,0,3
2022-09-17,-6.530089267200001,0,1
2022-09-18,-3.7361373184000013,0,0
2022-09-19,15.564315443199998,0,6
2022-09-20,18.94899968,0,5
2022-09-21,3.1575490560000024,0,8
2022-09-22,2.3368336384000017,0,4
2022-09-23,1.7426332672000022,0,6
2022-09-24,-9.152651161600001,0,0
2022-09-25,-3.933591756800002,0,1
2022-09-26,29.51122432,0,0
2022-09-27,12.425403904000001,0,2
2022-09-28,1.0151791616000025,0,2
2022-09-29,9.051216793600002,0,1
2022-09-30,1.7257650176000006,0,0
2022-10-01,-12.295546368,0,0
2022-10-02,-6.457143910400001,0,2
2022-10-03,11.0189120512,0,2
2022-10-04,12.0992540672,0,1
2022-10-05,10.543693209600002,0,0
2022-10-06,0.8459995136000025,1,0
2022-10-07,-8.642210918399998,0,1
2022-10-08,-6.3652552704000005,0,0
2022-10-09,-2.4829643776000014,0,0
2022-10-10,22.3245202432,1,0
2022-10-11,16.16464896,0,3
2022-10-12,15.368930816000002,2,4
2022-10-13,0.6366093312000061,0,3
2022-10-14,23.2412430336,0,8
2022-10-15,-20.638002687999997,0,6
2022-10-16,-8.935101030400002,0,3
2022-10-17,9.611698687999997,0,6
2022-10-18,11.1681861632,1,9
2022-10-19,-0.12987801599999926,2,3
2022-10-20,8.2402302976,1,13
2022-10-21,-8.533745868799999,0,12
2022-10-22,-6.8723325952,0,0
2022-10-23,-3.7117256704000012,0,2
2022-10-24,12.793640243199999,0,13
2022-10-25,7.352872960000002,0,4
2022-10-26,3.894831616000001,0,27
2022-10-27,-2.8666789887999986,0,2
2022-10-28,0.9281831936000007,0,17
2022-10-29,-5.7290678272,0,0
2022-10-30,-2.6097206272000006,0,3
2022-10-31,16.2930176,0,3
2022-11-01,16.52767232,0,4
2022-11-02,6.834431488000002,0,0
2022-11-03,12.188037632000002,0,3
2022-11-04,7.865295769600001,0,4
2022-11-05,-12.2420149248,0,0
2022-11-06,-7.6437246976000015,0,0
2022-11-07,14.624209919999998,0,0
2022-11-08,20.311069184,0,4
2022-11-09,10.955553177600002,0,3
2022-11-10,17.163658240000004,0,9
2022-11-11,-12.260668415999994,2,6
2022-11-12,-12.174334976000003,0,0
2022-11-13,-6.189437542400002,0,3
2022-11-14,20.0300496896,0,1
2022-11-15,16.476864512000002,0,0
2022-11-16,9.219352268800002,0,0
2022-11-17,4.9132588032000015,1,1
2022-11-18,11.171466649600003,1,0
2022-11-19,-14.613584895999999,0,0
2022-11-20,-7.464508211200002,0,0
2022-11-21,15.711221759999999,0,1
2022-11-22,16.012329471999998,0,1
2022-11-23,7.552999628800002,0,0
2022-11-24,13.775190220800003,0,1
2022-11-25,-17.8066244608,0,5
2022-11-26,-8.098630553600001,0,0
2022-11-27,-3.768671129600002,0,0
2022-11-28,13.4868504576,0,7
2022-11-29,4.7432794112,0,2
2022-11-30,3.4431373312000026,1,3
2022-12-01,-0.3057654783999979,1,1
2022-12-02,3.4266503168,1,4
