,ramda/ramda,lodash/lodash,jashkenas/underscore
2013-11-21,0.0,5,0
2013-11-22,0.0,4,0
2013-11-23,0.0,3,0
2013-11-24,0.0,4,0
2013-11-25,0.0,1,0
2013-11-26,0.0,3,0
2013-11-27,0.0,3,0
2013-11-28,0.0,1,0
2013-11-29,0.0,4,0
2013-11-30,0.0,11,0
2013-12-01,0.0,4,0
2013-12-02,0.0,5,0
2013-12-03,0.0,3,2
2013-12-04,0.0,3,0
2013-12-05,2.0,7,0
2013-12-06,-0.6000000000000001,3,0
2013-12-07,-0.20999999999999985,4,0
2013-12-08,-0.11899999999999994,7,0
2013-12-09,-0.080325,3,0
2013-12-10,-0.05944049999999999,0,0
2013-12-11,-0.04656172499999999,4,0
2013-12-12,0.9620854525,1,0
2013-12-13,-0.33175343353125014,3,0
2013-12-14,1.867833173534375,8,0
2013-12-15,-0.6595000000000001,1,0
2013-12-16,0.7498375000000002,16,0
2013-12-17,-0.44872025,7,0
2013-12-18,-0.2086058624999999,0,3
2013-12-19,-0.13789777374999995,6,0
2013-12-20,-0.10260094176562504,4,0
2013-12-21,2.9187817892671877,7,2
2013-12-22,-0.9550342960312502,1,1
2013-12-23,-0.3611241002156248,4,0
2013-12-24,0.805623283234375,1,0
2013-12-25,-0.43407091323281255,1,0
2013-12-26,-0.1941607499999999,1,0
2013-12-27,1.8706574125,1,0
2013-12-28,0.3029656787499999,0,0
2013-12-29,-0.587350400296875,2,0
2013-12-30,-0.2880311021984374,0,0
2013-12-31,-0.15878227374999998,2,0
2014-01-01,1.884520283234375,3,1
2014-01-02,-0.6898653882328126,1,1
2014-01-03,-0.27119540999999986,5,4
2014-01-04,-0.16971070728125004,0,0
2014-01-05,-0.12336854323125009,5,0
2014-01-06,-0.07302391323281252,0,0
2014-01-07,-0.04656172499999999,2,0
2014-01-08,-0.037914547500000007,0,0
2014-01-09,-0.03175343353125009,5,0
2014-01-10,0.9728331735343749,2,0
2014-01-11,0.7,1,0
2014-01-12,-0.40499999999999997,5,0
2014-01-13,-0.1644999999999999,3,0
2014-01-14,-0.09966249999999996,2,0
2014-01-15,-0.06988275,1,1
2014-01-16,-0.05300111249999999,4,2
2014-01-17,-0.04223813625,6,0
2014-01-18,-0.03483399051562505,1,0
2014-01-19,-0.02946012999843757,5,0
2014-01-20,-0.013583413232812524,6,2
2014-01-21,0.0,0,7
2014-01-22,0.0,9,2
2014-01-23,0.0,8,1
2014-01-24,0.0,4,2
2014-01-25,0.0,6,0
2014-01-26,0.0,9,2
2014-01-27,0.0,0,7
2014-01-28,0.0,5,0
2014-01-29,0.0,16,1
2014-01-30,0.0,6,1
2014-01-31,0.0,3,7
2014-02-01,0.0,0,9
2014-02-02,0.0,1,13
2014-02-03,0.0,2,16
2014-02-04,0.0,3,0
2014-02-05,0.0,5,0
2014-02-06,0.0,5,0
2014-02-07,0.0,0,3
2014-02-08,0.0,1,3
2014-02-09,0.0,4,0
2014-02-10,0.0,1,17
2014-02-11,0.0,4,4
2014-02-12,2.0,9,3
2014-02-13,3.4,2,4
2014-02-14,-1.4100000000000001,5,6
2014-02-15,2.4610000000000003,7,2
2014-02-16,-1.218325,4,3
2014-02-17,-0.5350904999999997,1,5
2014-02-18,0.6560572750000001,0,0
2014-02-19,-0.5515254975,2,2
2014-02-20,-0.30174327853125005,0,3
2014-02-21,5.779983718971875,4,1
2014-02-22,-1.9513679741812504,5,2
2014-02-23,1.2926495997031253,10,0
2014-02-24,-0.021031102198437512,3,0
2014-02-25,-0.7699322737499998,3,0
2014-02-26,-0.4181982167656249,1,0
2014-02-27,1.7069064117671875,1,0
2014-02-28,-0.8133466425000001,0,0
2014-03-01,-0.3815422755937501,2,2
2014-03-02,-0.26169588939687505,1,2
2014-03-03,-0.13103570728125008,3,6
2014-03-04,1.8975159567687498,6,2
2014-03-05,3.3398548617671873,2,8
2014-03-06,-1.4479145475,3,1
2014-03-07,1.4292465664687501,0,1
2014-03-08,-0.945491826465625,5,0
2014-03-09,1.5699095,6,1
2014-03-10,0.11555727500000001,9,2
