,metabase/metabase,apache/superset,getredash/redash
2023-07-02,0.0,0,0
2023-07-03,11.0,1,1
2023-07-04,6.800000000000001,1,0
2023-07-05,8.32,4,0
2023-07-06,12.552,6,2
2023-07-07,2.1183999999999994,6,6
2023-07-08,-2.7912960000000018,0,3
2023-07-09,-2.3521408000000017,0,1
2023-07-10,9.395450879999999,6,11
2023-07-11,5.5729018880000005,11,6
2023-07-12,-0.6720589823999998,6,0
2023-07-13,8.4421458944,5,1
2023-07-14,5.252117913600001,1,0
2023-07-15,-1.7244463103999994,0,1
2023-07-16,-2.305013964800001,0,1
2023-07-17,7.5792695295999994,0,6
2023-07-18,1.1488122880000007,3,2
2023-07-19,3.6408267776,6,6
2023-07-20,4.4714875904,11,4
2023-07-21,7.2367290368,9,17
2023-07-22,-3.5127297023999997,0,7
2023-07-23,-1.7646027776000008,0,6
2023-07-24,2.8725896191999993,3,3
2023-07-25,9.365478912,5,9
2023-07-26,2.8103030784000005,5,11
2023-07-27,4.269021286399999,7,6
2023-07-28,3.1128027136,6,5
2023-07-29,0.24909342720000005,0,4
2023-07-30,-2.1049047040000004,0,1
2023-07-31,8.79116032,3,6
2023-08-01,13.109330432,2,6
2023-08-02,8.2932798464,5,3
2023-08-03,8.0988430336,7,1
2023-08-04,11.917623193599999,3,0
2023-08-05,-6.0813518848,0,1
2023-08-06,-1.1516432384000015,0,1
2023-08-07,3.481695948799999,2,1
2023-08-08,3.0565529600000003,4,0
2023-08-09,13.949369344,4,0
2023-08-10,5.810913177600001,6,0
2023-08-11,2.2624319487999998,13,0
2023-08-12,-2.8983662591999995,0,0
2023-08-13,-1.3808211968000004,0,0
2023-08-14,20.327379456,3,0
2023-08-15,11.395789107200002,4,1
2023-08-16,9.906034585599999,4,2
2023-08-17,11.6762612736,4,0
2023-08-18,3.0301043712,8,0
2023-08-19,-4.616224358400001,1,1
2023-08-20,-2.4037454848000017,0,0
2023-08-21,7.480089497599999,5,2
2023-08-22,7.132737945600001,3,4
2023-08-23,0.5055772672000014,6,6
2023-08-24,10.6297126912,7,4
2023-08-25,2.262279577600001,5,1
2023-08-26,-2.7906409472,0,0
2023-08-27,-2.2411919360000008,1,0
2023-08-28,11.5650789376,7,0
2023-08-29,4.3146116096,2,2
2023-08-30,4.494052864,7,0
2023-08-31,3.5213869056,7,5
2023-09-01,1.7365094400000003,6,4
2023-09-02,-0.8369796096000002,0,1
2023-09-03,-1.9763355648000007,0,2
2023-09-04,0.7645648895999992,0,1
2023-09-05,6.671363584000001,1,1
2023-09-06,12.4895013888,10,5
2023-09-07,10.777440460800001,3,2
2023-09-08,4.0228400128,2,2
2023-09-09,-4.232949452800001,1,0
2023-09-10,-2.2802677760000014,0,0
2023-09-11,-0.5412625408000009,5,2
2023-09-12,2.6439388159999995,4,6
2023-09-13,3.1898028032,0,0
2023-09-14,0.8786695168000005,5,1
2023-09-15,0.21920358400000084,2,0
2023-09-16,-0.35646566399999946,0,0
2023-09-17,-0.9067969536,0,0
2023-09-18,6.49687808,7,0
2023-09-19,4.223953408,4,0
2023-09-20,2.9393878015999997,2,2
2023-09-21,5.9450102784,3,2
2023-09-22,11.317007872,2,0
2023-09-23,-4.1434621952,0,0
2023-09-24,-2.0075440128000013,0,0
2023-09-25,11.677990809599999,2,0
2023-09-26,8.420893696,5,0
2023-09-27,10.7808202752,5,1
2023-09-28,2.8478283776,3,1
2023-09-29,4.772777472,7,1
2023-09-30,-4.1963507712,6,0
2023-10-01,-2.3545773056000012,0,0
2023-10-02,10.450967039999998,1,0
2023-10-03,7.396719104000001,7,0
2023-10-04,8.858090700800002,9,1
2023-10-05,0.2592791551999998,6,0
2023-10-06,12.574317568,3,0
2023-10-07,-4.1292762112,0,1
2023-10-08,-1.7950657536000012,0,3
2023-10-09,10.02419456,1,2
2023-10-10,10.182299136000001,4,0
2023-10-11,7.1197356032000005,9,0
2023-10-12,15.1091664896,2,1
2023-10-13,6.4139675648,11,1
2023-10-14,-4.882737664,0,0
2023-10-15,-3.436673638400001,1,0
2023-10-16,13.801587097599999,2,4
2023-10-17,7.1372384256000005,7,3
2023-10-18,4.9916751872,4,2
2023-10-19,16.2951317504,9,2
2023-10-20,6.2085373952000005,5,0
2023-10-21,-6.025129984,0,1
2023-10-22,-2.1937820672000017,0,0
2023-10-23,6.686597529599999,3,2
2023-10-24,3.5093319680000006,2,0
2023-10-25,11.529597849600002,3,0
2023-10-26,12.059855155200001,1,0
2023-10-27,5.089181184000001,2,0
2023-10-28,-3.2143494144,0,0
2023-10-29,-2.141639475200001,0,2
2023-10-30,14.848030207999999,1,0
2023-10-31,11.0534102016,9,3
2023-11-01,1.2297754624000001,5,1
2023-11-02,4.6037558272,4,0
2023-11-03,4.61658112,7,0
2023-11-04,-3.2522380288,1,0
2023-11-05,-2.5259305984000013,0,0
2023-11-06,10.3529065472,7,0
2023-11-07,13.3488864256,1,1
2023-11-08,15.632047411200002,8,1
2023-11-09,11.2020407296,7,0
2023-11-10,23.1112558592,0,1
2023-11-11,-8.5842722816,1,1
2023-11-12,-3.9754694656000034,1,0
2023-11-13,13.576064409599997,4,1
2023-11-14,18.114940416,4,0
2023-11-15,12.8749171712,5,1
2023-11-16,15.5731981312,6,0
2023-11-17,13.7221984256,1,0
2023-11-18,-9.4619471872,0,0
2023-11-19,-4.063148544000002,1,0
2023-11-20,9.548441497599999,6,0
2023-11-21,4.8420294656000005,13,0
2023-11-22,9.921635635200001,7,1
2023-11-23,3.064889958400002,0,1
2023-11-24,2.061187993600001,1,1
2023-11-25,-4.158578585599999,0,1
2023-11-26,-2.3206561792000007,0,0
2023-11-27,16.539836928,2,0
2023-11-28,1.259767193600001,6,0
2023-11-29,8.4375093248,6,0
2023-11-30,10.620148736,4,0
2023-12-01,7.712183296000001,5,0
2023-12-02,-5.2501861376,2,0
2023-12-03,-2.7714198528000016,0,0
2023-12-04,17.13831424,5,0
2023-12-05,19.774475264000003,1,0
2023-12-06,4.3277047807999995,2,1
2023-12-07,14.921056153599999,7,0
2023-12-08,8.4161047552,5,0
2023-12-09,-4.1552645120000005,0,1
2023-12-10,-4.479848755200002,0,0
2023-12-11,11.147640319999999,2,0
2023-12-12,13.040463872,3,1
2023-12-13,19.5418881024,3,0
2023-12-14,6.444683776,3,0
2023-12-15,4.8017119232,4,0
2023-12-16,-3.3531439104,1,0
2023-12-17,-4.141923942400001,0,1
2023-12-18,6.373963468799999,5,0
2023-12-19,9.232502272000001,0,0
2023-12-20,13.0926915584,5,1
2023-12-21,1.7538167808000011,1,0
2023-12-22,11.2291741696,4,0
2023-12-23,-5.781096959999999,1,0
2023-12-24,-2.9774225408000015,0,0
2023-12-25,0.04822906879999911,0,0
2023-12-26,-0.8591431680000001,1,0
2023-12-27,9.464048230400001,2,0
2023-12-28,6.740645068800002,2,0
2023-12-29,0.3944224768000004,2,0
2023-12-30,-2.5426301951999997,0,0
2023-12-31,-1.4355032064000004,0,0
2024-01-01,0.13682175999999946,0,0
2024-01-02,13.139821056,1,1
2024-01-03,17.5880476672,6,0
2024-01-04,13.2102834176,5,0
2024-01-05,6.4656531456,0,1
2024-01-06,-5.806180352000001,0,0
2024-01-07,-3.085410201600002,0,1
2024-01-08,12.898414079999998,5,0
2024-01-09,21.397649408,2,0
2024-01-10,3.3105263616,1,2
2024-01-11,17.9361050624,2,2
2024-01-12,19.812729753600003,3,0
2024-01-13,-7.7285979136,0,0
