,libbitcoin/libbitcoin-system,bitcoin/bitcoin,bitcoinj/bitcoinj
2015-05-19,2,7.0,0
2015-05-20,2,6.299999999999999,0
2015-05-21,5,1.9849999999999992,0
2015-05-22,5,3.1854999999999993,0
2015-05-23,4,0.12086249999999998,0
2015-05-24,3,1.3770452500000006,0
2015-05-25,5,-0.6259388374999995,3
2015-05-26,13,9.580709788750001,8
2015-05-27,0,14.673750397640624,1
2015-05-28,0,1.6808589523890616,0
2015-05-29,0,0.41773279570156197,1
2015-05-30,0,-1.143512530920312,0
2015-05-31,0,2.238881384340627,0
2015-06-01,0,9.143326396432814,0
2015-06-02,0,9.420881132428125,0
2015-06-03,0,7.00643617984375,11
2015-06-04,0,20.950232156390626,0
2015-06-05,0,2.5316824648624987,0
2015-06-06,0,4.627826926325,1
2015-06-07,1,-1.1704456688218743,0
2015-06-08,1,1.5092877109531277,3
2015-06-09,35,4.59947129098594,0
2015-06-10,0,10.403352477718752,0
2015-06-11,8,9.798390966214063,3
2015-06-12,0,2.5565386128171874,5
2015-06-13,0,-0.895726622670312,0
2015-06-14,0,-0.17960154007499884,0
2015-06-15,2,9.090535555482814,1
2015-06-16,0,8.368176380917188,1
2015-06-17,0,12.046578809298438,1
2015-06-18,0,2.4640734610968744,0
2015-06-19,0,7.078021769631251,0
2015-06-20,0,-0.06467600425937459,0
2015-06-21,0,0.6077811030546891,2
2015-06-22,0,6.8640287469484385,0
2015-06-23,0,0.3871666298078136,1
2015-06-24,0,-0.20416921551562384,22
2015-06-25,0,6.116569998671876,3
2015-06-26,0,2.708873708168751,0
2015-06-27,0,-1.090379497320312,0
2015-06-28,0,-0.654605791354687,0
2015-06-29,0,0.5742378238968759,1
2015-06-30,0,8.575839135803125,6
2015-07-01,0,4.80097776993125,0
2015-07-02,0,13.8098300581625,1
2015-07-03,0,7.833085671354686,0
2015-07-04,0,-2.145144469814063,10
2015-07-05,0,-0.1932831726437496,5
2015-07-06,2,3.0788101912500014,3
2015-07-07,6,2.918240095734377,4
2015-07-08,0,1.8718264653234387,4
2015-07-09,1,0.9543123803328133,2
2015-07-10,0,14.147378477050001,1
2015-07-11,0,0.9425550693046869,1
2015-07-12,0,0.6938152283906249,0
2015-07-13,0,5.041233601984375,1
2015-07-14,0,3.7517960729015636,6
2015-07-15,0,11.737787474043751,1
2015-07-16,0,-0.06759317919062546,3
2015-07-17,0,3.666066835110938,0
2015-07-18,0,3.6195594859437508,1
2015-07-19,24,-0.3870434445859363,0
2015-07-20,0,15.104951826360939,1
2015-07-21,4,0.7761717730843749,1
2015-07-22,4,2.498826993456251,3
2015-07-23,2,4.653373963117188,5
2015-07-24,10,4.538182997251564,3
2015-07-25,10,-0.4371252638999994,0
2015-07-26,10,-0.9835219740078116,0
2015-07-27,5,17.32701024680469,0
2015-07-28,7,4.703403500464063,10
2015-07-29,4,2.086203560378125,1
2015-07-30,8,-0.45312081217031275,1
2015-07-31,0,3.9778455217625015,0
2015-08-01,14,0.7873643104406263,0
2015-08-02,11,-0.9458449032312488,0
2015-08-03,6,11.382151027464063,0
2015-08-04,6,2.3210371919687502,0
2015-08-05,2,6.66239691574375,1
2015-08-06,0,4.471797521435937,0
2015-08-07,0,6.553093770590626,4
2015-08-08,16,1.3475211898859376,7
2015-08-09,1,-1.2798420387109366,0
2015-08-10,13,10.181520889928127,0
2015-08-11,3,7.288008858812501,0
2015-08-12,16,0.10729737250625027,0
2015-08-13,0,-0.24885044176874982,0
2015-08-14,4,2.073376194118751,0
