,iterate-ch/cyberduck,rclone/rclone,aws/aws-cli
2012-11-18,0.0,2,0.0
2012-11-19,0.0,0,0.0
2012-11-20,0.0,1,0.0
2012-11-21,9.0,0,1.0
2012-11-22,3.400000000000001,0,-0.10000000000000009
2012-11-23,-1.8799999999999994,0,-0.04500000000000003
2012-11-24,1.7840000000000003,0,-0.028500000000000022
2012-11-25,-2.6624,0,-0.020662499999999924
2012-11-26,-1.1687680000000005,0,-0.016116749999999947
2012-11-27,8.244467199999999,2,-0.01316201249999996
2012-11-28,-4.152381439999999,9,-0.011093696249999967
2012-11-29,3.4892702719999997,2,-0.009568313015624975
2012-11-30,-0.9258673151999997,0,-0.008398852535937478
2012-12-01,-1.9677807616000003,3,0.0
2012-12-02,-0.9157871616000002,0,0.0
2012-12-03,6.4061385728,1,1.0
2012-12-04,-0.19829503999999964,1,3.9
2012-12-05,-2.3511214079999996,0,-0.4450000000000004
2012-12-06,-1.0609626112,0,-0.20850000000000016
2012-12-07,-0.5957196800000003,0,-0.13466250000000002
2012-12-08,-0.4287662080000002,0,-0.09876674999999964
2012-12-09,-0.2761947136000001,0,0.9223709875000002
2012-12-10,-0.19748352,0,-0.1637417462499999
2012-12-11,16.838798336,0,0.9010569019843752
2012-12-12,-6.935054233599999,0,-0.1751721045984375
2012-12-13,0.9216055295999999,0,-0.09925791014374988
2012-12-14,-2.288,0,0.95538325
2012-12-15,0.9327999999999992,0,-0.13382451249999996
2012-12-16,-1.501184,0,-0.07221044624999995
2012-12-17,10.2448256,0,-0.05123032551562495
2012-12-18,-3.9301555199999987,0,-0.04015504878593737
2012-12-19,6.870263296,0,3.974314936984375
2012-12-20,7.2434156544000015,0,2.578439134964062
2012-12-21,9.507006464,0,17.50890630375
2012-12-22,-1.8622075903999988,0,-2.058568313015627
2012-12-23,-5.175258624,4,1.0134511474640622
2012-12-24,-2.2834036736000005,1,0.1605454999999999
2012-12-25,-0.3847761920000008,0,-0.6629232999999984
2012-12-26,13.648739123199999,2,0.5240376775000011
2012-12-27,-1.692321484799999,0,0.521704434187501
2012-12-28,-0.2712753151999996,1,-0.4598828816906242
2012-12-29,-2.404778393599999,1,-0.3133669668890619
2012-12-30,-2.8616982528000006,0,-0.23569125064687443
2012-12-31,-1.4578717696000005,2,-0.06700957228124979
