,apache/tomcat,spring-projects/spring-framework,apache/struts
2012-07-10,1,6,0
2012-07-11,13,0,0
2012-07-12,35,0,0
2012-07-13,18,0,0
2012-07-14,0,0,0
2012-07-15,20,0,0
2012-07-16,5,2,0
2012-07-17,0,1,0
2012-07-18,0,3,0
2012-07-19,0,0,0
2012-07-20,0,3,1
2012-07-21,11,2,7
2012-07-22,7,0,0
2012-07-23,0,0,2
2012-07-24,0,1,1
2012-07-25,0,2,0
2012-07-26,0,2,0
2012-07-27,1,2,0
2012-07-28,9,4,0
2012-07-29,7,0,2
2012-07-30,10,0,1
2012-07-31,1,0,2
2012-08-01,0,0,1
2012-08-02,0,1,0
2012-08-03,0,9,2
2012-08-04,0,0,0
2012-08-05,0,1,0
2012-08-06,1,0,0
2012-08-07,38,0,0
2012-08-08,16,1,0
2012-08-09,4,11,0
2012-08-10,4,2,0
2012-08-11,5,1,0
2012-08-12,6,0,0
2012-08-13,2,4,0
2012-08-14,4,1,0
2012-08-15,8,0,0
2012-08-16,26,2,0
2012-08-17,0,4,0
2012-08-18,2,0,0
2012-08-19,2,0,0
2012-08-20,0,2,0
2012-08-21,0,5,0
2012-08-22,0,5,1
2012-08-23,0,2,1
2012-08-24,2,3,0
2012-08-25,6,1,0
2012-08-26,14,0,0
2012-08-27,15,3,0
2012-08-28,11,3,0
2012-08-29,8,7,0
2012-08-30,9,1,0
2012-08-31,8,4,4
2012-09-01,2,0,0
2012-09-02,3,0,0
2012-09-03,11,0,1
2012-09-04,13,6,0
2012-09-05,2,4,0
2012-09-06,3,4,4
2012-09-07,0,1,2
2012-09-08,6,3,0
2012-09-09,3,4,0
2012-09-10,2,16,0
2012-09-11,3,13,0
2012-09-12,13,2,4
2012-09-13,0,0,0
2012-09-14,0,0,0
2012-09-15,1,0,1
2012-09-16,1,0,0
2012-09-17,0,3,0
2012-09-18,4,1,0
2012-09-19,1,1,0
2012-09-20,1,0,0
2012-09-21,1,5,0
2012-09-22,3,0,0
2012-09-23,15,1,0
2012-09-24,1,9,1
2012-09-25,2,7,0
2012-09-26,6,5,2
2012-09-27,2,2,0
2012-09-28,0,0,0
2012-09-29,0,0,0
2012-09-30,1,0,0
2012-10-01,8,0,0
2012-10-02,3,1,0
2012-10-03,2,0,0
2012-10-04,2,1,0
2012-10-05,0,2,6
2012-10-06,0,2,0
2012-10-07,0,3,0
2012-10-08,0,1,0
2012-10-09,0,0,0
2012-10-10,4,24,0
2012-10-11,3,0,7
2012-10-12,13,25,4
2012-10-13,13,3,0
2012-10-14,17,0,0
2012-10-15,0,4,0
2012-10-16,1,1,1
2012-10-17,2,1,2
2012-10-18,1,1,0
2012-10-19,0,0,2
2012-10-20,0,2,0
2012-10-21,0,0,0
2012-10-22,6,9,4
2012-10-23,3,3,0
2012-10-24,7,7,0
2012-10-25,11,8,0
2012-10-26,17,8,0
2012-10-27,2,9,0
2012-10-28,1,11,0
2012-10-29,1,2,0
2012-10-30,0,21,0
2012-10-31,1,27,0
2012-11-01,4,7,0
2012-11-02,3,8,0
2012-11-03,10,10,0
2012-11-04,1,9,0
2012-11-05,1,9,1
2012-11-06,10,3,14
2012-11-07,8,2,0
2012-11-08,0,9,0
