,mlpack/mlpack,scikit-learn/scikit-learn,statsmodels/statsmodels
2018-01-05,21.0,2,0
2018-01-06,-6.5,1,0
2018-01-07,-2.625,1,4
2018-01-08,0.1875,5,22
2018-01-09,2.1796875,4,1
2018-01-10,-3.73046875,3,0
2018-01-11,13.5693359375,6,0
2018-01-12,-6.40478515625,0,0
2018-01-13,6.467254638671875,1,1
2018-01-14,-5.6994476318359375,3,3
2018-01-15,4.318359375,1,3
2018-01-16,4.12005615234375,2,1
2018-01-17,0.7113800048828125,3,2
2018-01-18,11.287734985351562,5,2
2018-01-19,-6.671966552734375,2,1
2018-01-20,-2.4769439697265625,0,1
2018-01-21,0.105560302734375,1,3
2018-01-22,3.0999755859375,4,2
2018-01-23,3.8002777099609375,3,0
2018-01-24,1.4928131103515625,6,0
2018-01-25,-3.3465728759765625,2,2
2018-01-26,9.129776000976562,0,0
2018-01-27,-1.2861785888671875,1,0
2018-01-28,2.837982177734375,1,0
2018-01-29,10.094100952148438,1,1
2018-01-30,4.903289794921875,1,0
2018-01-31,-1.7010345458984375,3,0
2018-02-01,12.876663208007812,4,1
2018-02-02,-6.639739990234375,2,1
2018-02-03,-8.965133666992188,1,2
2018-02-04,5.0697479248046875,0,1
2018-02-05,14.070938110351562,2,0
2018-02-06,-5.3227081298828125,1,0
2018-02-07,2.5865020751953125,3,0
2018-02-08,4.01190185546875,5,0
2018-02-09,2.032562255859375,2,0
2018-02-10,-4.728546142578125,3,1
2018-02-11,-1.1239013671875,1,0
2018-02-12,4.696136474609375,5,0
2018-02-13,-2.4893341064453125,4,2
2018-02-14,5.6363677978515625,5,0
2018-02-15,140.23110961914062,0,0
2018-02-16,-65.80094909667969,2,0
2018-02-17,-25.638290405273438,3,0
2018-02-18,-4.673431396484375,5,0
2018-02-19,-4.6532135009765625,2,2
2018-02-20,4.1568145751953125,3,0
2018-02-21,-3.375244140625,0,0
2018-02-22,-3.0823516845703125,4,0
2018-02-23,-0.4731597900390625,1,0
2018-02-24,12.675872802734375,2,0
2018-02-25,-5.2738189697265625,2,2
2018-02-26,33.654449462890625,7,5
2018-02-27,-5.5909576416015625,5,0
2018-02-28,-2.02276611328125,6,0
2018-03-01,16.880386352539062,3,0
2018-03-02,-1.35675048828125,1,0
2018-03-03,16.4278564453125,1,13
2018-03-04,-16.080886840820312,1,3
2018-03-05,-9.706817626953125,3,40
2018-03-06,6.3097076416015625,2,2
2018-03-07,-4.5198822021484375,6,0
2018-03-08,-3.178497314453125,4,0
2018-03-09,22.639556884765625,1,0
2018-03-10,-11.6888427734375,1,0
2018-03-11,6.3670196533203125,0,0
2018-03-12,-5.4458160400390625,1,1
2018-03-13,-1.2006988525390625,2,1
2018-03-14,6.6683349609375,2,0
2018-03-15,9.519851684570312,2,0
2018-03-16,17.937835693359375,2,0
2018-03-17,-15.10992431640625,1,0
2018-03-18,-6.179534912109375,2,0
2018-03-19,1.1728057861328125,0,6
2018-03-20,-0.70892333984375,0,8
2018-03-21,0.9659271240234375,0,7
2018-03-22,2.6955718994140625,5,20
2018-03-23,-0.2835693359375,0,5
2018-03-24,1.571014404296875,2,17
2018-03-25,-3.656036376953125,1,2
2018-03-26,9.00439453125,1,1
2018-03-27,-4.444610595703125,2,0
2018-03-28,3.04583740234375,1,0
2018-03-29,2.7204132080078125,1,2
2018-03-30,18.003631591796875,1,3
2018-03-31,-0.20245361328125,1,0
2018-04-01,-8.2908935546875,1,0
2018-04-02,0.3886566162109375,2,0
2018-04-03,16.222930908203125,4,0
2018-04-04,-5.587677001953125,2,0
2018-04-05,-0.3704681396484375,1,4
2018-04-06,0.4536590576171875,2,10
2018-04-07,-1.2120361328125,0,1
2018-04-08,-5.03057861328125,0,0
2018-04-09,1.9788818359375,2,0
2018-04-10,3.8389129638671875,1,2
2018-04-11,-1.787078857421875,2,1
2018-04-12,-3.153350830078125,2,3
2018-04-13,5.8333740234375,3,12
2018-04-14,-4.1334228515625,2,5
2018-04-15,2.77801513671875,0,1
2018-04-16,9.40338134765625,5,2
2018-04-17,4.1853485107421875,2,12
2018-04-18,-6.4395599365234375,1,12
2018-04-19,0.14501953125,1,23
2018-04-20,1.149322509765625,1,4
2018-04-21,0.8164825439453125,3,2
2018-04-22,-3.228790283203125,2,11
2018-04-23,4.8196258544921875,5,3
2018-04-24,-0.7013092041015625,0,7
2018-04-25,2.3172760009765625,7,7
2018-04-26,0.5626220703125,4,8
2018-04-27,-0.058074951171875,0,9
2018-04-28,-2.557830810546875,0,2
2018-04-29,-1.9359283447265625,0,5
2018-04-30,7.0031585693359375,0,4
2018-05-01,-2.6455230712890625,0,3
2018-05-02,0.5236053466796875,3,3
2018-05-03,1.4378662109375,3,2
2018-05-04,4.97161865234375,5,0
2018-05-05,-0.1074066162109375,0,4
2018-05-06,-4.142669677734375,3,0
2018-05-07,-0.5441131591796875,2,4
2018-05-08,0.567138671875,1,4
2018-05-09,0.21710205078125,2,2
2018-05-10,2.26116943359375,0,0
2018-05-11,6.2693939208984375,1,2
2018-05-12,-2.45941162109375,1,1
2018-05-13,-2.181060791015625,0,7
2018-05-14,3.2398834228515625,0,9
2018-05-15,1.640228271484375,2,2
2018-05-16,3.2978668212890625,1,4
2018-05-17,9.144378662109375,0,2
2018-05-18,-1.690887451171875,3,32
2018-05-19,1.750152587890625,0,40
2018-05-20,0.5837249755859375,1,2
2018-05-21,1.0952911376953125,0,2
2018-05-22,-3.8317413330078125,2,0
2018-05-23,10.663681030273438,4,1
2018-05-24,-7.6950225830078125,4,2
2018-05-25,-2.3763580322265625,3,3
2018-05-26,-0.286376953125,1,9
2018-05-27,2.7734832763671875,0,4
2018-05-28,-1.567108154296875,0,1
2018-05-29,-2.3037567138671875,3,10
2018-05-30,0.9833831787109375,9,1
2018-05-31,6.383270263671875,3,4
2018-06-01,2.31219482421875,3,8
2018-06-02,-1.8384552001953125,1,5
2018-06-03,-0.1118011474609375,0,4
2018-06-04,9.2008056640625,8,5
2018-06-05,-4.1764373779296875,0,3
2018-06-06,2.285797119140625,7,2
2018-06-07,-2.62286376953125,1,7
2018-06-08,10.210845947265625,2,3
2018-06-09,14.140899658203125,0,0
2018-06-10,-5.4764862060546875,3,7
2018-06-11,-2.1315765380859375,3,8
2018-06-12,1.7012786865234375,3,6
2018-06-13,2.227264404296875,2,34
2018-06-14,-1.1991729736328125,9,1
2018-06-15,-5.830413818359375,5,3
2018-06-16,4.5003662109375,1,0
2018-06-17,22.872879028320312,4,2
2018-06-18,-12.960968017578125,5,1
2018-06-19,-0.08087158203125,1,1
2018-06-20,-3.836700439453125,7,8
2018-06-21,7.475555419921875,9,12
