,rust-lang/rust,JuliaLang/julia,python/cpython
2022-06-16,89,9,11.0
2022-06-17,68,11,13.899999999999999
2022-06-18,71,3,5.004999999999998
2022-06-19,69,7,9.311499999999999
2022-06-20,100,9,4.9302125
2022-06-21,84,10,23.11827825
2022-06-22,105,7,9.3403291125
2022-06-23,105,4,10.71593440375
2022-06-24,65,4,9.616787275578126
2022-06-25,74,1,6.611770165620314
2022-06-26,94,2,11.937343024601564
2022-06-27,98,5,6.609957652826564
2022-06-28,140,3,9.937938862245314
2022-06-29,115,6,6.779871230607814
2022-06-30,165,16,8.998117707398439
2022-07-01,106,2,9.012144108564064
2022-07-02,117,0,0.9948808452937516
2022-07-03,74,6,0.7989634681265643
2022-07-04,84,3,4.259326154406252
2022-07-05,107,22,12.21214490555469
2022-07-06,128,12,2.4911912929375006
2022-07-07,97,7,10.076608781876564
2022-07-08,125,7,4.619094063453125
2022-07-09,70,5,4.932057690881251
2022-07-10,50,3,1.0627403537562508
2022-07-11,116,3,5.543835548309376
2022-07-12,65,10,3.3237332542984386
2022-07-13,97,13,4.444283121315626
2022-07-14,103,7,9.41001130691875
2022-07-15,97,5,3.9679082698828125
2022-07-16,68,5,4.232963917209375
2022-07-17,77,5,4.360755914889063
2022-07-18,108,7,13.404049156951563
2022-07-19,94,8,4.531125445032813
2022-07-20,171,10,13.915346652170314
2022-07-21,111,6,2.136417625476562
2022-07-22,81,7,12.8726831891125
2022-07-23,63,6,5.1372797415109375
2022-07-24,109,4,5.567287391690627
2022-07-25,112,7,14.684976975440627
2022-07-26,114,6,13.8393128658
2022-07-27,97,3,10.463678568351563
2022-07-28,115,1,12.591482355248438
2022-07-29,97,4,6.351378750596876
2022-07-30,85,5,2.876188122085939
2022-07-31,77,0,1.4157071753359398
2022-08-01,85,3,13.932681126837503
2022-08-02,96,3,1.9817938471968768
2022-08-03,103,8,7.709511738123439
2022-08-04,134,4,18.553793359670312
2022-08-05,65,3,9.451847018746875
2022-08-06,72,5,4.75954450176875
2022-08-07,63,3,-2.6670741384531245
2022-08-08,72,3,8.342444430221878
2022-08-09,111,7,3.7911587253562518
2022-08-10,97,5,5.005619819346877
2022-08-11,76,5,12.074314823414063
2022-08-12,109,4,4.3729377500625
2022-08-13,61,2,4.795843957542188
2022-08-14,57,1,1.027310287907813
2022-08-15,80,4,6.526307892212501
2022-08-16,106,4,6.240848604843751
2022-08-17,88,11,7.093722797796876
2022-08-18,104,8,10.972378108675
2022-08-19,89,6,9.490811438779687
2022-08-20,79,5,-1.6374380378624998
2022-08-21,117,1,3.4102561523890635
2022-08-22,133,7,3.417794173201564
2022-08-23,134,3,8.48008150576719
2022-08-24,87,5,7.003749746837501
2022-08-25,67,3,7.932602911321876
2022-08-26,112,8,7.779839640473438
2022-08-27,92,0,4.705382652095313
2022-08-28,80,2,-0.01376308719687458
2022-08-29,87,14,11.604995226135939
2022-08-30,100,16,16.72347659724219
2022-08-31,124,21,1.7830542159140625
2022-09-01,94,17,2.7076973200000003
2022-09-02,87,12,3.058310147020314
2022-09-03,53,10,3.2467431957343775
2022-09-04,60,0,6.378708978531252
2022-09-05,82,6,9.17637886746719
2022-09-06,75,19,5.795827684475
2022-09-07,74,11,8.880842175985938
2022-09-08,96,3,6.651917942989063
2022-09-09,88,2,4.809664128492188
2022-09-10,72,1,1.9883153409921883
2022-09-11,54,5,1.3489109647421889
2022-09-12,126,9,0.6113857244453142
2022-09-13,115,11,8.855337779040626
2022-09-14,103,16,4.219610096729689
2022-09-15,75,17,4.402125882790625
2022-09-16,94,7,2.4465186312140625
2022-09-17,58,7,5.693712813567188
2022-09-18,46,3,2.507187166435938
2022-09-19,70,7,6.734216633309376
2022-09-20,82,7,6.406907278860938
2022-09-21,86,11,3.2588804122718757
2022-09-22,103,7,4.455924119046875
2022-09-23,99,1,2.4729211341906256
2022-09-24,93,2,1.674295708971876
2022-09-25,68,1,3.866509013746876
2022-09-26,101,5,4.755330360185939
2022-09-27,140,10,2.6454479532312507
2022-09-28,64,5,6.782867619337501
2022-09-29,77,14,2.4630946371343754
2022-09-30,82,12,7.7381762867265635
2022-10-01,104,2,1.324891981471875
2022-10-02,91,7,4.754492094559376
2022-10-03,83,11,20.60466764981406
2022-10-04,65,9,29.944995474226562
2022-10-05,65,11,22.101897762721872
2022-10-06,78,14,13.742699938231247
2022-10-07,116,15,41.1484311239
2022-10-08,60,6,6.507105608965624
2022-10-09,83,1,-2.561661314370311
2022-10-10,108,17,6.170246084298441
2022-10-11,64,0,6.226944434690631
2022-10-12,74,6,8.383717378443755
2022-10-13,68,8,-0.5743613888578092
2022-10-14,87,5,-1.483120418267184
2022-10-15,68,5,13.26068911809844
2022-10-16,70,4,4.275177687378127
2022-10-17,77,3,8.952265537950002
2022-10-18,65,7,9.698726449735936
2022-10-19,93,5,12.427163701984377
2022-10-20,104,8,11.014859867203125
2022-10-21,78,7,4.904880196771876
2022-10-22,64,5,4.423961348126563
2022-10-23,101,2,2.663299940979689
2022-10-24,106,16,13.953037962101565
2022-10-25,92,9,15.089967546576563
2022-10-26,95,9,10.506047747167187
2022-10-27,99,9,6.612951476834375
2022-10-28,74,5,8.004993422242189
2022-10-29,109,8,5.083610624121876
2022-10-30,39,1,2.440393807353127
2022-10-31,70,4,6.873191602170314
2022-11-01,71,8,9.679503021570314
2022-11-02,72,23,15.316372602643751
2022-11-03,52,12,20.630398672134376
2022-11-04,105,9,4.740859925590624
2022-11-05,102,2,4.770199648968751
2022-11-06,69,8,11.20281352422969
2022-11-07,158,5,11.824678698384377
2022-11-08,78,15,12.57108584017969
2022-11-09,122,6,5.309664988489064
2022-11-10,95,8,18.8765683127875
2022-11-11,86,1,9.817469775728126
2022-11-12,85,0,6.220443726996876
2022-11-13,71,3,7.794291388051564
2022-11-14,72,5,18.873229403743753
2022-11-15,102,8,4.819090616762502
2022-11-16,70,6,12.69575716246094
2022-11-17,70,3,2.330719049784376
2022-11-18,97,1,3.218616318332815
2022-11-19,105,8,0.5590187619906271
2022-11-20,106,2,2.158487250590628
2022-11-21,130,8,5.360397601468753
2022-11-22,80,4,17.20049876951094
2022-11-23,90,3,4.98495121206875
2022-11-24,86,3,12.640282816426563
2022-11-25,170,3,5.09155576633125
2022-11-26,80,2,10.597863117940626
2022-11-27,88,2,8.2253748232375
2022-11-28,100,12,6.256924579079689
2022-11-29,100,9,7.410798819996876
2022-11-30,65,9,11.357183827451564
2022-12-01,90,4,-0.05113149605781153
