,pulsar-edit/pulsar,microsoft/vscode,neovim/neovim
2023-11-13,3,50,24
2023-11-14,3,56,15
2023-11-15,2,77,2
2023-11-16,17,57,18
2023-11-17,5,83,30
2023-11-18,3,5,6
2023-11-19,0,9,4
2023-11-20,0,43,7
2023-11-21,2,62,8
2023-11-22,0,33,11
2023-11-23,4,39,13
2023-11-24,1,35,5
2023-11-25,0,2,8
2023-11-26,0,7,9
2023-11-27,0,60,22
2023-11-28,0,28,18
2023-11-29,4,67,20
2023-11-30,0,33,22
2023-12-01,0,43,9
2023-12-02,1,7,11
2023-12-03,0,7,3
2023-12-04,0,42,7
2023-12-05,0,62,9
2023-12-06,1,63,18
2023-12-07,1,39,19
2023-12-08,1,64,9
2023-12-09,0,6,12
2023-12-10,0,9,3
2023-12-11,0,24,7
2023-12-12,4,47,13
2023-12-13,3,41,12
2023-12-14,0,39,14
2023-12-15,1,67,8
2023-12-16,19,8,18
2023-12-17,0,5,6
2023-12-18,4,48,12
2023-12-19,8,63,14
2023-12-20,0,38,7
2023-12-21,0,4,11
2023-12-22,0,2,19
2023-12-23,0,1,9
2023-12-24,0,1,7
2023-12-25,0,0,8
2023-12-26,0,0,7
2023-12-27,0,0,8
2023-12-28,0,0,18
2023-12-29,1,2,3
2023-12-30,1,7,9
2023-12-31,2,1,1
2024-01-01,0,0,8
2024-01-02,0,2,21
2024-01-03,16,17,7
2024-01-04,0,26,9
2024-01-05,0,33,9
2024-01-06,1,1,5
2024-01-07,24,1,2
2024-01-08,0,55,4
2024-01-09,3,33,9
2024-01-10,1,36,2
2024-01-11,62,40,5
2024-01-12,5,37,14
2024-01-13,5,5,10
2024-01-14,1,10,9
2024-01-15,1,31,7
2024-01-16,12,34,17
2024-01-17,1,42,23
2024-01-18,20,60,14
2024-01-19,4,33,9
2024-01-20,20,4,5
2024-01-21,13,1,8
2024-01-22,5,62,23
2024-01-23,2,28,12
2024-01-24,1,39,17
2024-01-25,7,25,11
2024-01-26,1,29,8
2024-01-27,10,3,11
2024-01-28,6,0,15
2024-01-29,12,54,16
2024-01-30,8,47,1
2024-01-31,0,61,4
2024-02-01,1,47,12
2024-02-02,5,51,7
2024-02-03,3,4,12
2024-02-04,3,1,4
2024-02-05,1,24,10
2024-02-06,2,29,13
2024-02-07,0,55,5
2024-02-08,0,41,23
2024-02-09,5,60,11
2024-02-10,7,9,14
2024-02-11,3,3,13
2024-02-12,0,61,15
2024-02-13,0,90,9
2024-02-14,0,35,2
2024-02-15,6,59,14
2024-02-16,13,62,17
2024-02-17,1,3,6
2024-02-18,2,6,11
2024-02-19,0,48,9
2024-02-20,1,23,9
2024-02-21,0,50,9
2024-02-22,0,35,16
2024-02-23,0,52,5
2024-02-24,0,5,13
2024-02-25,0,1,9
2024-02-26,0,44,9
2024-02-27,0,44,8
2024-02-28,0,44,14
2024-02-29,0,31,10
2024-03-01,2,19,12
2024-03-02,1,4,6
2024-03-03,8,4,9
2024-03-04,1,47,5
2024-03-05,1,15,3
2024-03-06,0,40,11
2024-03-07,4,65,8
2024-03-08,0,40,26
2024-03-09,2,3,14
2024-03-10,2,0,14
2024-03-11,0,39,19
2024-03-12,0,67,13
2024-03-13,0,67,9
2024-03-14,0,51,17
2024-03-15,0,59,12
2024-03-16,4,4,17
2024-03-17,0,6,6
2024-03-18,5,63,12
2024-03-19,1,41,22
2024-03-20,4,77,7
2024-03-21,4,101,15
2024-03-22,2,69,3
2024-03-23,6,12,10
2024-03-24,0,11,7
2024-03-25,2,10,13
2024-03-26,1,66,9
2024-03-27,0,35,17
2024-03-28,0,70,20
2024-03-29,1,28,14
2024-03-30,0,12,6
2024-03-31,4,10,10
2024-04-01,1,71,21
2024-04-02,0,46,9
2024-04-03,0,54,7
2024-04-04,5,48,3
2024-04-05,3,37,16
2024-04-06,9,8,12
2024-04-07,0,8,5
2024-04-08,2,60,9
2024-04-09,0,56,20
2024-04-10,2,31,13
2024-04-11,0,25,10
2024-04-12,4,35,21
2024-04-13,2,13,15
2024-04-14,6,2,16
2024-04-15,8,18,10
2024-04-16,4,38,26
2024-04-17,0,52,5
2024-04-18,4,45,8
2024-04-19,4,66,6
2024-04-20,2,5,8
2024-04-21,1,2,11
2024-04-22,0,44,10
2024-04-23,0,34,10
2024-04-24,0,48,3
2024-04-25,0,30,12
2024-04-26,0,42,18
2024-04-27,0,12,7
2024-04-28,2,24,9
2024-04-29,0,33,12
2024-04-30,7,15,5
2024-05-01,0,22,7
2024-05-02,0,32,14
2024-05-03,0,54,9
2024-05-04,0,0,2
2024-05-05,1,1,5
2024-05-06,14,32,3
2024-05-07,3,23,15
2024-05-08,0,36,4
2024-05-09,1,33,3
2024-05-10,1,32,4
2024-05-11,2,2,11
2024-05-12,0,2,5
2024-05-13,2,56,2
2024-05-14,1,28,14
2024-05-15,4,39,13
2024-05-16,10,37,13
2024-05-17,2,15,10
2024-05-18,3,1,3
2024-05-19,1,3,6
2024-05-20,1,23,15
2024-05-21,1,26,14
2024-05-22,0,35,8
2024-05-23,0,27,11
2024-05-24,0,26,18
2024-05-25,0,7,15
2024-05-26,0,4,15
2024-05-27,0,33,15
2024-05-28,1,14,13
2024-05-29,0,45,1
2024-05-30,0,31,10
2024-05-31,0,37,13
2024-06-01,0,2,17
2024-06-02,0,1,9
2024-06-03,1,40,4
2024-06-04,0,52,16
2024-06-05,0,40,10
2024-06-06,1,31,4
2024-06-07,2,33,6
2024-06-08,1,5,4
2024-06-09,0,2,9
