,BabylonJS/Babylon.js,mrdoob/three.js,playcanvas/engine
2013-11-16,0,1.7538557952000002,0
2013-11-17,0,-1.0336898047999998,4
2013-11-18,0,14.6662250496,11
2013-11-19,0,-1.0422347775999992,8
2013-11-20,0,4.571938099199999,8
2013-11-21,0,1.1748541439999993,12
2013-11-22,0,1.6670989311999995,4
2013-11-23,0,-0.18971535360000047,3
2013-11-24,0,1.3000375296,1
2013-11-25,1,12.338468966399999,27
2013-11-26,1,-1.8089985023999988,6
2013-11-27,0,-2.2762189824000005,5
2013-11-28,0,-1.2714161152,2
2013-11-29,2,-0.8964087807999999,0
2013-11-30,0,-0.6272720895999999,0
2013-12-01,0,1.5334918144,0
2013-12-02,0,4.2540664832,0
2013-12-03,1,4.567310540800001,0
2013-12-04,0,12.1006536704,0
2013-12-05,1,-0.6121387008000001,2
2013-12-06,5,3.7729279999999985,0
2013-12-07,0,-1.4821376000000006,1
2013-12-08,0,4.416386559999999,1
2013-12-09,0,-1.2622858240000001,1
2013-12-10,1,3.5093512191999996,4
2013-12-11,3,8.998250496,4
2013-12-12,0,-0.3247330303999987,0
2013-12-13,1,-1.2465391616000003,4
2013-12-14,0,0.5752301567999998,0
2013-12-15,0,1.6675270655999999,0
2013-12-16,0,3.5924376576,1
2013-12-17,0,-1.8447622144,2
2013-12-18,2,4.031375769599999,3
2013-12-19,0,5.3163074560000005,3
2013-12-20,0,0.7172816896000005,1
2013-12-21,1,-1.6746156032000006,2
2013-12-22,0,0.061831065599999624,3
2013-12-23,0,-0.8596154368,1
2013-12-24,0,10.4289573888,0
2013-12-25,0,3.3854100480000007,0
2013-12-26,0,-1.3653120000000003,0
2013-12-27,0,-0.4473768960000002,0
2013-12-28,0,0.9115226112000001,0
2013-12-29,0,2.9351692288,2
2013-12-30,0,-0.43392051200000026,3
2013-12-31,1,5.0036279295999995,1
2014-01-01,1,-0.8449899519999993,0
2014-01-02,2,-1.1743166463999999,17
2014-01-03,2,3.3492678656,25
2014-01-04,1,4.782438297600001,7
2014-01-05,7,-1.8361964544,2
2014-01-06,3,2.0804749311999995,9
2014-01-07,3,4.7913457664,17
2014-01-08,0,2.1405336576000003,16
2014-01-09,1,8.2518649856,10
2014-01-10,1,9.0884509696,6
2014-01-11,0,-2.8293191680000005,0
2014-01-12,0,-2.125106073600001,1
2014-01-13,5,10.6576869376,12
2014-01-14,3,13.667001344,9
2014-01-15,1,25.9042387968,17
2014-01-16,5,-7.708315750400001,1
2014-01-17,2,-4.316503961600002,8
2014-01-18,0,-2.759904768,0
2014-01-19,2,-1.9328775168,0
2014-01-20,18,0.611904409599999,12
2014-01-21,4,6.480764416,14
2014-01-22,5,0.30061957120000127,10
2014-01-23,6,-2.010924748799998,0
2014-01-24,2,6.907862425600001,0
2014-01-25,1,0.9236586496000001,0
2014-01-26,3,5.4140543999999995,0
2014-01-27,1,42.70210816,0
2014-01-28,0,5.801724416000001,0
2014-01-29,3,23.368091443199997,8
2014-01-30,0,3.7418436608000007,0
2014-01-31,0,6.027139788799998,0
2014-02-01,0,-2.4036034560000026,0
2014-02-02,1,-5.4228769792000024,0
2014-02-03,0,-3.5607012352000016,3
2014-02-04,1,-0.7067568127999984,0
2014-02-05,1,19.47244032,0
2014-02-06,0,4.143814041600003,0
2014-02-07,0,13.2169040896,0
2014-02-08,0,-0.9838324735999997,0
2014-02-09,1,-0.9567814656000007,0
2014-02-10,1,31.135003647999998,4
2014-02-11,0,-1.6234470400000003,0
2014-02-12,1,45.502900736,0
2014-02-13,0,9.501066035200001,0
2014-02-14,0,3.9399642111999995,0
2014-02-15,1,4.078983679999999,4
2014-02-16,2,-3.8380982272000015,0
2014-02-17,4,12.540844031999999,0
2014-02-18,1,12.6777259008,0
2014-02-19,10,43.6903629824,13
2014-02-20,0,3.152826675200002,12
2014-02-21,0,-1.9132734464000016,1
2014-02-22,0,-0.6720212992000016,0
2014-02-23,1,2.9485742079999993,0
2014-02-24,1,17.342418636799998,2
2014-02-25,0,4.872263782400001,7
2014-02-26,3,10.9028656128,0
2014-02-27,1,-2.711240191999998,0
2014-02-28,0,-1.2693511167999993,0
2014-03-01,0,12.2555880448,0
2014-03-02,0,3.4680909824000006,0
2014-03-03,0,3.228688179199999,10
2014-03-04,0,10.6190127104,0
2014-03-05,0,-0.5924042751999989,4
2014-03-06,0,18.1175948288,0
2014-03-07,0,0.2904214528000004,0
2014-03-08,0,1.3171276799999987,0
2014-03-09,0,14.0371083264,4
2014-03-10,0,-2.053724774399999,4
2014-03-11,3,17.0916373504,2
2014-03-12,1,27.3860103168,1
2014-03-13,2,6.795615743999999,16
2014-03-14,4,-5.341984256000002,10
2014-03-15,0,0.7559375871999983,0
2014-03-16,1,-3.4946638848000013,0
2014-03-17,1,-3.0939305984,0
2014-03-18,5,2.7650485247999996,0
2014-03-19,2,2.398974566400001,0
2014-03-20,1,1.3131047936000027,0
2014-03-21,4,-2.3074379775999985,0
2014-03-22,1,4.8948687872,0
2014-03-23,0,1.1716589568000004,0
2014-03-24,6,12.4665721856,2
2014-03-25,5,1.3706090496,0
2014-03-26,1,3.2961126399999996,0
2014-03-27,1,1.2719918079999997,2
2014-03-28,0,31.6905216,1
2014-03-29,3,-0.1462281216000001,0
2014-03-30,1,-5.264389632000002,0
2014-03-31,1,4.983286681599998,4
2014-04-01,2,-2.6745864191999993,0
2014-04-02,7,16.5931910144,0
2014-04-03,5,2.620752896000001,0
2014-04-04,6,-0.3081058304000006,1
2014-04-05,0,-3.264361369599999,0
2014-04-06,1,-2.0704260095999993,0
2014-04-07,12,3.7984186367999997,0
2014-04-08,1,14.141136384,0
2014-04-09,0,4.6986754048,1
2014-04-10,4,-2.8229648384,1
2014-04-11,5,-0.27572623360000037,0
2014-04-12,0,11.2654143488,0
2014-04-13,0,-0.6709974016000002,0
2014-04-14,0,4.589081599999999,0
2014-04-15,3,11.11663872,0
2014-04-16,3,-2.4571914239999995,1
2014-04-17,10,4.3244486656,0
2014-04-18,7,-1.9698477056000003,0
2014-04-19,0,13.1722694656,0
2014-04-20,1,-3.2464647167999985,0
2014-04-21,0,4.655973068799999,0
2014-04-22,3,-0.8283057152,0
2014-04-23,3,-0.0031044607999994867,16
2014-04-24,1,4.3450978304,12
2014-04-25,2,7.834252595200001,6
2014-04-26,0,0.8020452352,0
2014-04-27,0,-1.3944853504,0
2014-04-28,2,10.386555392,4
2014-04-29,4,1.6508896256000005,2
2014-04-30,4,4.329752883199999,5
2014-05-01,0,1.1286935551999995,4
2014-05-02,1,9.609016627199999,11
2014-05-03,0,-1.8372609023999993,0
2014-05-04,0,-1.3591966720000004,0
2014-05-05,5,14.3813182464,0
2014-05-06,3,5.705898905600002,0
2014-05-07,10,3.8765949951999996,3
2014-05-08,2,7.271414783999999,3
2014-05-09,1,2.7280494592,2
2014-05-10,7,31.3146118144,1
2014-05-11,2,8.8656448512,0
2014-05-12,3,9.175670067199997,2
2014-05-13,12,-2.6114663424000017,9
2014-05-14,2,2.717730713599998,0
2014-05-15,2,0.11644927999999943,1
2014-05-16,3,2.9976373247999994,0
2014-05-17,0,-1.9841424384000002,0
2014-05-18,1,0.160694067200001,0
2014-05-19,1,-0.5535923199999981,4
2014-05-20,1,3.1840165888000014,0
2014-05-21,2,8.9285727232,11
2014-05-22,3,10.747044352,11
2014-05-23,0,-0.39484600319999963,8
2014-05-24,0,0.07472742399999932,0
2014-05-25,1,-0.2969786368000005,0
2014-05-26,3,-0.7873952768000003,0
2014-05-27,0,0.6285621247999995,23
2014-05-28,0,1.6519816192,1
2014-05-29,1,-0.4911088639999994,3
2014-05-30,2,-1.088256102399999,0
2014-05-31,1,4.3595044864000005,6
2014-06-01,1,2.6528052224000005,0
2014-06-02,2,1.5658242048,7
2014-06-03,1,1.6799977471999998,3
2014-06-04,7,-1.3124537344,12
2014-06-05,4,-0.7311085568000002,6
2014-06-06,2,2.4991162368,12
2014-06-07,0,3.0437738496,0
2014-06-08,0,0.6824601600000002,1
2014-06-09,2,11.90403584,0
2014-06-10,2,-3.1966206976,2
2014-06-11,8,-1.4275791872000008,0
2014-06-12,5,2.1079615487999996,10
2014-06-13,8,-1.22036736,1
2014-06-14,0,2.276304384,8
2014-06-15,0,7.8616132608000004,0
2014-06-16,2,-1.4395001855999996,8
2014-06-17,3,0.6474130432,8
2014-06-18,2,5.7638120448,8
2014-06-19,1,9.96221184,0
2014-06-20,5,0.5761264639999997,0
2014-06-21,2,-0.4607834112000009,0
2014-06-22,3,-1.7982044160000006,0
2014-06-23,0,14.8413662208,2
2014-06-24,0,9.9597010944,15
2014-06-25,3,3.3457785855999997,0
2014-06-26,0,3.0504394751999993,1
