,emberjs/ember.js,angular/angular,facebook/react
2014-09-18,0,1.0,2
2014-09-19,5,4.5,4
2014-09-20,8,-2.625,0
2014-09-21,7,1.3125,1
2014-09-22,4,-0.3515625,12
2014-09-23,1,-0.97265625,2
2014-09-24,2,-0.4072265625,7
2014-09-25,0,6.74072265625,6
2014-09-26,8,4.312591552734375,4
2014-09-27,30,-2.0197296142578125,6
2014-09-28,4,-2.0447845458984375,0
2014-09-29,3,2.30926513671875,1
2014-09-30,7,1.148681640625,1
2014-10-01,6,0.9470977783203125,0
2014-10-02,11,3.85205078125,0
2014-10-03,5,3.284332275390625,2
2014-10-04,2,-4.6405792236328125,0
2014-10-05,1,-2.427825927734375,0
2014-10-06,1,3.7998809814453125,0
2014-10-07,0,7.7238311767578125,11
2014-10-08,3,-1.68682861328125,14
2014-10-09,8,2.41229248046875,6
2014-10-10,4,-5.292510986328125,8
2014-10-11,1,-0.9511260986328125,0
2014-10-12,3,12.363494873046875,2
2014-10-13,6,-7.8522186279296875,4
2014-10-14,8,-1.349151611328125,4
2014-10-15,10,-1.8367462158203125,12
2014-10-16,5,0.0025177001953125,9
2014-10-17,14,-1.1120147705078125,4
2014-10-18,3,1.4563446044921875,1
2014-10-19,11,-1.328521728515625,1
2014-10-20,7,-0.5037689208984375,6
2014-10-21,7,-0.321197509765625,5
2014-10-22,4,-0.111724853515625,7
2014-10-23,17,-0.0817108154296875,15
2014-10-24,1,-0.054107666015625,6
2014-10-25,11,-0.0431365966796875,0
2014-10-26,7,-0.02618408203125,2
2014-10-27,16,6.978179931640625,7
2014-10-28,14,4.5,30
2014-10-29,9,2.125,5
2014-10-30,8,-1.9375,9
2014-10-31,2,-2.1484375,5
2014-11-01,12,-1.81640625,1
2014-11-02,10,-0.9482421875,0
2014-11-03,6,-0.64794921875,2
2014-11-04,7,5.514801025390625,7
2014-11-05,11,6.6172332763671875,5
2014-11-06,11,3.002227783203125,10
2014-11-07,1,-3.2567596435546875,5
2014-11-08,7,-1.5301971435546875,5
2014-11-09,10,-2.5030975341796875,0
2014-11-10,9,-0.185546875,0
2014-11-11,12,0.7099609375,3
2014-11-12,16,2.29058837890625,1
2014-11-13,9,-2.770111083984375,4
2014-11-14,14,19.0196533203125,0
2014-11-15,21,-9.525161743164062,6
2014-11-16,9,-3.2903594970703125,4
2014-11-17,37,-0.563323974609375,19
2014-11-18,20,5.528900146484375,15
