,cfengine/core,saltstack/salt,ansible/ansible
2016-05-05,0,32,12
2016-05-06,0,24,10
2016-05-07,0,1,2
2016-05-08,0,0,0
2016-05-09,4,20,9
2016-05-10,2,24,14
2016-05-11,7,12,11
2016-05-12,3,27,33
2016-05-13,0,24,22
2016-05-14,0,0,8
2016-05-15,0,3,1
2016-05-16,1,32,19
2016-05-17,0,26,11
2016-05-18,2,11,25
2016-05-19,0,41,13
2016-05-20,0,27,8
2016-05-21,0,0,3
2016-05-22,0,0,1
2016-05-23,1,75,11
2016-05-24,2,40,14
2016-05-25,17,53,12
2016-05-26,2,50,10
2016-05-27,0,49,8
2016-05-28,0,8,2
2016-05-29,0,15,0
2016-05-30,1,19,0
2016-05-31,0,53,15
2016-06-01,1,63,32
2016-06-02,2,76,27
2016-06-03,1,60,13
2016-06-04,0,5,13
2016-06-05,0,12,1
2016-06-06,2,50,21
2016-06-07,0,32,14
2016-06-08,8,46,8
2016-06-09,0,47,9
2016-06-10,11,29,9
2016-06-11,1,8,0
2016-06-12,0,6,0
2016-06-13,4,54,11
2016-06-14,1,62,20
2016-06-15,0,43,18
2016-06-16,2,28,7
2016-06-17,0,33,15
2016-06-18,0,4,4
2016-06-19,0,0,1
2016-06-20,0,34,11
2016-06-21,0,47,4
2016-06-22,0,43,10
2016-06-23,6,34,14
2016-06-24,6,41,9
2016-06-25,0,11,1
2016-06-26,0,0,0
2016-06-27,1,29,9
2016-06-28,4,46,15
2016-06-29,5,31,8
2016-06-30,0,39,8
2016-07-01,1,14,10
2016-07-02,0,4,5
2016-07-03,0,0,3
2016-07-04,6,3,4
2016-07-05,3,37,21
2016-07-06,4,131,21
2016-07-07,1,49,19
2016-07-08,9,39,10
2016-07-09,0,6,10
2016-07-10,0,2,3
2016-07-11,2,40,9
2016-07-12,5,37,7
2016-07-13,4,49,2
2016-07-14,2,46,10
2016-07-15,3,42,12
2016-07-16,0,25,0
2016-07-17,0,12,0
2016-07-18,1,64,3
2016-07-19,0,44,1
2016-07-20,2,103,5
2016-07-21,0,50,7
2016-07-22,5,56,3
2016-07-23,0,5,8
2016-07-24,0,20,4
2016-07-25,0,49,8
2016-07-26,5,71,6
2016-07-27,4,75,1
2016-07-28,0,52,4
2016-07-29,0,39,7
2016-07-30,1,15,1
2016-07-31,0,7,1
2016-08-01,0,67,3
2016-08-02,0,99,4
2016-08-03,0,33,2
2016-08-04,0,25,21
2016-08-05,2,44,8
2016-08-06,0,51,2
2016-08-07,0,10,0
2016-08-08,4,34,20
2016-08-09,0,72,9
2016-08-10,0,59,7
2016-08-11,0,54,12
2016-08-12,0,31,10
2016-08-13,1,1,2
2016-08-14,0,3,0
2016-08-15,0,35,13
2016-08-16,0,59,10
2016-08-17,0,66,11
