,apache/mxnet,pytorch/pytorch,tensorflow/tensorflow
2020-12-25,0.0,1,6
2020-12-26,0.0,0,2
2020-12-27,0.0,0,6
2020-12-28,0.0,7,48
2020-12-29,0.0,8,42
2020-12-30,1.0,13,54
2020-12-31,0.8,5,20
2021-01-01,0.72,1,5
2021-01-02,-0.32800000000000007,0,7
2021-01-03,-0.16160000000000013,1,7
2021-01-04,0.8928639999999999,21,27
2021-01-05,1.7204352,40,86
2021-01-06,-0.54289152,46,85
2021-01-07,-0.25974323200000016,28,79
2021-01-08,-0.17338378240000002,43,91
2021-01-09,-0.11959306239999994,8,15
2021-01-10,-0.0839701504,4,8
2021-01-11,-0.05778432000000003,28,82
2021-01-12,0.951758848,43,112
2021-01-13,-0.2412447743999998,33,107
2021-01-14,-0.1049387008,27,74
2021-01-15,1.952,23,73
2021-01-16,0.5664,11,21
2021-01-17,-0.3855360000000001,1,8
2021-01-18,-0.19642880000000015,7,28
2021-01-19,-0.13212672000000006,30,62
2021-01-20,1.9009402880000001,44,100
2021-01-21,-0.47886295039999993,28,95
2021-01-22,-0.21428224000000018,45,104
2021-01-23,-0.14170214399999997,13,24
2021-01-24,-0.10652641279999989,2,17
2021-01-25,-0.06354135039999999,20,98
2021-01-26,-0.04085760000000002,30,75
2021-01-27,-0.03385344000000002,35,109
2021-01-28,0.9712245760000001,49,90
2021-01-29,0.7750612992000001,37,73
2021-01-30,-0.28,9,44
2021-01-31,0.8719999999999999,3,4
2021-02-01,-0.2816,23,74
2021-02-02,0.8608639999999999,61,100
2021-02-03,2.7060352,44,86
2021-02-04,-0.75095552,68,95
2021-02-05,1.6551495679999997,37,78
2021-02-06,-0.6248858624,13,27
2021-02-07,1.6842679295999998,3,6
2021-02-08,0.3925754880000001,25,72
2021-02-09,-0.5178824704000001,28,79
2021-02-10,-0.2922398720000001,37,93
2021-02-11,-0.21169008639999987,42,71
2021-02-12,-0.15593349119999997,17,82
2021-02-13,-0.09516902399999992,11,38
2021-02-14,-0.07922094079999996,12,4
2021-02-15,1.9542978560000002,3,48
2021-02-16,2.5606735872,10,54
2021-02-17,-0.7724693504,40,92
2021-02-18,1.6639999999999997,47,68
2021-02-19,0.38880000000000003,47,41
2021-02-20,-0.5118720000000001,12,38
2021-02-21,1.7065343999999998,3,15
2021-02-22,0.38966016000000003,29,91
2021-02-23,-0.524227584,30,113
2021-02-24,1.6895045632,26,99
2021-02-25,-0.6068902911999999,40,114
2021-02-26,0.7096258559999999,33,115
2021-02-27,0.5982799872000001,8,33
2021-02-28,-0.41395159040000007,6,11
2021-03-01,1.775225856,38,66
2021-03-02,-0.5617840127999999,74,77
2021-03-03,-0.26545879040000014,59,98
2021-03-04,-0.170740224,31,98
2021-03-05,-0.12949422079999998,48,133
2021-03-06,0.917613568,7,23
2021-03-07,-0.26771466239999986,3,12
2021-03-08,-0.12632279040000005,28,60
2021-03-09,1.9232245760000002,44,79
2021-03-10,0.5414612992000001,48,116
2021-03-11,0.6144639999999999,47,93
2021-03-12,3.6035711999999998,73,105
2021-03-13,-1.01212672,10,43
2021-03-14,0.5329402879999997,7,22
2021-03-15,1.4955370495999998,30,75
2021-03-16,1.30578176,27,135
2021-03-17,-0.7762749440000001,35,89
2021-03-18,0.5724316671999998,41,107
2021-03-19,0.5167000576,28,132
2021-03-20,-0.48872099839999983,7,41
2021-03-21,1.7132662784,3,17
2021-03-22,0.429301248,28,71
2021-03-23,-0.4942342144,43,113
2021-03-24,2.7243210751999998,31,89
2021-03-25,-0.7774942207999999,30,91
2021-03-26,2.6440135679999996,33,33
2021-03-27,-0.8372506623999999,29,6
2021-03-28,-0.4075515904000002,6,8
2021-03-29,-0.266310144,46,62
2021-03-30,0.7985871872000001,42,80
2021-03-31,0.6601424896,46,101
2021-04-01,-0.38444953599999987,64,75
2021-04-02,0.7838117888,53,81
2021-04-03,1.6752368640000002,10,15
2021-04-04,-0.5765440512,1,12
2021-04-05,0.7460351999999998,33,61
2021-04-06,0.6330444799999999,56,52
2021-04-07,1.595949568,51,89
2021-04-08,-0.6263578623999999,38,93
2021-04-09,-0.3118536704000002,38,72
2021-04-10,-0.20337715200000006,17,14
2021-04-11,0.8455904256000001,7,5
2021-04-12,0.6866337792000001,30,47
2021-04-13,-0.352172032,72,74
2021-04-14,0.8112894976,58,79
2021-04-15,1.6771552256000002,88,77
2021-04-16,-0.5640747008,54,70
2021-04-17,-0.2539648000000002,12,18
2021-04-18,-0.16695552000000008,6,9
2021-04-19,0.875949568,33,94
2021-04-20,1.7016421376000002,51,104
2021-04-21,-0.5502536704,73,96
2021-04-22,1.743758848,56,95
2021-04-23,-0.5708447743999998,44,87
2021-04-24,-0.2776747008000001,12,15
2021-04-25,-0.16750080000000012,12,7
2021-04-26,2.8750156799999997,38,61
2021-04-27,0.3006868480000001,87,65
2021-04-28,-0.5221023744000001,43,86
2021-04-29,0.7172078591999999,60,52
2021-04-30,5.622424576,56,75
2021-05-01,-0.4151467007999998,25,12
2021-05-02,-0.8148224000000005,15,7
2021-05-03,1.5271910399999997,38,59
2021-05-04,0.2647741440000002,46,71
2021-05-05,-0.6190405632,38,72
2021-05-06,-0.35350487040000017,62,83
2021-05-07,-0.2515768320000001,52,81
2021-05-08,0.7996056576000004,14,31
2021-05-09,-0.3555974143999997,4,12
2021-05-10,-0.14675159040000008,35,62
2021-05-11,-0.09370214399999993,59,85
2021-05-12,-0.07292641279999988,73,89
2021-05-13,0.9619946496,72,94
2021-05-14,0.7795712,61,61
2021-05-15,0.7030732799999999,10,37
2021-05-16,-0.342387712,2,12
2021-05-17,-0.17406935040000007,41,92
2021-05-18,0.8928639999999999,39,76
2021-05-19,-0.2795648,32,80
2021-05-20,-0.1428915200000001,40,76
2021-05-21,0.900256768,68,102
2021-05-22,-0.2773837823999999,24,21
2021-05-23,-0.13239306239999998,11,8
2021-05-24,0.9191018496,24,53
2021-05-25,0.74947328,46,82
2021-05-26,-0.31992371199999997,43,101
2021-05-27,-0.16089815040000008,39,94
2021-05-28,-0.09852672000000007,16,39
2021-05-29,-0.07352371199999996,6,6
2021-05-30,-0.058434150399999996,6,4
2021-05-31,-0.03735552000000002,7,23
2021-06-01,0.968685568,30,53
2021-06-02,0.7731429376000001,52,70
2021-06-03,-0.2924693504,33,85
2021-06-04,-0.1280000000000001,55,70
2021-06-05,-0.08160000000000005,22,12
2021-06-06,-0.05913600000000002,6,5
2021-06-07,-0.04596480000000003,21,51
2021-06-08,0.96264448,47,89
2021-06-09,-0.2313144319999999,48,100
2021-06-10,-0.10685706239999998,38,80
2021-06-11,-0.060469350399999997,37,84
2021-06-12,-0.03360000000000001,9,17
2021-06-13,-0.025536000000000014,5,6
2021-06-14,0.9795712,20,58
2021-06-15,0.78307328,38,92
2021-06-16,-0.29438771199999997,33,71
2021-06-17,0.8595306495999999,54,97
2021-06-18,-0.2816,29,114
2021-06-19,-0.1391360000000001,8,15
2021-06-20,-0.09396480000000007,4,10
2021-06-21,1.92904448,28,79
2021-06-22,1.543149568,47,85
2021-06-23,-0.6072858623999999,50,98
2021-06-24,0.7146039295999997,50,104
2021-06-25,0.622412288,46,71
2021-06-26,-0.41074135040000004,9,18
2021-06-27,-0.21992960000000017,2,3
2021-06-28,0.8436889599999999,39,49
2021-06-29,2.678235136,34,78
2021-06-30,3.2203210752,53,77
2021-07-01,-1.1502942208,35,78
2021-07-02,0.4710855679999997,11,62
2021-07-03,-0.5451930624000001,7,9
2021-07-04,-0.32390615040000015,0,8
2021-07-05,-0.22835712000000014,0,37
2021-07-06,2.819516928,13,48
2021-07-07,0.25112463360000037,54,71
2021-07-08,0.44461230080000025,38,106
2021-07-09,-0.4908041216,50,77
2021-07-10,-0.24318771200000008,18,21
2021-07-11,-0.17067735040000007,10,11
2021-07-12,-0.12042240000000007,35,53
2021-07-13,1.90325504,20,73
2021-07-14,-0.48051865599999977,21,97
2021-07-15,-0.2287224832,25,93
2021-07-16,0.8771429376000001,35,84
2021-07-17,-0.27966935039999996,5,15
2021-07-18,-0.1310720000000001,9,2
2021-07-19,-0.08885760000000006,27,57
2021-07-20,-0.06745344000000003,51,64
2021-07-21,-0.05431142399999989,41,73
2021-07-22,-0.04536750079999994,37,81
2021-07-23,-0.01692672000000001,35,72
2021-07-24,-0.01438771199999994,12,19
2021-07-25,-0.012469350399999964,3,4
2021-07-26,1.0,36,57
2021-07-27,-0.19999999999999996,46,79
2021-07-28,0.9199999999999999,32,76
2021-07-29,-0.248,28,81
2021-07-30,0.8863999999999999,43,81
2021-07-31,-0.273536,7,36
2021-08-01,-0.1340288000000001,1,16
2021-08-02,0.9095372799999999,27,90
2021-08-03,-0.26841651199999994,49,79
2021-08-04,1.8650679296,28,77
2021-08-05,-0.48281651199999986,28,77
2021-08-06,-0.22299607040000013,28,80
2021-08-07,-0.13592371200000003,7,30
2021-08-08,-0.1000981504,0,11
2021-08-09,1.93200128,34,69
2021-08-10,-0.45524531199999985,35,97
2021-08-11,-0.20632279040000012,27,94
2021-08-12,0.875224576,19,79
2021-08-13,0.7078612992000001,36,92
2021-08-14,1.668928,8,22
2021-08-15,-0.5688576000000001,5,9
2021-08-16,-0.2754534400000002,29,52
2021-08-17,0.8160885760000001,36,70
2021-08-18,0.6618964992,50,88
2021-08-19,1.63157248,34,57
2021-08-20,-0.600172032,34,57
2021-08-21,0.6976894975999999,8,19
2021-08-22,-0.3963807743999999,1,12
2021-08-23,0.7818964991999999,15,59
2021-08-24,0.66357248,45,75
2021-08-25,0.614227968,45,78
2021-08-26,0.5857534976000001,41,62
2021-08-27,-0.4232735743999999,42,57
2021-08-28,-0.22900142080000008,9,19
2021-08-29,-0.14195251200000003,8,5
2021-08-30,-0.10896087040000002,35,44
2021-08-31,-0.07727923199999998,34,52
2021-09-01,-0.06421258239999993,44,53
2021-09-02,-0.043783782399999915,48,49
2021-09-03,-0.026857062399999902,11,49
2021-09-04,-0.012469350399999964,3,22
2021-09-05,1.0,6,14
2021-09-06,0.8,1,23
2021-09-07,-0.28,24,57
2021-09-08,0.8719999999999999,48,63
2021-09-09,0.7183999999999999,37,88
2021-09-10,1.660864,30,85
2021-09-11,-0.5739648,9,32
2021-09-12,-0.27895552000000023,6,13
2021-09-13,0.813549568,29,84
2021-09-14,0.6599781376000001,37,82
2021-09-15,-0.38089687040000003,41,48
2021-09-16,0.7998279679999999,29,84
2021-09-17,0.6576894976000001,56,81
2021-09-18,-0.3803807743999999,12,22
2021-09-19,-0.19890350080000005,0,9
2021-09-20,0.8810444799999999,18,33
2021-09-21,-0.2904504319999999,34,74
2021-09-22,0.8471781376,34,69
2021-09-23,1.7021751296,28,92
2021-09-24,0.4550855680000001,39,63
2021-09-25,-0.46039306240000005,10,18
2021-09-26,-0.2424981504000001,1,8
2021-09-27,-0.1576627200000001,13,58
2021-09-28,6.880511488,27,57
2021-09-29,0.5042103296000002,32,64
2021-09-30,-0.028669952000000443,34,72
2021-10-01,-0.7541714944000002,62,67
2021-10-02,-0.4505264128000001,13,34
2021-10-03,-0.3064213504000001,4,8
2021-10-04,0.7723263999999999,6,48
2021-10-05,0.61511936,33,77
2021-10-06,0.5650037760000004,39,104
2021-10-07,0.5390124032000003,35,72
2021-10-08,1.5990735872,53,72
2021-10-09,0.40039464959999993,26,38
2021-10-10,-0.4875648000000002,9,12
2021-10-11,-0.2724915200000002,27,70
2021-10-12,0.8075207679999999,31,103
2021-10-13,1.6511154176,45,54
2021-10-14,2.4098226176,29,73
2021-10-15,1.1108606976000002,38,181
2021-10-16,-0.8277714944000001,5,23
2021-10-17,0.5639375871999999,6,13
2021-10-18,1.5192298495999998,34,58
2021-10-19,3.31840768,54,89
2021-10-20,1.831400448,43,105
2021-10-21,-0.18248253440000006,34,136
2021-10-22,-0.8266912768000001,39,40
2021-10-23,-0.4960842752000001,10,9
2021-10-24,-0.3336670208000001,5,28
2021-10-25,-0.24016435200000005,29,61
2021-10-26,-0.1957740543999999,40,75
2021-10-27,2.8463014912,32,50
2021-10-28,3.2900327424,56,69
2021-10-29,-0.09179576319999994,39,58
2021-10-30,8.3235306496,8,17
2021-10-31,-1.1727999999999996,3,29
2021-11-01,0.8209919999999993,19,59
2021-11-02,-1.1090304000000004,27,67
2021-11-03,2.3315686399999995,46,66
2021-11-04,0.909277184,38,71
2021-11-05,-1.0284808192,39,45
2021-11-06,0.40789360639999983,4,27
2021-11-07,-0.5965430783999995,2,10
2021-11-08,-0.3842733055999998,25,75
2021-11-09,-0.20160317439999995,41,77
2021-11-10,0.8498235392,27,65
2021-11-11,-0.3025525759999998,37,83
2021-11-12,-0.16661227519999985,20,90
2021-11-13,-0.08986542079999998,11,25
2021-11-14,-0.04798771199999995,1,7
2021-11-15,0.9619946496,20,54
2021-11-16,-0.22042879999999998,39,71
2021-11-17,0.9030732799999999,33,60
2021-11-18,3.7376122880000002,25,63
2021-11-19,1.0739306496,42,104
2021-11-20,-0.7935360000000002,18,17
2021-11-21,1.5939711999999997,11,11
2021-11-22,1.3271372799999999,13,49
2021-11-23,0.23583948799999988,21,65
2021-11-24,0.3818167295999998,20,56
2021-11-25,1.433847808,3,32
2021-11-26,0.24985436160000019,0,26
2021-11-27,-0.6121824255999999,1,9
2021-11-28,-0.3347857408000001,2,10
2021-11-29,1.776206336,24,51
2021-11-30,-0.5757416447999998,52,69
2021-12-01,0.7173532671999999,30,62
2021-12-02,2.6228606976,59,56
2021-12-03,-0.8053714943999999,30,56
2021-12-04,-0.37839841280000014,10,73
2021-12-05,-0.2309269504000001,1,16
2021-12-06,-0.16018944000000007,20,68
2021-12-07,-0.12581222399999992,37,84
2021-12-08,-0.10315182079999997,37,71
2021-12-09,-0.06516787199999997,28,68
2021-12-10,-0.05563248639999978,25,53
2021-12-11,-0.03740805119999989,7,29
2021-12-12,0.0,9,10
2021-12-13,0.0,5,63
2021-12-14,2.0,44,88
2021-12-15,-0.3999999999999999,34,72
2021-12-16,0.8399999999999999,39,51
2021-12-17,0.704,47,29
2021-12-18,-0.34720000000000006,8,11
2021-12-19,-0.17907200000000012,7,5
2021-12-20,-0.12245760000000008,17,44
2021-12-21,1.90701056,32,44
2021-12-22,-0.4747402239999998,34,60
2021-12-23,0.7777057792,27,59
2021-12-24,2.672685568,5,17
2021-12-25,0.22594293760000017,2,6
2021-12-26,-0.5515413504000002,0,7
2021-12-27,-0.2984576000000002,2,11
2021-12-28,-0.20818944000000011,13,53
2021-12-29,0.840587776,13,74
2021-12-30,-0.3286878207999999,18,41
2021-12-31,-0.16559667200000006,2,13
2022-01-01,-0.12055920639999981,0,4
2022-01-02,-0.08539576319999984,2,3
2022-01-03,-0.03800535039999998,3,30
2022-01-04,0.9795712,20,62
2022-01-05,1.78307328,50,56
2022-01-06,0.505612288,37,57
2022-01-07,-0.4204693504000001,53,80
2022-01-08,-0.20960000000000015,14,22
2022-01-09,-0.14073600000000008,3,11
2022-01-10,-0.10510080000000005,24,47
2022-01-11,-0.08332032000000004,29,64
2022-01-12,-0.06866995199999998,49,59
2022-01-13,0.9418285056000002,30,44
2022-01-14,-0.23932641279999983,27,51
2022-01-15,-0.09246935040000004,7,20
2022-01-16,-0.048000000000000036,1,5
2022-01-17,-0.03360000000000001,4,19
2022-01-18,2.9744639999999998,19,43
2022-01-19,0.3795712000000001,32,59
2022-01-20,-0.4569267200000002,43,64
2022-01-21,-0.2383877120000001,34,56
2022-01-22,-0.16126935040000004,17,18
2022-01-23,-0.11020800000000006,3,6
2022-01-24,-0.08682240000000005,10,41
2022-01-25,0.9287910399999999,40,66
2022-01-26,0.7399101440000002,44,72
2022-01-27,0.6682042368000001,49,60
2022-01-28,1.6595306496,40,52
2022-01-29,-0.5616000000000001,8,16
2022-01-30,-0.2671360000000002,4,5
2022-01-31,-0.17556480000000013,24,42
2022-02-01,0.8699084799999999,47,57
2022-02-02,0.6971847680000001,34,96
2022-02-03,-0.3646413824,35,67
2022-02-04,-0.18871050240000004,37,85
2022-02-05,4.8771552256,11,20
