,facebook/react,angular/angular,sveltejs/svelte
2021-02-16,3.0,33.0,0
2021-02-17,1.6999999999999997,14.0,2
2021-02-18,1.6649999999999996,6.0,0
2021-02-19,-0.37550000000000033,25.0,0
2021-02-20,-0.20898749999999988,0.0,0
2021-02-21,-0.14667524999999976,0.0,0
2021-02-22,2.8869554625000005,11.0,0
2021-02-23,2.60816138625,14.0,0
2021-02-24,0.48778364345312486,25.0,0
2021-02-25,2.6129794238609376,0.0,6
2021-02-26,2.471578168896875,27.0,1
2021-02-27,-0.590635455071875,0.0,1
2021-02-28,0.6710012125000002,0.0,0
2021-03-01,0.6636286237500004,13.0,4
2021-03-02,1.6695142097031255,1.0,0
2021-03-03,-0.42633148040468727,20.0,0
2021-03-04,-0.2466944968734372,15.0,0
2021-03-05,0.8358358696671877,6.0,1
2021-03-06,-0.22450525915468722,3.0,0
2021-03-07,3.8733142336421875,2.0,0
2021-03-08,8.524513965734375,24.0,0
2021-03-09,-0.1408170580515633,20.0,0
2021-03-10,5.337347771432812,6.0,0
2021-03-11,1.9858902824281246,9.0,0
2021-03-12,0.13997680375000043,15.0,0
2021-03-13,1.3660703869843753,0.0,0
2021-03-14,-0.6418235000359368,2.0,0
2021-03-15,3.571533469187501,12.0,0
2021-03-16,5.264211251465626,11.0,0
2021-03-17,2.9713520491609375,12.0,0
2021-03-18,1.0715146681203123,13.0,0
2021-03-19,4.2498342244875005,9.0,0
2021-03-20,-0.9493942631234373,1.0,0
2021-03-21,-0.5415340285671869,0.0,0
2021-03-22,7.611563434928126,12.0,0
2021-03-23,1.9069705204375003,17.0,4
2021-03-24,6.0977121517625,6.0,9
2021-03-25,6.760336177721875,0.0,0
2021-03-26,4.525999482575,0.0,0
2021-03-27,0.5849392298499998,0.0,0
2021-03-28,4.961721887320313,0.0,1
2021-03-29,-0.26735285749999926,8.0,1
2021-03-30,6.118129319625001,17.0,8
2021-03-31,1.6671267669156253,1.0,3
2021-04-01,8.940395106282814,25.0,1
2021-04-02,-1.6800876743765625,10.0,0
2021-04-03,-0.9220144158812492,0.0,0
2021-04-04,-0.6090586812468741,0.0,0
2021-04-05,0.5675893830843765,9.0,0
2021-04-06,3.561729160518751,15.0,0
2021-04-07,4.3147217426046875,26.0,0
2021-04-08,5.093066130701563,4.0,1
2021-04-09,8.919457812235937,6.0,1
2021-04-10,-0.5952552753593756,0.0,0
2021-04-11,1.0980584875000001,0.0,1
2021-04-12,2.2016995037500005,21.0,3
2021-04-13,1.158421339484376,34.0,0
2021-04-14,11.245057339151563,41.0,0
2021-04-15,6.2874389722781245,13.0,0
2021-04-16,2.2852758842265626,17.0,1
2021-04-17,-1.3751692166218752,6.0,0
2021-04-18,-0.8434137683749989,0.0,0
2021-04-19,2.440158407682814,41.0,1
2021-04-20,6.262781813381251,18.0,0
2021-04-21,1.8177793613609379,11.0,3
2021-04-22,2.0264849187406253,19.0,1
2021-04-23,2.08180498044375,9.0,0
2021-04-24,0.18104817765000047,1.0,1
2021-04-25,-0.5683861976437494,2.0,0
2021-04-26,2.633747073750001,38.0,0
2021-04-27,8.415315399703125,19.0,0
2021-04-28,12.731045375032812,17.0,0
2021-04-29,-1.0668807830484388,18.0,0
2021-04-30,-0.14883209790468777,16.0,18
2021-05-01,0.1566920570953131,1.0,3
2021-05-02,-0.6820766581234359,0.0,0
2021-05-03,7.520064946214064,26.0,4
2021-05-04,4.821904369703125,9.0,0
2021-05-05,3.723435615251563,22.0,0
