,ruby/ruby,php/php-src,python/cpython
2008-04-05,2,4,20
2008-04-06,5,6,10
2008-04-07,8,23,22
2008-04-08,6,18,11
2008-04-09,2,20,22
2008-04-10,13,20,16
2008-04-11,9,36,5
2008-04-12,3,3,9
2008-04-13,3,17,26
2008-04-14,12,48,10
2008-04-15,11,36,10
2008-04-16,1,31,2
2008-04-17,6,12,4
2008-04-18,2,11,10
2008-04-19,2,14,21
2008-04-20,16,25,10
2008-04-21,8,25,20
2008-04-22,23,22,9
2008-04-23,4,28,2
2008-04-24,8,29,16
2008-04-25,9,14,11
2008-04-26,14,22,5
2008-04-27,7,13,16
2008-04-28,12,18,9
2008-04-29,1,25,4
2008-04-30,11,26,17
2008-05-01,14,13,4
2008-05-02,12,19,13
2008-05-03,4,19,16
2008-05-04,6,16,17
2008-05-05,12,14,18
2008-05-06,3,22,27
2008-05-07,13,35,9
2008-05-08,17,21,50
2008-05-09,2,24,39
2008-05-10,6,4,41
2008-05-11,13,25,72
2008-05-12,24,35,51
2008-05-13,8,14,12
2008-05-14,8,16,27
2008-05-15,7,11,54
2008-05-16,3,13,49
2008-05-17,8,12,34
2008-05-18,2,21,21
2008-05-19,14,21,4
2008-05-20,13,20,29
2008-05-21,10,20,6
2008-05-22,21,6,5
2008-05-23,7,12,21
2008-05-24,10,24,7
2008-05-25,7,11,38
2008-05-26,6,9,65
2008-05-27,16,33,9
2008-05-28,12,7,7
2008-05-29,14,13,20
2008-05-30,10,13,18
2008-05-31,10,11,10
2008-06-01,9,22,29
2008-06-02,13,23,13
2008-06-03,14,16,7
2008-06-04,10,13,14
2008-06-05,14,15,13
2008-06-06,7,8,19
2008-06-07,5,19,11
2008-06-08,10,6,10
2008-06-09,22,13,8
2008-06-10,20,11,38
2008-06-11,8,29,56
2008-06-12,8,27,36
2008-06-13,12,24,42
2008-06-14,3,5,18
2008-06-15,8,10,6
2008-06-16,11,8,13
2008-06-17,14,5,23
2008-06-18,20,17,18
2008-06-19,25,20,19
2008-06-20,12,20,16
2008-06-21,27,18,13
2008-06-22,3,38,13
2008-06-23,5,24,7
2008-06-24,9,29,15
2008-06-25,7,18,9
2008-06-26,8,6,8
2008-06-27,13,24,16
2008-06-28,9,14,15
2008-06-29,16,11,5
2008-06-30,19,13,8
2008-07-01,27,38,26
2008-07-02,12,19,29
2008-07-03,14,18,7
2008-07-04,10,11,7
2008-07-05,12,27,18
2008-07-06,7,38,10
2008-07-07,6,46,12
2008-07-08,12,38,4
2008-07-09,12,27,0
2008-07-10,13,13,10
2008-07-11,8,39,15
2008-07-12,10,18,6
2008-07-13,3,32,26
2008-07-14,6,39,10
2008-07-15,11,41,25
2008-07-16,6,42,54
2008-07-17,7,26,22
2008-07-18,9,26,28
2008-07-19,3,20,21
2008-07-20,5,27,11
2008-07-21,10,62,10
2008-07-22,20,51,11
2008-07-23,10,67,14
2008-07-24,7,76,12
2008-07-25,13,58,17
2008-07-26,3,36,10
2008-07-27,9,23,5
2008-07-28,15,39,5
2008-07-29,7,41,7
2008-07-30,15,37,14
2008-07-31,15,56,20
2008-08-01,13,42,22
2008-08-02,3,24,25
2008-08-03,3,32,27
2008-08-04,9,29,46
2008-08-05,18,35,5
2008-08-06,22,36,7
2008-08-07,14,44,6
2008-08-08,19,31,13
2008-08-09,12,10,15
2008-08-10,13,35,4
2008-08-11,20,57,8
2008-08-12,38,31,13
2008-08-13,46,27,1
2008-08-14,34,66,25
2008-08-15,18,33,10
2008-08-16,10,11,21
2008-08-17,13,23,42
2008-08-18,19,54,53
2008-08-19,14,14,38
2008-08-20,28,20,31
2008-08-21,20,44,12
2008-08-22,15,19,14
2008-08-23,18,19,13
2008-08-24,28,19,16
2008-08-25,28,24,8
2008-08-26,17,33,7
2008-08-27,10,9,5
2008-08-28,29,11,4
2008-08-29,17,55,5
2008-08-30,24,23,14
2008-08-31,37,45,12
2008-09-01,35,24,27
2008-09-02,19,16,30
2008-09-03,33,7,26
2008-09-04,33,7,22
2008-09-05,26,1,16
2008-09-06,35,13,24
2008-09-07,22,22,17
2008-09-08,19,19,19
2008-09-09,15,7,24
2008-09-10,12,32,20
2008-09-11,7,38,10
2008-09-12,18,25,5
2008-09-13,15,23,32
2008-09-14,13,14,4
2008-09-15,19,28,9
2008-09-16,19,19,6
2008-09-17,7,9,8
2008-09-18,19,16,14
2008-09-19,8,6,8
2008-09-20,6,6,1
2008-09-21,10,6,23
2008-09-22,10,15,13
2008-09-23,40,9,9
2008-09-24,22,3,8
2008-09-25,24,3,9
2008-09-26,31,14,9
2008-09-27,2,2,12
2008-09-28,15,5,12
2008-09-29,14,10,11
2008-09-30,18,14,16
2008-10-01,7,23,7
2008-10-02,4,12,27
2008-10-03,5,9,19
2008-10-04,13,8,20
2008-10-05,10,12,4
2008-10-06,7,19,13
2008-10-07,5,11,17
2008-10-08,11,5,11
2008-10-09,16,13,5
2008-10-10,17,30,8
2008-10-11,4,15,3
2008-10-12,7,31,1
2008-10-13,4,12,4
2008-10-14,14,16,4
2008-10-15,11,8,10
2008-10-16,17,28,21
2008-10-17,13,19,12
2008-10-18,18,2,3
2008-10-19,7,19,6
2008-10-20,12,21,3
2008-10-21,17,22,9
2008-10-22,10,13,4
2008-10-23,8,17,6
2008-10-24,29,19,5
2008-10-25,11,1,8
2008-10-26,14,23,4
2008-10-27,13,23,0
2008-10-28,28,11,1
2008-10-29,24,21,5
2008-10-30,8,22,20
2008-10-31,11,9,5
2008-11-01,0,10,0
2008-11-02,6,21,0
2008-11-03,7,40,10
2008-11-04,2,40,8
2008-11-05,0,20,8
2008-11-06,11,43,13
2008-11-07,15,15,17
2008-11-08,15,24,15
2008-11-09,0,14,3
2008-11-10,8,51,3
2008-11-11,13,27,5
2008-11-12,1,20,7
2008-11-13,1,30,0
2008-11-14,2,7,2
2008-11-15,2,3,3
2008-11-16,1,13,8
2008-11-17,2,19,10
2008-11-18,14,21,7
2008-11-19,7,19,18
2008-11-20,0,29,12
2008-11-21,8,34,15
2008-11-22,6,28,21
2008-11-23,3,8,11
2008-11-24,12,23,9
2008-11-25,8,13,13
2008-11-26,4,24,9
2008-11-27,11,34,8
2008-11-28,6,27,18
2008-11-29,5,21,4
2008-11-30,3,17,16
2008-12-01,5,27,6
2008-12-02,12,25,14
2008-12-03,17,40,19
2008-12-04,29,12,20
2008-12-05,13,28,53
2008-12-06,5,10,15
2008-12-07,8,10,19
2008-12-08,11,24,6
2008-12-09,13,53,4
2008-12-10,12,14,8
2008-12-11,18,32,13
2008-12-12,20,23,7
2008-12-13,16,15,18
2008-12-14,9,7,13
2008-12-15,25,12,21
2008-12-16,20,10,4
2008-12-17,13,34,7
2008-12-18,7,24,7
2008-12-19,3,6,11
2008-12-20,4,4,12
2008-12-21,9,1,10
2008-12-22,20,12,6
2008-12-23,26,3,12
2008-12-24,14,21,4
2008-12-25,17,19,0
2008-12-26,8,9,1
2008-12-27,23,37,41
2008-12-28,18,4,19
2008-12-29,26,5,19
2008-12-30,8,31,13
2008-12-31,15,57,14
2009-01-01,29,14,28
2009-01-02,16,36,37
2009-01-03,8,34,55
2009-01-04,15,15,33
2009-01-05,13,23,6
2009-01-06,2,22,5
2009-01-07,14,47,6
2009-01-08,6,46,9
2009-01-09,6,30,34
2009-01-10,9,17,39
2009-01-11,4,20,14
2009-01-12,23,40,15
2009-01-13,16,35,28
2009-01-14,11,28,9
2009-01-15,25,13,12
2009-01-16,14,30,5
2009-01-17,22,28,21
2009-01-18,5,24,38
2009-01-19,23,42,24
2009-01-20,9,40,33
2009-01-21,11,29,12
2009-01-22,12,39,16
2009-01-23,7,31,8
2009-01-24,2,16,23
2009-01-25,9,35,28
2009-01-26,8,21,25
2009-01-27,11,16,37
2009-01-28,5,24,16
2009-01-29,10,8,27
2009-01-30,11,12,9
2009-01-31,14,7,23
2009-02-01,8,21,24
2009-02-02,43,21,25
2009-02-03,23,14,23
2009-02-04,26,7,9
2009-02-05,15,11,35
2009-02-06,18,13,45
2009-02-07,7,1,28
2009-02-08,29,6,24
2009-02-09,22,25,17
2009-02-10,15,13,24
2009-02-11,26,22,8
2009-02-12,19,13,25
2009-02-13,17,23,40
2009-02-14,14,17,13
2009-02-15,11,28,9
2009-02-16,10,20,28
2009-02-17,15,31,18
2009-02-18,24,21,11
2009-02-19,15,5,28
2009-02-20,2,9,16
2009-02-21,11,7,18
2009-02-22,27,3,17
2009-02-23,16,9,17
2009-02-24,23,7,13
2009-02-25,11,4,17
2009-02-26,10,1,17
2009-02-27,19,1,18
2009-02-28,5,1,20
2009-03-01,19,17,3
2009-03-02,14,6,23
2009-03-03,17,12,32
2009-03-04,10,2,25
2009-03-05,11,5,18
2009-03-06,18,3,6
2009-03-07,16,5,18
2009-03-08,8,11,6
2009-03-09,13,22,25
2009-03-10,13,6,17
2009-03-11,22,12,6
2009-03-12,12,15,10
2009-03-13,14,11,7
2009-03-14,20,7,9
2009-03-15,8,12,21
2009-03-16,5,30,2
2009-03-17,14,47,9
2009-03-18,5,49,18
2009-03-19,5,25,10
2009-03-20,12,17,11
2009-03-21,3,1,11
2009-03-22,2,5,13
2009-03-23,7,15,26
2009-03-24,6,19,20
2009-03-25,0,25,11
2009-03-26,7,22,26
2009-03-27,4,15,7
2009-03-28,3,12,17
2009-03-29,2,13,30
2009-03-30,4,28,69
2009-03-31,3,16,122
2009-04-01,9,21,64
2009-04-02,1,16,55
2009-04-03,3,7,29
2009-04-04,1,7,65
2009-04-05,2,2,65
2009-04-06,11,30,13
2009-04-07,3,24,33
2009-04-08,8,29,17
2009-04-09,5,14,17
2009-04-10,2,10,26
2009-04-11,1,8,29
2009-04-12,1,4,29
2009-04-13,3,10,28
2009-04-14,1,7,7
2009-04-15,2,10,9
2009-04-16,7,29,19
2009-04-17,0,1,16
2009-04-18,7,3,33
2009-04-19,2,16,15
2009-04-20,6,24,19
2009-04-21,14,13,8
2009-04-22,9,7,18
2009-04-23,2,18,8
2009-04-24,0,19,28
2009-04-25,13,62,66
2009-04-26,16,9,38
2009-04-27,2,22,56
2009-04-28,1,24,26
2009-04-29,2,11,34
2009-04-30,7,30,9
2009-05-01,3,21,22
2009-05-02,4,25,32
2009-05-03,0,23,25
2009-05-04,0,45,30
2009-05-05,6,29,56
2009-05-06,3,10,37
2009-05-07,10,29,28
2009-05-08,4,15,29
2009-05-09,9,23,27
2009-05-10,8,33,27
2009-05-11,4,30,10
2009-05-12,6,17,19
2009-05-13,3,15,15
2009-05-14,4,53,32
2009-05-15,5,17,14
2009-05-16,22,31,21
2009-05-17,12,18,46
2009-05-18,4,32,16
2009-05-19,6,58,11
2009-05-20,10,32,17
