,gcc-mirror/gcc,llvm/llvm-project,golang/go
2012-06-03,6,16,7
2012-06-04,25,53,22
2012-06-05,20,60,8
2012-06-06,15,71,13
2012-06-07,11,49,15
2012-06-08,6,61,9
2012-06-09,7,28,0
2012-06-10,1,12,1
2012-06-11,20,38,3
2012-06-12,45,29,2
2012-06-13,31,42,16
2012-06-14,30,50,5
2012-06-15,25,87,3
2012-06-16,3,33,0
2012-06-17,14,40,0
2012-06-18,26,34,2
2012-06-19,21,72,7
2012-06-20,24,103,1
2012-06-21,9,69,1
2012-06-22,20,93,3
2012-06-23,4,28,1
2012-06-24,5,23,10
2012-06-25,27,47,20
2012-06-26,23,52,5
2012-06-27,18,63,7
2012-06-28,17,77,4
2012-06-29,18,75,2
2012-06-30,3,16,6
2012-07-01,4,9,2
2012-07-02,16,97,6
2012-07-03,25,50,8
2012-07-04,13,31,1
2012-07-05,17,40,2
2012-07-06,19,80,1
2012-07-07,5,25,0
2012-07-08,8,12,4
2012-07-09,25,42,1
2012-07-10,16,49,3
2012-07-11,8,59,4
2012-07-12,14,51,7
2012-07-13,17,57,6
2012-07-14,6,12,2
2012-07-15,4,20,1
2012-07-16,46,84,4
2012-07-17,20,72,1
2012-07-18,24,59,1
2012-07-19,25,56,3
2012-07-20,22,50,2
2012-07-21,12,18,2
2012-07-22,9,6,2
2012-07-23,26,33,4
2012-07-24,21,45,2
2012-07-25,24,55,4
2012-07-26,19,60,4
2012-07-27,14,51,8
2012-07-28,3,16,2
2012-07-29,2,9,6
2012-07-30,17,69,22
2012-07-31,23,76,5
2012-08-01,17,47,7
2012-08-02,26,66,3
2012-08-03,15,57,13
2012-08-04,8,19,3
2012-08-05,3,10,7
2012-08-06,28,38,5
2012-08-07,13,76,12
2012-08-08,15,80,10
2012-08-09,16,77,10
2012-08-10,21,68,2
2012-08-11,9,15,0
2012-08-12,8,9,1
2012-08-13,16,63,4
2012-08-14,19,67,2
2012-08-15,17,80,11
2012-08-16,26,60,3
2012-08-17,24,66,7
2012-08-18,7,30,2
2012-08-19,11,7,0
2012-08-20,23,47,10
2012-08-21,13,80,4
2012-08-22,17,79,6
2012-08-23,18,67,9
2012-08-24,14,114,13
2012-08-25,13,14,1
2012-08-26,23,4,2
2012-08-27,23,59,3
2012-08-28,9,94,4
2012-08-29,17,70,5
2012-08-30,7,78,5
2012-08-31,15,76,17
2012-09-01,5,35,10
