,AMS_ij,normalized_AMS_ij,normalized_last
seaweedfs/seaweedfs -> minio/minio,-0.9720772082235749,-42.32395469374022,-18.64508141904926
ceph/ceph -> minio/minio,-0.06637234906541659,-2.8760258208941263,-1.1845903834624634
minio/minio -> seaweedfs/seaweedfs,-1.7753943606597473,-67.70670103193088,-49.22911730370441
ceph/ceph -> seaweedfs/seaweedfs,-0.4837988226898512,-18.063253625418984,-6.91055531906556
minio/minio -> ceph/ceph,-16.999472738824185,-105.95717117439844,-43.14175575313843
seaweedfs/seaweedfs -> ceph/ceph,-16.972979163847675,-102.48788751179048,-50.7056058446723
