,rails/rails,pallets/flask,django/django
2018-05-06,5.0,0,0.0
2018-05-07,5.5,0,4.0
2018-05-08,2.1749999999999994,0,1.0
2018-05-09,3.2874999999999996,6,5.0
2018-05-10,1.1906874999999997,0,3.0
2018-05-11,4.32994125,0,1.0
2018-05-12,1.0715019375000001,1,5.0
2018-05-13,7.25255919375,1,3.0
2018-05-14,1.707818219921875,0,1.0
2018-05-15,-0.03787927952343706,0,4.0
2018-05-16,2.2652943857375005,2,3.0
2018-05-17,12.220499235329688,2,9.0
2018-05-18,3.211053957575,0,5.0
2018-05-19,3.56836448735,0,0.0
2018-05-20,0.6370292537890623,0,1.0
2018-05-21,9.975749939553126,4,1.0
2018-05-22,18.208194256915625,1,0.0
2018-05-23,5.024951628126562,0,1.0
2018-05-24,6.617459344667187,2,0.0
2018-05-25,1.6396158294390628,0,4.0
2018-05-26,2.1376465957046893,0,2.0
2018-05-27,2.419059642242189,0,8.0
2018-05-28,25.544701702539065,4,2.0
2018-05-29,6.32908007675625,5,1.0
2018-05-30,4.032921679292187,0,3.0
2018-05-31,7.53636812890625,2,3.0
2018-06-01,7.527317027571877,0,3.0
2018-06-02,0.497836990114064,0,3.0
2018-06-03,0.1875772152937516,1,0.0
2018-06-04,8.557539164043753,0,3.0
2018-06-05,3.9616965884343767,0,2.0
2018-06-06,5.138116852623439,0,5.0
2018-06-07,15.26180094603125,0,2.0
2018-06-08,9.270243402092188,0,5.0
2018-06-09,1.3110807307343748,0,3.0
2018-06-10,2.0676610180937507,0,1.0
2018-06-11,18.37967802886094,0,1.0
2018-06-12,1.9128881497718755,0,6.0
2018-06-13,0.7671405102968758,3,2.0
2018-06-14,1.2939747074250012,4,1.0
2018-06-15,0.5375573059828151,2,4.0
2018-06-16,-0.2007705842984353,0,6.0
2018-06-17,0.13525423250625157,1,1.0
2018-06-18,7.328109600293751,1,2.0
2018-06-19,7.71690856079375,0,1.0
2018-06-20,3.3700182579531246,2,11.0
2018-06-21,6.699916434523437,0,8.0
2018-06-22,1.4478323483453122,0,3.0
2018-06-23,5.814014607610938,0,0.0
2018-06-24,3.5458809356625003,0,0.0
2018-06-25,7.628441401948439,0,5.0
2018-06-26,10.233979814589063,0,0.0
2018-06-27,6.7454420313218755,2,4.0
2018-06-28,5.835703404598437,4,7.0
2018-06-29,10.942497806945312,4,8.0
2018-06-30,5.4511375544156255,0,3.0
2018-07-01,3.7415351575328133,0,0.0
2018-07-02,5.994728300920313,0,6.0
2018-07-03,5.924761952679689,0,0.0
2018-07-04,13.898633454739064,0,4.0
2018-07-05,4.112334219928125,0,4.0
2018-07-06,5.688349171801564,0,3.0
2018-07-07,5.775465465509376,0,2.0
2018-07-08,9.823376135407814,0,0.0
2018-07-09,3.4908481316187507,0,13.0
2018-07-10,3.9276013606593763,0,9.0
2018-07-11,2.080395448087501,2,12.0
2018-07-12,5.378880197712502,0,0.0
2018-07-13,2.236218498315626,0,3.0
2018-07-14,3.5682923081234383,0,1.0
2018-07-15,6.585315745587501,0,0.0
2018-07-16,9.324350671025002,0,2.0
2018-07-17,3.924626413975,0,1.0
2018-07-18,7.2649086341906255,0,4.0
2018-07-19,6.051645958971875,0,8.0
2018-07-20,19.057020051246877,3,6.0
2018-07-21,4.724410948935937,0,2.0
2018-07-22,14.429368317278126,0,2.0
2018-07-23,-0.2883942505546879,0,1.0
2018-07-24,0.7866909465406269,2,3.0
2018-07-25,4.22181162776094,0,6.0
2018-07-26,20.197643735143753,0,5.0
2018-07-27,1.618127851801563,0,5.0
2018-07-28,3.648033073884376,0,0.0
2018-07-29,5.894673468870313,0,0.0
2018-07-30,8.933605232196877,0,4.0
2018-07-31,21.62738040409219,0,4.0
2018-08-01,2.262413300845312,0,8.0
2018-08-02,3.352021684298438,0,10.0
2018-08-03,3.6944419421906263,0,7.0
2018-08-04,-1.1186588483687476,0,5.0
2018-08-05,3.615287151726565,0,2.0
2018-08-06,0.4984659219093768,0,3.0
2018-08-07,6.808161451540627,0,5.0
2018-08-08,8.38257585722969,0,4.0
2018-08-09,7.05905415854375,0,0.0
2018-08-10,4.1125640666906245,0,2.0
2018-08-11,11.327759747940625,0,0.0
2018-08-12,4.69618706551875,0,1.0
2018-08-13,12.013146089885938,0,2.0
2018-08-14,7.363973666289063,0,0.0
2018-08-15,11.482447715803126,0,2.0
2018-08-16,15.05515545830625,0,9.0
2018-08-17,1.4751360675000003,0,7.0
2018-08-18,2.4893888103328137,0,6.0
2018-08-19,20.87485226683125,0,1.0
2018-08-20,13.271845353423439,0,8.0
2018-08-21,0.24113251252968793,0,5.0
2018-08-22,29.390108711840625,0,4.0
2018-08-23,14.096237247421875,0,5.0
2018-08-24,1.4129601364656263,1,0.0
2018-08-25,4.719149570525001,0,3.0
2018-08-26,-2.905912054007809,0,0.0
2018-08-27,5.057370151710941,0,2.0
2018-08-28,7.820412635407815,0,7.0
2018-08-29,18.636869237326565,0,2.0
2018-08-30,17.49203226960625,0,1.0
2018-08-31,5.902942994053125,0,5.0
