,pulsar-edit/pulsar,neovim/neovim,microsoft/vscode
2023-12-13,3,12,41.0
2023-12-14,0,14,22.600000000000005
2023-12-15,1,8,46.480000000000004
2023-12-16,19,18,-26.103999999999992
2023-12-17,0,6,-10.441600000000001
2023-12-18,4,12,37.901568
2023-12-19,8,14,37.7911808
2023-12-20,0,7,2.731658240000005
2023-12-21,0,11,-25.155986431999995
2023-12-22,0,19,-12.8688903168
2023-12-23,0,9,-8.546837299200003
2023-12-24,0,7,-5.536584601600003
2023-12-25,0,8,-4.4592082944000015
2023-12-26,0,7,-3.20841984
2023-12-27,0,8,-2.5245594623999987
2023-12-28,0,18,-1.5731615743999996
2023-12-29,1,3,1.3633908736000002
2023-12-30,1,9,6.0771621888
2023-12-31,2,1,-2.0991225855999995
2024-01-01,0,8,-1.3959538688
2024-01-02,0,21,1.3360018432
2024-01-03,16,7,15.784896
2024-01-04,0,9,18.662809600000003
2024-01-05,0,9,20.204564480000002
2024-01-06,1,5,-16.673068543999996
2024-01-07,24,2,-5.941160857600002
2024-01-08,0,4,50.6265467904
2024-01-09,3,9,8.2245343232
2024-01-10,1,2,14.166329856000004
2024-01-11,62,5,16.529784422400006
2024-01-12,5,14,11.009239142400002
2024-01-13,5,10,-20.798384332799998
2024-01-14,1,9,-3.204857446400002
2024-01-15,1,7,19.493607731199997
2024-01-16,12,17,15.0634540032
2024-01-17,1,23,19.939870720000002
2024-01-18,20,14,34.017834393600005
2024-01-19,4,9,-1.6666088447999954
2024-01-20,20,5,-22.825084416
2024-01-21,13,8,-12.610443161600001
2024-01-22,5,23,53.688231935999994
2024-01-23,2,12,-2.532782079999997
2024-01-24,1,17,16.079791411200002
2024-01-25,7,11,-1.0211044351999945
2024-01-26,1,8,7.773901414400001
2024-01-27,10,11,-18.482297344000003
2024-01-28,6,15,-10.666106982400002
2024-01-29,12,16,47.7275793408
2024-01-30,8,1,20.890407219200004
2024-01-31,0,4,32.2182145024
2024-02-01,1,12,11.33952604160001
2024-02-02,5,7,18.1459432448
2024-02-03,3,12,-30.331189248
2024-02-04,3,4,-15.329970483200007
2024-02-05,1,10,13.964052889599996
2024-02-06,2,13,12.412076031999998
2024-02-07,0,5,35.1587545088
2024-02-08,0,23,10.262040678400005
2024-02-09,5,11,31.593890611200003
2024-02-10,7,14,-26.83614812159999
2024-02-11,3,13,-14.863424204800001
2024-02-12,0,15,50.3538654208
2024-02-13,0,9,58.7677105152
2024-02-14,0,2,-13.382063411199994
2024-02-15,6,14,26.565936332800007
2024-02-16,13,17,23.178358784000004
2024-02-17,1,6,-38.359363788799996
2024-02-18,2,11,-12.927837696000001
2024-02-19,0,9,34.4213372928
2024-02-20,1,9,-4.878323302399998
2024-02-21,0,9,28.5316759552
2024-02-22,0,16,4.638678528000003
2024-02-23,0,5,25.801501184000003
2024-02-24,0,13,-27.4821322752
2024-02-25,0,9,-14.300305817600004
2024-02-26,0,9,35.179130777599994
2024-02-27,0,8,20.373534003200003
2024-02-28,0,14,16.605363097600005
2024-02-29,0,10,2.2234407936000053
2024-03-01,2,12,-5.596794879999997
2024-03-02,1,6,-14.635136511999999
2024-03-03,8,9,-6.782322073600003
2024-03-04,1,5,39.198680064
2024-03-05,1,3,-8.753246924799999
2024-03-06,0,11,24.6183779328
2024-03-07,4,8,41.670033612800005
2024-03-08,0,26,4.6911525888000085
2024-03-09,2,14,-26.2417804288
2024-03-10,2,14,-13.729820467200003
2024-03-11,0,19,30.858240204799998
2024-03-12,0,13,45.6395225088
2024-03-13,0,9,31.140840550400007
2024-03-14,0,17,10.663328768000007
2024-03-15,0,12,22.348840448000004
2024-03-16,4,17,-35.456548352
2024-03-17,0,6,-12.190942208000003
2024-03-18,5,12,49.922235289599996
2024-03-19,1,22,7.481613312
2024-03-20,4,7,46.8059204608
2024-03-21,4,15,56.713955430400006
2024-03-22,2,3,11.129354342400006
2024-03-23,6,10,-37.998730444799996
2024-03-24,0,7,-15.347851059200003
2024-03-25,2,13,-9.004867379200004
2024-03-26,1,9,50.463489843199994
2024-03-27,0,17,-1.0313723903999943
2024-03-28,0,20,41.491374387200004
2024-03-29,1,14,-13.228784025599992
2024-03-30,0,6,-15.696519884799997
2024-03-31,4,10,-7.569481523200004
2024-04-01,1,21,57.788112486399996
2024-04-02,0,9,10.062054195200005
2024-04-03,0,7,21.72349184000001
2024-04-04,5,3,12.256538931200005
2024-04-05,3,16,2.8241105919999967
2024-04-06,9,12,-21.826501632
2024-04-07,0,5,-8.690501734400002
2024-04-08,2,9,47.192040038399995
2024-04-09,0,20,24.262008320000003
2024-04-10,2,13,-4.253099724799995
2024-04-11,0,10,-1.6709649407999976
2024-04-12,4,21,12.678393036800003
2024-04-13,2,15,-11.616462950399999
2024-04-14,6,16,-14.0864459776
2024-04-15,8,10,8.819684249599998
2024-04-16,4,26,24.7708614656
