,facebook/react-native,NativeScript/NativeScript,flutter/flutter
2019-02-28,21.0,3,10
2019-03-01,8.899999999999999,5,20
2019-03-02,6.954999999999998,0,3
2019-03-03,17.0065,0,1
2019-03-04,16.947587499999997,2,8
2019-03-05,17.32276075,2,0
2019-03-06,2.8188509874999994,0,16
2019-03-07,1.8696119912500013,0,9
2019-03-08,3.425608405421878,1,14
2019-03-09,-2.412296350176559,0,15
2019-03-10,-1.5481119237859344,0,6
2019-03-11,1.8572064423796903,0,9
2019-03-12,7.81939508275469,3,14
2019-03-13,22.355921939703126,1,8
2019-03-14,6.731705349385936,5,10
2019-03-15,20.428316789670312,6,24
2019-03-16,1.232283109226561,0,6
2019-03-17,-1.5508299027156238,0,2
2019-03-18,17.27433379875,2,11
2019-03-19,25.831658494703127,0,13
2019-03-20,10.233322040251561,6,15
2019-03-21,10.833361314801563,7,21
2019-03-22,7.971575082731251,6,7
2019-03-23,3.4193790315312524,0,4
2019-03-24,0.05298964284531538,0,2
2019-03-25,8.84727008305469,4,6
2019-03-26,12.36645457141719,3,12
2019-03-27,6.780566593114064,0,17
2019-03-28,2.1252542374734382,4,11
2019-03-29,10.852096324226563,5,17
2019-03-30,0.34483379452343854,0,8
2019-03-31,0.17829610220937675,0,3
2019-04-01,16.623062246951566,0,6
2019-04-02,7.2468301804703135,2,14
2019-04-03,15.448835651870313,6,11
2019-04-04,15.699084188054687,0,19
2019-04-05,2.2853073208124997,1,17
2019-04-06,-0.6907139456328117,0,3
2019-04-07,1.0584138604859397,0,2
2019-04-08,8.38067115886094,0,9
2019-04-09,4.8409262231468775,0,13
2019-04-10,20.929847254196876,3,16
2019-04-11,5.4598085366093745,0,17
2019-04-12,4.18466125455625,3,2
2019-04-13,-2.3449665062765623,0,2
2019-04-14,0.6060142950031275,0,0
2019-04-15,16.795278555881254,3,12
2019-04-16,8.319049900985938,0,16
2019-04-17,9.395602907281251,1,13
2019-04-18,4.279834479139062,0,18
2019-04-19,-0.3146027992171865,0,13
2019-04-20,2.456719111067189,0,1
2019-04-21,-0.4326298352515605,0,0
2019-04-22,2.961356203968752,0,19
2019-04-23,16.817855601896877,1,15
2019-04-24,9.39492726868125,0,17
2019-04-25,13.479683467167186,0,29
2019-04-26,8.005633385959374,0,17
2019-04-27,0.26614260871718765,0,6
2019-04-28,-1.9078642033843738,0,1
2019-04-29,14.703044266840628,0,21
2019-04-30,25.425041712901564,0,17
2019-05-01,6.691186650574999,2,23
2019-05-02,1.5473693706656246,0,22
2019-05-03,20.46100406506875,6,17
2019-05-04,-1.9478321724968737,0,9
2019-05-05,-2.3877410169421855,0,0
2019-05-06,4.40267120239219,3,16
2019-05-07,21.178680109250003,11,8
2019-05-08,16.427854623737502,9,9
2019-05-09,21.063152417071876,10,13
2019-05-10,6.398817018276561,6,20
2019-05-11,-2.651190854539062,1,2
2019-05-12,-1.3827175593578098,0,3
2019-05-13,13.31651632992813,2,13
2019-05-14,8.220488608156252,2,19
2019-05-15,12.177164697925,4,14
2019-05-16,17.734056337610937,1,13
2019-05-17,1.043068202640625,2,10
2019-05-18,1.3189827846796884,0,3
2019-05-19,-2.021201324660936,0,2
2019-05-20,25.67268150319844,1,20
2019-05-21,9.272851355979688,6,22
2019-05-22,23.64772431253906,9,8
2019-05-23,6.346343243120311,1,8
2019-05-24,23.321578607382815,0,9
2019-05-25,-2.936857003332813,0,3
2019-05-26,-1.9315471022421846,0,2
2019-05-27,-1.1261711213937469,0,2
2019-05-28,10.30489140982813,0,13
2019-05-29,5.454553726076565,0,15
2019-05-30,17.73366946936094,0,31
2019-05-31,25.60334646460781,3,14
2019-06-01,1.3218520156828113,0,8
2019-06-02,-0.10386235325156257,0,1
2019-06-03,8.865912135662501,5,25
2019-06-04,12.416064879448442,2,23
2019-06-05,6.852930821276564,3,14
2019-06-06,15.071906977943751,4,23
2019-06-07,16.38761590315,2,19
2019-06-08,-3.1337280931718743,0,13
2019-06-09,0.5595839221140642,0,6
2019-06-10,13.153348599487503,1,19
2019-06-11,12.204674930470315,0,18
2019-06-12,10.812737239370314,1,15
2019-06-13,14.734803049304688,1,16
2019-06-14,4.292958152859375,0,16
2019-06-15,0.04618591029062635,0,7
2019-06-16,-2.112282889984373,0,4
2019-06-17,4.638501077167191,2,5
2019-06-18,10.339703628407815,2,16
2019-06-19,9.677343044226564,0,23
2019-06-20,9.475727947242188,1,19
2019-06-21,28.375975822715624,5,11
2019-06-22,-2.5876574385218767,0,7
2019-06-23,0.44678116566562576,0,4
2019-06-24,22.03544611489219,3,9
2019-06-25,3.225583116906252,8,13
2019-06-26,21.137274373596878,8,14
2019-06-27,13.75002627088125,6,17
2019-06-28,8.790415154631251,9,26
2019-06-29,-0.7845168639156244,0,0
2019-06-30,-2.6353876933953093,0,0
2019-07-01,14.331887558381254,1,8
2019-07-02,14.10740575626719,0,5
2019-07-03,1.5367791630281258,5,13
2019-07-04,14.571425574873437,2,2
2019-07-05,0.7023938161062508,0,1
2019-07-06,-1.225479003599998,0,0
2019-07-07,-0.49027947201406086,0,0
2019-07-08,14.88270383989219,2,17
2019-07-09,4.562369343,5,16
2019-07-10,11.890104844409375,11,13
2019-07-11,15.360357805560938,1,15
2019-07-12,5.761590868554688,0,16
2019-07-13,5.283185046076563,0,5
2019-07-14,-2.3849418694093742,0,0
2019-07-15,12.49834010694844,1,7
2019-07-16,3.472520090464064,13,13
2019-07-17,26.866061445815628,11,27
2019-07-18,18.791173005029687,4,14
2019-07-19,11.439772063965624,5,23
2019-07-20,-0.1371532327875009,1,3
2019-07-21,-2.8078173519484357,0,6
2019-07-22,6.1199021072125035,4,19
2019-07-23,6.802497827781253,0,16
2019-07-24,22.600044707653126,1,17
2019-07-25,10.00891159358125,4,11
2019-07-26,5.3594148870984375,4,15
2019-07-27,-1.948037901576562,0,9
2019-07-28,-1.8435642426374976,2,2
2019-07-29,11.765503157356253,1,11
2019-07-30,3.754462917125002,2,16
2019-07-31,12.034370531321876,3,15
2019-08-01,7.354815891785938,4,19
2019-08-02,22.473454525632814,9,19
2019-08-03,-2.8972851988937514,0,5
2019-08-04,-2.152239648339062,0,3
2019-08-05,7.578651521214065,2,8
2019-08-06,3.0185515782968775,0,25
2019-08-07,5.217891916439065,6,19
2019-08-08,17.178046477565626,2,18
2019-08-09,4.952766015590625,0,22
2019-08-10,-2.4371532969999996,0,5
2019-08-11,-0.4647189889140617,0,0
2019-08-12,14.992543068714065,2,13
2019-08-13,6.649764364109376,2,6
2019-08-14,17.771400650848438,5,23
2019-08-15,14.693288717460936,5,30
2019-08-16,0.3674437649515623,1,28
2019-08-17,-2.4731172148078118,0,5
2019-08-18,-1.5401774665374977,2,3
2019-08-19,14.886214434484378,5,14
2019-08-20,0.5026731229640635,4,32
2019-08-21,8.236246392284377,2,20
2019-08-22,7.8897094843640625,4,19
2019-08-23,7.749318530000001,3,16
2019-08-24,-1.244308097709375,0,3
2019-08-25,-1.334162860143749,0,2
2019-08-26,1.0852223225000017,1,14
2019-08-27,5.085713278000002,0,17
2019-08-28,4.722526332878126,4,31
2019-08-29,5.6934464747359375,3,15
2019-08-30,6.513904369484375,2,15
2019-08-31,17.367026148234373,0,10
2019-09-01,-2.800056363375001,0,0
2019-09-02,3.566103679964063,0,13
2019-09-03,11.515711871468751,0,25
2019-09-04,11.720574651834376,1,5
2019-09-05,9.275526782940625,0,21
2019-09-06,17.239988386175,0,17
2019-09-07,3.3656850493734374,0,5
2019-09-08,-1.7555915800843742,0,0
2019-09-09,7.15526265806719,0,2
2019-09-10,10.872521208671877,5,21
2019-09-11,9.319889270617189,1,21
2019-09-12,9.185514179814064,3,19
2019-09-13,4.141009045809376,3,16
2019-09-14,3.6213663730062513,0,10
2019-09-15,-2.0789748005781234,0,0
2019-09-16,-1.2501607095171854,0,27
2019-09-17,10.09428562907344,2,12
2019-09-18,10.172161502973438,1,20
2019-09-19,11.759036218345312,3,20
2019-09-20,11.37426606463125,0,13
2019-09-21,1.1663859009593747,0,0
2019-09-22,-0.970436095845312,0,0
2019-09-23,21.64314874728438,0,4
2019-09-24,0.7461156912500004,1,25
2019-09-25,12.805571526828126,1,21
2019-09-26,7.032583443417187,0,27
2019-09-27,2.2769433398500016,1,23
2019-09-28,0.8600876347781261,1,7
2019-09-29,-1.654081671315623,0,4
2019-09-30,24.923156963090626,1,18
2019-10-01,8.579744975604687,2,14
2019-10-02,5.957956320860937,6,23
2019-10-03,12.416782619621873,1,9
2019-10-04,2.8991545630546884,3,28
2019-10-05,-0.3635966791874985,0,5
2019-10-06,-1.6897750267265608,0,2
2019-10-07,8.81243493989219,2,13
2019-10-08,13.076915144093752,5,14
2019-10-09,18.281511124128127,3,23
2019-10-10,9.475487933678124,6,35
2019-10-11,29.808874429442188,0,19
2019-10-12,1.8398149413671856,0,0
2019-10-13,-3.432313616246874,0,1
2019-10-14,6.812270894928127,2,16
2019-10-15,15.470628913593753,6,26
2019-10-16,15.486922745656251,6,11
2019-10-17,2.015200924882813,2,15
2019-10-18,5.087047463792189,0,24
2019-10-19,5.368928963767189,0,0
2019-10-20,-2.4762874372953103,0,0
2019-10-21,17.58625529099844,2,13
2019-10-22,26.074119912859377,4,11
2019-10-23,8.413194389145312,3,12
2019-10-24,0.219730429556249,2,28
2019-10-25,16.384878753723438,1,12
2019-10-26,-2.571619939340623,0,9
2019-10-27,-2.198813811912497,0,0
2019-10-28,14.461662838462502,2,29
2019-10-29,3.2398241989531273,4,24
2019-10-30,7.719193873114064,0,20
2019-10-31,16.59547543475469,1,19
2019-11-01,26.776999423720312,1,19
2019-11-02,1.2516699463093737,0,2
2019-11-03,5.825435788801563,0,0
2019-11-04,22.156374932464065,0,5
2019-11-05,20.64663143925,0,30
2019-11-06,21.95821578133125,4,23
2019-11-07,8.428120150878124,5,19
2019-11-08,7.333317314843751,1,18
2019-11-09,3.84937087134844,0,12
2019-11-10,-2.4380752829218713,0,2
2019-11-11,10.730672098893754,1,10
2019-11-12,10.00590125803594,2,9
2019-11-13,14.794821887460941,0,12
2019-11-14,5.313331837679688,4,20
2019-11-15,14.035624894310939,0,17
2019-11-16,9.569554475809376,0,7
2019-11-17,-1.2624753433062486,0,3
2019-11-18,7.862352652946877,1,13
2019-11-19,13.52926555201094,2,24
2019-11-20,5.7986849528296895,4,21
2019-11-21,13.239145054001563,7,22
2019-11-22,13.703148338462501,1,23
2019-11-23,6.4229394296609374,0,9
2019-11-24,-3.0858065798140615,0,1
2019-11-25,-1.8600016214984352,0,13
2019-11-26,-1.302568587728122,4,20
2019-11-27,23.97187325014063,1,21
2019-11-28,-2.282917310215625,1,7
2019-11-29,-1.773895642323437,2,1
2019-11-30,0.8345200756593756,0,1
2019-12-01,0.01647387673281475,0,0
2019-12-02,11.302430224640627,1,8
2019-12-03,6.3528329375,5,23
2019-12-04,9.29967058125,3,27
2019-12-05,13.894802478359374,3,19
2019-12-06,9.167069598585936,2,15
2019-12-07,3.364050742464062,0,1
2019-12-08,-0.14039597228124956,0,0
2019-12-09,5.415329276912502,2,13
2019-12-10,9.176431683776565,1,20
2019-12-11,10.700668406693751,0,6
2019-12-12,15.359588946540626,1,12
2019-12-13,-0.332947816145313,5,16
2019-12-14,5.8373076507375,0,0
2019-12-15,-2.1664143385249988,0,0
2019-12-16,5.681089497503128,2,12
2019-12-17,8.342998282568752,2,16
2019-12-18,16.926172062826563,0,21
2019-12-19,12.865617982901561,0,19
2019-12-20,7.695370594001562,2,7
2019-12-21,-0.9495761046937501,0,7
2019-12-22,-1.8986321492328109,0,0
2019-12-23,3.6832149309625026,0,5
2019-12-24,5.529851108890627,0,2
2019-12-25,-1.7194567766578108,0,0
2019-12-26,-1.0778012501562486,0,8
2019-12-27,3.236161609817189,0,5
2019-12-28,0.11295827375312606,0,3
2019-12-29,-0.5701513164265619,0,1
2019-12-30,0.6765997261781254,0,3
2019-12-31,0.6633525611718756,0,1
2020-01-01,-0.33910195378906205,0,0
2020-01-02,3.7989432322484378,0,6
2020-01-03,4.4933007025,1,14
2020-01-04,-0.7661461983125003,0,1
2020-01-05,0.588557514340625,0,0
2020-01-06,5.6421954387140625,1,14
2020-01-07,10.166558490734374,0,13
2020-01-08,1.4503010344484368,2,28
2020-01-09,-0.10524620003593776,1,11
2020-01-10,-0.7823334833124996,2,18
2020-01-11,-0.5490869877218737,0,6
2020-01-12,-0.3998317839296863,0,0
2020-01-13,3.7100746219843757,0,11
2020-01-14,23.356557823120312,2,18
2020-01-15,6.217912340362498,1,12
2020-01-16,3.773813986807811,3,26
2020-01-17,0.19358512937656158,0,22
2020-01-18,5.704734147464064,0,2
2020-01-19,0.4135874500000014,0,0
2020-01-20,11.798711165000002,0,0
2020-01-21,3.8494944254375003,1,9
2020-01-22,6.139078736231251,1,26
2020-01-23,12.024784269496875,1,5
2020-01-24,2.5208329690828126,0,18
2020-01-25,0.1349976100031256,0,15
2020-01-26,-1.3630699511812487,0,3
2020-01-27,11.04817227996719,2,12
2020-01-28,16.101008948225,1,28
2020-01-29,14.098478543939063,0,24
2020-01-30,7.767705070659374,3,19
2020-01-31,8.09111029124375,3,23
2020-02-01,4.16756110691875,0,5
2020-02-02,-2.368939038710936,0,0
2020-02-03,10.483389464928127,1,8
2020-02-04,7.657667748812502,0,21
2020-02-05,7.531687411537502,7,17
2020-02-06,7.514529286837501,2,27
2020-02-07,4.554853317467188,0,24
2020-02-08,0.8896793051828134,0,5
2020-02-09,-1.585102219004686,0,0
2020-02-10,11.97417105224844,1,18
2020-02-11,4.951318156312501,0,14
2020-02-12,7.1011688019125,0,22
2020-02-13,13.983407044484375,2,27
2020-02-14,6.230073933234375,0,13
2020-02-15,-1.4149030552187498,0,4
2020-02-16,-1.5183828192984365,0,0
2020-02-17,0.9613005536421897,3,1
2020-02-18,14.007167444546877,0,13
2020-02-19,11.757688009673437,0,10
2020-02-20,9.411019212607812,0,18
2020-02-21,13.359487040176562,6,10
2020-02-22,-0.11276115396562503,0,0
2020-02-23,-2.0045082608390614,1,5
2020-02-24,5.707399067464064,1,11
2020-02-25,10.320688755218752,4,15
2020-02-26,7.691566202193751,2,21
2020-02-27,32.608494024742186,7,22
