,ant-design/ant-design,youzan/vant,ElemeFE/element
2017-06-18,2,-0.2515834132328124,12
2017-06-19,9,2.83935,0
2017-06-20,6,-1.0188810000000001,0
2017-06-21,6,-0.4081234499999998,1
2017-06-22,2,-0.2543290949999999,0
2017-06-23,11,-0.18399436706250016,2
2017-06-24,2,-0.14349440293125007,0
2017-06-25,5,-0.06984258749999998,0
2017-06-26,11,2.94312817875,0
2017-06-27,8,1.0523698497031249,0
2017-06-28,10,-0.9557502396984374,0
2017-06-29,4,-0.38849999999999973,0
2017-06-30,18,-0.23948749999999994,0
2017-07-01,5,-0.16948575,0
2017-07-02,2,-0.12928308749999998,6
2017-07-03,7,-0.10343354625000001,0
2017-07-04,10,4.914455302203125,1
2017-07-05,2,-1.572503673229688,3
2017-07-06,6,2.4478331735343755,1
2017-07-07,15,-1.1975,2
2017-07-08,6,-0.5158124999999998,0
2017-07-09,0,-0.3271012499999999,0
2017-07-10,2,-0.23689181249999997,2
2017-07-11,6,3.81605288125,3
2017-07-12,11,-0.3492261713281253,0
2017-07-13,6,-0.8447888874140623,4
2017-07-14,21,-0.3906301502968749,0
2017-07-15,5,2.7390997603015625,7
2017-07-16,7,-1.0590435,0
2017-07-17,16,-0.4378436999999997,3
2017-07-18,3,0.7223900425,3
2017-07-19,9,-0.5029516408125002,1
2017-07-20,5,0.735628880303125,27
2017-07-21,5,0.5570739992671875,5
2017-07-22,10,-0.50203432125,0
2017-07-23,2,-0.24185040029687502,2
2017-07-24,10,-0.16369360219843754,4
2017-07-25,10,0.91115997625,1
2017-07-26,2,-0.36887782926562507,0
2017-07-27,5,1.8391784505171875,10
2017-07-28,6,3.3056660094843746,6
2017-07-29,7,-1.4796226299984376,4
2017-07-30,10,-0.5823036632328121,6
2017-07-31,8,8.6583941375,0
2017-08-01,9,-2.93904777375,4
2017-08-02,6,-1.1263194417656244,0
2017-08-03,7,-0.6801214107328123,6
2017-08-04,13,3.53095497146875,0
2017-08-05,2,-1.5581559435281254,22
2017-08-06,5,-0.6838614154312498,2
2017-08-07,29,0.5913845362500001,0
2017-08-08,10,7.396459549109375,1
2017-08-09,12,11.253868280904687,10
2017-08-10,10,-1.1926234500000001,0
2017-08-11,20,-0.2619915949999987,0
2017-08-12,5,-1.5675271170624994,0
2017-08-13,1,-1.7306515154312496,6
2017-08-14,10,-1.0654376737499998,0
2017-08-15,18,4.207664518234375,0
2017-08-16,15,7.871554320142186,1
2017-08-17,14,0.968666726918749,1
2017-08-18,11,15.818672663928126,13
2017-08-19,4,-6.141733576978126,5
2017-08-20,2,-3.1993532064640613,1
2017-08-21,8,11.136497274267189,2
2017-08-22,3,10.801216256250001,4
2017-08-23,14,-3.1552078838281252,3
2017-08-24,7,8.552972759929688,0
2017-08-25,9,-3.3927992799062503,6
2017-08-26,0,-0.9204952084609381,0
2017-08-27,16,-3.2012867806890624,0
2017-08-28,0,14.232984728017188,3
2017-08-29,13,4.9118121020468735,0
2017-08-30,10,1.0012596022234366,1
2017-08-31,7,9.1067106249625,0
2017-09-01,9,9.380454620365624,5
2017-09-02,0,-7.884897843573437,2
2017-09-03,5,-3.581934439995311,1
2017-09-04,8,6.677527142801563,0
2017-09-05,13,3.6157929829999986,4
2017-09-06,24,3.3288645126031247,5
2017-09-07,3,7.326049804579688,0
2017-09-08,25,21.101863192651564,2
2017-09-09,2,-9.868977503509377,0
2017-09-10,6,-4.834924374224998,0
2017-09-11,12,2.211925636250001,2
2017-09-12,7,-3.4813260408906253,4
2017-09-13,8,5.952097756779687,1
2017-09-14,1,1.1810281375124991,14
2017-09-15,21,3.6248723391999995,4
2017-09-16,11,-2.8602308352156265,7
2017-09-17,4,-2.1528331865515624,2
2017-09-18,12,-1.0684442819828122,8
2017-09-19,6,3.245130766171875,2
2017-09-20,6,6.215816181335937,3
2017-09-21,14,1.7655136096249997,3
2017-09-22,19,7.077967331559375,6
2017-09-23,13,-4.359661357273438,4
2017-09-24,0,4.1013583906046875,6
2017-09-25,34,0.05971863676718758,2
2017-09-26,4,8.657697755000001,10
2017-09-27,15,8.3992281304375,6
2017-09-28,7,-2.98341738080625,4
2017-09-29,8,16.404067372809376,7
2017-09-30,4,1.014182341179687,6
2017-10-01,2,-6.146955612328124,4
2017-10-02,0,-3.050072359343749,1
2017-10-03,2,-2.06822260344375,1
2017-10-04,0,-1.4875487703703132,4
2017-10-05,0,-1.1457861847640634,3
2017-10-06,5,0.18711224017656203,0
2017-10-07,2,-0.8289000387609385,0
2017-10-08,4,-0.5195587155468758,0
2017-10-09,21,6.818249280904688,3
2017-10-10,18,-0.14016250000000063,2
2017-10-11,16,10.63527975,1
2017-10-12,13,0.7502191375000002,6
2017-10-13,2,4.820905226250001,0
2017-10-14,4,-3.9432434667656246,1
2017-10-15,1,-1.8554399507328116,0
2017-10-16,14,4.78728185875,12
2017-10-17,17,-0.6983231648593753,4
2017-10-18,15,4.061509076339062,4
2017-10-19,14,-1.8657206964031254,8
2017-10-20,9,7.315982267378125,26
2017-10-21,2,-3.615577300289063,0
2017-10-22,5,-1.5532679808624996,2
2017-10-23,12,2.0857106325000005,4
2017-10-24,15,2.4359572269062495,13
2017-10-25,8,6.967239332071875,6
2017-10-26,16,6.350587836690625,10
2017-10-27,10,-2.5714801599125003,13
2017-10-28,9,-2.591784614123437,5
2017-10-29,2,-1.4774368065953123,1
2017-10-30,2,4.06189747875,6
2017-10-31,20,-2.2105145077968755,18
2017-11-01,13,-0.0921216955109374,12
2017-11-02,1,-0.030858566321875447,3
2017-11-03,8,1.075255065748437,10
2017-11-04,1,-1.0806888158593753,1
2017-11-05,0,-0.45323363896562485,2
2017-11-06,10,3.71633088125,2
2017-11-07,8,0.5872903036718746,2
2017-11-08,5,5.810404297585937,5
2017-11-09,17,0.3706042844843749,11
2017-11-10,7,1.0179753225015629,10
2017-11-11,1,4.123957153235938,5
2017-11-12,6,-2.754368276465625,8
2017-11-13,7,-0.25942006999999956,8
2017-11-14,3,-0.13103570206249993,7
2017-11-15,4,3.9762336597875,9
2017-11-16,3,4.892160247425,15
2017-11-17,15,2.936066460823437,7
2017-11-18,8,-3.1045067824953123,0
2017-11-19,13,-1.4363241527921873,6
2017-11-20,15,1.089522634353125,2
2017-11-21,30,0.7997449469843749,2
2017-11-22,26,0.7244659637515625,2
2017-11-23,0,3.7056469116890627,14
2017-11-24,4,8.797877273976562,5
2017-11-25,0,-3.274109693223438,1
2017-11-26,2,-2.020327704396874,4
2017-11-27,14,0.8957707275000004,3
2017-11-28,11,3.6338815439687497,0
2017-11-29,12,-0.29032436999687494,8
2017-11-30,6,4.316483633753125,3
2017-12-01,17,-2.7261862840437505,2
2017-12-02,4,-1.2707712243359377,0
2017-12-03,6,-0.7977822373265626,1
2017-12-04,30,6.531682226767187,3
2017-12-05,13,5.548576972718749,1
2017-12-06,6,1.58084986720625,0
2017-12-07,7,6.030085857804687,0
2017-12-08,8,3.895435372940625,0
2017-12-09,0,-4.253342229396875,0
2017-12-10,7,-0.9770405374999991,4
2017-12-11,8,7.39498843375,6
2017-12-12,1,6.227018230140624,12
2017-12-13,9,0.23132624199531193,4
2017-12-14,1,5.329424246559375,0
2017-12-15,9,2.426351542945312,3
2017-12-16,10,-4.284152565720313,1
2017-12-17,6,-2.105667342112499,4
2017-12-18,6,2.654135444484375,2
2017-12-19,5,5.788929335876562,6
2017-12-20,3,-2.613373768001563,3
2017-12-21,8,5.07320078259375,1
2017-12-22,14,1.8148415666953115,0
2017-12-23,3,-2.968068736454688,1
2017-12-24,1,-1.407631842629687,5
2017-12-25,3,5.129566255,0
2017-12-26,3,-0.4473001695625003,5
2017-12-27,8,0.25812805169374986,0
2017-12-28,14,-1.5406492513781251,11
2017-12-29,10,7.210518200657813,6
2017-12-30,2,-2.952113976457813,0
2017-12-31,2,-1.187367741164062,6
2018-01-01,6,-0.6957458674999998,0
2018-01-02,2,0.49896342690624973,0
2018-01-03,3,1.3110695395718748,2
2018-01-04,5,3.049832840003125,5
2018-01-05,119,3.351674983534375,2
2018-01-06,5,-1.2061762341250004,0
2018-01-07,4,-1.2817125558624998,4
2018-01-08,19,6.354128637500001,7
2018-01-09,18,-0.5447124987500005,2
2018-01-10,14,0.3293215357343755,1
2018-01-11,9,0.5062094957359378,1
2018-01-12,15,2.581121575221875,1
2018-01-13,13,-1.9700412605093751,0
2018-01-14,1,-0.9255253204296873,9
