,huggingface/transformers,pytorch/vision,tensorflow/models
2022-11-29,9,2,3.0
2022-11-30,20,5,4.4
2022-12-01,12,2,-1.24
2022-12-02,4,1,4.4559999999999995
2022-12-03,0,0,-1.3408
2022-12-04,0,0,-0.6446080000000004
2022-12-05,29,3,0.5710335999999998
2022-12-06,16,2,3.4790758399999997
2022-12-07,12,2,3.8645232640000002
2022-12-08,15,2,2.4205093888
2022-12-09,7,1,4.427419648
2022-12-10,0,0,-1.9918745599999998
2022-12-11,0,0,-1.0249195520000005
2022-12-12,18,3,2.3512780799999997
2022-12-13,8,1,3.912017408
2022-12-14,8,0,1.3704150016
2022-12-15,9,0,-0.45609564160000016
2022-12-16,6,0,8.99774208
2022-12-17,0,0,-2.6048116735999995
2022-12-18,0,0,-0.21258250240000054
2022-12-19,6,2,5.05686784
2022-12-20,10,1,1.1693808640000003
2022-12-21,13,3,-0.5639155712000001
2022-12-22,3,0,-0.0883246080000002
2022-12-23,6,0,1.1278010367999998
2022-12-24,1,0,-0.9587912703999995
2022-12-25,0,0,0.41759897600000007
2022-12-26,2,0,-0.5323704320000001
2022-12-27,3,0,0.6572594176000002
2022-12-28,2,0,1.5455932416000004
2022-12-29,4,0,0.37681991680000015
2022-12-30,3,0,-0.49424650240000007
2022-12-31,4,0,-0.2712735744
2023-01-01,0,0,-0.18260142080000002
2023-01-02,1,0,0.880511488
2023-01-03,15,0,3.7042103296
2023-01-04,18,2,4.0513300480000005
2023-01-05,8,1,0.5738285056000001
2023-01-06,4,1,0.9350735871999998
2023-01-07,1,0,1.0275946495999997
2023-01-08,5,0,1.0534271999999998
2023-01-09,2,0,2.0504780799999995
2023-01-10,2,2,2.8414894079999997
2023-01-11,2,2,4.5502166016
2023-01-12,5,4,1.0212009984000003
2023-01-13,3,0,4.4102947839999995
2023-01-14,3,0,-2.0674331648
2023-01-15,2,0,-0.07659796480000036
2023-01-16,11,3,-0.9282254848000002
2023-01-17,18,1,1.3834104832
2023-01-18,14,0,4.1409783808
2023-01-19,19,1,7.4968433664
2023-01-20,17,3,2.4589244416000002
2023-01-21,1,0,-0.1713631231999999
2023-01-22,0,0,-1.5428148224000005
2023-01-23,22,1,2.1146746879999996
2023-01-24,12,1,5.7577092096
2023-01-25,14,0,1.8678517760000002
2023-01-26,10,3,2.0935662591999997
2023-01-27,5,5,5.125872640000001
2023-01-28,0,0,-1.4418241535999998
2023-01-29,0,0,0.5824394239999995
2023-01-30,12,3,6.7287355392
2023-01-31,10,2,-1.388709376
2023-02-01,7,5,1.5641038847999997
2023-02-02,12,3,5.487719219200001
2023-02-03,11,0,-2.2542160896
2023-02-04,0,0,-1.1502637056
2023-02-05,0,0,-0.7612930048
2023-02-06,13,3,4.4911046656
2023-02-07,18,4,3.6029944832000007
2023-02-08,10,5,2.2920757248
2023-02-09,12,8,1.3858804735999999
2023-02-10,20,5,3.5338779648000003
2023-02-11,0,0,0.1850345471999999
2023-02-12,1,0,-1.3082240000000005
2023-02-13,20,12,2.2102783999999995
2023-02-14,14,10,-1.1788953599999998
2023-02-15,10,11,4.301841408
2023-02-16,10,8,2.5321062400000005
2023-02-17,7,8,0.48066826240000005
2023-02-18,0,0,-1.1798080512
2023-02-19,0,0,-0.6724085760000001
2023-02-20,9,0,0.5662011391999998
2023-02-21,8,4,2.485348864
2023-02-22,12,2,3.0651711488
2023-02-23,10,5,0.7314969600000003
2023-02-24,12,17,3.94864896
2023-02-25,1,0,-1.5569888256
2023-02-26,0,0,-0.7523755008000005
2023-02-27,13,9,3.5124428799999996
2023-02-28,17,0,1.834044928
2023-03-01,19,7,3.7881230336
2023-03-02,23,1,1.3370436608
2023-03-03,16,3,-0.44168642560000015
2023-03-04,5,0,-0.9798212608000001
2023-03-05,0,0,-0.6126699520000002
2023-03-06,15,0,0.5945267199999998
2023-03-07,13,1,3.479316992
