,rust-lang/rust,python/cpython,JuliaLang/julia
2015-03-17,53,10,25
2015-03-18,37,28,13
2015-03-19,57,23,28
2015-03-20,41,26,26
2015-03-21,10,12,15
2015-03-22,23,17,3
2015-03-23,96,6,10
2015-03-24,65,35,7
2015-03-25,24,17,12
2015-03-26,44,5,20
2015-03-27,79,18,11
2015-03-28,26,11,19
2015-03-29,34,19,18
2015-03-30,37,35,14
2015-03-31,75,27,25
2015-04-01,95,23,17
2015-04-02,34,33,13
2015-04-03,37,17,14
2015-04-04,42,16,3
2015-04-05,18,4,3
2015-04-06,21,13,12
2015-04-07,43,15,10
2015-04-08,68,12,10
2015-04-09,38,10,5
2015-04-10,57,22,10
2015-04-11,45,11,4
2015-04-12,21,10,8
2015-04-13,36,55,23
2015-04-14,86,41,21
2015-04-15,49,12,23
2015-04-16,31,17,29
2015-04-17,75,3,24
2015-04-18,35,3,14
2015-04-19,22,14,31
2015-04-20,35,20,22
2015-04-21,99,8,36
2015-04-22,30,18,20
2015-04-23,45,11,7
2015-04-24,63,4,22
2015-04-25,50,4,16
2015-04-26,25,14,18
2015-04-27,51,4,16
2015-04-28,31,2,20
2015-04-29,97,4,9
2015-04-30,70,5,8
2015-05-01,44,0,19
2015-05-02,36,15,15
2015-05-03,23,22,23
2015-05-04,43,3,17
2015-05-05,52,5,21
2015-05-06,58,14,31
2015-05-07,56,7,17
2015-05-08,43,9,32
2015-05-09,37,12,13
2015-05-10,54,2,5
2015-05-11,54,17,18
2015-05-12,63,33,19
2015-05-13,66,39,20
2015-05-14,52,17,13
2015-05-15,53,6,19
2015-05-16,39,35,12
2015-05-17,40,13,13
2015-05-18,33,19,8
2015-05-19,84,14,13
2015-05-20,36,14,22
2015-05-21,35,15,16
2015-05-22,21,20,13
2015-05-23,34,35,22
2015-05-24,26,13,10
2015-05-25,34,8,23
2015-05-26,35,12,24
2015-05-27,30,17,23
2015-05-28,41,23,30
2015-05-29,41,13,27
2015-05-30,20,46,7
2015-05-31,22,25,6
2015-06-01,28,14,30
2015-06-02,34,32,18
2015-06-03,26,13,25
2015-06-04,30,11,23
2015-06-05,25,6,18
2015-06-06,30,3,12
2015-06-07,20,9,0
2015-06-08,44,23,19
2015-06-09,58,9,21
2015-06-10,40,8,21
2015-06-11,36,0,21
2015-06-12,35,14,21
2015-06-13,25,3,15
2015-06-14,18,3,12
2015-06-15,35,6,16
2015-06-16,19,1,21
2015-06-17,52,6,19
2015-06-18,51,0,11
2015-06-19,36,2,23
2015-06-20,37,2,20
2015-06-21,28,15,22
2015-06-22,28,3,25
2015-06-23,44,7,24
2015-06-24,40,20,28
2015-06-25,36,11,27
2015-06-26,25,3,16
2015-06-27,21,12,24
2015-06-28,9,11,35
2015-06-29,32,6,19
2015-06-30,57,8,29
2015-07-01,37,15,14
2015-07-02,28,16,18
2015-07-03,26,20,14
2015-07-04,28,20,12
2015-07-05,35,29,10
2015-07-06,35,16,15
2015-07-07,29,14,21
2015-07-08,46,6,22
2015-07-09,32,9,21
2015-07-10,27,6,42
2015-07-11,27,3,6
2015-07-12,32,0,9
2015-07-13,38,1,23
2015-07-14,39,7,27
2015-07-15,11,2,17
