,mlpack/mlpack,statsmodels/statsmodels,scikit-learn/scikit-learn
2010-02-05,2.0,0,1
2010-02-06,-0.6000000000000001,0,0
2010-02-07,-0.20999999999999985,2,0
2010-02-08,-0.11899999999999994,0,0
2010-02-09,-0.080325,1,0
2010-02-10,0.9405595,1,0
2010-02-11,7.653438275,1,0
2010-02-12,-2.5429145475,6,0
2010-02-13,-0.9312534335312495,4,0
2010-02-14,-0.5433293264656248,8,0
2010-02-15,-0.35102025,5,0
2010-02-16,-0.2610428625,1,0
2010-02-17,-0.20520417374999997,0,0
2010-02-18,-0.16753490676562507,0,0
2010-02-19,-0.1405971473578129,0,0
2010-02-20,0.8913326941374998,0,0
2010-02-21,-0.30000000000000004,0,0
2010-02-22,-0.10499999999999993,0,0
2010-02-23,3.9405,0,0
2010-02-24,0.7598374999999997,7,0
2010-02-25,-0.0497202499999998,0,0
2010-02-26,6.228719137500001,0,0
2010-02-27,-2.5036072737500006,0,0
2010-02-28,-1.0095827167656244,0,0
2010-03-01,-0.6228098632328123,1,10
2010-03-02,-0.43324857,0,8
2010-03-03,2.6672559729375,0,62
2010-03-04,-1.1680103977125003,0,11
2010-03-05,0.5092555405187501,0,6
2010-03-06,-0.6032204305921878,1,2
2010-03-07,-0.3205713926296876,0,0
2010-03-08,-0.14866074999999995,9,1
2010-03-09,1.8899949125,1,2
2010-03-10,0.3134079287499999,3,1
2010-03-11,-0.5809110127968751,6,4
2010-03-12,-0.2837075134484375,2,15
2010-03-13,-0.155701716765625,0,0
2010-03-14,-0.1131864132328125,2,0
2010-03-15,4.923718025,0,10
2010-03-16,-1.5611954100000003,1,5
2010-03-17,0.42428929271875027,1,17
2010-03-18,-0.6405435432312501,0,16
2010-03-19,-0.31939591323281247,0,11
2010-03-20,-0.20810124999999996,1,0
2010-03-21,-0.15656681249999999,0,0
2010-03-22,-0.12450661875000002,0,7
2010-03-23,-0.10266444632812523,0,8
2010-03-24,-0.08687433991406263,0,5
2010-03-25,-0.015876716765625045,0,6
2010-03-26,1.9864165867671875,0,0
2010-03-27,-0.6000000000000001,0,0
2010-03-28,-0.20999999999999985,0,0
2010-03-29,0.881,0,0
2010-03-30,-0.380325,2,1
2010-03-31,-0.16444049999999993,2,0
2010-04-01,-0.10606172499999997,9,0
2010-04-02,-0.0780770475,0,0
2010-04-03,-0.06147368353125009,3,0
2010-04-04,-0.05044768896562504,0,0
2010-04-05,1.98104272625,1,0
2010-04-06,0.38412328323437483,0,4
2010-04-07,1.4764165867671877,0,0
2010-04-08,1.1760000000000002,1,8
2010-04-09,-0.9498249999999999,1,0
2010-04-10,-0.4286029999999998,0,0
2010-04-11,1.7243930250000001,4,0
2010-04-12,2.19903909,14,0
2010-04-13,2.73328706771875,3,3
2010-04-14,14.23848018426875,1,9
2010-04-15,-3.5620763942640625,0,5
2010-04-16,-2.756848259996874,4,0
2010-04-17,-1.4855393014656246,6,0
2010-04-18,-0.9882381349999998,3,0
2010-04-19,-0.7375977047812501,2,9
2010-04-20,3.4174396282375,1,15
2010-04-21,1.345864788239062,1,16
2010-04-22,-1.6662756686812505,1,13
2010-04-23,-0.8020880452562502,0,7
2010-04-24,1.633683173534375,14,0
2010-04-25,1.1606315,1,1
2010-04-26,-0.9922841999999998,1,1
2010-04-27,0.5253283175000002,0,0
2010-04-28,10.3802963116875,0,2
2010-04-29,-0.6467293032281258,0,7
2010-04-30,-1.2612524646984369,0,4
2010-05-01,-1.3941387724999994,0,0
2010-05-02,-0.8246757310312498,11,0
2010-05-03,2.410888627503125,12,10
2010-05-04,1.6684631622843749,13,10
2010-05-05,-0.538969565515625,0,8
2010-05-06,2.9381200185953125,0,11
2010-05-07,-0.8199924696078129,0,23
2010-05-08,-1.0457752064640622,0,1
2010-05-09,1.4442507492671877,0,6
2010-05-10,-0.9765846587500001,7,4
2010-05-11,2.503173665953125,0,0
2010-05-12,3.7508186362546874,2,6
2010-05-13,-0.051061913964062455,0,2
2010-05-14,3.5410119459546876,0,1
2010-05-15,-1.244759594696875,4,1
2010-05-16,-1.2854712107328121,4,0
2010-05-17,2.26697772896875,3,6
2010-05-18,-1.420195960215625,5,2
2010-05-19,-0.6927419940468749,1,0
2010-05-20,1.5173270664734373,6,3
2010-05-21,0.06177476905468715,6,0
2010-05-22,-0.7246684340437501,7,0
2010-05-23,-0.3776363704296875,0,0
2010-05-24,11.789719765517187,0,3
2010-05-25,8.252766849703125,0,1
2010-05-26,0.02296778530156285,0,4
2010-05-27,-1.5351954099999991,1,19
2010-05-28,-0.37166070728124945,3,5
2010-05-29,-1.98913654323125,0,6
2010-05-30,-1.1794092632328121,0,2
2010-05-31,-0.854783885,3,2
2010-06-01,5.325822301312499,0,2
2010-06-02,-1.3543101537312512,0,7
2010-06-03,6.743139184878125,0,3
2010-06-04,-2.9995850471953127,2,3
2010-06-05,0.8006047400031253,0,0
2010-06-06,-0.3216508264656248,0,0
2010-06-07,-0.0007054249999998152,2,2
2010-06-08,5.101213495,5,0
2010-06-09,5.65471052565625,8,3
2010-06-10,-3.4381383861625,4,10
2010-06-11,-1.454041622357812,0,1
2010-06-12,-0.9165579658624999,2,0
2010-06-13,-0.57361306978125,0,0
2010-06-14,0.5605520080187499,6,2
2010-06-15,0.37054932750156244,3,3
2010-06-16,3.334498096173437,8,13
2010-06-17,2.4269857864781246,4,6
2010-06-18,12.1716701941375,3,3
2010-06-19,-4.92788275,0,0
2010-06-20,-0.9216511124999986,0,0
2010-06-21,1.5452308637500005,4,7
2010-06-22,3.1858865594843753,6,11
2010-06-23,10.511003825001563,0,14
2010-06-24,-3.1225139502953123,0,0
2010-06-25,0.20404989750625058,1,8
