,seleniumhq/selenium,DevExpress/testcafe,cypress-io/cypress
2019-05-20,2,1,2.0
2019-05-21,3,0,16.8
2019-05-22,2,0,10.209999999999999
2019-05-23,0,3,-0.022000000000001574
2019-05-24,0,2,2.734174999999999
2019-05-25,0,0,-0.21549599999999924
2019-05-26,0,0,-0.8852587749999985
2019-05-27,2,2,0.36033239500000147
2019-05-28,3,5,2.3909428877187513
2019-05-29,3,0,7.230963093662501
2019-05-30,3,2,-1.3120524417984374
2019-05-31,4,2,0.3563778460375002
2019-06-01,2,0,0.5277310966156252
2019-06-02,0,0,-0.4149759856593742
2019-06-03,11,1,1.7385874137140631
2019-06-04,3,1,4.602691998234375
2019-06-05,5,0,12.247367388417187
2019-06-06,4,0,-1.7130218242328135
2019-06-07,0,2,-0.8602715290375001
2019-06-08,0,0,4.473291990734375
2019-06-09,0,0,-0.8934874405515616
2019-06-10,2,4,0.4690859424640633
2019-06-11,1,1,1.5117887302187505
2019-06-12,0,0,3.442830178600001
2019-06-13,7,6,0.2345339181171877
2019-06-14,3,0,2.467342354532813
2019-06-15,0,0,-0.57191023125
2019-06-16,5,0,-0.3393870775781246
2019-06-17,6,2,5.749958516070313
2019-06-18,0,0,3.237491994484375
2019-06-19,3,0,8.196577473932813
2019-06-20,12,0,0.6433493091156244
2019-06-21,2,0,1.0805801880906252
2019-06-22,0,0,-0.7629542915828122
2019-06-23,1,0,-0.5015981326078114
2019-06-24,7,0,4.637414022500001
2019-06-25,0,0,8.206198724406251
2019-06-26,1,1,2.627932841471875
2019-06-27,4,0,2.8842783552156246
2019-06-28,3,2,2.9432738086453125
2019-06-29,1,0,8.003519418896875
2019-06-30,0,0,2.495691482428125
2019-07-01,12,1,2.7599564062500006
2019-07-02,0,10,2.8160501186718756
2019-07-03,8,0,3.8304385851796887
2019-07-04,25,3,-1.232586509885937
2019-07-05,0,10,-0.7208185597062491
2019-07-06,0,0,-0.5139769784562489
2019-07-07,0,0,-0.3845125622843738
2019-07-08,12,0,1.7085304901140632
2019-07-09,12,1,12.61794649029375
2019-07-10,5,4,1.4826628565437492
2019-07-11,10,3,0.9765630247781245
2019-07-12,10,1,5.211180737320312
2019-07-13,9,0,-1.0763459999999996
2019-07-14,0,0,-0.6248292749999993
2019-07-15,0,0,3.5460311950000007
2019-07-16,6,1,4.240950785218751
2019-07-17,8,5,7.022508611975001
2019-07-18,6,1,4.621950510485937
2019-07-19,2,0,-0.29604536113906277
2019-07-20,6,0,-0.8399870831656246
2019-07-21,1,0,-0.564924915215624
2019-07-22,2,2,3.608406152500001
2019-07-23,0,0,4.283599166687501
2019-07-24,3,1,0.0547246297781252
2019-07-25,0,2,3.362735043195313
2019-07-26,4,1,5.19415560536875
2019-07-27,2,0,-1.03624092823125
2019-07-28,0,0,-0.5462931525359372
2019-07-29,0,1,11.6200484025
2019-07-30,0,2,2.5046542541875
2019-07-31,0,2,-0.18187922147187496
2019-08-01,13,4,6.203090564304688
2019-08-02,6,0,0.779815717901563
2019-08-03,13,0,-0.9105562882374992
2019-08-04,0,0,0.4170332347843757
2019-08-05,5,0,7.496473345000001
2019-08-06,0,11,1.8285011963125002
2019-08-07,0,3,1.0369792337562502
2019-08-08,14,4,0.269193878090625
2019-08-09,1,1,1.4455188138546882
2019-08-10,0,0,-0.5840121062828119
