,rust-lang/rust,python/cpython,JuliaLang/julia
2022-07-16,68,6,5
2022-07-17,77,6,5
2022-07-18,108,15,7
2022-07-19,94,7,8
2022-07-20,171,16,10
2022-07-21,111,5,6
2022-07-22,81,15,7
2022-07-23,63,8,6
2022-07-24,109,8,4
2022-07-25,112,17,7
2022-07-26,114,17,6
2022-07-27,97,14,3
2022-07-28,115,16,1
2022-07-29,97,10,4
2022-07-30,85,6,5
2022-07-31,77,4,0
2022-08-01,85,16,3
2022-08-02,96,5,3
2022-08-03,103,10,8
2022-08-04,134,21,4
2022-08-05,65,13,3
2022-08-06,72,8,5
2022-08-07,63,0,3
2022-08-08,72,10,3
2022-08-09,111,6,7
2022-08-10,97,7,5
2022-08-11,76,14,5
2022-08-12,109,7,4
2022-08-13,61,7,2
2022-08-14,57,3,1
2022-08-15,80,8,4
2022-08-16,106,8,4
2022-08-17,88,9,11
2022-08-18,104,13,8
2022-08-19,89,12,6
2022-08-20,79,1,5
2022-08-21,117,5,1
2022-08-22,133,5,7
2022-08-23,134,10,3
2022-08-24,87,9,5
2022-08-25,67,10,3
2022-08-26,112,10,8
2022-08-27,92,7,0
2022-08-28,80,2,2
2022-08-29,87,13,14
2022-08-30,100,19,16
2022-08-31,124,5,21
2022-09-01,94,5,17
2022-09-02,87,5,12
2022-09-03,53,5,10
2022-09-04,60,8,0
2022-09-05,82,11,6
2022-09-06,75,8,19
2022-09-07,74,11,11
2022-09-08,96,9,3
2022-09-09,88,7,2
2022-09-10,72,4,1
2022-09-11,54,3,5
2022-09-12,126,2,9
2022-09-13,115,10,11
2022-09-14,103,6,16
2022-09-15,75,6,17
2022-09-16,94,4,7
2022-09-17,58,7,7
2022-09-18,46,4,3
2022-09-19,70,8,7
2022-09-20,82,8,7
2022-09-21,86,5,11
2022-09-22,103,6,7
2022-09-23,99,4,1
2022-09-24,93,3,2
2022-09-25,68,5,1
2022-09-26,101,6,5
2022-09-27,140,4,10
2022-09-28,64,8,5
2022-09-29,77,4,14
2022-09-30,82,9,12
2022-10-01,104,3,2
2022-10-02,91,6,7
2022-10-03,83,22,11
2022-10-04,65,33,9
2022-10-05,65,27,11
2022-10-06,78,19,14
2022-10-07,116,46,15
2022-10-08,60,14,6
2022-10-09,83,3,1
2022-10-10,108,10,17
2022-10-11,64,10,0
2022-10-12,74,12,6
2022-10-13,68,3,8
2022-10-14,87,1,5
2022-10-15,68,15,5
2022-10-16,70,7,4
2022-10-17,77,11,3
2022-10-18,65,12,7
2022-10-19,93,15,5
2022-10-20,104,14,8
2022-10-21,78,8,7
2022-10-22,64,7,5
2022-10-23,101,5,2
2022-10-24,106,16,16
2022-10-25,92,18,9
2022-10-26,95,14,9
2022-10-27,99,10,9
2022-10-28,74,11,5
2022-10-29,109,8,8
2022-10-30,39,5,1
2022-10-31,70,9,4
2022-11-01,71,12,8
2022-11-02,72,18,23
2022-11-03,52,24,12
2022-11-04,105,9,9
2022-11-05,102,8,2
2022-11-06,69,14,8
2022-11-07,158,15,5
2022-11-08,78,16,15
2022-11-09,122,9,6
2022-11-10,95,22,8
2022-11-11,86,14,1
2022-11-12,85,10,0
2022-11-13,71,11,3
2022-11-14,72,22,5
2022-11-15,102,9,8
2022-11-16,70,16,6
2022-11-17,70,6,3
2022-11-18,97,6,1
2022-11-19,105,3,8
2022-11-20,106,4,2
2022-11-21,130,7,8
2022-11-22,80,19,4
2022-11-23,90,8,3
2022-11-24,86,15,3
2022-11-25,170,8,3
2022-11-26,80,13,2
2022-11-27,88,11,2
2022-11-28,100,9,12
2022-11-29,100,10,9
2022-11-30,65,14,9
2022-12-01,90,3,4
2022-12-02,87,4,3
2022-12-03,75,4,4
2022-12-04,54,6,1
2022-12-05,53,15,5
2022-12-06,106,11,3
2022-12-07,60,8,14
2022-12-08,59,13,0
2022-12-09,83,13,4
2022-12-10,60,8,5
2022-12-11,68,3,5
2022-12-12,68,12,6
2022-12-13,110,2,6
2022-12-14,112,6,5
2022-12-15,88,6,3
2022-12-16,70,11,3
2022-12-17,79,8,0
2022-12-18,53,2,1
2022-12-19,53,2,2
2022-12-20,91,8,10
2022-12-21,59,10,12
2022-12-22,74,10,9
2022-12-23,60,16,3
2022-12-24,42,16,3
2022-12-25,44,2,2
2022-12-26,22,3,3
2022-12-27,67,3,16
2022-12-28,110,19,14
2022-12-29,67,4,18
2022-12-30,52,3,2
2022-12-31,54,6,3
2023-01-01,39,9,4
2023-01-02,87,6,6
2023-01-03,66,7,6
2023-01-04,80,7,7
2023-01-05,56,9,10
2023-01-06,62,9,8
2023-01-07,53,7,3
