,llvm/llvm-project,gcc-mirror/gcc,golang/go
2016-04-03,30,2,12
2016-04-04,85,13,16
2016-04-05,120,20,29
2016-04-06,125,12,37
2016-04-07,133,7,23
2016-04-08,118,15,15
2016-04-09,21,14,8
2016-04-10,25,3,14
2016-04-11,102,7,25
2016-04-12,133,21,37
2016-04-13,112,28,28
2016-04-14,121,15,32
2016-04-15,108,21,18
2016-04-16,48,4,10
2016-04-17,36,14,6
2016-04-18,99,62,17
2016-04-19,122,33,20
2016-04-20,104,54,20
2016-04-21,146,45,28
2016-04-22,164,11,26
2016-04-23,50,6,5
2016-04-24,66,7,9
2016-04-25,121,15,13
2016-04-26,133,25,23
2016-04-27,176,57,40
2016-04-28,132,50,25
2016-04-29,165,37,29
2016-04-30,34,17,7
2016-05-01,35,8,19
2016-05-02,129,73,8
2016-05-03,124,29,9
2016-05-04,108,27,24
2016-05-05,117,13,21
2016-05-06,126,39,27
2016-05-07,42,6,4
2016-05-08,22,7,3
2016-05-09,101,22,11
2016-05-10,151,31,15
2016-05-11,100,18,17
2016-05-12,124,20,11
2016-05-13,130,27,5
2016-05-14,64,5,8
2016-05-15,34,2,6
2016-05-16,104,33,13
2016-05-17,129,27,6
2016-05-18,129,48,29
2016-05-19,125,34,19
2016-05-20,131,33,13
2016-05-21,47,5,3
2016-05-22,43,8,1
2016-05-23,116,24,3
2016-05-24,116,44,19
2016-05-25,159,27,19
2016-05-26,138,21,17
2016-05-27,135,22,26
2016-05-28,67,12,1
2016-05-29,43,6,4
2016-05-30,41,24,3
2016-05-31,111,26,18
2016-06-01,79,31,18
2016-06-02,157,16,22
2016-06-03,118,25,15
2016-06-04,57,7,0
2016-06-05,43,11,2
2016-06-06,101,32,4
2016-06-07,112,20,3
2016-06-08,126,30,8
2016-06-09,119,22,9
2016-06-10,96,27,5
2016-06-11,46,8,1
2016-06-12,32,4,2
2016-06-13,74,43,6
2016-06-14,133,33,8
2016-06-15,122,21,6
2016-06-16,119,36,8
2016-06-17,95,19,2
2016-06-18,31,6,0
2016-06-19,27,4,1
2016-06-20,89,28,6
2016-06-21,109,29,6
2016-06-22,148,40,5
2016-06-23,109,17,6
2016-06-24,119,18,9
2016-06-25,37,6,1
2016-06-26,47,6,2
2016-06-27,114,3,10
2016-06-28,113,19,13
2016-06-29,103,22,7
2016-06-30,109,13,9
2016-07-01,108,15,2
2016-07-02,46,3,2
2016-07-03,21,2,1
2016-07-04,49,35,4
2016-07-05,60,18,1
2016-07-06,118,33,6
2016-07-07,100,25,3
2016-07-08,138,20,7
2016-07-09,53,2,0
2016-07-10,29,2,0
2016-07-11,91,18,5
2016-07-12,104,18,4
2016-07-13,108,29,7
2016-07-14,150,29,1
2016-07-15,147,35,4
2016-07-16,48,3,3
2016-07-17,43,2,1
2016-07-18,151,14,12
2016-07-19,131,19,1
2016-07-20,139,28,5
2016-07-21,148,32,8
2016-07-22,126,27,2
2016-07-23,40,2,1
2016-07-24,48,11,1
2016-07-25,114,34,1
2016-07-26,106,23,8
2016-07-27,110,17,4
2016-07-28,115,27,2
2016-07-29,134,32,1
2016-07-30,34,8,0
2016-07-31,25,16,0
2016-08-01,88,30,1
2016-08-02,137,21,10
2016-08-03,106,28,1
2016-08-04,98,36,5
2016-08-05,97,20,4
2016-08-06,52,13,2
2016-08-07,27,8,1
2016-08-08,91,23,2
2016-08-09,102,35,4
2016-08-10,116,20,4
2016-08-11,128,25,3
2016-08-12,134,22,0
2016-08-13,35,6,0
2016-08-14,26,5,0
2016-08-15,100,20,5
2016-08-16,105,17,65
2016-08-17,132,26,29
2016-08-18,140,23,21
2016-08-19,148,24,18
2016-08-20,39,4,3
2016-08-21,17,2,18
2016-08-22,81,20,27
