,python/cpython,php/php-src,ruby/ruby
2012-01-05,10,2,6
2012-01-06,4,4,5
2012-01-07,10,2,8
2012-01-08,6,10,7
2012-01-09,14,8,14
2012-01-10,11,10,10
2012-01-11,10,5,8
2012-01-12,15,3,8
2012-01-13,17,2,9
2012-01-14,47,2,7
2012-01-15,5,2,9
2012-01-16,48,4,4
2012-01-17,10,13,6
2012-01-18,41,14,10
2012-01-19,18,10,3
2012-01-20,13,4,6
2012-01-21,25,4,4
2012-01-22,10,2,5
2012-01-23,9,4,6
2012-01-24,10,2,8
2012-01-25,29,3,6
2012-01-26,13,8,1
2012-01-27,23,12,5
2012-01-28,8,6,4
2012-01-29,11,14,4
2012-01-30,8,11,7
2012-01-31,11,10,5
2012-02-01,16,11,5
2012-02-02,18,13,9
2012-02-03,11,10,0
2012-02-04,26,1,2
2012-02-05,25,27,2
2012-02-06,12,16,1
2012-02-07,6,6,6
2012-02-08,21,7,15
2012-02-09,13,1,16
2012-02-10,12,0,3
2012-02-11,10,0,10
2012-02-12,23,5,3
2012-02-13,17,2,9
2012-02-14,18,19,10
2012-02-15,37,0,20
2012-02-16,23,7,5
2012-02-17,14,1,14
2012-02-18,12,6,13
2012-02-19,22,2,11
2012-02-20,56,7,13
2012-02-21,62,3,12
2012-02-22,29,4,23
2012-02-23,45,4,19
2012-02-24,13,4,19
2012-02-25,25,21,15
2012-02-26,37,3,2
2012-02-27,21,2,15
2012-02-28,12,3,13
2012-02-29,17,5,9
2012-03-01,9,11,3
2012-03-02,13,51,15
2012-03-03,6,6,8
2012-03-04,26,21,4
2012-03-05,41,19,20
2012-03-06,19,19,12
2012-03-07,13,5,6
2012-03-08,17,16,9
2012-03-09,11,2,6
2012-03-10,11,3,4
2012-03-11,6,31,16
2012-03-12,41,11,11
2012-03-13,46,3,13
2012-03-14,57,6,19
2012-03-15,45,3,22
2012-03-16,39,2,26
2012-03-17,52,9,0
2012-03-18,14,6,11
2012-03-19,8,26,5
2012-03-20,9,24,2
2012-03-21,20,36,3
2012-03-22,27,37,17
2012-03-23,19,17,7
2012-03-24,8,41,5
2012-03-25,22,17,1
2012-03-26,21,3,13
2012-03-27,8,27,12
2012-03-28,8,43,7
2012-03-29,13,28,11
2012-03-30,12,13,7
2012-03-31,37,6,13
2012-04-01,22,10,9
2012-04-02,20,18,5
2012-04-03,18,19,11
2012-04-04,8,23,6
2012-04-05,27,0,2
2012-04-06,15,4,6
2012-04-07,10,3,8
2012-04-08,15,2,9
2012-04-09,27,4,5
2012-04-10,33,49,20
2012-04-11,20,4,11
2012-04-12,15,8,7
2012-04-13,21,9,9
2012-04-14,16,2,5
2012-04-15,28,0,2
2012-04-16,30,33,14
2012-04-17,17,5,16
2012-04-18,29,20,18
2012-04-19,12,21,10
2012-04-20,21,9,2
2012-04-21,9,7,5
2012-04-22,24,13,8
2012-04-23,32,6,19
2012-04-24,35,14,16
2012-04-25,16,3,4
2012-04-26,9,8,7
2012-04-27,19,0,3
2012-04-28,6,4,6
2012-04-29,58,8,2
2012-04-30,21,32,12
2012-05-01,33,8,9
2012-05-02,13,10,8
2012-05-03,20,16,13
2012-05-04,26,7,6
2012-05-05,9,8,2
2012-05-06,35,15,6
2012-05-07,18,14,31
