,tensorflow/tensorflow,pytorch/pytorch,apache/mxnet
2016-09-25,5,7,0
2016-09-26,49,8,2
2016-09-27,68,16,1
2016-09-28,47,5,1
2016-09-29,69,13,4
2016-09-30,55,18,1
2016-10-01,10,5,2
2016-10-02,5,5,1
2016-10-03,30,11,2
2016-10-04,44,3,2
2016-10-05,34,9,2
2016-10-06,57,2,2
2016-10-07,48,34,2
2016-10-08,17,2,1
2016-10-09,7,2,0
2016-10-10,42,3,2
2016-10-11,69,5,1
2016-10-12,73,3,4
2016-10-13,62,10,0
2016-10-14,71,16,1
2016-10-15,22,2,5
2016-10-16,27,4,2
2016-10-17,44,17,6
2016-10-18,70,5,3
2016-10-19,103,9,3
2016-10-20,58,0,1
2016-10-21,63,0,1
2016-10-22,38,3,0
2016-10-23,26,1,1
2016-10-24,64,24,6
2016-10-25,69,7,1
2016-10-26,62,10,4
2016-10-27,67,8,1
2016-10-28,61,4,1
2016-10-29,16,5,1
2016-10-30,6,1,3
2016-10-31,70,6,4
2016-11-01,58,13,1
2016-11-02,58,12,0
2016-11-03,70,10,2
2016-11-04,67,0,2
2016-11-05,5,4,2
2016-11-06,5,1,2
2016-11-07,18,13,3
2016-11-08,9,79,4
2016-11-09,107,5,6
2016-11-10,42,9,4
2016-11-11,47,29,4
2016-11-12,31,0,3
2016-11-13,3,4,1
2016-11-14,46,3,3
2016-11-15,64,25,6
2016-11-16,151,13,7
2016-11-17,68,6,7
2016-11-18,54,8,11
2016-11-19,22,4,5
2016-11-20,17,0,3
2016-11-21,44,10,7
2016-11-22,70,9,6
2016-11-23,69,7,8
2016-11-24,30,9,8
2016-11-25,13,1,4
2016-11-26,8,9,0
2016-11-27,4,0,2
2016-11-28,47,8,2
2016-11-29,59,39,7
2016-11-30,57,3,3
2016-12-01,73,26,1
2016-12-02,70,5,4
2016-12-03,26,1,7
2016-12-04,3,0,2
2016-12-05,56,20,1
2016-12-06,44,8,4
2016-12-07,110,2,10
2016-12-08,84,3,3
2016-12-09,59,4,4
2016-12-10,31,0,3
2016-12-11,7,4,2
2016-12-12,36,5,0
2016-12-13,50,17,1
2016-12-14,46,24,0
2016-12-15,59,39,5
2016-12-16,69,17,3
2016-12-17,28,7,3
2016-12-18,5,2,4
2016-12-19,35,17,3
2016-12-20,37,30,4
2016-12-21,64,19,3
2016-12-22,57,26,3
2016-12-23,17,7,4
2016-12-24,6,4,1
2016-12-25,4,4,0
2016-12-26,3,4,2
2016-12-27,26,24,2
2016-12-28,25,17,2
2016-12-29,28,36,110
2016-12-30,14,23,14
2016-12-31,5,34,6
2017-01-01,5,10,8
2017-01-02,0,8,1
2017-01-03,28,27,6
2017-01-04,52,72,8
2017-01-05,33,35,2
2017-01-06,49,6,6
2017-01-07,12,1,8
2017-01-08,10,0,5
2017-01-09,27,9,6
2017-01-10,53,9,6
2017-01-11,47,8,7
2017-01-12,51,8,4
2017-01-13,57,22,3
2017-01-14,10,4,2
2017-01-15,9,2,4
2017-01-16,9,16,4
2017-01-17,51,22,1
2017-01-18,43,29,3
2017-01-19,68,16,8
2017-01-20,63,17,6
2017-01-21,10,4,8
2017-01-22,7,9,7
2017-01-23,20,11,2
2017-01-24,54,25,4
2017-01-25,50,20,8
2017-01-26,37,13,8
2017-01-27,51,20,12
2017-01-28,15,17,6
2017-01-29,8,11,5
2017-01-30,32,8,3
2017-01-31,46,54,2
2017-02-01,71,23,2
2017-02-02,54,16,4
2017-02-03,71,7,1
2017-02-04,19,4,6
2017-02-05,7,0,2
2017-02-06,66,9,5
2017-02-07,133,19,8
2017-02-08,71,12,3
2017-02-09,55,20,1
2017-02-10,75,15,3
2017-02-11,40,5,0
2017-02-12,9,2,2
2017-02-13,27,9,2
2017-02-14,94,32,2
2017-02-15,61,14,4
2017-02-16,50,35,3
2017-02-17,38,25,0
2017-02-18,11,5,5
2017-02-19,9,0,7
2017-02-20,9,9,0
2017-02-21,29,26,5
2017-02-22,69,18,7
2017-02-23,43,63,3
2017-02-24,38,8,7
2017-02-25,16,8,3
2017-02-26,1,14,0
2017-02-27,46,15,2
2017-02-28,38,34,11
2017-03-01,63,19,4
2017-03-02,48,27,4
2017-03-03,52,25,7
2017-03-04,20,9,1
2017-03-05,18,10,6
2017-03-06,22,14,4
2017-03-07,48,21,1
2017-03-08,46,16,1
2017-03-09,39,16,5
2017-03-10,43,16,8
2017-03-11,18,7,6
2017-03-12,5,5,4
2017-03-13,40,21,7
2017-03-14,56,18,5
2017-03-15,56,25,10
2017-03-16,61,15,7
2017-03-17,44,17,5
2017-03-18,13,1,6
2017-03-19,2,3,3
2017-03-20,47,8,5
2017-03-21,34,7,7
2017-03-22,62,28,8
2017-03-23,52,26,8
2017-03-24,39,34,7
2017-03-25,11,4,2
2017-03-26,5,4,2
2017-03-27,43,19,4
2017-03-28,62,19,6
2017-03-29,55,27,11
2017-03-30,55,12,5
2017-03-31,78,20,7
2017-04-01,18,4,3
2017-04-02,2,3,4
2017-04-03,34,18,10
2017-04-04,31,15,4
2017-04-05,30,17,8
2017-04-06,36,31,4
2017-04-07,42,20,2
2017-04-08,16,12,6
2017-04-09,3,5,3
2017-04-10,44,6,10
2017-04-11,49,33,5
2017-04-12,35,32,12
2017-04-13,35,12,12
2017-04-14,39,13,12
2017-04-15,8,3,6
2017-04-16,10,3,2
2017-04-17,39,21,7
2017-04-18,45,44,5
2017-04-19,42,32,8
2017-04-20,55,26,7
2017-04-21,26,7,6
2017-04-22,16,8,2
2017-04-23,4,4,0
2017-04-24,16,23,10
2017-04-25,28,23,9
2017-04-26,40,18,9
2017-04-27,59,11,12
2017-04-28,50,40,4
2017-04-29,21,7,0
2017-04-30,8,3,5
2017-05-01,49,68,8
2017-05-02,48,25,4
2017-05-03,32,27,3
2017-05-04,52,18,9
2017-05-05,41,13,1
2017-05-06,29,4,8
2017-05-07,8,4,1
2017-05-08,10,25,8
2017-05-09,2,26,5
2017-05-10,65,24,11
2017-05-11,90,8,11
2017-05-12,79,12,9
2017-05-13,8,1,7
2017-05-14,6,2,5
2017-05-15,43,12,6
2017-05-16,50,9,11
2017-05-17,65,17,19
2017-05-18,59,11,13
2017-05-19,65,15,19
2017-05-20,11,6,11
2017-05-21,11,3,5
2017-05-22,44,6,5
2017-05-23,59,13,13
2017-05-24,55,23,10
2017-05-25,51,32,11
2017-05-26,63,16,18
2017-05-27,32,1,3
2017-05-28,7,1,0
2017-05-29,9,0,0
2017-05-30,33,15,5
2017-05-31,64,15,6
2017-06-01,50,16,6
2017-06-02,41,44,7
2017-06-03,12,5,7
2017-06-04,2,2,1
2017-06-05,31,19,3
2017-06-06,84,24,5
2017-06-07,63,36,3
2017-06-08,46,13,4
2017-06-09,55,10,8
2017-06-10,11,5,4
2017-06-11,10,70,0
2017-06-12,18,8,5
2017-06-13,73,30,4
2017-06-14,99,20,7
2017-06-15,33,29,2
2017-06-16,63,13,6
2017-06-17,5,49,2
2017-06-18,2,0,2
2017-06-19,32,20,7
2017-06-20,55,18,7
2017-06-21,63,29,2
2017-06-22,68,32,6
2017-06-23,39,18,5
2017-06-24,9,13,1
2017-06-25,3,0,1
2017-06-26,47,13,2
2017-06-27,59,16,6
2017-06-28,42,17,11
2017-06-29,43,17,1
2017-06-30,44,10,5
2017-07-01,14,2,6
2017-07-02,7,4,0
2017-07-03,5,17,4
2017-07-04,16,17,2
2017-07-05,24,10,5
2017-07-06,71,7,4
2017-07-07,54,13,1
2017-07-08,12,5,1
2017-07-09,2,3,0
2017-07-10,35,18,6
2017-07-11,39,25,7
2017-07-12,47,30,29
2017-07-13,45,45,9
2017-07-14,41,32,9
2017-07-15,11,4,2
2017-07-16,5,3,4
2017-07-17,20,11,2
2017-07-18,50,20,3
2017-07-19,41,31,3
2017-07-20,44,19,10
2017-07-21,51,19,6
2017-07-22,12,4,1
2017-07-23,2,6,1
2017-07-24,41,10,1
2017-07-25,83,60,5
2017-07-26,42,26,3
2017-07-27,46,24,4
2017-07-28,48,8,5
2017-07-29,10,6,2
2017-07-30,8,2,5
2017-07-31,41,8,7
2017-08-01,33,22,14
2017-08-02,53,16,7
2017-08-03,51,19,19
2017-08-04,106,18,7
2017-08-05,11,0,3
2017-08-06,3,11,2
2017-08-07,32,11,4
2017-08-08,36,13,7
2017-08-09,52,24,7
2017-08-10,69,16,8
2017-08-11,48,7,2
2017-08-12,9,5,7
2017-08-13,1,1,2
2017-08-14,33,18,3
2017-08-15,36,22,5
2017-08-16,48,32,5
2017-08-17,60,19,2
2017-08-18,49,17,5
2017-08-19,13,4,1
2017-08-20,4,1,1
2017-08-21,39,8,4
2017-08-22,40,13,3
2017-08-23,40,19,7
2017-08-24,66,21,14
2017-08-25,46,50,3
2017-08-26,12,14,6
2017-08-27,5,6,4
2017-08-28,50,9,4
2017-08-29,48,13,11
2017-08-30,49,26,13
2017-08-31,27,21,7
2017-09-01,28,16,4
2017-09-02,8,6,4
2017-09-03,27,2,1
2017-09-04,22,3,7
2017-09-05,68,250,5
2017-09-06,52,22,9
2017-09-07,68,44,9
2017-09-08,61,25,9
2017-09-09,9,6,10
2017-09-10,3,9,16
2017-09-11,33,22,9
2017-09-12,42,16,5
2017-09-13,50,38,5
2017-09-14,48,19,1
2017-09-15,53,18,4
2017-09-16,21,2,0
2017-09-17,13,18,6
2017-09-18,40,14,4
2017-09-19,52,38,4
2017-09-20,55,29,6
2017-09-21,40,30,3
2017-09-22,57,21,9
2017-09-23,15,9,2
2017-09-24,11,6,8
2017-09-25,27,19,15
2017-09-26,58,21,10
2017-09-27,60,11,9
2017-09-28,76,30,4
2017-09-29,60,8,9
2017-09-30,14,16,2
2017-10-01,7,1,6
2017-10-02,58,16,3
2017-10-03,56,22,4
2017-10-04,73,17,7
2017-10-05,67,36,2
2017-10-06,69,28,4
2017-10-07,16,11,2
2017-10-08,9,3,3
2017-10-09,28,5,4
2017-10-10,54,32,10
2017-10-11,32,23,8
2017-10-12,56,21,2
2017-10-13,68,26,9
2017-10-14,10,9,7
2017-10-15,12,3,4
2017-10-16,54,22,4
2017-10-17,40,7,7
2017-10-18,48,12,4
2017-10-19,51,18,0
2017-10-20,57,41,0
2017-10-21,11,2,7
2017-10-22,7,4,2
2017-10-23,44,10,1
2017-10-24,39,27,1
2017-10-25,65,13,6
2017-10-26,53,31,2
2017-10-27,66,9,5
2017-10-28,17,19,7
2017-10-29,4,1,0
2017-10-30,44,16,3
2017-10-31,59,25,3
2017-11-01,38,26,4
2017-11-02,49,298,4
2017-11-03,40,20,4
2017-11-04,25,10,3
2017-11-05,22,1,4
2017-11-06,44,16,4
2017-11-07,66,24,7
2017-11-08,75,23,9
2017-11-09,76,21,5
2017-11-10,34,35,5
2017-11-11,175,6,6
2017-11-12,6,3,2
2017-11-13,37,15,9
2017-11-14,76,29,1
2017-11-15,42,26,6
2017-11-16,71,21,8
2017-11-17,68,13,3
2017-11-18,22,7,3
2017-11-19,2,2,10
2017-11-20,41,11,8
2017-11-21,51,17,9
2017-11-22,81,11,16
2017-11-23,26,6,2
2017-11-24,2,7,2
2017-11-25,5,0,7
2017-11-26,2,4,2
2017-11-27,29,12,5
2017-11-28,61,17,4
2017-11-29,60,21,0
2017-11-30,52,19,9
2017-12-01,53,17,3
2017-12-02,24,8,8
2017-12-03,5,4,0
2017-12-04,63,22,6
2017-12-05,44,19,3
2017-12-06,63,16,5
2017-12-07,77,12,2
2017-12-08,50,10,8
2017-12-09,19,2,15
2017-12-10,20,2,5
2017-12-11,43,11,2
