,gogs/gogs,gitlabhq/gitlabhq,gitbucket/gitbucket
2018-02-12,0,67.0,4
2018-02-13,0,54.5,0
2018-02-14,0,7.625,0
2018-02-15,0,21.8125,1
2018-02-16,0,35.8828125,0
2018-02-17,0,-54.89453125,0
2018-02-18,0,-19.4365234375,0
2018-02-19,0,26.92041015625,0
2018-02-20,0,67.50955200195312,0
2018-02-21,0,37.75657653808594,0
2018-02-22,0,4.763671875,2
2018-02-23,0,37.746063232421875,4
2018-02-24,0,-64.42045593261719,0
2018-02-25,0,-23.840469360351562,0
2018-02-26,0,52.10890197753906,1
2018-02-27,0,25.883056640625,3
2018-02-28,0,94.13034057617188,0
2018-03-01,0,31.17083740234375,0
2018-03-02,1,-39.51765441894531,3
2018-03-03,0,-34.719757080078125,0
2018-03-04,0,-31.13787841796875,0
2018-03-05,1,87.76539611816406,0
2018-03-06,15,87.36982727050781,1
2018-03-07,1,18.249237060546875,0
2018-03-08,6,-31.598724365234375,1
2018-03-09,5,-17.267227172851562,3
2018-03-10,0,-48.35052490234375,1
2018-03-11,0,-16.984161376953125,4
2018-03-12,3,55.71485900878906,7
2018-03-13,0,4.5051422119140625,0
2018-03-14,1,16.5643310546875,0
2018-03-15,0,0.267181396484375,0
2018-03-16,0,26.653656005859375,0
2018-03-17,0,-37.77392578125,1
2018-03-18,0,-14.89630126953125,1
2018-03-19,0,41.43241882324219,2
2018-03-20,2,11.635147094726562,4
2018-03-21,3,39.019927978515625,8
2018-03-22,0,37.52955627441406,0
2018-03-23,0,2.1066131591796875,0
2018-03-24,0,-51.951873779296875,0
2018-03-25,0,-18.455963134765625,1
2018-03-26,0,69.23284912109375,4
2018-03-27,0,20.612350463867188,3
2018-03-28,0,117.5467529296875,0
2018-03-29,3,-21.7457275390625,2
2018-03-30,5,-19.303924560546875,6
2018-03-31,3,-54.03007507324219,3
2018-04-01,0,-18.628326416015625,10
2018-04-02,1,27.108413696289062,1
2018-04-03,0,34.025726318359375,0
2018-04-04,0,22.730438232421875,0
2018-04-05,2,100.03790283203125,0
2018-04-06,0,10.202682495117188,0
2018-04-07,0,-48.60102844238281,1
2018-04-08,0,-31.462020874023438,1
2018-04-09,3,45.1160888671875,4
2018-04-10,0,19.098480224609375,0
2018-04-11,2,17.552047729492188,0
2018-04-12,3,4.1778564453125,0
2018-04-13,0,15.895309448242188,3
2018-04-14,0,-47.61933898925781,1
2018-04-15,0,-21.7786865234375,9
2018-04-16,3,79.40841674804688,5
2018-04-17,2,33.79933166503906,5
2018-04-18,2,44.50408935546875,2
2018-04-19,1,17.209197998046875,12
2018-04-20,0,0.551605224609375,1
2018-04-21,2,-61.91661071777344,0
2018-04-22,0,-20.136260986328125,4
2018-04-23,0,138.55418395996094,0
2018-04-24,2,15.8040771484375,5
2018-04-25,2,-21.384414672851562,3
2018-04-26,5,-10.174575805664062,5
2018-04-27,0,-2.9460601806640625,9
2018-04-28,0,-36.82916259765625,7
2018-04-29,0,-15.0755615234375,14
2018-04-30,0,59.0203857421875,5
2018-05-01,0,17.620452880859375,0
2018-05-02,0,40.71299743652344,3
2018-05-03,1,43.67681884765625,1
2018-05-04,0,17.01458740234375,1
2018-05-05,0,-65.72895812988281,1
2018-05-06,0,-5.408294677734375,0
2018-05-07,0,117.50547790527344,0
2018-05-08,2,-10.462905883789062,0
2018-05-09,0,23.089706420898438,2
2018-05-10,1,-18.930252075195312,1
2018-05-11,0,24.0225830078125,1
2018-05-12,0,-54.142120361328125,10
2018-05-13,1,-20.015640258789062,0
2018-05-14,0,60.45259094238281,0
2018-05-15,0,16.941696166992188,1
2018-05-16,0,13.634628295898438,0
2018-05-17,0,26.10589599609375,1
2018-05-18,0,13.619277954101562,1
2018-05-19,0,-51.07957458496094,9
2018-05-20,0,-21.533538818359375,0
2018-05-21,2,46.00653076171875,0
2018-05-22,0,36.68841552734375,4
2018-05-23,0,31.512725830078125,8
2018-05-24,0,25.885482788085938,10
2018-05-25,0,4.0167999267578125,0
2018-05-26,1,-49.87150573730469,3
2018-05-27,3,-18.208084106445312,7
2018-05-28,2,80.74168395996094,11
2018-05-29,0,44.55413818359375,1
2018-05-30,2,19.041961669921875,1
2018-05-31,0,46.830047607421875,2
2018-06-01,0,15.952911376953125,0
2018-06-02,1,-67.510498046875,1
2018-06-03,3,-21.5379638671875,2
2018-06-04,2,59.94053649902344,3
2018-06-05,0,115.12220764160156,6
2018-06-06,1,104.00445556640625,0
2018-06-07,0,3.49200439453125,2
2018-06-08,0,-29.807632446289062,0
2018-06-09,8,-83.79646301269531,0
2018-06-10,0,-35.620025634765625,3
2018-06-11,5,64.45938110351562,6
2018-06-12,0,13.71514892578125,5
2018-06-13,3,51.681732177734375,6
2018-06-14,0,20.177047729492188,0
2018-06-15,1,19.059783935546875,0
2018-06-16,2,-58.270843505859375,0
2018-06-17,4,-31.784271240234375,0
2018-06-18,1,67.038818359375,1
2018-06-19,0,22.877914428710938,7
2018-06-20,0,51.36219787597656,1
2018-06-21,0,-1.2472076416015625,0
2018-06-22,0,-7.7229461669921875,1
2018-06-23,0,-52.09523010253906,2
2018-06-24,0,-19.989654541015625,3
