,JetBrains/kotlin,rust-lang/rust,apple/swift
2010-08-17,0,3,0.0
2010-08-18,0,23,0.0
2010-08-19,0,4,0.0
2010-08-20,0,22,0.0
2010-08-21,0,1,0.0
2010-08-22,0,0,0.0
2010-08-23,0,0,0.0
2010-08-24,0,13,0.0
2010-08-25,0,16,0.0
2010-08-26,0,12,0.0
2010-08-27,0,14,0.0
2010-08-28,0,3,0.0
2010-08-29,0,0,0.0
2010-08-30,0,0,0.0
2010-08-31,0,5,0.0
2010-09-01,0,1,0.0
2010-09-02,0,0,0.0
2010-09-03,0,4,0.0
2010-09-04,0,0,2.0
2010-09-05,0,0,-0.6000000000000001
2010-09-06,0,0,-0.20999999999999985
2010-09-07,0,4,-0.11899999999999994
2010-09-08,0,15,-0.080325
2010-09-09,0,4,-0.05944049999999999
2010-09-10,0,3,-0.04656172499999999
2010-09-11,0,0,-0.037914547500000007
2010-09-12,0,1,-0.03175343353125009
2010-09-13,0,1,-0.027166826465625047
2010-09-14,0,5,0.0
2010-09-15,0,4,0.0
2010-09-16,0,16,0.0
2010-09-17,0,0,0.0
2010-09-18,0,0,2.0
2010-09-19,0,0,-0.6000000000000001
2010-09-20,0,1,-0.20999999999999985
2010-09-21,0,12,-0.11899999999999994
2010-09-22,0,8,-0.080325
2010-09-23,0,4,-0.05944049999999999
2010-09-24,0,8,-0.04656172499999999
2010-09-25,0,0,-0.037914547500000007
2010-09-26,0,0,-0.03175343353125009
2010-09-27,0,3,-0.027166826465625047
2010-09-28,0,5,0.0
2010-09-29,0,1,0.0
2010-09-30,0,5,0.0
2010-10-01,0,2,0.0
2010-10-02,0,1,0.0
2010-10-03,0,0,0.0
2010-10-04,0,1,0.0
2010-10-05,0,2,0.0
2010-10-06,0,5,0.0
2010-10-07,0,3,0.0
2010-10-08,0,6,0.0
2010-10-09,0,9,17.0
2010-10-10,0,2,5.8999999999999995
2010-10-11,0,2,-2.084999999999999
2010-10-12,0,11,-0.06649999999999867
2010-10-13,0,7,-2.5522624999999994
2010-10-14,0,8,-1.4405317499999994
2010-10-15,0,2,2.9783150875000004
2010-10-16,0,1,-1.9880113912500001
2010-10-17,0,0,2.9425624662343743
2010-10-18,0,9,-0.9702763181296885
2010-10-19,0,5,-1.1345695171078125
2010-10-20,0,4,-0.5502613899953125
2010-10-21,0,15,-0.35402368969843756
2010-10-22,0,12,-0.234872595
2010-10-23,0,8,-0.18635056706250017
2010-10-24,0,0,0.8465563895687499
2010-10-25,0,0,-0.38246414081250024
2010-10-26,0,5,-0.17521036969687506
2010-10-27,0,2,-0.07308341323281249
2010-10-28,0,8,-0.0401625
2010-10-29,0,0,-0.029720249999999997
2010-10-30,0,0,-0.023280862499999996
2010-10-31,0,0,-0.018957273750000003
2010-11-01,0,0,-0.015876716765625045
2010-11-02,0,2,-0.013583413232812524
2010-11-03,0,9,0.0
2010-11-04,0,3,0.0
2010-11-05,0,8,0.0
2010-11-06,0,9,0.0
2010-11-07,0,0,0.0
2010-11-08,3,2,0.0
2010-11-09,1,2,0.0
2010-11-10,0,1,0.0
2010-11-11,0,2,5.0
2010-11-12,0,3,-1.5000000000000002
2010-11-13,0,1,-0.5249999999999997
2010-11-14,0,7,-0.2974999999999999
2010-11-15,4,1,-0.20081249999999998
2010-11-16,2,1,-0.14860125
2010-11-17,0,0,-0.11640431249999998
2010-11-18,1,1,-0.09478636875000002
2010-11-19,4,4,-0.07938358382812523
2010-11-20,0,5,-0.06791706616406262
2010-11-21,0,6,0.0
2010-11-22,2,6,0.0
2010-11-23,0,7,0.0
2010-11-24,0,4,0.0
2010-11-25,4,10,4.0
2010-11-26,0,10,-1.2000000000000002
2010-11-27,0,2,0.5800000000000003
2010-11-28,0,0,-0.5379999999999999
2010-11-29,0,5,0.7343500000000001
2010-11-30,0,6,-0.478381
2010-12-01,0,6,-0.2382859499999999
2010-12-02,0,8,-0.165049345
2010-12-03,0,14,-0.12695022956250018
2010-12-04,0,5,-0.1030111766812501
2010-12-05,0,0,-0.03915757926562504
2010-12-06,0,1,-0.032540686982812525
2010-12-07,5,9,-0.015876716765625045
2010-12-08,0,5,-0.013583413232812524
2010-12-09,2,12,0.0
2010-12-10,13,10,0.0
2010-12-11,0,11,0.0
2010-12-12,0,4,0.0
2010-12-13,3,9,0.0
2010-12-14,0,7,0.0
2010-12-15,5,13,0.0
2010-12-16,11,10,0.0
2010-12-17,0,5,0.0
2010-12-18,1,6,0.0
2010-12-19,1,0,0.0
2010-12-20,5,7,0.0
2010-12-21,4,7,0.0
2010-12-22,4,6,0.0
2010-12-23,0,2,0.0
2010-12-24,0,2,0.0
2010-12-25,0,4,0.0
2010-12-26,0,0,0.0
2010-12-27,6,0,0.0
2010-12-28,1,0,0.0
2010-12-29,9,1,0.0
2010-12-30,9,7,0.0
2010-12-31,0,17,0.0
2011-01-01,3,1,0.0
2011-01-02,10,0,0.0
2011-01-03,14,9,0.0
2011-01-04,3,14,0.0
2011-01-05,4,4,0.0
2011-01-06,5,6,0.0
2011-01-07,1,5,0.0
2011-01-08,6,2,0.0
2011-01-09,8,0,0.0
2011-01-10,14,12,0.0
2011-01-11,4,5,0.0
2011-01-12,8,10,0.0
2011-01-13,0,1,0.0
2011-01-14,14,7,0.0
2011-01-15,0,2,0.0
2011-01-16,0,0,0.0
2011-01-17,0,7,0.0
2011-01-18,3,7,0.0
2011-01-19,0,5,0.0
2011-01-20,1,7,0.0
2011-01-21,0,8,0.0
2011-01-22,0,2,0.0
2011-01-23,0,0,0.0
2011-01-24,5,5,0.0
2011-01-25,9,4,0.0
2011-01-26,5,6,0.0
2011-01-27,8,11,0.0
2011-01-28,0,7,0.0
2011-01-29,0,0,0.0
2011-01-30,0,3,0.0
2011-01-31,1,4,0.0
2011-02-01,1,5,0.0
2011-02-02,0,9,0.0
2011-02-03,6,3,0.0
2011-02-04,2,2,1.0
2011-02-05,0,0,-0.30000000000000004
2011-02-06,0,0,-0.10499999999999993
2011-02-07,1,5,-0.05949999999999997
2011-02-08,7,1,-0.0401625
2011-02-09,8,10,-0.029720249999999997
2011-02-10,0,10,-0.023280862499999996
2011-02-11,1,9,-0.018957273750000003
2011-02-12,0,0,-0.015876716765625045
2011-02-13,0,0,-0.013583413232812524
2011-02-14,2,5,0.0
2011-02-15,0,11,0.0
2011-02-16,2,7,0.0
2011-02-17,0,1,0.0
2011-02-18,0,3,0.0
2011-02-19,0,4,0.0
2011-02-20,0,0,0.0
2011-02-21,3,1,0.0
2011-02-22,0,4,10.0
2011-02-23,0,12,-3.0000000000000004
2011-02-24,3,8,-1.0499999999999994
2011-02-25,12,12,-0.5949999999999998
2011-02-26,0,6,2.598375
2011-02-27,0,0,-0.19720250000000017
2011-02-28,11,2,-0.8478086249999998
2011-03-01,6,9,3.5269272625
2011-03-02,0,27,4.461245332343749
2011-03-03,1,16,-2.485157382328125
2011-03-04,0,12,0.032437162500000616
2011-03-05,3,3,-0.8978026837499998
2011-03-06,0,6,0.46855657595312494
2011-03-07,0,18,1.3124280935359374
2011-03-08,0,17,-0.9742601832328125
2011-03-09,2,23,-0.47647075956250007
2011-03-10,3,18,-0.3320373160250003
2011-03-11,3,17,-0.21050300314687515
2011-03-12,1,4,-0.09859807926562503
2011-03-13,1,2,3.9208975880171875
2011-03-14,5,27,5.746208735734375
2011-03-15,15,12,-0.5653368467640627
2011-03-16,10,15,-1.6001668264656246
2011-03-17,6,9,6.21285
2011-03-18,0,24,1.3809814999999999
2011-03-19,0,15,0.6835098000000004
2011-03-20,0,13,4.9652643675000006
2011-03-21,5,32,5.823092991687499
2011-03-22,1,29,15.814423032209376
2011-03-23,5,24,-3.8906718636609376
2011-03-24,19,17,-4.458789442715624
2011-03-25,7,30,-2.4363129498593743
2011-03-26,0,6,1.3128391315578125
2011-03-27,0,11,0.900752518021875
2011-03-28,6,8,-2.1220009708078127
2011-03-29,0,17,-1.2037432685203129
2011-03-30,0,12,-0.8146016494078135
2011-03-31,5,23,-0.5448233817187507
2011-04-01,26,26,-0.21333699043125007
2011-04-02,6,6,1.87328559125
2011-04-03,0,10,-0.7045019715468752
2011-04-04,3,1,0.7016196100046874
2011-04-05,4,8,1.5402497603015624
2011-04-06,0,6,-0.785325
2011-04-07,41,22,-0.3289404999999998
2011-04-08,16,23,-0.20572422499999993
2011-04-09,0,3,0.8520402025
2011-04-10,1,1,12.58552520396875
2011-04-11,1,7,1.902314174784375
2011-04-12,0,18,-3.2782912642656243
2011-04-13,1,15,-1.4889993467640616
2011-04-14,30,13,0.06400042353437518
2011-04-15,27,4,-0.9506191125
2011-04-16,0,7,-0.6049299862499998
2011-04-17,0,8,-0.461506450515625
2011-04-18,5,14,-0.3738868736859381
2011-04-19,1,22,-0.3015649226203131
2011-04-20,3,15,-0.10478134189687514
2011-04-21,19,9,-0.018957273750000003
2011-04-22,5,17,1.984123283234375
2011-04-23,0,4,-0.6135834132328126
2011-04-24,0,2,-0.20999999999999985
2011-04-25,6,8,-0.11899999999999994
2011-04-26,5,11,-0.080325
2011-04-27,0,13,-0.05944049999999999
2011-04-28,15,25,0.953438275
2011-04-29,1,23,6.6620854524999995
2011-04-30,0,2,-2.2367534335312507
2011-05-01,0,11,-0.8216668264656244
2011-05-02,5,5,-0.45666249999999975
2011-05-03,5,27,-0.31085775
2011-05-04,4,17,-0.23132261249999997
2011-05-05,2,43,-0.18192331124999997
2011-05-06,5,19,-0.14857763301562507
2011-05-07,0,3,0.8752795694078122
2011-05-08,0,1,-0.3950838926296877
2011-05-09,5,14,-0.10499999999999993
2011-05-10,3,10,-0.05949999999999997
2011-05-11,2,36,-0.0401625
2011-05-12,2,18,-0.029720249999999997
2011-05-13,24,25,-0.023280862499999996
2011-05-14,3,27,-0.018957273750000003
2011-05-15,0,3,-0.015876716765625045
2011-05-16,9,21,-0.013583413232812524
2011-05-17,2,21,0.0
2011-05-18,4,30,0.0
2011-05-19,12,32,0.0
2011-05-20,8,29,0.0
2011-05-21,2,27,0.0
2011-05-22,0,31,0.0
2011-05-23,2,8,0.0
2011-05-24,5,19,0.0
2011-05-25,0,17,0.0
2011-05-26,16,6,0.0
2011-05-27,9,39,0.0
2011-05-28,0,6,0.0
2011-05-29,4,0,0.0
2011-05-30,17,1,0.0
2011-05-31,0,26,2.0
2011-06-01,4,30,-0.6000000000000001
2011-06-02,6,20,-0.20999999999999985
2011-06-03,7,15,-0.11899999999999994
2011-06-04,5,19,-0.080325
2011-06-05,1,3,5.9405595
2011-06-06,1,4,-1.8465617250000002
2011-06-07,0,5,-0.6679145474999996
2011-06-08,2,19,-0.3887534335312499
2011-06-09,0,29,-0.26814182646562507
2011-06-10,5,26,-0.17832149999999997
2011-06-11,0,10,-0.13968517499999997
2011-06-12,6,6,-0.11374364250000002
2011-06-13,2,4,-0.09526030059375026
2011-06-14,3,33,-0.08150047939687514
2011-06-15,20,46,0.0
2011-06-16,4,48,0.0
