,JetBrains/kotlin,rust-lang/rust,apple/swift
2015-04-18,4,35,10
2015-04-19,0,22,12
2015-04-20,12,35,38
2015-04-21,26,99,24
2015-04-22,47,30,74
2015-04-23,46,45,44
2015-04-24,29,63,37
2015-04-25,0,50,9
2015-04-26,0,25,53
2015-04-27,42,51,63
2015-04-28,21,31,44
2015-04-29,43,97,53
2015-04-30,7,70,50
2015-05-01,6,44,41
2015-05-02,32,36,31
2015-05-03,0,23,10
2015-05-04,0,43,34
2015-05-05,4,52,47
2015-05-06,7,58,40
2015-05-07,28,56,69
2015-05-08,51,43,41
2015-05-09,1,37,36
2015-05-10,0,54,15
2015-05-11,4,54,39
2015-05-12,15,63,45
2015-05-13,132,66,41
2015-05-14,50,52,45
2015-05-15,23,53,57
2015-05-16,25,39,14
2015-05-17,8,40,20
2015-05-18,32,33,43
2015-05-19,24,84,58
2015-05-20,47,36,52
2015-05-21,52,35,31
2015-05-22,16,21,33
2015-05-23,0,34,37
2015-05-24,7,26,22
2015-05-25,24,34,9
2015-05-26,97,35,29
2015-05-27,121,30,40
2015-05-28,27,41,32
2015-05-29,20,41,30
2015-05-30,4,20,13
2015-05-31,1,22,18
2015-06-01,38,28,15
2015-06-02,48,34,37
2015-06-03,40,26,25
2015-06-04,43,30,21
2015-06-05,19,25,11
2015-06-06,1,30,10
2015-06-07,0,20,4
2015-06-08,34,44,12
2015-06-09,14,58,5
2015-06-10,29,40,6
2015-06-11,58,36,0
2015-06-12,19,35,6
2015-06-13,4,25,2
2015-06-14,0,18,3
2015-06-15,54,35,19
2015-06-16,18,19,16
2015-06-17,48,52,57
2015-06-18,29,51,26
2015-06-19,22,36,25
2015-06-20,0,37,10
2015-06-21,0,28,2
2015-06-22,8,28,19
2015-06-23,57,44,23
2015-06-24,23,40,63
2015-06-25,46,36,64
2015-06-26,7,25,33
2015-06-27,13,21,19
2015-06-28,0,9,8
2015-06-29,54,32,19
2015-06-30,19,57,25
2015-07-01,16,37,41
2015-07-02,10,28,35
2015-07-03,30,26,7
2015-07-04,6,28,3
2015-07-05,0,35,0
2015-07-06,29,35,12
2015-07-07,33,29,21
2015-07-08,17,46,49
2015-07-09,66,32,40
2015-07-10,60,27,48
2015-07-11,1,27,25
2015-07-12,0,32,8
2015-07-13,7,38,44
2015-07-14,12,39,22
2015-07-15,24,11,36
2015-07-16,94,47,48
2015-07-17,42,37,51
2015-07-18,0,33,28
2015-07-19,5,24,13
2015-07-20,9,52,27
2015-07-21,88,46,50
2015-07-22,28,63,41
2015-07-23,30,45,38
2015-07-24,43,60,40
2015-07-25,0,34,36
2015-07-26,0,35,30
2015-07-27,13,32,31
2015-07-28,47,52,31
2015-07-29,45,53,28
2015-07-30,30,32,39
2015-07-31,28,31,60
2015-08-01,0,16,31
2015-08-02,0,21,12
2015-08-03,28,20,25
2015-08-04,22,40,39
2015-08-05,8,37,16
2015-08-06,24,41,23
2015-08-07,51,23,17
2015-08-08,1,16,11
2015-08-09,1,21,1
2015-08-10,41,27,22
2015-08-11,29,66,19
2015-08-12,9,109,28
2015-08-13,9,78,40
2015-08-14,14,28,17
2015-08-15,7,36,3
2015-08-16,0,40,6
2015-08-17,12,81,17
2015-08-18,35,42,36
2015-08-19,48,39,30
2015-08-20,7,26,16
2015-08-21,15,29,25
2015-08-22,0,49,16
2015-08-23,10,25,6
2015-08-24,42,42,15
2015-08-25,24,67,19
2015-08-26,29,44,44
2015-08-27,40,44,35
2015-08-28,51,28,14
2015-08-29,9,23,11
2015-08-30,0,29,12
2015-08-31,81,37,3
2015-09-01,31,51,20
2015-09-02,38,41,30
2015-09-03,62,60,31
2015-09-04,54,66,21
2015-09-05,0,31,20
2015-09-06,7,49,11
2015-09-07,150,27,17
2015-09-08,153,30,37
2015-09-09,49,29,32
2015-09-10,52,43,39
2015-09-11,35,32,35
2015-09-12,10,19,11
2015-09-13,1,15,0
2015-09-14,27,40,21
2015-09-15,22,32,29
2015-09-16,18,25,34
2015-09-17,6,56,28
2015-09-18,89,25,34
2015-09-19,9,52,7
2015-09-20,0,44,10
2015-09-21,54,29,28
2015-09-22,38,30,29
2015-09-23,45,19,21
2015-09-24,28,47,21
2015-09-25,170,32,35
2015-09-26,2,44,11
2015-09-27,3,31,4
2015-09-28,19,15,22
2015-09-29,43,27,32
2015-09-30,29,62,25
2015-10-01,88,53,35
2015-10-02,30,54,18
2015-10-03,51,23,8
2015-10-04,2,11,8
2015-10-05,27,25,14
2015-10-06,26,37,25
2015-10-07,123,47,25
2015-10-08,35,60,32
2015-10-09,76,32,45
2015-10-10,9,19,17
2015-10-11,48,19,19
2015-10-12,34,29,17
2015-10-13,46,53,31
2015-10-14,84,41,22
2015-10-15,61,46,11
2015-10-16,97,31,18
2015-10-17,11,22,8
2015-10-18,12,25,4
2015-10-19,172,40,18
2015-10-20,32,31,20
2015-10-21,34,25,23
2015-10-22,41,31,12
2015-10-23,5,44,14
2015-10-24,13,26,22
2015-10-25,1,31,8
2015-10-26,70,32,12
2015-10-27,34,38,21
2015-10-28,53,49,27
2015-10-29,29,33,0
2015-10-30,58,15,0
2015-10-31,9,11,3
2015-11-01,0,19,0
2015-11-02,67,19,19
2015-11-03,40,58,39
2015-11-04,52,32,30
2015-11-05,50,47,42
2015-11-06,46,24,45
2015-11-07,0,17,29
2015-11-08,0,26,27
2015-11-09,43,30,15
2015-11-10,66,41,33
2015-11-11,47,51,29
2015-11-12,30,51,56
2015-11-13,27,32,45
2015-11-14,0,27,29
2015-11-15,0,23,18
2015-11-16,23,41,45
2015-11-17,32,54,64
2015-11-18,60,20,46
2015-11-19,42,58,42
2015-11-20,50,44,21
2015-11-21,4,16,9
2015-11-22,0,25,2
2015-11-23,32,31,23
2015-11-24,28,33,13
2015-11-25,31,40,3
2015-11-26,20,41,4
2015-11-27,56,15,5
2015-11-28,6,14,5
2015-11-29,4,13,10
2015-11-30,50,39,38
2015-12-01,44,26,18
2015-12-02,55,37,26
2015-12-03,10,23,207
2015-12-04,7,29,166
2015-12-05,1,24,96
2015-12-06,0,23,68
2015-12-07,13,16,87
2015-12-08,33,27,108
2015-12-09,54,33,65
2015-12-10,33,30,130
2015-12-11,32,26,100
2015-12-12,7,22,55
2015-12-13,6,32,214
2015-12-14,51,26,83
2015-12-15,50,23,70
2015-12-16,6,45,154
2015-12-17,53,39,81
2015-12-18,52,55,94
2015-12-19,18,30,86
2015-12-20,0,13,48
2015-12-21,20,26,101
2015-12-22,8,21,107
2015-12-23,27,41,104
2015-12-24,6,6,69
2015-12-25,38,22,22
2015-12-26,10,8,27
2015-12-27,0,11,20
2015-12-28,21,18,31
2015-12-29,37,21,31
2015-12-30,17,40,26
2015-12-31,1,22,43
2016-01-01,0,17,61
2016-01-02,0,29,27
2016-01-03,0,18,27
2016-01-04,0,40,46
2016-01-05,1,27,26
2016-01-06,0,58,59
2016-01-07,12,42,38
2016-01-08,4,16,56
2016-01-09,0,16,43
2016-01-10,0,11,23
2016-01-11,7,29,25
2016-01-12,44,48,62
2016-01-13,64,41,51
2016-01-14,56,81,55
2016-01-15,28,37,44
2016-01-16,2,38,38
2016-01-17,15,29,31
2016-01-18,23,33,26
2016-01-19,81,31,30
2016-01-20,18,34,78
2016-01-21,53,42,74
2016-01-22,111,38,90
2016-01-23,2,35,47
2016-01-24,3,16,43
2016-01-25,18,25,40
2016-01-26,37,55,57
2016-01-27,32,30,79
2016-01-28,53,30,50
2016-01-29,17,52,45
2016-01-30,3,31,34
2016-01-31,0,32,6
2016-02-01,46,44,32
2016-02-02,30,55,63
2016-02-03,30,52,52
2016-02-04,17,45,55
2016-02-05,15,33,39
2016-02-06,7,27,70
2016-02-07,1,26,28
2016-02-08,34,39,47
2016-02-09,20,48,59
2016-02-10,24,29,63
2016-02-11,23,82,45
2016-02-12,5,56,57
2016-02-13,10,62,29
2016-02-14,2,43,22
2016-02-15,11,45,37
2016-02-16,21,22,51
2016-02-17,25,38,36
2016-02-18,12,38,62
2016-02-19,17,33,47
2016-02-20,37,26,65
2016-02-21,5,23,10
2016-02-22,1,21,52
2016-02-23,2,22,68
2016-02-24,15,45,65
2016-02-25,20,25,104
2016-02-26,41,42,58
2016-02-27,15,44,35
2016-02-28,1,29,23
2016-02-29,1,23,36
2016-03-01,11,28,50
2016-03-02,55,47,66
2016-03-03,90,28,66
2016-03-04,23,51,40
2016-03-05,0,28,38
2016-03-06,0,27,8
2016-03-07,2,55,48
2016-03-08,12,49,100
2016-03-09,16,53,92
2016-03-10,22,45,103
2016-03-11,15,37,72
2016-03-12,1,46,61
2016-03-13,1,52,29
2016-03-14,28,70,49
2016-03-15,15,49,77
2016-03-16,31,25,67
2016-03-17,3,118,92
2016-03-18,25,55,79
2016-03-19,0,42,36
2016-03-20,0,23,16
2016-03-21,5,67,48
2016-03-22,4,33,85
2016-03-23,8,57,44
2016-03-24,33,45,97
2016-03-25,26,71,90
2016-03-26,0,70,48
2016-03-27,0,41,19
2016-03-28,18,44,80
2016-03-29,40,59,56
2016-03-30,73,55,54
2016-03-31,30,50,58
2016-04-01,13,35,84
2016-04-02,0,34,39
2016-04-03,1,22,20
2016-04-04,77,33,39
2016-04-05,61,41,41
2016-04-06,20,70,50
2016-04-07,7,49,48
2016-04-08,79,29,67
2016-04-09,8,16,36
2016-04-10,0,17,18
2016-04-11,10,52,32
2016-04-12,20,24,50
2016-04-13,7,35,65
2016-04-14,30,75,69
2016-04-15,30,51,61
2016-04-16,0,24,36
2016-04-17,1,36,30
2016-04-18,15,22,32
2016-04-19,35,37,47
2016-04-20,59,23,37
2016-04-21,29,30,52
2016-04-22,27,27,38
2016-04-23,11,18,34
2016-04-24,1,26,19
2016-04-25,63,27,65
2016-04-26,24,27,50
2016-04-27,42,23,34
2016-04-28,24,44,31
2016-04-29,40,21,69
2016-04-30,0,19,13
2016-05-01,0,20,14
2016-05-02,0,87,33
2016-05-03,1,60,34
2016-05-04,12,11,63
2016-05-05,34,24,59
2016-05-06,18,43,50
2016-05-07,0,45,35
2016-05-08,1,21,17
2016-05-09,0,74,36
2016-05-10,22,49,47
2016-05-11,39,85,51
2016-05-12,17,38,44
2016-05-13,24,35,25
2016-05-14,8,35,24
2016-05-15,4,40,14
2016-05-16,12,42,28
2016-05-17,9,26,34
2016-05-18,21,54,31
2016-05-19,23,31,24
2016-05-20,29,31,33
2016-05-21,0,26,27
2016-05-22,0,12,22
2016-05-23,27,46,33
2016-05-24,24,51,44
2016-05-25,35,34,67
2016-05-26,41,29,25
2016-05-27,6,52,54
2016-05-28,0,35,8
2016-05-29,0,17,22
2016-05-30,4,50,17
2016-05-31,8,55,49
2016-06-01,16,59,50
2016-06-02,21,37,50
2016-06-03,21,33,44
2016-06-04,0,19,49
2016-06-05,2,56,27
2016-06-06,11,28,34
2016-06-07,92,42,40
2016-06-08,55,42,44
2016-06-09,56,66,50
2016-06-10,26,48,29
2016-06-11,0,23,14
2016-06-12,1,25,12
2016-06-13,9,31,22
2016-06-14,4,27,15
2016-06-15,19,24,37
2016-06-16,13,66,21
2016-06-17,6,24,29
2016-06-18,3,16,13
2016-06-19,13,16,38
2016-06-20,13,33,45
2016-06-21,36,43,62
2016-06-22,13,30,64
2016-06-23,13,43,60
2016-06-24,32,29,44
2016-06-25,44,29,35
2016-06-26,0,14,8
2016-06-27,27,27,20
2016-06-28,47,44,55
2016-06-29,26,44,50
2016-06-30,22,21,43
2016-07-01,11,42,54
2016-07-02,0,33,53
2016-07-03,5,28,24
2016-07-04,30,22,9
2016-07-05,23,34,55
2016-07-06,15,46,44
2016-07-07,16,29,73
2016-07-08,21,60,45
2016-07-09,3,16,16
2016-07-10,1,27,13
2016-07-11,32,23,25
2016-07-12,38,35,68
2016-07-13,31,36,65
2016-07-14,56,41,37
2016-07-15,18,35,40
2016-07-16,2,26,42
2016-07-17,0,25,33
2016-07-18,31,20,77
2016-07-19,35,31,73
2016-07-20,60,14,48
2016-07-21,35,25,66
2016-07-22,38,35,53
2016-07-23,2,7,71
2016-07-24,0,17,32
2016-07-25,21,18,68
2016-07-26,31,27,89
2016-07-27,29,34,48
2016-07-28,45,36,66
2016-07-29,39,53,111
2016-07-30,0,29,49
2016-07-31,0,24,20
2016-08-01,16,38,53
2016-08-02,2,41,37
2016-08-03,28,26,52
2016-08-04,3,38,72
2016-08-05,10,73,41
2016-08-06,0,42,18
2016-08-07,0,82,37
2016-08-08,52,72,55
2016-08-09,35,76,84
2016-08-10,81,44,49
2016-08-11,36,76,56
2016-08-12,37,27,38
2016-08-13,0,84,24
2016-08-14,0,52,10
2016-08-15,28,25,20
2016-08-16,143,31,28
2016-08-17,77,120,42
2016-08-18,44,59,27
2016-08-19,26,26,54
2016-08-20,6,38,17
2016-08-21,0,26,1
2016-08-22,32,40,34
2016-08-23,38,48,23
2016-08-24,29,39,33
2016-08-25,33,38,30
2016-08-26,33,19,26
2016-08-27,1,42,4
2016-08-28,0,41,30
2016-08-29,71,45,5
2016-08-30,24,61,19
2016-08-31,65,60,25
2016-09-01,49,53,29
2016-09-02,22,36,25
2016-09-03,0,40,38
2016-09-04,0,25,13
2016-09-05,31,56,7
2016-09-06,14,47,55
2016-09-07,52,41,35
2016-09-08,20,24,19
2016-09-09,36,18,30
2016-09-10,24,28,5
2016-09-11,0,34,19
2016-09-12,27,18,38
2016-09-13,28,60,46
2016-09-14,22,26,59
2016-09-15,23,42,65
2016-09-16,14,39,57
2016-09-17,0,14,16
2016-09-18,0,36,9
2016-09-19,30,29,30
2016-09-20,93,59,38
2016-09-21,7,14,29
2016-09-22,26,47,50
2016-09-23,14,35,55
2016-09-24,27,13,20
2016-09-25,0,26,25
2016-09-26,8,68,24
2016-09-27,32,67,17
2016-09-28,35,50,31
2016-09-29,38,40,41
2016-09-30,25,82,11
2016-10-01,2,40,17
2016-10-02,27,46,13
2016-10-03,34,46,43
2016-10-04,56,64,27
2016-10-05,55,29,30
2016-10-06,23,44,51
2016-10-07,50,43,24
2016-10-08,36,22,22
2016-10-09,0,21,9
2016-10-10,39,23,34
2016-10-11,76,43,55
2016-10-12,69,48,59
2016-10-13,54,20,37
2016-10-14,46,36,34
2016-10-15,1,29,42
2016-10-16,0,30,27
2016-10-17,19,32,35
2016-10-18,330,19,65
2016-10-19,19,62,42
2016-10-20,17,25,34
2016-10-21,22,63,45
2016-10-22,4,27,17
2016-10-23,1,16,20
2016-10-24,46,39,42
2016-10-25,32,26,61
2016-10-26,41,37,39
2016-10-27,40,27,21
2016-10-28,74,26,31
2016-10-29,0,12,19
2016-10-30,1,32,34
2016-10-31,18,36,52
