,ant-design/ant-design,youzan/vant,ElemeFE/element
2021-01-27,8.0,1,0
2021-01-28,-0.40000000000000036,1,0
2021-01-29,5.5600000000000005,0,0
2021-01-30,2.2139999999999995,0,0
2021-01-31,-1.6752999999999996,12,1
2021-02-01,8.440413000000001,0,1
2021-02-02,9.070675099999999,5,1
2021-02-03,5.383425835000001,7,0
2021-02-04,-0.7766580691250002,4,0
2021-02-05,3.7506287818562507,6,0
2021-02-06,-2.655186075075,1,2
2021-02-07,2.0081158747921877,2,0
2021-02-08,-1.2897529829296879,3,0
2021-02-09,3.6112141228609373,13,0
2021-02-10,7.707247225968749,14,1
2021-02-11,-3.9415145251984383,9,0
2021-02-12,-2.467947294389062,15,0
2021-02-13,-1.4091651602890627,6,0
2021-02-14,-0.9613778331437502,10,0
2021-02-15,-0.6512353827937502,2,0
2021-02-16,6.500776120304687,9,0
2021-02-17,-0.4542380008093758,1,0
2021-02-18,-1.6101016375687502,1,0
2021-02-19,9.208205737673438,5,0
2021-02-20,5.5862790867671865,1,0
2021-02-21,-3.03836675,2,0
2021-02-22,4.937593462500001,6,0
2021-02-23,3.6786123587499997,2,5
2021-02-24,4.297783435140625,8,0
2021-02-25,2.7812092988390624,4,0
2021-02-26,-0.09362507646562435,12,0
2021-02-27,-1.2528427439062497,4,0
2021-02-28,4.5735103555312495,4,0
2021-03-01,-0.5006938896109383,0,0
2021-03-02,6.433640003157812,6,0
2021-03-03,-2.1515511374890623,4,0
2021-03-04,-0.5119999930046877,20,0
2021-03-05,1.9837756067781247,5,0
2021-03-06,4.660905405307812,1,0
2021-03-07,-2.2754378402125006,7,0
2021-03-08,1.1825310724250004,10,0
2021-03-09,9.998518268323437,3,0
2021-03-10,-0.6426354630890634,1,0
2021-03-11,2.828253599873438,2,0
2021-03-12,0.6180768575031252,5,0
2021-03-13,4.114233777721875,2,0
2021-03-14,2.351436468459375,12,0
2021-03-15,-0.5800587806453121,16,0
2021-03-16,-0.667295798529687,4,0
2021-03-17,-1.1188036108859376,13,0
2021-03-18,0.42910833164374984,7,0
2021-03-19,4.488801913974999,3,2
2021-03-20,-0.6563791877093754,1,0
2021-03-21,-0.7976599002906251,1,0
2021-03-22,-0.27082298947343775,0,0
2021-03-23,1.9852584603062498,3,0
2021-03-24,4.538830828020313,0,0
2021-03-25,1.50525373426875,1,0
2021-03-26,-0.28402496426406243,2,1
2021-03-27,-1.710830287059375,0,0
2021-03-28,0.06637220082187512,0,0
2021-03-29,3.1101850955187498,3,0
2021-03-30,1.2697768737515625,4,0
2021-03-31,4.292978843970312,0,0
2021-04-01,0.34843613970781195,8,0
2021-04-02,-1.0817921439593752,7,0
2021-04-03,0.6792635510375002,1,0
2021-04-04,-1.3528833002156249,22,0
2021-04-05,-0.7298573992656249,2,0
2021-04-06,2.4780294734546873,8,1
2021-04-07,-1.2955952832281254,2,0
2021-04-08,3.4093962759578123,12,1
2021-04-09,0.4268503715562497,7,0
2021-04-10,3.7649709960359377,10,0
2021-04-11,-1.0824975967640627,3,0
2021-04-12,2.7983405860343753,5,0
2021-04-13,2.14142217875,1,0
2021-04-14,3.919493399703125,11,0
2021-04-15,-1.8099048096984376,4,1
2021-04-16,-0.5761959770624998,10,1
2021-04-17,-0.24568531771250002,1,0
2021-04-18,2.9570128659562496,4,0
2021-04-19,2.1642696720703123,8,0
2021-04-20,1.9580126997046876,10,0
2021-04-21,5.81725222500625,2,1
2021-04-22,-0.44020233977500034,4,0
2021-04-23,4.6028536675875005,1,0
2021-04-24,-3.3120718537484377,0,0
2021-04-25,-0.5520936749984369,3,0
2021-04-26,0.6792076747046876,3,0
2021-04-27,-1.4552147649937504,1,0
2021-04-28,5.18311695250625,1,0
2021-04-29,-0.3603477458062505,2,0
2021-04-30,4.370956377590625,1,0
2021-05-01,-2.6016086195578128,6,0
2021-05-02,0.8494221086203129,4,0
2021-05-03,-1.269437764265625,10,0
2021-05-04,-0.6954375217640625,1,0
2021-05-05,3.5152063060343752,1,0
2021-05-06,7.44681497690625,3,0
2021-05-07,0.5935619445718752,1,0
2021-05-08,3.4480111479406252,2,0
2021-05-09,-3.035565026896875,0,0
2021-05-10,7.61990306646875,1,0
2021-05-11,-1.6054225264656248,2,0
2021-05-12,-2.1902128574999997,0,0
2021-05-13,1.7489327191875002,1,0
2021-05-14,-1.7932008738218757,1,0
2021-05-15,-0.9623084786578127,0,0
2021-05-16,-0.5970622160250002,1,0
2021-05-17,5.5808348318531245,3,0
2021-05-18,1.9300342516093743,7,0
2021-05-19,2.9461532598734372,0,0
2021-05-20,-0.3610386477156249,1,0
2021-05-21,-0.6516051502968747,2,0
2021-05-22,-1.1872217396984373,6,0
2021-05-23,-0.6833786749999999,7,0
2021-05-24,15.5047066575,0,0
2021-05-25,2.812903291906249,2,0
2021-05-26,-2.3960756902093747,2,0
2021-05-27,2.4130873532406256,0,0
2021-05-28,4.052772226554687,0,3
2021-05-29,-2.58386754323125,0,0
2021-05-30,-0.03666421323281188,1,0
2021-05-31,4.12868372,0,0
2021-06-01,2.048513866749999,4,1
2021-06-02,0.0041285441499994135,1,1
2021-06-03,-1.29021839564375,5,1
2021-06-04,0.52455231095625,4,1
2021-06-05,0.4927929177265622,0,0
2021-06-06,0.5728509181046872,3,0
2021-06-07,10.666191948235937,6,2
2021-06-08,-1.326101333309376,3,1
2021-06-09,6.340197753025,1,1
2021-06-10,-3.049831715210937,3,0
2021-06-11,1.8940062710359378,3,1
2021-06-12,-2.4474436192640625,4,0
2021-06-13,0.6936715925031254,1,0
2021-06-14,0.4981051175031248,12,0
2021-06-15,4.515542738596874,0,1
2021-06-16,5.347591564659375,0,0
2021-06-17,-2.5250464143390627,5,1
2021-06-18,2.149277969139063,3,1
2021-06-19,-2.205067505295313,3,0
2021-06-20,-1.1179314254312498,0,0
2021-06-21,-0.7252776560312499,1,1
2021-06-22,2.450718947503125,2,0
2021-06-23,2.6837528204406245,10,0
2021-06-24,-1.8355949372718754,4,1
2021-06-25,4.2011268823718755,3,0
2021-06-26,-1.9355777802953127,2,0
2021-06-27,0.1708555970687502,4,0
2021-06-28,0.21377641250000012,1,0
