,apache/openwhisk,aws/chalice,serverless/serverless
2016-06-30,4,0,4.0
2016-07-01,6,0,1.2000000000000002
2016-07-02,3,0,-0.7200000000000002
2016-07-03,0,0,-0.3520000000000003
2016-07-04,3,0,12.7696
2016-07-05,4,0,-2.7693439999999994
2016-07-06,11,1,-0.17278720000000103
2016-07-07,4,9,11.067435519999998
2016-07-08,2,2,0.9917957120000005
2016-07-09,0,11,-2.2186208256000004
2016-07-10,2,0,-0.2201131008000008
2016-07-11,5,17,1.9592166399999997
2016-07-12,4,2,17.671698944
2016-07-13,1,3,9.3856821248
2016-07-14,5,1,-4.796823552000001
2016-07-15,3,0,18.5888352256
2016-07-16,1,0,-5.8146198528
2016-07-17,1,0,-2.763674521600002
2016-07-18,4,1,-0.818819072000001
2016-07-19,5,0,1.4311566335999997
2016-07-20,3,0,7.235995340800001
2016-07-21,6,0,0.0446495744000015
2016-07-22,2,11,11.972367974400001
2016-07-23,0,0,-2.9004779519999984
2016-07-24,2,0,-2.1252931584000008
2016-07-25,3,0,23.83916288
2016-07-26,2,1,26.155964928
2016-07-27,1,0,3.9396366335999993
2016-07-28,2,8,-1.8892168192000023
2016-07-29,3,4,15.171209830399999
2016-07-30,5,1,-6.9933627392
2016-07-31,1,0,-3.7936306176000016
2016-08-01,7,15,11.450673049599999
2016-08-02,3,1,14.23339776
2016-08-03,7,1,11.474948096000002
2016-08-04,3,8,20.1287309312
2016-08-05,2,0,6.2050254848
2016-08-06,1,0,-4.370004992000001
2016-08-07,0,2,-2.721374208000002
2016-08-08,0,1,9.648030719999998
2016-08-09,1,0,0.011773951999999532
2016-08-10,4,1,10.0759640064
2016-08-11,2,6,5.772842086400001
2016-08-12,3,0,4.024024268800002
2016-08-13,3,0,7.503906099200001
2016-08-14,0,0,0.22428876800000008
2016-08-15,2,0,15.4925211648
2016-08-16,14,4,4.0580882432
2016-08-17,3,0,-0.08875499520000041
2016-08-18,5,3,0.1797401599999997
2016-08-19,6,1,6.8235981824
2016-08-20,0,0,-2.9531009023999997
2016-08-21,5,0,1.6269825023999998
2016-08-22,2,0,6.6304535552
2016-08-23,4,2,8.78673152
2016-08-24,1,0,15.851896422400001
2016-08-25,5,0,-2.020562944
2016-08-26,4,8,3.3098623999999983
2016-08-27,2,0,-3.6054204415999997
2016-08-28,0,0,-1.121079296000001
2016-08-29,6,0,4.3513737216
2016-08-30,20,0,-0.4084074495999994
2016-08-31,7,0,64.1881217024
2016-09-01,8,8,-8.329694924799997
2016-09-02,9,0,9.771439103999997
2016-09-03,3,0,-2.4394361856000017
