,grafana/grafana,cacti/cacti,netdata/netdata
2017-07-17,1,0,3
2017-07-18,4,0,5
2017-07-19,3,0,6
2017-07-20,2,5,6
2017-07-21,3,5,9
2017-07-22,0,8,5
2017-07-23,0,3,4
2017-07-24,13,10,16
2017-07-25,1,2,12
2017-07-26,1,4,1
2017-07-27,2,7,4
2017-07-28,1,0,8
2017-07-29,1,9,3
2017-07-30,0,4,6
2017-07-31,25,0,5
2017-08-01,16,0,7
2017-08-02,14,0,3
2017-08-03,9,0,0
2017-08-04,10,0,0
2017-08-05,1,10,0
2017-08-06,0,9,0
2017-08-07,26,1,9
2017-08-08,26,2,0
2017-08-09,17,3,5
2017-08-10,16,6,4
2017-08-11,6,6,5
2017-08-12,0,2,0
2017-08-13,0,5,1
2017-08-14,10,1,5
2017-08-15,15,6,3
2017-08-16,5,0,3
2017-08-17,9,2,3
2017-08-18,11,6,0
2017-08-19,3,15,4
2017-08-20,2,5,0
2017-08-21,10,1,6
2017-08-22,1,3,4
2017-08-23,7,0,1
2017-08-24,14,0,0
2017-08-25,4,0,5
2017-08-26,5,7,1
2017-08-27,0,6,5
2017-08-28,13,21,4
2017-08-29,8,4,2
2017-08-30,2,2,3
2017-08-31,5,0,3
2017-09-01,6,5,0
2017-09-02,1,4,7
2017-09-03,0,9,4
2017-09-04,14,6,6
2017-09-05,8,6,11
2017-09-06,4,3,6
2017-09-07,18,1,8
2017-09-08,10,3,0
2017-09-09,0,11,15
2017-09-10,0,5,10
2017-09-11,5,9,1
2017-09-12,18,2,0
2017-09-13,17,1,3
2017-09-14,27,0,2
2017-09-15,23,3,5
2017-09-16,0,5,5
2017-09-17,0,4,18
2017-09-18,40,10,1
2017-09-19,8,5,3
2017-09-20,4,0,1
2017-09-21,30,5,3
2017-09-22,16,1,1
2017-09-23,0,6,11
2017-09-24,9,0,2
2017-09-25,1,0,5
2017-09-26,7,0,13
2017-09-27,11,2,1
2017-09-28,15,0,0
2017-09-29,54,1,3
2017-09-30,0,3,6
2017-10-01,4,0,7
2017-10-02,20,1,3
2017-10-03,11,0,12
2017-10-04,14,0,5
2017-10-05,42,1,8
2017-10-06,6,0,4
2017-10-07,3,7,3
2017-10-08,2,0,6
2017-10-09,11,0,8
2017-10-10,17,1,3
2017-10-11,31,10,3
2017-10-12,41,5,4
2017-10-13,16,0,3
