,gitlabhq/gitlabhq,gitbucket/gitbucket,gogs/gogs
2014-03-12,16.0,5,4
2014-03-13,16.6,6,27
2014-03-14,21.880000000000003,7,17
2014-03-15,-11.983999999999996,8,36
2014-03-16,-5.0976,0,31
2014-03-17,27.651967999999997,0,37
2014-03-18,-8.3091072,4,10
2014-03-19,14.629501439999999,1,43
2014-03-20,9.630640128000003,2,44
2014-03-21,1.2709476352000006,0,24
2014-03-22,-6.492454502399999,0,18
2014-03-23,-4.925031014400002,0,49
2014-03-24,31.855359999999997,5,32
2014-03-25,25.209337753600003,0,52
2014-03-26,5.2480208896000065,0,35
2014-03-27,2.6145458176000034,1,20
2014-03-28,-7.860542771199999,1,14
2014-03-29,-10.9538255872,2,19
2014-03-30,-6.491630489600003,2,22
2014-03-31,15.900367974399998,3,10
2014-04-01,16.0512416768,1,8
2014-04-02,21.547913113600003,5,12
2014-04-03,1.2832171008000053,0,4
2014-04-04,0.5487636480000049,1,11
2014-04-05,-9.7193649152,0,8
2014-04-06,5.276855091199998,0,16
2014-04-07,31.4835206144,3,9
2014-04-08,10.0442586112,4,5
2014-04-09,5.597507891200003,3,8
2014-04-10,-4.830285926399998,5,21
2014-04-11,3.2650745856000007,4,22
2014-04-12,-11.2976820224,0,25
2014-04-13,4.070548377599998,0,12
2014-04-14,18.472739328,0,16
2014-04-15,0.9463415808000022,1,16
2014-04-16,-6.454894489599999,0,11
2014-04-17,2.271302758400001,6,2
2014-04-18,1.1753304064000005,3,6
2014-04-19,-7.109301248000001,0,4
2014-04-20,-3.2436342784,0,4
2014-04-21,1.0477229055999997,2,8
2014-04-22,14.4195482624,1,14
2014-04-23,16.917695385600002,2,26
2014-04-24,3.3570811904000024,2,4
2014-04-25,-0.7313207296000002,2,3
2014-04-26,-7.306278604799999,4,9
2014-04-27,-1.0820966400000005,5,11
2014-04-28,8.455274291199999,8,0
2014-04-29,4.2240817152000005,13,3
2014-04-30,0.7793235968000012,4,6
2014-05-01,0.7123859456000012,1,23
2014-05-02,9.4529902592,2,9
2014-05-03,-5.337451417599999,1,4
2014-05-04,-5.3089189888,2,0
2014-05-05,17.2930371584,7,13
2014-05-06,6.163451596800002,2,6
2014-05-07,4.857082777600002,5,11
2014-05-08,27.8758370304,0,8
2014-05-09,-15.478210867199998,0,9
2014-05-10,-7.802998886400001,15,1
2014-05-11,-2.1398893568000013,2,21
2014-05-12,8.607904972799998,2,11
2014-05-13,20.1299328,1,8
2014-05-14,5.239977472000003,0,10
2014-05-15,1.4312077312000024,0,8
2014-05-16,-1.6869908479999989,2,9
2014-05-17,-8.2683889664,0,0
2014-05-18,-0.6506376192000012,11,3
2014-05-19,13.4769078272,0,5
2014-05-20,4.181661593600001,1,0
2014-05-21,-5.659715174399999,0,2
2014-05-22,23.2049949696,0,1
2014-05-23,15.465424384000002,0,0
2014-05-24,-7.311288831999995,0,6
2014-05-25,-10.67168512,1,0
2014-05-26,28.8282161152,0,9
2014-05-27,8.970355916799999,0,0
2014-05-28,12.0234781696,1,4
2014-05-29,19.3430407168,0,1
2014-05-30,-9.029857075199999,1,5
2014-05-31,-9.1254915072,5,1
2014-06-01,-8.813402624000002,5,5
2014-06-02,12.184968191999998,6,1
2014-06-03,40.916562432,0,4
2014-06-04,3.072538316800003,1,1
2014-06-05,4.994854195200002,4,1
2014-06-06,1.6712173567999997,3,3
2014-06-07,-6.910032486400002,3,1
2014-06-08,-8.6497206272,0,4
2014-06-09,-3.3109091328000027,4,0
2014-06-10,34.840845107199996,2,1
2014-06-11,6.7347547136000045,0,2
2014-06-12,-1.4652015615999971,0,6
2014-06-13,9.6991351808,0,1
2014-06-14,12.9029747712,5,0
2014-06-15,-14.486514892799999,6,0
2014-06-16,1.679673855999999,2,0
2014-06-17,6.284199321600001,0,1
2014-06-18,6.539795660799999,0,0
2014-06-19,-0.6563529727999988,2,1
2014-06-20,2.7285684224000004,2,2
2014-06-21,-6.9929767936000005,0,3
2014-06-22,-1.8287808511999994,2,5
2014-06-23,21.1684072448,1,6
2014-06-24,32.1026039808,1,6
2014-06-25,2.1203244032000015,1,10
2014-06-26,16.683202355200002,1,1
2014-06-27,-16.8013502464,0,3
2014-06-28,-10.948318617600002,3,12
2014-06-29,-6.110208614400002,6,4
2014-06-30,17.865204121599998,5,2
2014-07-01,4.097683660800001,0,0
2014-07-02,10.532504883200001,0,1
2014-07-03,7.1594045440000045,0,0
2014-07-04,7.078543360000001,0,9
2014-07-05,-9.176258048,4,5
2014-07-06,-7.827613184000002,9,3
2014-07-07,4.751892479999999,0,2
2014-07-08,2.4448629759999996,2,0
2014-07-09,10.0725776384,0,0
2014-07-10,9.988034867200001,0,0
2014-07-11,4.909172838400002,0,0
2014-07-12,-11.6108520448,2,4
2014-07-13,-1.8479766528000008,10,0
2014-07-14,5.934821375999999,1,0
2014-07-15,9.641649152,0,1
2014-07-16,8.675667660800002,2,1
2014-07-17,5.984583884800001,0,0
2014-07-18,-7.322838425599999,0,2
2014-07-19,-4.339619840000001,0,0
2014-07-20,-2.098344345600001,1,1
2014-07-21,8.861080064,0,1
2014-07-22,2.2591978496000005,2,18
2014-07-23,14.53747456,3,4
2014-07-24,-3.272829644799998,0,26
2014-07-25,4.537473433600001,2,24
2014-07-26,-4.198683033599998,3,15
2014-07-27,0.9110284287999999,4,3
2014-07-28,9.9071847424,6,4
2014-07-29,13.4301569024,6,0
2014-07-30,8.630709350400004,1,1
2014-07-31,12.774615756800001,2,1
2014-08-01,-6.8340185088,1,5
2014-08-02,-7.9239952384,1,1
2014-08-03,1.2545839103999983,7,0
2014-08-04,5.7505323008,4,4
2014-08-05,-6.111656140799999,2,1
2014-08-06,9.451009024000001,0,2
2014-08-07,-1.2432367615999986,1,7
2014-08-08,-6.1909352448,0,2
2014-08-09,3.1547389952,2,3
2014-08-10,-1.0399511552000007,1,3
2014-08-11,24.9714125824,4,1
2014-08-12,-5.783345561599997,2,0
2014-08-13,24.7965804544,7,1
2014-08-14,-11.102882201599996,5,10
2014-08-15,11.034300620799998,1,2
2014-08-16,-8.646556057599998,1,2
2014-08-17,-1.1298795520000002,2,0
2014-08-18,8.4601618432,0,0
2014-08-19,3.341669273600001,0,0
2014-08-20,10.338999705600001,1,1
2014-08-21,10.663420518400002,1,0
2014-08-22,3.5165901824000017,2,0
2014-08-23,9.903595008,1,5
2014-08-24,-9.099793715199997,4,3
2014-08-25,7.140792729599999,1,7
2014-08-26,13.692937728,0,4
2014-08-27,11.640342220800001,0,2
2014-08-28,5.656992870400003,0,2
2014-08-29,14.376159436800002,0,8
2014-08-30,-12.809854873599996,0,10
2014-08-31,-5.1957431296,4,29
2014-09-01,27.4820347904,1,4
2014-09-02,6.779792896000004,2,16
2014-09-03,-0.2066943999999964,0,9
2014-09-04,6.778035404800001,2,5
2014-09-05,-0.0008337408000009816,0,8
2014-09-06,-4.657590169599999,0,0
2014-09-07,-6.170443776000001,0,5
2014-09-08,42.127598899199995,0,5
2014-09-09,3.2309288960000053,1,7
2014-09-10,3.244564992000001,1,3
2014-09-11,7.335753216000004,0,0
2014-09-12,12.014241382400002,1,4
2014-09-13,-17.1192470528,1,4
2014-09-14,2.0194846719999973,3,3
2014-09-15,4.219973529600001,4,3
2014-09-16,-2.7219416063999997,0,12
2014-09-17,3.5005628416000008,0,10
2014-09-18,5.0534920192,0,3
