,emberjs/ember.js,facebook/react,angular/angular
2014-10-18,3,1,2.0
2014-10-19,11,1,0.0
2014-10-20,7,6,0.0
2014-10-21,7,5,0.0
2014-10-22,4,7,0.0
2014-10-23,17,15,0.0
2014-10-24,1,6,0.0
2014-10-25,11,0,0.0
2014-10-26,7,2,0.0
2014-10-27,16,7,7.0
2014-10-28,14,30,8.0
2014-10-29,9,5,7.0
2014-10-30,8,9,3.0
2014-10-31,2,5,1.0
2014-11-01,12,1,0.0
2014-11-02,10,0,0.0
2014-11-03,6,2,0.0
2014-11-04,7,7,6.0
2014-11-05,11,5,10.0
2014-11-06,11,10,9.0
2014-11-07,1,5,3.0
2014-11-08,7,5,2.0
2014-11-09,10,0,0.0
2014-11-10,9,0,1.0
2014-11-11,12,3,2.0
2014-11-12,16,1,4.0
2014-11-13,9,4,0.0
2014-11-14,14,0,20.0
2014-11-15,21,6,1.0
2014-11-16,9,4,0.0
2014-11-17,37,19,1.0
2014-11-18,20,15,7.0
2014-11-19,10,9,3.0
2014-11-20,19,2,5.0
2014-11-21,18,7,0.0
2014-11-22,8,0,1.0
2014-11-23,15,0,1.0
2014-11-24,26,5,2.0
2014-11-25,31,13,10.0
2014-11-26,23,9,6.0
2014-11-27,9,4,0.0
2014-11-28,15,1,0.0
2014-11-29,0,0,0.0
2014-11-30,3,2,0.0
2014-12-01,5,8,3.0
2014-12-02,32,8,4.0
2014-12-03,19,8,8.0
2014-12-04,4,2,6.0
2014-12-05,17,3,4.0
2014-12-06,5,1,6.0
2014-12-07,6,3,0.0
2014-12-08,14,5,16.0
2014-12-09,14,1,1.0
2014-12-10,21,4,2.0
2014-12-11,9,1,4.0
2014-12-12,2,4,6.0
2014-12-13,15,3,3.0
2014-12-14,11,11,0.0
2014-12-15,15,4,0.0
2014-12-16,13,5,0.0
2014-12-17,17,4,3.0
2014-12-18,18,19,5.0
2014-12-19,11,5,0.0
2014-12-20,4,2,0.0
2014-12-21,41,2,0.0
2014-12-22,25,4,0.0
2014-12-23,25,7,0.0
2014-12-24,27,1,1.0
2014-12-25,11,2,0.0
2014-12-26,5,0,0.0
2014-12-27,3,0,0.0
2014-12-28,5,0,0.0
2014-12-29,9,5,6.0
2014-12-30,23,3,4.0
2014-12-31,6,2,0.0
2015-01-01,21,1,0.0
2015-01-02,23,2,0.0
2015-01-03,20,0,0.0
2015-01-04,14,0,0.0
2015-01-05,19,12,0.0
2015-01-06,8,1,5.0
2015-01-07,7,6,11.0
2015-01-08,1,2,6.0
2015-01-09,3,2,10.0
2015-01-10,7,1,0.0
2015-01-11,8,1,0.0
2015-01-12,4,3,3.0
2015-01-13,15,17,5.0
2015-01-14,7,4,3.0
2015-01-15,16,7,7.0
2015-01-16,13,11,3.0
2015-01-17,2,3,1.0
2015-01-18,0,1,0.0
2015-01-19,4,1,0.0
2015-01-20,0,5,11.0
2015-01-21,12,12,5.0
2015-01-22,10,18,14.0
2015-01-23,2,12,7.0
2015-01-24,4,2,1.0
2015-01-25,7,2,0.0
2015-01-26,17,5,1.0
2015-01-27,6,41,9.0
2015-01-28,0,10,5.0
2015-01-29,11,0,3.0
2015-01-30,9,6,2.0
2015-01-31,25,11,0.0
2015-02-01,16,1,0.0
2015-02-02,14,20,0.0
2015-02-03,9,11,0.0
2015-02-04,10,12,0.0
2015-02-05,4,11,22.0
2015-02-06,9,14,18.0
2015-02-07,13,2,4.0
2015-02-08,29,1,0.0
2015-02-09,7,12,2.0
2015-02-10,14,8,9.0
2015-02-11,5,9,6.0
2015-02-12,15,13,3.0
2015-02-13,5,10,7.0
2015-02-14,5,8,3.0
2015-02-15,16,1,3.0
2015-02-16,3,2,2.0
2015-02-17,2,19,15.0
2015-02-18,2,9,15.0
2015-02-19,5,20,10.0
2015-02-20,6,20,7.0
2015-02-21,0,2,9.0
2015-02-22,1,12,0.0
2015-02-23,0,3,4.0
2015-02-24,2,10,6.0
2015-02-25,11,2,13.0
2015-02-26,6,8,26.0
2015-02-27,5,5,6.0
2015-02-28,11,3,3.0
2015-03-01,8,3,0.0
2015-03-02,0,10,10.0
2015-03-03,3,14,8.0
2015-03-04,3,3,2.0
2015-03-05,5,8,1.0
2015-03-06,0,9,1.0
2015-03-07,1,1,2.0
2015-03-08,6,2,0.0
2015-03-09,7,7,4.0
2015-03-10,4,46,6.0
2015-03-11,2,69,8.0
2015-03-12,6,3,8.0
2015-03-13,0,5,19.0
2015-03-14,1,12,5.0
2015-03-15,8,0,0.0
2015-03-16,17,21,2.0
2015-03-17,1,13,12.0
2015-03-18,2,2,15.0
2015-03-19,17,7,15.0
2015-03-20,15,7,2.0
2015-03-21,4,2,14.0
2015-03-22,5,1,2.0
2015-03-23,9,10,4.0
2015-03-24,14,13,14.0
2015-03-25,10,25,4.0
2015-03-26,14,21,18.0
2015-03-27,2,10,13.0
2015-03-28,14,6,5.0
2015-03-29,4,3,0.0
2015-03-30,7,15,2.0
2015-03-31,11,5,11.0
2015-04-01,3,14,11.0
2015-04-02,104,14,18.0
2015-04-03,20,2,10.0
2015-04-04,5,1,3.0
2015-04-05,5,7,0.0
2015-04-06,11,0,8.0
2015-04-07,11,8,6.0
2015-04-08,3,19,8.0
2015-04-09,7,18,5.0
2015-04-10,6,7,34.0
2015-04-11,2,1,6.0
2015-04-12,9,0,1.0
2015-04-13,9,8,24.0
2015-04-14,16,4,17.0
2015-04-15,6,2,10.0
2015-04-16,20,3,26.0
2015-04-17,10,7,18.0
2015-04-18,3,8,6.0
2015-04-19,8,2,0.0
2015-04-20,25,8,15.0
2015-04-21,7,3,16.0
2015-04-22,9,11,2.0
2015-04-23,2,2,7.0
2015-04-24,5,5,5.0
2015-04-25,0,2,2.0
2015-04-26,13,4,0.0
2015-04-27,8,8,29.0
2015-04-28,11,6,24.0
2015-04-29,12,11,14.0
2015-04-30,13,3,8.0
2015-05-01,15,5,14.0
2015-05-02,16,3,0.0
2015-05-03,16,2,0.0
2015-05-04,16,6,8.0
2015-05-05,18,9,7.0
2015-05-06,10,1,18.0
2015-05-07,28,7,21.0
2015-05-08,9,7,32.0
2015-05-09,3,0,2.0
2015-05-10,17,2,2.0
2015-05-11,15,6,15.0
2015-05-12,18,3,28.0
2015-05-13,20,13,18.0
2015-05-14,22,7,12.0
2015-05-15,11,2,9.0
2015-05-16,5,12,2.0
2015-05-17,4,1,0.0
2015-05-18,11,4,24.0
2015-05-19,8,6,43.0
2015-05-20,13,10,28.0
2015-05-21,5,7,10.0
2015-05-22,6,16,33.0
2015-05-23,4,0,5.0
2015-05-24,8,1,0.0
2015-05-25,14,0,0.0
2015-05-26,8,3,8.0
2015-05-27,5,7,18.0
2015-05-28,7,6,20.0
2015-05-29,6,3,24.0
2015-05-30,7,1,7.0
2015-05-31,2,2,0.0
2015-06-01,2,8,10.0
2015-06-02,10,12,33.0
2015-06-03,1,4,20.0
2015-06-04,20,27,18.0
2015-06-05,4,8,18.0
2015-06-06,5,2,2.0
2015-06-07,20,2,1.0
2015-06-08,18,15,14.0
2015-06-09,8,7,24.0
2015-06-10,13,11,18.0
2015-06-11,36,13,23.0
2015-06-12,17,8,28.0
2015-06-13,8,5,6.0
2015-06-14,6,1,6.0
2015-06-15,28,11,16.0
2015-06-16,6,13,21.0
2015-06-17,0,16,14.0
2015-06-18,14,11,11.0
2015-06-19,6,4,17.0
2015-06-20,7,2,6.0
2015-06-21,7,2,1.0
2015-06-22,1,13,7.0
2015-06-23,1,3,6.0
2015-06-24,5,15,15.0
2015-06-25,1,8,10.0
2015-06-26,7,10,16.0
2015-06-27,1,7,0.0
2015-06-28,10,1,0.0
2015-06-29,19,8,22.0
2015-06-30,5,5,8.0
2015-07-01,20,4,20.0
2015-07-02,2,17,4.0
2015-07-03,12,8,9.0
2015-07-04,9,8,0.0
2015-07-05,0,8,0.0
2015-07-06,19,6,7.0
2015-07-07,9,6,16.0
2015-07-08,35,10,28.0
2015-07-09,5,23,13.0
2015-07-10,16,11,9.0
2015-07-11,10,8,4.0
2015-07-12,8,5,4.0
2015-07-13,4,13,9.0
2015-07-14,8,5,10.0
2015-07-15,16,9,15.0
2015-07-16,24,4,18.0
2015-07-17,25,14,16.0
2015-07-18,15,2,0.0
2015-07-19,3,2,0.0
2015-07-20,15,9,7.0
2015-07-21,58,14,7.0
2015-07-22,4,8,11.0
2015-07-23,19,13,15.0
2015-07-24,16,8,19.0
2015-07-25,9,4,4.0
2015-07-26,7,1,0.0
2015-07-27,3,11,13.0
2015-07-28,2,7,18.0
2015-07-29,5,5,12.0
2015-07-30,4,6,12.0
2015-07-31,7,7,24.0
2015-08-01,13,5,0.0
2015-08-02,37,1,0.0
2015-08-03,37,6,10.0
2015-08-04,15,3,14.0
2015-08-05,14,3,2.0
2015-08-06,11,11,5.0
2015-08-07,24,5,14.0
2015-08-08,20,5,2.0
2015-08-09,22,1,2.0
2015-08-10,9,6,10.0
2015-08-11,16,14,7.0
2015-08-12,18,11,13.0
2015-08-13,17,8,13.0
2015-08-14,13,13,6.0
2015-08-15,17,2,3.0
2015-08-16,22,0,1.0
2015-08-17,13,7,7.0
2015-08-18,8,2,16.0
2015-08-19,4,16,24.0
2015-08-20,7,12,15.0
2015-08-21,11,6,11.0
2015-08-22,13,13,2.0
2015-08-23,20,0,10.0
2015-08-24,8,3,11.0
2015-08-25,10,5,13.0
2015-08-26,10,1,3.0
2015-08-27,10,1,10.0
2015-08-28,8,9,11.0
2015-08-29,3,4,0.0
2015-08-30,6,1,0.0
2015-08-31,2,5,24.0
2015-09-01,9,18,10.0
2015-09-02,18,4,4.0
2015-09-03,10,7,13.0
2015-09-04,11,9,15.0
2015-09-05,5,3,13.0
2015-09-06,4,0,0.0
2015-09-07,0,0,0.0
2015-09-08,2,5,6.0
2015-09-09,7,26,12.0
2015-09-10,8,15,9.0
2015-09-11,5,1,37.0
2015-09-12,1,3,7.0
2015-09-13,4,2,2.0
2015-09-14,7,11,13.0
2015-09-15,3,6,31.0
2015-09-16,3,10,15.0
2015-09-17,1,2,17.0
2015-09-18,6,4,6.0
2015-09-19,5,4,1.0
2015-09-20,0,3,3.0
2015-09-21,6,0,13.0
2015-09-22,2,13,13.0
2015-09-23,3,11,18.0
2015-09-24,7,19,12.0
2015-09-25,8,15,16.0
2015-09-26,16,12,0.0
2015-09-27,7,4,1.0
2015-09-28,2,7,3.0
2015-09-29,23,1,10.0
2015-09-30,8,12,3.0
2015-10-01,10,21,10.0
2015-10-02,8,5,22.0
2015-10-03,0,2,21.0
2015-10-04,13,0,0.0
2015-10-05,10,3,10.0
2015-10-06,2,9,18.0
2015-10-07,8,30,19.0
2015-10-08,3,16,18.0
2015-10-09,5,22,13.0
2015-10-10,0,5,7.0
2015-10-11,0,4,8.0
2015-10-12,0,14,6.0
2015-10-13,1,15,22.0
2015-10-14,0,11,6.0
2015-10-15,1,9,19.0
2015-10-16,2,12,2.0
2015-10-17,10,2,0.0
2015-10-18,1,3,3.0
2015-10-19,7,11,4.0
2015-10-20,1,1,3.0
2015-10-21,5,7,7.0
2015-10-22,0,0,1.0
2015-10-23,2,9,2.0
2015-10-24,5,8,0.0
2015-10-25,1,0,0.0
2015-10-26,0,12,16.0
2015-10-27,2,8,33.0
2015-10-28,0,5,34.0
2015-10-29,0,14,41.0
2015-10-30,5,21,13.0
2015-10-31,2,6,3.0
2015-11-01,5,2,3.0
2015-11-02,2,8,9.0
2015-11-03,5,12,16.0
2015-11-04,7,23,6.0
2015-11-05,7,23,23.0
2015-11-06,8,0,14.0
2015-11-07,0,1,5.0
2015-11-08,0,1,0.0
2015-11-09,2,7,5.0
2015-11-10,8,10,6.0
2015-11-11,2,3,5.0
2015-11-12,2,12,9.0
2015-11-13,7,1,15.0
2015-11-14,4,1,3.0
2015-11-15,16,0,0.0
2015-11-16,9,3,11.0
2015-11-17,2,5,12.0
2015-11-18,0,11,10.0
2015-11-19,6,12,5.0
2015-11-20,2,6,7.0
2015-11-21,1,1,0.0
2015-11-22,0,1,0.0
2015-11-23,1,4,17.0
2015-11-24,0,5,8.0
2015-11-25,1,5,9.0
2015-11-26,0,3,0.0
2015-11-27,7,1,0.0
2015-11-28,0,4,0.0
2015-11-29,4,0,0.0
2015-11-30,1,3,11.0
2015-12-01,4,6,14.0
2015-12-02,1,5,21.0
2015-12-03,3,5,19.0
2015-12-04,3,10,10.0
2015-12-05,1,1,4.0
2015-12-06,2,3,0.0
2015-12-07,0,1,5.0
2015-12-08,18,0,21.0
2015-12-09,6,1,22.0
2015-12-10,2,6,36.0
2015-12-11,2,6,17.0
2015-12-12,2,0,4.0
2015-12-13,0,4,2.0
2015-12-14,4,6,9.0
2015-12-15,0,4,37.0
2015-12-16,0,8,1.0
2015-12-17,1,5,4.0
2015-12-18,3,9,4.0
2015-12-19,7,0,0.0
2015-12-20,4,0,0.0
2015-12-21,1,18,1.0
2015-12-22,2,16,0.0
2015-12-23,2,11,3.0
2015-12-24,0,7,1.0
2015-12-25,0,4,0.0
2015-12-26,0,1,0.0
2015-12-27,13,0,0.0
2015-12-28,2,0,1.0
2015-12-29,2,15,0.0
2015-12-30,3,1,0.0
2015-12-31,0,0,0.0
2016-01-01,0,0,0.0
2016-01-02,0,1,0.0
2016-01-03,0,1,0.0
2016-01-04,5,2,5.0
2016-01-05,0,8,2.0
2016-01-06,3,2,1.0
2016-01-07,8,8,0.0
2016-01-08,4,3,3.0
2016-01-09,2,5,2.0
2016-01-10,1,0,0.0
2016-01-11,1,5,1.0
2016-01-12,2,14,3.0
2016-01-13,5,4,4.0
2016-01-14,3,4,3.0
2016-01-15,2,1,6.0
2016-01-16,10,5,1.0
2016-01-17,3,4,0.0
2016-01-18,5,1,0.0
2016-01-19,2,5,4.0
2016-01-20,5,5,1.0
2016-01-21,4,4,6.0
2016-01-22,3,4,35.0
2016-01-23,0,0,0.0
2016-01-24,0,0,0.0
2016-01-25,0,3,0.0
2016-01-26,1,3,7.0
2016-01-27,0,3,9.0
2016-01-28,2,4,5.0
2016-01-29,16,6,3.0
2016-01-30,4,2,0.0
2016-01-31,10,0,1.0
2016-02-01,2,4,11.0
2016-02-02,12,4,15.0
2016-02-03,18,1,15.0
2016-02-04,10,4,3.0
2016-02-05,2,4,3.0
2016-02-06,8,2,0.0
2016-02-07,4,0,0.0
2016-02-08,4,6,7.0
2016-02-09,9,2,18.0
2016-02-10,9,6,5.0
2016-02-11,3,2,13.0
2016-02-12,11,7,2.0
2016-02-13,2,7,2.0
2016-02-14,1,0,0.0
2016-02-15,0,1,0.0
2016-02-16,3,8,0.0
2016-02-17,2,6,1.0
2016-02-18,5,16,6.0
2016-02-19,5,9,3.0
2016-02-20,4,0,4.0
2016-02-21,4,1,0.0
2016-02-22,2,8,0.0
2016-02-23,13,2,0.0
2016-02-24,9,4,5.0
2016-02-25,9,3,11.0
2016-02-26,2,10,2.0
2016-02-27,0,3,0.0
2016-02-28,2,3,0.0
2016-02-29,6,8,4.0
2016-03-01,2,6,15.0
2016-03-02,7,4,3.0
2016-03-03,5,5,11.0
2016-03-04,6,7,9.0
2016-03-05,2,7,15.0
2016-03-06,19,3,0.0
2016-03-07,4,6,0.0
2016-03-08,2,11,6.0
2016-03-09,5,8,4.0
2016-03-10,4,1,9.0
2016-03-11,4,21,8.0
2016-03-12,12,0,0.0
2016-03-13,7,2,0.0
2016-03-14,8,1,4.0
2016-03-15,6,5,0.0
2016-03-16,4,11,3.0
2016-03-17,6,11,6.0
2016-03-18,8,2,5.0
2016-03-19,14,2,0.0
2016-03-20,7,1,0.0
2016-03-21,14,14,1.0
2016-03-22,4,1,15.0
2016-03-23,8,9,4.0
2016-03-24,7,9,13.0
2016-03-25,4,3,3.0
2016-03-26,8,0,0.0
2016-03-27,21,3,0.0
2016-03-28,13,1,8.0
2016-03-29,4,15,3.0
2016-03-30,4,7,2.0
2016-03-31,8,4,3.0
2016-04-01,5,4,1.0
2016-04-02,6,7,0.0
2016-04-03,18,0,0.0
2016-04-04,10,6,3.0
2016-04-05,10,13,0.0
2016-04-06,14,11,7.0
2016-04-07,5,23,11.0
2016-04-08,7,23,8.0
2016-04-09,12,0,0.0
2016-04-10,12,0,0.0
2016-04-11,27,2,10.0
2016-04-12,12,1,1.0
2016-04-13,22,3,13.0
2016-04-14,7,9,1.0
2016-04-15,4,4,0.0
2016-04-16,4,1,0.0
2016-04-17,1,0,0.0
2016-04-18,11,1,11.0
2016-04-19,10,1,5.0
2016-04-20,11,30,13.0
2016-04-21,7,11,5.0
2016-04-22,12,10,1.0
2016-04-23,3,3,0.0
2016-04-24,4,4,0.0
2016-04-25,11,3,15.0
2016-04-26,8,6,7.0
2016-04-27,5,3,3.0
