,NativeScript/NativeScript,ionic-team/ionic-framework,flutter/flutter
2023-05-16,1,7,25
2023-05-17,0,4,23
2023-05-18,0,5,16
2023-05-19,0,2,30
2023-05-20,0,0,3
2023-05-21,0,0,0
2023-05-22,0,1,14
2023-05-23,0,1,27
2023-05-24,0,9,20
2023-05-25,1,4,24
2023-05-26,0,1,32
2023-05-27,0,0,6
2023-05-28,0,0,5
2023-05-29,0,0,7
2023-05-30,0,5,18
2023-05-31,0,3,29
2023-06-01,0,5,30
2023-06-02,0,0,20
2023-06-03,0,0,3
2023-06-04,0,0,0
2023-06-05,0,1,11
2023-06-06,2,6,22
2023-06-07,0,9,19
2023-06-08,0,5,20
2023-06-09,0,0,27
2023-06-10,0,0,4
2023-06-11,0,0,10
2023-06-12,0,0,13
2023-06-13,6,0,18
2023-06-14,2,4,14
2023-06-15,1,8,13
2023-06-16,0,0,13
2023-06-17,2,0,1
2023-06-18,0,0,0
2023-06-19,5,0,9
2023-06-20,0,5,25
2023-06-21,2,6,20
2023-06-22,4,0,21
2023-06-23,5,1,22
2023-06-24,0,0,12
2023-06-25,0,0,4
2023-06-26,0,4,16
2023-06-27,0,3,18
2023-06-28,0,3,18
2023-06-29,0,1,15
2023-06-30,0,1,20
2023-07-01,0,0,2
2023-07-02,0,0,0
2023-07-03,0,0,3
2023-07-04,0,0,2
2023-07-05,0,2,13
2023-07-06,0,5,14
2023-07-07,0,3,18
2023-07-08,0,0,10
2023-07-09,0,0,5
2023-07-10,2,1,19
2023-07-11,0,1,30
2023-07-12,0,5,22
2023-07-13,0,4,30
2023-07-14,0,2,34
2023-07-15,0,0,5
2023-07-16,0,0,1
2023-07-17,1,1,29
2023-07-18,1,2,33
2023-07-19,0,9,22
2023-07-20,0,2,32
2023-07-21,0,0,17
2023-07-22,0,0,10
2023-07-23,0,0,6
2023-07-24,3,0,21
2023-07-25,0,0,18
2023-07-26,0,5,23
2023-07-27,1,0,17
2023-07-28,0,0,24
2023-07-29,0,0,10
2023-07-30,0,0,5
2023-07-31,0,6,19
2023-08-01,0,5,16
2023-08-02,1,5,21
2023-08-03,3,0,15
2023-08-04,0,5,21
2023-08-05,0,0,12
2023-08-06,0,0,4
2023-08-07,0,0,18
2023-08-08,0,0,25
2023-08-09,0,7,20
2023-08-10,0,7,34
2023-08-11,2,0,16
2023-08-12,0,0,7
