,typesense/typesense,meilisearch/meilisearch,elastic/elasticsearch
2022-06-22,0.0,9.0,20
2022-06-23,1.0,2.0,31
2022-06-24,1.9,1.0,15
2022-06-25,0.7549999999999998,0.0,2
2022-06-26,1.7814999999999999,0.0,0
2022-06-27,2.6773374999999997,2.0,23
2022-06-28,1.52405825,5.0,29
2022-06-29,-0.4580580125000001,1.0,25
2022-06-30,0.7296405287500002,0.0,18
2022-07-01,0.7038612819843753,0.0,2
2022-07-02,0.7003715501828128,0.0,0
2022-07-03,-0.29377294808749976,0.0,0
2022-07-04,0.8186969076828128,1.0,13
2022-07-05,-0.2329692866187498,22.0,23
2022-07-06,-0.13927444613906226,6.0,13
2022-07-07,4.914329836178125,4.0,18
2022-07-08,0.4455134782343747,0.0,15
2022-07-09,-0.3701776118015626,0.0,1
2022-07-10,-0.21862917805156257,0.0,0
2022-07-11,-0.1513050487859371,3.0,11
2022-07-12,0.8891854369843754,32.0,28
2022-07-13,-0.1903256650359373,0.0,16
2022-07-14,2.8863695062500003,0.0,20
2022-07-15,0.6125647386718749,0.0,4
2022-07-16,-0.3072250756953125,0.0,0
2022-07-17,-0.15501560253593752,0.0,0
2022-07-18,0.8963504875000002,11.0,23
2022-07-19,1.81989355375,19.0,13
2022-07-20,3.689828899484375,2.0,13
2022-07-21,0.4266580462140622,6.0,20
2022-07-22,1.602538864703125,0.0,28
2022-07-23,-0.4512066206234375,0.0,1
2022-07-24,0.7450556349640629,0.0,0
2022-07-25,0.7204527787500002,0.0,29
2022-07-26,1.7131544944843753,0.0,30
2022-07-27,0.6091942239328126,0.0,26
2022-07-28,0.6683488216156251,5.0,17
2022-07-29,-0.3041303656593749,0.0,17
2022-07-30,-0.17163924106718725,0.0,1
2022-07-31,-0.12244941382187471,0.0,1
2022-08-01,0.9162347157343753,0.0,27
2022-08-02,3.8305666794484377,2.0,24
2022-08-03,0.5032088126828123,1.0,31
2022-08-04,3.6540402856625,2.0,25
2022-08-05,2.4023703344484373,0.0,3
2022-08-06,-0.6156656025359375,0.0,0
2022-08-07,1.6527084875,0.0,1
2022-08-08,1.5519915037500003,1.0,20
2022-08-09,0.5164403894843754,0.0,17
2022-08-10,1.5942358991515628,18.0,10
2022-08-11,-0.47034954565937476,3.0,16
2022-08-12,-0.2720116933484371,3.0,13
2022-08-13,0.8014796258093754,0.0,2
2022-08-14,-0.23114972510781218,0.0,0
2022-08-15,-0.13171953103124978,0.0,15
2022-08-16,2.898147947646875,3.0,16
2022-08-17,1.6307840894124999,52.0,32
2022-08-18,1.6213477714328124,16.0,15
2022-08-19,0.5945402824281247,1.0,0
2022-08-20,-0.3200811962499999,0.0,0
2022-08-21,-0.20124356301562477,0.0,0
2022-08-22,-0.14994339003593712,20.0,20
2022-08-23,-0.11250111374999963,13.0,16
2022-08-24,0.9066668934531252,8.0,14
2022-08-25,1.8203174113609377,0.0,11
2022-08-26,-0.29202802735312505,0.0,21
2022-08-27,1.8551339819125,1.0,1
