,jgthms/bulma,tailwindlabs/tailwindcss,twbs/bootstrap
2017-09-20,0,0,1
2017-09-21,0,0,0
2017-09-22,0,0,0
2017-09-23,0,0,1
2017-09-24,0,0,2
2017-09-25,0,0,2
2017-09-26,1,0,21
2017-09-27,0,0,12
2017-09-28,0,0,2
2017-09-29,0,0,8
2017-09-30,0,0,2
2017-10-01,0,0,18
2017-10-02,3,3,12
2017-10-03,0,2,46
2017-10-04,1,9,36
2017-10-05,0,6,5
2017-10-06,1,5,5
2017-10-07,5,5,0
2017-10-08,3,0,6
2017-10-09,7,10,8
2017-10-10,51,0,6
2017-10-11,9,7,1
2017-10-12,3,3,1
2017-10-13,1,12,3
2017-10-14,3,7,1
2017-10-15,0,5,3
2017-10-16,3,20,7
2017-10-17,4,7,5
2017-10-18,9,1,17
2017-10-19,2,10,40
2017-10-20,0,10,12
2017-10-21,0,17,0
2017-10-22,3,0,31
2017-10-23,1,6,17
2017-10-24,0,34,2
2017-10-25,0,23,6
2017-10-26,1,21,1
2017-10-27,0,27,3
2017-10-28,1,10,2
2017-10-29,0,11,15
2017-10-30,0,53,12
2017-10-31,0,94,14
2017-11-01,2,103,1
2017-11-02,2,42,1
2017-11-03,0,45,8
2017-11-04,3,9,0
2017-11-05,4,2,0
2017-11-06,20,38,15
2017-11-07,5,38,8
2017-11-08,2,21,2
2017-11-09,1,22,6
2017-11-10,1,17,0
2017-11-11,0,9,3
2017-11-12,0,1,0
2017-11-13,0,12,2
2017-11-14,3,6,0
2017-11-15,1,11,6
2017-11-16,1,11,4
2017-11-17,0,14,1
2017-11-18,0,4,0
2017-11-19,0,9,2
2017-11-20,0,2,3
2017-11-21,0,5,0
2017-11-22,0,3,0
2017-11-23,0,16,3
2017-11-24,0,23,5
2017-11-25,0,5,10
2017-11-26,0,2,1
2017-11-27,0,1,3
2017-11-28,0,9,2
2017-11-29,1,11,2
2017-11-30,1,2,0
2017-12-01,0,11,2
2017-12-02,0,44,3
2017-12-03,0,5,0
2017-12-04,17,4,1
2017-12-05,0,0,1
2017-12-06,2,3,0
2017-12-07,0,1,1
2017-12-08,0,2,1
2017-12-09,2,0,0
2017-12-10,1,0,0
2017-12-11,0,4,1
2017-12-12,0,2,2
2017-12-13,1,26,0
2017-12-14,1,11,0
2017-12-15,0,3,0
2017-12-16,0,3,1
2017-12-17,0,0,1
2017-12-18,0,2,0
2017-12-19,0,2,0
2017-12-20,2,0,0
2017-12-21,0,0,0
2017-12-22,0,0,2
2017-12-23,0,0,13
2017-12-24,0,2,6
2017-12-25,0,0,0
2017-12-26,0,0,9
2017-12-27,0,2,15
2017-12-28,4,1,22
2017-12-29,0,1,1
2017-12-30,0,0,11
2017-12-31,0,1,16
2018-01-01,0,0,2
2018-01-02,0,0,7
2018-01-03,0,0,10
2018-01-04,0,0,2
2018-01-05,0,1,2
2018-01-06,9,0,1
2018-01-07,0,0,0
2018-01-08,0,1,1
